premise;question;choice1;choice2;label
Het artikel was verpakt in bubbelfolie. ;cause;Het was kwetsbaar. ;Het was klein. ;0
Ik heb mijn zakken leeggemaakt. ;effect;Ik heb een kaartje teruggevonden. ;Ik heb een wapen gevonden. ;0
Termieten vielen het huis binnen. ;effect;De termieten zijn uit het huis verdwenen. ;De termieten hebben het hout in het huis verslonden. ;1
De reizigers bereikten de grens. ;effect;De agent controleerde hun paspoorten. ;De agent beschuldigde hen van smokkel. ;0
Het kantoor was gesloten. ;cause;Het was een feestdag. ;Het was zomer. ;0
Het meisje raakte zonder energie. ;cause;Ze speelde dammen. ;Ze sprong over het touw. ;1
De vrouw verloor haar plaats in de rij. ;cause;Er kwamen meer mensen in de rij. ;Ze stapte uit de rij. ;1
Het meisje knijpte haar neus. ;cause;De baby kwijlde op haar broekje. ;De baby heeft haar luier vuil gemaakt. ;1
De band speelde hun hit. ;effect;Het publiek klapte mee met de muziek. ;Het publiek luisterde beleefd in stilte. ;0
Het meisje wilde haar wiskundeleraar bedanken. ;effect;Het meisje bleef na schooltijd voor de straf. ;Het meisje bracht de leraar een appel. ;1
De jonge kampeerders waren bang. ;cause;Hun kampbegeleider vertelde ze een spookverhaal. ;Ze hebben marshmallows op het kampvuur geroosterd. ;0
De man heeft zijn hoofd gestoten. ;effect;Hij raakte in gedachten verward. ;Hij heeft een hersenschudding. ;1
De cheque die ik schreef, is niet betaald. ;cause;Mijn bankrekening was leeg. ;Ik heb een salarisverhoging verdiend. ;0
Zijn e-mailbus zat vol spam. ;effect;Hij heeft de spam verwijderd. ;Hij stuurde een massa e-mail. ;0
De zeeman was in quarantaine. ;cause;Hij werd blootgesteld aan de ziekte. ;Hij herstelde van de ziekte. ;0
Het meisje heeft de code onthouden. ;cause;Ze reciteerde het voor zichzelf. ;Ze vergat het op te schrijven. ;0
Ik heb het water in het glas gegoten. ;effect;Het water deed mijn dorst op. ;Het glas werd vol. ;1
De man bleef zwijgen toen zijn vriend klaar was met spreken. ;cause;Hij wilde zijn vriend steun bieden. ;Hij dacht na over de woorden van zijn vriend. ;1
Het ongeluk was mijn schuld. ;effect;Ik voelde me schuldig. ;Ik heb een klacht ingediend. ;0
De ketting is uit elkaar. ;cause;De ketting was om een band gewikkeld. ;Er was een gebroken schakel in de keten. ;1
Het echtpaar besloot een compromis te sluiten. ;cause;Ze werden het ruzie maken moe. ;Ze vermijdden het probleem te bespreken. ;0
De vrouw besloot zich kandidaat te stellen voor een openbaar ambt. ;effect;Ze heeft een campagne manager ingehuurd. ;Ze heeft in de rechtbank getuigd. ;0
De man verwachtte koud weer op zijn reis. ;effect;Hij heeft warme kleren in zijn koffer gepakt. ;Hij reisde met een grote koffer. ;0
De student kende het antwoord op de vraag. ;effect;Hij stak zijn hand op. ;Hij is gek geworden. ;0
De man kreeg tranen in de ogen. ;cause;Er zat stof in zijn ogen. ;Hij heeft een bril over zijn ogen gedaan. ;0
De speler won vijf wedstrijden op rij. ;effect;Haar tegenstander beschuldigde haar van valsspelen. ;Haar tegenstander had medelijden met haar. ;0
