m_query;response
Julia a jucat jocul cu 18 copii luni. A jucat jocul cu 10 copii marţi. Cu câţi copii s-a jucat mai mult luni decât marţi? ;8.0
Julia a jucat jocul cu 11 copii luni. A jucat jocul cu 12 copii marţi. Cu câţi copii s-a jucat mai mult marţi decât luni? ;1.0
Julia a jucat jocul cu cinci copii luni. A jucat jocul cu alţi copii marţi. Dacă a jucat cu 15 copii, cu câţi copii a jucat marţi? ;10.0
Julia a jucat jocul cu nişte copii luni. A jucat jocul cu 14 copii marţi. Dacă a jucat cu 16 copii, cu câţi copii s-a jucat luni? ;2.0
Julia a jucat jocul cu 16 copii luni. Dacă a jucat cu 12 copii mai mulţi luni decât marţi cu câţi copii a jucat marţi? ;4.0
Julia a jucat jocul cu 14 copii marţi. Dacă a jucat cu 8 copii mai mulţi luni decât marţi cu câţi copii a jucat luni? ;22.0
Julia a jucat cu 17 copii luni, 15 marţi şi 2 miercuri. Cu câţi copii s-a jucat în total? ;34.0
Julia a jucat cu 15 copii luni, 18 marţi şi 97 miercuri. Cu câţi copii s-a jucat luni şi marţi? ;33.0
Julia a jucat cu 5 copii luni, 9 marţi şi 15 miercuri. Cu câţi copii s-a jucat luni şi miercuri? ;20.0
Julia a jucat cu 2 copii luni, 14 marţi şi 16 miercuri. Cu câţi copii s-a jucat marţi şi miercuri? ;30.0
Julia a jucat cu 9 copii luni, 7 marţi şi 96 miercuri. Cu câţi copii s-a jucat mai mult luni decât marţi? ;2.0
Julia a jucat cu 14 copii luni, 2 marţi şi 8 miercuri. Cu câţi copii s-a jucat mai mult luni decât miercuri? ;6.0
Julia a jucat cu 8 copii luni, 11 marţi şi 9 miercuri. Cu câţi copii s-a jucat mai mult marţi decât miercuri? ;2.0
Julia a jucat cu 15 copii luni, 18 marţi şi 7 miercuri. Cu câţi copii s-a jucat mai mult luni şi marţi decât miercuri? ;26.0
Julia a jucat cu 13 copii luni şi cu 10 copii marţi. A jucat cărţi cu 15 copii miercuri. Cu câţi copii s-a jucat în total? ;38.0
Julia a jucat cu 7 copii luni şi cu 13 copii marţi. A jucat cărţi cu 20 de copii miercuri. Cu câţi copii a jucat împreună? ;20.0
Julia a jucat jocul cu 12 copii luni. A jucat jocul cu 14 copii marţi. A petrecut 34 de ore jucând la ţintă în ambele zile. Cu câţi copii s-a jucat în total? ;26.0
Julia a jucat jocul cu 19 copii luni. A jucat jocul cu 18 copii marţi. A petrecut 38 de ore jucând la ţintă în ambele zile. Cu câţi copii s-a jucat mai mult luni decât marţi? ;1.0
Julia a jucat jocul cu cinci copii marţi. Luni, ea a jucat cu 6 copii. Cu câţi copii s-a jucat mai mult luni decât marţi? ;1.0
Julia a jucat cu un total de 18 copii. Luni a jucat cu patru copii şi marţi cu alţi copii. Cu câţi copii s-a jucat marţi? ;14.0
Julia a jucat jocul cu patru copii miercuri. Luni a jucat cu 6 copii, marţi cu 17. Cu câţi copii s-a jucat mai mult luni decât miercuri? ;2.0
Bobby a mâncat nişte bomboane. Apoi a mai mâncat 25. Dacă a mâncat 43 de bomboane, câte bomboane a mâncat la început? ;18.0
Bobby a mâncat 28 de bomboane. Apoi a mai mâncat încă 42. A mâncat şi 63 de bucăţi de ciocolată. Câte bomboane a mâncat Bobby? ;70.0
Bobby a mâncat 33 de bomboane. Apoi a mai mâncat încă patru. A mâncat şi 14 bucăţi de ciocolată. Câte bucăţi de bomboane şi ciocolată a mâncat Bobby în total? ;51.0
Bobby a mâncat 38 de bomboane. Apoi a mai mâncat 36. A mâncat şi 16 bucăţi de ciocolată. Câte bucăţi de bomboane mai mult decât ciocolată a mâncat Bobby? ;58.0
