question;answer_number
Janet se eende lê 16 eiers per dag. Sy eet elke oggend drie vir ontbyt en bak elke dag muffins vir haar vriende met vier. Sy verkoop die res daagliks by die boere se mark vir $2 per vars eendeier. Hoeveel dollar verdien sy elke dag by die boere-mark? ;18
'n Kledingstuk neem 2 bolte blou vesel en die helfte soveel wit vesel. Hoeveel bout in totaal neem dit? ;3
Josh besluit om 'n huis te probeer omdraai. Hy koop 'n huis vir $80.000 en sit dan $50.000 in vir herstelwerk. Dit het die waarde van die huis met 150% verhoog. Hoeveel wins het hy gemaak? ;70000
James besluit om drie keer per week drie sprinte te hardloop. Hy hardloop 60 meter elke sprint. Hoeveel meter hardloop hy in totaal per week? ;540
Elke dag gee Wendi drie koppies gemengde hoendervoer vir elk van haar hoenders, wat sade, meelwurms en groente bevat om hulle gesond te hou. Sy gee die hoenders hulle kos in drie afsonderlike maaltye. Sy gee haar kuikens elke oggend 15 koppies kos. In die middag gee sy haar hoenders nog 25 koppies kos. Hoeveel koppies kos moet sy haar hoenders in die laaste maaltyd van die dag gee as Wendi se trop 20 hoenders het? ;20
Kylar het na die winkel gegaan om bril vir sy nuwe woonstel te koop. Een glas kos $5, maar elke tweede glas kos net 60% van die prys. Kylar wil 16 glase koop. Hoeveel moet hy daarvoor betaal? ;64
Toulouse het twee keer soveel skape as Charleston. Charleston het 4 keer soveel skape as Seattle. Hoeveel skape het Toulouse, Charleston en Seattle saam as Seattle 20 skape het? ;260
Carla laai 'n lêer van 200 GB af. Gewoonlik kan sy 2 GB per minuut aflaai, maar 40% van die aflaai, Windows dwing 'n herlaai om opdaterings te installeer, wat 20 minute neem. Dan moet Carla die aflaai van die begin af hervat. Hoeveel lading neem dit om die lêer af te laai? ;160
John ry drie uur lank teen 'n spoed van 100 km/h en draai dan om omdat hy besef dat hy iets baie belangrik by die huis vergeet het. Hy probeer om binne 4 uur by die huis te kom, maar spandeer die eerste 2 uur in stilstaande verkeer. Hy spandeer die volgende halfuur met 'n spoed van 30mph, voordat hy die oorblywende tyd van die 4 uur met 80mph kan ry. Hoe ver is hy van die huis af aan die einde van daardie 4 uur? ;45
Eliza se uurlikse tarief vir die eerste 40 uur wat sy elke week werk, is $10. Sy ontvang ook 'n ekstra betaling van 1,2 keer haar gewone uurlikse loon. As Eliza hierdie week 45 uur gewerk het, hoeveel is haar inkomste vir hierdie week? ;460
'n Nuwe program het 60 aflaaie in die eerste maand gehad. Die aantal aflaaie in die tweede maand was drie keer soveel as die aantal aflaaie in die eerste maand, maar het dan met 30% in die derde maand afgeneem. Hoeveel downloads het die program in totaal oor die drie maande gehad? ;366
Toula het na die bakkery gegaan en verskillende soorte gebak gekoop. Sy het 3 dosyn donuts gekoop wat $68 per dosyn kos, 2 dosyn mini-koekjies wat $80 per dosyn kos, en 6 dosyn mini-kaaskoekjies vir $55 per dosyn. Hoeveel was die totale koste? ;694
Carlos plant 'n suurlemoenboom. Die boom kos $90 om te plant. Elke jaar sal dit 7 suurlemoene laat groei, wat hy vir $1,5 elk kan verkoop. Dit kos $3 per jaar om die boom te water en te voed. Hoeveel jaar sal dit duur voordat hy geld met die suurlemoenboom begin verdien? ;13
Melanie is 'n deur-tot-deur-verkoper. Sy het 'n derde van haar stofsuiers by die groen huis verkoop, nog 2 aan die rooi huis, en die helfte van wat by die oranje huis oorgebly het. As Melanie nog 5 stofsuiers het, hoeveel het sy begin het? ;18
In 'n dansklas van 20 studente het 20% in kontemporêre dans ingeskryf, 25% van die oorblywende in jazzdans en die res in hiphopdans. Hoeveel persent van die hele studente het in hip-hop-dans ingeskryf? ;60
'n Handelaar wil 'n aankoopkeuse maak tussen twee aankoopplanne: juweliersware ter waarde van R5 000 of elektroniese toestelle ter waarde van R8 000. Sy finansiële adviseur spekuleer dat die juweliersware mark sal styg 2.5% terwyl die elektroniese gadgets mark sal styg 1.2% binne dieselfde maand. As die handelaar op soek is na wins te maksimeer aan die einde van hierdie maand deur 'n keuse te maak, hoeveel wins sou dit wees? ;125
Twee treine vertrek terselfdertyd uit San Rafael. Hulle begin weswaarts reis, albei 80 myl ver. Die volgende dag reis hulle noordwaarts, en hulle reis 240 kilometer. Wat is die afstand wat elke trein in die twee dae aflê? ;230
Jill word $20 per uur betaal om te onderrig en $30 om 'n cheerleading-afrigter te wees. As sy 50 weke per jaar werk, 35 uur per week as 'n onderwyseres en 15 uur per week as 'n afrigter, wat is haar jaarlikse salaris? ;57500
Claire maak elke oggend 'n omelet van 3 eiers vir ontbyt. Hoeveel dosyne eiers sal sy in 4 weke eet? ;7
Marissa stap 'n pad van 12 myl. Dit het haar 1 uur geneem om die eerste 4 myl te stap, en dan nog 'n uur om die volgende 2 myl te stap. As sy wil hê dat haar gemiddelde spoed 4 myl per uur moet wees, watter spoed (in myl per uur) het sy nodig om die oorblywende afstand te loop? ;6
Ek het 10 liter lemoensap wat tweederdes water is en ek wil dit byvoeg by 15 liter ananas wat driekwart water is. Maar terwyl ek dit uitgooi, mors ek een liter van die lemoensap uit. Hoeveel water is daar in die oorblywende 24 liter? ;15
Raymond en Samantha is neefs. Raymond is 6 jaar voor Samantha gebore. Raymond het 'n seun gehad toe hy 23 was. As Samantha nou 31 is, hoeveel jaar gelede is Raymond se seun gebore? ;14
