question;answer_number
जेनेटच्या बत्त्या दररोज १६ अंडी घालतात. दररोज सकाळी तीन जेवणं आणि चार मित्रांसाठी रोज मफिन बनवते. ती उर्वरित शेती बाजारात दररोज ताज्या बतख अंडी 2 डॉलरला विकते. ती दररोज शेतकर्यांच्या बाजारात किती डॉलर कमावते? ;18
एका अंगरखेला दोन बोल्ट निळ्या रेशाचा आणि अर्धा तितका पांढरा रेशाचा वापर होतो. एकूण किती बोल्ट लागतात? ;3
जोशने घर उध्वस्त करण्याचा प्रयत्न केला. तो ८०,००० डॉलरला घर खरेदी करतो आणि नंतर ५००,००० डॉलर दुरुस्तीसाठी खर्च करतो. यामुळे घराची किंमत 150% वाढली. त्याने किती नफा कमावला? ;70000
जेम्स आठवड्यातून तीन वेळा तीन धावांची धावपळ करतो. तो प्रत्येक धावपट्टीवर ६० मीटर धावतो. तो एकूण किती मीटर धावतो एका आठवड्यात? ;540
दररोज, वेंडी आपल्या प्रत्येक कोंबडीला तीन कप मिश्रित कोंबडीचे खाद्य देते, ज्यात बियाणे, मळणीचे कीडे आणि भाज्या असतात जे त्यांना निरोगी ठेवण्यास मदत करतात. ती कोंबड्यांना तीन वेगवेगळ्या जेवणामध्ये त्यांचे अन्न देते. सकाळी ती आपल्या कोंबड्यांना १५ कप चारा देते. दुपारी, ती तिच्या कोंबड्यांना आणखी 25 कप अन्न देते. वेंडीच्या कळपात २० कोंबड्या असतील तर तिला तिच्या कोंबड्यांना दिवसातील शेवटच्या जेवणात किती कप अन्न देण्याची गरज आहे? ;20
काइलार त्याच्या नवीन अपार्टमेंटसाठी चष्मा खरेदी करण्यासाठी दुकानात गेला. एका काचेची किंमत ५ डॉलर आहे, पण प्रत्येक दुसऱ्या काचेची किंमत फक्त ६०% आहे. काइलरला १६ ग्लास घ्यायचे आहेत. त्यांना किती पैसे द्यावे लागतील? ;64
चार्लस्टनपेक्षा तुलूजमध्ये दुप्पट मेंढ्या आहेत. चार्ल्सटनमध्ये सिएटलपेक्षा ४ पट जास्त मेंढ्या आहेत. तुलूज, चार्लस्टन आणि सिएटलमध्ये एकूण किती मेंढ्या आहेत जर सिएटलमध्ये २० मेंढ्या असतील? ;260
कार्ला २०० जीबी ची फाईल डाऊनलोड करत आहे. साधारणपणे ती 2 जीबी/मिनिट डाउनलोड करू शकते, पण डाउनलोडच्या 40% मार्गावर, विंडोज अद्यतने स्थापित करण्यासाठी रीस्टार्ट करण्यास भाग पाडते, ज्यास 20 मिनिटे लागतात. मग कार्लाला सुरुवातीपासून डाउनलोड पुन्हा सुरू करावे लागेल. फाईल डाउनलोड करण्यासाठी किती भार लागतो? ;160
जॉन ३ तास ६० मैल प्रति तास वेगाने गाडी चालवतो आणि मग मागे वळतो कारण त्याला समजते की त्याने घरी काहीतरी खूप महत्वाचे विसरले आहे. चार तासांत घरी पोहचण्याचा प्रयत्न करतो पण पहिल्या दोन तास तो वाहतुकीच्या अडचणीत असतो. तो पुढील अर्धा तास 30mph च्या वेगाने वाहन चालवितो, 80mph वर जात 4 तासांचा उर्वरित वेळ चालविण्यास सक्षम होण्यापूर्वी. त्या चार तासांच्या शेवटी तो घरापासून किती दूर आहे? ;45
एलिझाचा दर दर तासाला पहिल्या ४० तासांसाठी ती दर आठवड्याला काम करते १० डॉलर तिला तिच्या नियमित तासाच्या वेतनाच्या 1.2 पट ओव्हरटाइम वेतन देखील मिळते. एलिझाने या आठवड्यात ४५ तास काम केले, तर तिची या आठवड्याची कमाई किती आहे? ;460
