question;answer_number
Janet'in ördekleri günde 16 yumurta bırakır. Her sabah üç tane kahvaltı yapar ve dört kişiyle birlikte arkadaşlarına her gün kek yapar. Geri kalanını çiftçilerin pazarında taze ördek yumurtası başına günde 2 dolara satıyor. Çiftçilerin pazarında her gün ne kadar dolar kazanıyor? ;18
Bir cübbe için iki adet mavi iplik ve yarısı kadar beyaz iplik gerekir. Toplamda kaç tane cıvata gerekiyor? ;3
Josh bir evi çevirmeye karar verir. 80.000 dolara bir ev satın alır ve sonra onarım için 50.000 dolar yatırır. Bu evin değerini %150 arttırdı. Ne kadar kâr etti? ;70000
James haftada 3 kez 3 sprint yapmaya karar verir. Her sprintte 60 metre koşuyor. Haftada toplam kaç metre koşuyor? ;540
Wendi her gün tavuklarının her birine üç fincan karışık tavuk yemi veriyor. Bu yemin içindeki tohumlar, öğün solucanları ve sebzeler onları sağlıklı tutmaya yardımcı oluyor. Tavuklara üç ayrı öğünde yiyeceklerini veriyor. Sabahları, tavuk sürüsüne 15 bardak yem verir. Öğleden sonra tavuklarına 25 bardak daha yiyecek verir. Eğer Wendi'nin sürüsünün büyüklüğü 20 tavuksa, günün son yemeğinde tavuklarına kaç bardak yem vermesi gerekiyor? ;20
Kylar yeni dairesi için gözlük almak için mağazaya gitti. Bir bardak 5 dolar, ama her ikinci bardak fiyatın sadece %60'ına mal oluyor. Kylar 16 bardak almak istiyor. Ne kadar ödemesi gerekiyor? ;64
Toulouse'un Charleston'dan iki kat fazla koyunu var. Charleston'da Seattle'dan 4 kat fazla koyun var. Seattle'ın 20 koyunu varsa Toulouse, Charleston ve Seattle'ın toplam kaç koyunu var? ;260
Carla 200 GB'lık bir dosya indiriyor. Normalde 2 GB/dakika indirir, ama indirme sürecinin %40'ında Windows, güncellemeleri yüklemek için yeniden başlatılmasını zorlar, bu da 20 dakika sürer. O zaman Carla indirmeyi baştan başlatmak zorunda. Dosyayı indirmek ne kadar yük alır? ;160
John 60 mil hızla 3 saat sürüyor ve sonra dönüyor çünkü evde çok önemli bir şeyi unuttuğunu fark ediyor. Eve 4 saatte dönmeye çalışıyor ama ilk 2 saatini trafikte geçiriyor. Sonraki yarım saati saatte 30 mil hızla sürerek geçirir, 4 saatin geri kalanını 80 mil hızla sürmeden önce. Bu 4 saatin sonunda evden ne kadar uzakta? ;45
Eliza'nın her hafta ilk 40 saatlik çalışma ücreti 10 dolar. Ayrıca normal saatlik ücretinin 1.2 katı fazla mesai maaşı alıyor. Eliza bu hafta 45 saat çalıştıysa, bu haftaki kazancı ne kadar? ;460
Yeni bir program ilk ayda 60 indirme yaptı. İkinci ayda indirme sayısı ilk aydaki indirme sayısının üç katıydı, ancak üçüncü ayda %30 azalmıştı. Program üç ay boyunca toplam kaç indirme yaptı? ;366
Toula fırına gitti ve çeşitli pastırmalar aldı. Her bir düzinesi 68 dolara mal olan 3 düzinelerce çörek, her bir düzinesi 80 dolara mal olan 2 düzinelerce mini kek ve her bir düzinesi 55 dolara 6 düzinelerce mini peynirli kek satın aldı. Toplam maliyeti ne kadar? ;694
Carlos bir limon ağacı dikti. Ağaç dikmek 90 dolara mal olacak. Her yıl 7 limon yetiştirecek ve her birini 1,5 dolara satabilecek. Ağacı sulamak ve beslemek yılda 3 dolar eder. Limon ağacından para kazanmaya başlaması kaç yıl sürecek? ;13
Melanie kapı kapı satıcı. Koltukta bulunan elektrikli süpürgelerinin üçte birini yeşil evde, iki tanesini kırmızı evde, ve geriye kalanın yarısını da turuncu evde sattı. Melanie'nin 5 elektrikli süpürgesi kaldıysa, kaç taneyle başladı? ;18
20 öğrenciden oluşan bir dans sınıfında, %20'si çağdaş dans, geri kalan %25'i caz dansı, geri kalanı da hip-hop dansı derslerine kayıtlıydı. Tüm öğrencilerin ne kadarı hip-hop dansına kayıtlı? ;60
Bir tüccar 2 satın alma planı arasında bir satın alma seçimi yapmak istiyor: 5.000 dolar değerinde mücevherler veya 8.000 dolar değerinde elektronik cihazlar. Onun finansal danışmanı mücevher piyasasının aynı ay içinde %2.5 artacağını, elektronik cihazlar piyasasının ise %1.2 artacağını tahmin ediyor. Eğer tüccar, bir seçim yaparak bu ayın sonunda karını en üst düzeye çıkarmak istiyorsa, bu ne kadar kar olur? ;125
İki tren aynı anda San Rafael'den ayrılıyor. Her ikisi de 80 mil yol kat ederek batıya doğru yola koyuluyorlar. Ertesi gün kuzeye doğru yolculuk ederler, 150 mil yol kat ederler. İki günde her trenin katettiği mesafe nedir? ;230
Jill saatte 20 dolar öğretmenlik ve 30 dolar amigo antrenörü olarak kazanıyor. Eğer yılda 50 hafta, öğretmen olarak haftada 35 saat ve koç olarak haftada 15 saat çalışıyorsa yıllık maaşı ne olacak? ;57500
Claire her sabah kahvaltıda 3 yumurta omlet yapıyor. 4 hafta içinde kaç düzine yumurta yiyebilir? ;7
Marissa 12 millik bir yolculuk yapıyor. İlk 4 mil için 1 saat, sonraki 2 mil için 1 saat. Eğer ortalama hızının saatte 4 mil olmasını istiyorsa, kalan mesafeyi yürümek için ne kadar hız (saatte mil olarak) gerekecek? ;6
10 litre portakal içeceğim var üçte ikisi su ve bunu beşte üçü su olan 15 litre ananas içeceğine eklemek istiyorum. Ama döktüğümde, bir litre portakal içeceğini döküyorum. Kalan 24 litre ne kadar su? ;15
Raymond ve Samantha kuzenler. Raymond, Samantha'dan 6 yıl önce doğmuş. Raymond 23 yaşında bir oğlu oldu. Samantha şimdi 31 yaşındaysa, Raymond'ın oğlu kaç yıl önce doğdu? ;14
Billy DVD satıyor. Salı günü 8 müşterisi var. İlk 3 müşterisi de birer DVD alıyor. Sonraki iki müşterisi de her biri iki DVD alıyor. Son 3 müşterisi DVD almamış. Billy Salı günü kaç DVD sattı? ;7
Bir mum her yanma saatinde 2 santimetre erir. Bir mum, saat 13:00'den 17:00'e kadar yanınca kaç santimetre daha kısa olur? ;8
