,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
0,"Postao sam fan ""Pravnog reda"" 2011.",Oporavljao sam se od moždanog udara.,Kad sam došao kući pokušao sam gledati svaku epizodu.,Bilo je teško pokušati se prepustiti gledanju 20 godina emisije.,Mislim da je Zakon i red jedna od najgorih serija ikad napravljenih.,Na kraju sam ih sve pogledao.,2
1,Svi su voljeli Boba jer je igrao popularnog lika u filmu.,Bob je mrzio to jer nije bio ništa kao taj lik.,Jim je zamolio Boba da izgovori frazu svog lika.,Bilo je previše za Boba i eksplodirao je od bijesa.,Bob je rekao čovjeku da ga ostavi na miru.,Bob je pitao čovjeka za čaj.,1
2,Lita je htjela gledati svoju omiljenu emisiju na televiziji.,Djeca su insistirala da sjedne i gleda s njima.,Lita im je rekla da ima posla.,Djeca su odvukla košaru za rublje u dnevnu sobu.,Lita je naručila pizzu s pepperonijem za ručak.,Lita je sklopila rublje dok je gledala televiziju.,2
3,Liv je skočila kad ju je iznenadio glasni prasak.,Shvatila je da je to bila žarulja u kuhinji koja je izgorela.,Izvukala je stolicu i stupila na nju.,-Kaknuo se ispod nje i skoro je pala.,Liv je odlučila promijeniti žarulju u kupaonici.,Liv je onda promijenila žarulju.,2
4,Majka je rekla djeci da će za petnaest minuta biti vrijeme ručka.,Ali onda je dobila važan telefonski poziv.,"Dok je ona pričala, pas je vuče blato po cijeloj kuhinji.","Djeca su počela gnjaviti majku, koja je još uvijek bila na telefonu.",Majka je bila prilično frustrirana.,Djeca su se tako ponašala da je majka smirila.,1
5,Hector je uvijek kupio kavu u lokalnoj trgovini prije posla.,Shvaća da je njegova navika kupnje kave vrlo skupa.,Jednog dana Hector odluči skuhati kavu kod kuće.,Ponosan je što je kava koju je doma napravio tako dobra.,Hector je nastavio praviti svoju kavu i štedio novac.,Hector je počeo kupovati više kave iz Starbucksa.,1
6,Kelly je saznala da je nova djevojka u školi.,"Kad je ušla u školu, otišla je da je traži.","Kad ju je upoznala, pozvala ju je da sjedne s njom na ručak.","Kad su ručali, djevojke su se sprijateljile.",Kelly nikada nije razgovarao s njom opet.,Kelly je bila sretna što je stekla novog prijatelja.,2
7,Tommy je naporno trenirao za svoj prvi 5K.,Tijekom utrke osjećao se frustriran kad je toliko ljudi prošlo pored njega.,Kad je čuo kako se zove na dodjeli nagrada bio je šokiran.,Nije znao da će biti nagrada po dobnoj grupi.,Sram ga je bilo što nije dobio priznanje.,"Bio je ponosan što je završio prvi po godinama, ali deseti ukupno.",2
8,Laurie ide na svoj prvi formalni ples večeras.,Onaj s kojim je išla je pokupio i poklonio joj lijepu ružu.,Laurie je nosila dugačku sjajnu haljinu.,Plesali su i zabavljali se sa svim svojim prijateljima.,Laurie je otišla kući plačući.,Laurie je završila večer ljubljenjem svog dečka.,2
9,Neil je istraživao povijesne željeznice.,"Ušao je u Scranton, Pennsylvania.",Shvatio je da je to lijepa stara željeznička stanica.,Uzeo je puno fotografija dok je bio tamo.,Neil je izbrisan sve svoje fotografije.,Neil je sačuvao fotografije na svom računalu.,2
10,Bob se bojao svog prvog dana rada u ribljoj restoranu.,Planirao je pričekati da obuče svoju sjajnu mornaričku uniformu.,Bob je počeo raditi na ribljim hamburgerima nakon što je obučen u uniformu.,"Bio je toliko zauzet, da je zaboravio da se presvuče u uličnu odjeću.",Bob je toliko volio odjeću da ju je pokazivao svojim prijateljima.,Bob je izašao nakon posla u mornaričkom odijelu.,2
11,Prijatelj je došao u posjetu.,Rekao sam joj da moj pas grize.,Nije slušala.,Pokušala ga je maziti i igrati se s njim.,Moj pas ju je ugrizao.,Moj pas je pobjegao.,1
12,Lester je uvijek želio biti umjetnički.,Jednog dana odluči pokušati nacrtati cvjet.,Sjedi ispred prekrasne orhideje i počinje crtaju.,Lesterov crtež je vrlo dobar.,Objesio je sliku na zid u dnevnoj sobi.,Odlučio je da više nikad ništa ne crta.,1
13,Pablo voli jesti crve.,Čitao je u školi kako se to radi.,Prži ih u maslinovom ulju.,Voli to raditi barem jednom mjesečno.,Pablo uživa u crvima i smatra ih delikatesijom.,Pablo ne voli jesti crve.,1
14,Kira je oduvijek volio japansku kulturu.,Mnogi od njezinih omiljenih filmova bili su na japanskom.,Odlučila je da će putovati tamo.,Godinama je štedjela novac za putovanje.,Potrošila je sav novac na cipele.,To je bio najbolji put u njenom životu.,2
15,Glen je bio raspoložen za šetnju.,Stavio je jaknu i izašao van.,"Dok je hodao pločnikom, spotaknuo se i razbio koljeno.",Glen je ustao i šepetao natrag u kuću.,Glen je trčao svoj najbolji maraton vremena ikada.,Glen se zakleo da više nikad neće hodati.,2
16,Isus je provodio dan poliranjem namještaja.,"Kad se približila noć, pregledao je svoj posao.",Sve je izgledalo sjajno i novo.,Isus je pozvao sve svoje prijatelje na zabavu te večeri.,Rekli su da mu je namještaj izgledao lijepo.,Njegovi prijatelji su mu polirali namještaj.,1
17,Nedavno sam išla u dućan.,"Dok sam prolazio kroz izlazak, osjetio sam hladnoću, tvrdi čelik na svojoj ruci.",Bio sam šokiran što me udario auto!,Vozač se jako ispričao nakon što je vidio da sam udaren.,Rekao sam im da je u redu i onda otišao.,Vozač je postao jako ljut na mene.,1
18,Gina sestra si je posjekla gležanj na razbijenom staklu.,Krv joj je tekla niz nogu i u cipelicu.,"Kad je vidjela krv, pobjegla je kući.","Gina je trčala iza nje, ali nije mogla da je prati.",Kad su stigli kući svi su jeli sladoled.,Gina sestra je otišla kod doktora.,2
