m_query;response
Julia spelte tennis med 18 born på mandag. Ho spelte med 10 born på tirsdag. Kor mange fleire leikar hadde ho på mandag enn på tirsdag? ;8.0
Julia spelte tennis med elleve born på mandag. Ho spelte tennis med 12 born. på tirsdag. Kor mange fleire leikar hadde ho på tisdag enn på måndag? ;1.0
Julia spelte tennis med fem andre born. Ho spelte med nokre born på tirsdag. Om ho spelte med 15 born, kor mange spelte ho då? ;10.0
Julia spelte tennis med nokre born på mandag. Ho spelte tagg med 14 born på tirsdag. Om ho spelte med 16 born, kor mange spelte ho då? ;2.0
Julia spelte tennis med 16 born på mandag. Om ho spelte tennis med 12 born til måndag, kor mange born spelte ho med på tirsdag? ;4.0
Julia spelte tag med 14 born på tirsdag. Om ho spelte med åtte andre born på mandag, kva var då mengda born ho spelte med? ;22.0
Julia spelte med 17 born på mandag 15 born på tirsdag og 2 born på onsdag. Kor mange born leika med henne? ;34.0
Julia spelte med 15 born på mandag 18 born på tirsdag og 97 barn på onsdag. Kor mange born leika med henne på måndag og tirsdag? ;33.0
Julia spelte med fem born på måndag ni born på tirsdag og 15 born på onsdag. Kor mange born leika med henne på måndag og onsdag? ;20.0
Julia spelte med to born på måndag og med 14 barn på tirsdag og 16 på onsdag. Kor mange born leika med henne på tirsdag og onsdag? ;30.0
Julia spelte med ni born på måndag sju på tirsdag og 96 på onsdag. Kor mange fleire leikar hadde ho på mandag enn på tirsdag? ;2.0
Julia spelte tag med 14 born på mandag to born på tirsdag og åtte born på onsdag. Kor mange fleire bor, som ikkje har leikt med måndag? ;6.0
Julia spelte tag med åtte born på måndag og elleve på tirsdag og ni på onsdag. Kor mange fleire leikar hadde ho på tirsdag enn på onsdag? ;2.0
Julia spelte med 15 born på mandag 18 born på tirsdag og 7 barn på onsdag. Kor mange fleire leikar hadde ho, på mandag og tirsdag i staden for på onsdag? ;26.0
Julia spelte med 13 born på mandag og 10 på tirsdag. Ho spelte kort med 15 born i dag. Kor mange born leika med henne? ;38.0
Julia spelte med sju born på mandag og 13 på tirsdag. Ho spelte kort med 20 born i dag. Kor mange born hadde ho spelt med? ;20.0
Julia spelte tennis med 12 born på mandag. Ho spelte tagg med 14 born på tirsdag. Ho brukte 34 timar på å leika med han alle dagane. Kor mange born leika med henne? ;26.0
Julia spelte tennis med 19 born på mandag. Ho spelte tennis med 18 andre born. Ho brukte 38 timar på å leika med han alle dagane. Kor mange fleire leikar hadde ho på mandag enn på tirsdag? ;1.0
Julia spelte med fem andre på tirsdag. Ho hadde ein skuff med seks born på mandag. Kor mange fleire leikar hadde ho på mandag enn på tirsdag? ;1.0
Julia spelte tagg med 18 andre born. Ho spelte med fire born på mandag og med nokre fleire born på tirsdag. Kor mange born leika med henne på torsdag? ;14.0
Julia spelte tag med 4 born onsdag. Ho hadde 6 borne born på mandag og 17 på tirsdag. Kor mange fleire bor, som ikkje har leikt med måndag? ;2.0
Bobby har ete slikkjer. så åt han 25 til. Om han åt 43 slikkar, kor mange slikkar hadde han så att? ;18.0
Bobby har ete 28 stykker godteri. så åt han 42 til. Han åt òg 63 sjokoladebitar. Kor mange godbitar åt Bobby? ;70.0
Bobby åt 33 slikkar. så åt han 4 av dei til. Han åt òg 14 sjokoladebitar. Kor mange sjokolade- og godbitar hadde Bobby i heile frokosten? ;51.0
Bobby åt 38 slikkar. så åt han 36 av dei til. Han åt òg 16 sjokoladebitar. Kor mange sjokoladebitar har Bobby hatt? ;58.0
Bobby hadde 20 ar. Han åt 34 ar. og så åt han 18 av dei til. Kor mange godbitar åt Bobby? ;52.0
Bobby hadde 21 stykker godteri. Han åt fem av dei. så åt han 9 til. Kor mange av dei har eg att? ;7.0
Bobby hadde 22 stykker godteri. Han åt litt godis. og så åt han 5 til. Om han no har åtte sirklar igjen kor mange hadde han så att? ;9.0
Bobby hadde 19 slikkar. Han åt to kjeller. Kor mange av dei har eg att? ;17.0
Bobby hadde 32 ar. Han åt litt godis. Om han har 20 stykker godteri kvar kor mange av dei åt han da? ;12.0
Bobby åt 17 stykker godteri. så åt han 15 til. Om han i utgangspunktet hadde 36 slikkar, kor mange slikkar hadde han då? ;4.0
Bobby åt 23 slikkar. Om han i utgangspunktet hadde 30 slikkar, kor mange slikkar hadde han då? ;7.0
Allan hadde 5 ballonger og Jake hadde 3 ballonger i parken. Kor mange ballonger har Allan hatt til parkegjen? ;2.0
Allan hadde to ballonger og Jake hadde tre ballonger i parken. Kor mange ballonger har Jake hatt til gardene sine? ;1.0
