,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
0,"我在2011年成為""法律與秩序""的粉絲.",我正在從中風中復發.,"沒有人知道我在哪裡,",試圖看20年節目是很困難的.,法律與秩序是有史以來最糟糕的節目之一.,終於我看到了他們.,2
1,"波布在電影中扮演著一個受歡迎的角色,",因為他完全不像那個角色.,吉姆要求勃說出他的角色的流行詞.,"這對勃來說太過分,",波布告訴那個人讓他安靜下來.,波布向那個人求茶.,1
2,利塔想看她最喜歡的電視節目.,她的孩子堅持要她與他們一起坐下來看.,利塔告訴他們她有家務要做.,她的孩子們拖著她的洗衣到客廳.,利塔為午餐點了一份胡餅披薩.,利塔在看電視時折了衣服.,2
3,"影片中提到的""子""是一個很大的炸彈,",她發現自己房的燈泡正在燃燒.,"她拿出一把腳,",這位女士幾乎跌倒.,利夫決定在浴室換一燈泡.,利夫接著更換了燈泡.,2
4,"媽媽告訴孩子們,",但接著她接到一個重要電話.,沒有人知道她在哪裡.,"他們開始擾母親,",這位母親感到非常喪.,他們的行為讓母親平靜下來.,1
5,赫克多在上班前總是從當地咖啡店買咖啡.,他發現他的咖啡購買習慣非常昂貴.,接著他們就開始咖啡.,他很自豪自己在家煮的咖啡是如此好.,"希克多繼續自製咖啡,",赫克多開始從星巴克買更多咖啡.,1
6,凱莉發現學校有個新女生.,"她走進學校時,",接著她就邀請她與她一起坐下來吃午餐.,他們在午餐時成為了朋友.,凱莉從此沒有再與她說話.,凱莉很高興自己有了新朋友.,2
7,托米為第一次跑5公里而努力訓練.,"他也表示,",他對自己的名字在頒獎典禮上被呼叫感到震驚.,他沒有意識到他們會按年齡組頒獎.,"他感到羞愧,","他很自豪能在年齡層排名第一,",2
8,洛莉今晚會去她的第一場正式舞會.,"她的約會者接她,",洛里穿著長長的閃閃發光的衣服.,"他們與所有朋友一起跳舞,",洛瑞回家時也哭著.,洛瑞在晚上吻了她的約會對象.,2
9,尼爾正在探索歷史性的鐵路.,他騎到賓夕法尼亞州斯克蘭頓.,他發現這是一座古老的美麗火車站.,他在那裡拍了許多照片.,尼爾除了他的所有照片.,尼爾將照片儲存在電腦上.,2
10,波布對於在快餐魚店工作的第一天感到恐懼.,他打算等著穿上他的華麗的海軍制服.,波布穿上軍服後開始做魚漢堡.,"他很忙,","波布非常喜歡這件衣服,",波布在工作後穿著水手服出門.,2
11,沒有任何問題.,我告訴她我的狗會咬人.,她沒有聽.,"她試圖撫摸他,跟他玩.",我家的狗咬了她.,我們的狗跑了.,1
12,萊斯特總是想成為更多藝術家.,他決定試圖畫一朵花.,"他坐在一棵美麗的花前,",萊斯特的畫面非常好.,他把照片掛在客廳的牆上.,他決定從來不會再畫任何東西.,1
13,帕布羅喜歡吃蟲.,他在學校讀了一本如何做這件事的書.,他將他們炸在橄油中.,他喜歡至少每月做一次.,"帕布羅喜歡蟲,",帕布羅不喜歡吃蟲.,1
14,"這位女士很喜歡日本文化,",她喜歡的許多電影都是日語.,她決定要去那裡旅行.,她在許多年來為此旅行了錢.,她花了所有的錢買鞋子.,這是她一生中最美好的旅行.,2
15,格倫有心情要散步.,"他穿上外套,","接著他又在路上倒,",格倫又站起來著回家.,格倫跑了他有史以來最好的馬拉松時間.,格倫發誓他永遠不會再走路.,2
16,沒有任何問題.,他對自己所做的工作進行了檢查.,這裡的一切都看起來很新鮮.,沒有人知道他會如何活下去.,他們說他的家具看起來很好.,他朋友們擦了他的家具.,1
17,我最近在商店行走.,"接著我在車上坐著,","沒有人知道我在哪裡,","司機在看到我被撞到後,","我告訴他們沒問題,",這位司機對我非常憤怒.,1
18,吉娜的妹妹因為玻璃碎片而割下腳.,"血流下她的腳,",她看到血流後跑回家.,"吉娜跑到她後面,",他們回家後都吃了冰淋.,吉娜的妹妹去看醫生.,2
