premise;question;choice1;choice2;label
Прадмет быў упакаваны ў плёнку з бурбалкамі. ;cause;Гэта было далікатна. ;Гэта было мала. ;0
Я апусціў кішэні. ;effect;Я атрымаў копію з білета. ;Я знайшоў зброю. ;0
У дом уварваліся тэрміты. ;effect;Тэрміты зніклі з хаты. ;Тэрміты прагрымелі дрэва ў доме. ;1
Вандроўцы дасягнулі мяжы. ;effect;Патрульны агент праверыў іх пашпарты. ;Патрульны агент абвінаваціў іх у кантрабандзе. ;0
Офіс быў зачынены. ;cause;Гэта было свята. ;Было лета. ;0
У дзяўчыны скончылася энергія. ;cause;Яна гуляла ў шашкі. ;Яна скакала вяроўкай. ;1
Жанчына згубіла сваё месца ў чарзе. ;cause;У чаргу ўвайшло больш людзей. ;Яна выйшла з лініі. ;1
Дзяўчына зашчыпнула нос. ;cause;Дзіця салілася на яе бабочку. ;Дзіця запэцкала падгузнік. ;1
Гурт сыграў сваю песню-гіт. ;effect;Публіка апляпала пад музыку. ;Аўдыторыя ветліва слухала ў цішыні. ;0
Дзяўчынка хацела падзякаваць настаўніку матэматыкі. ;effect;Дзяўчына засталася пасля школы для затрымання. ;Дзяўчына прынесла настаўніку яблык. ;1
Маладыя лагернікі спалохаліся. ;cause;Іх дарадца лагеру распавёў ім гісторыю пра прывідаў. ;Яны падпялі маршмэллоу на вогнішчы. ;0
Чалавек ударыўся галавой. ;effect;Ён загінуў у думках. ;У яго сотня галаўнога мозгу. ;1
Чэк, які я напісаў, не быў выплачаны. ;cause;Мой банкаўскі рахунак быў пусты. ;Я заслужыў павышэнне зарплаты. ;0
У яго паштовай скрыні было шмат спаму. ;effect;Ён выдаліў спам. ;Ён расправіў масавы ліст. ;0
Матроса ўвялі ў карантын. ;cause;Ён быў падвярганы ўздзеянню хваробы. ;Ён ачуняў ад хваробы. ;0
Дзяўчына вывучыла код. ;cause;Яна казала гэта сабе. ;Яна забылася гэта запісаць. ;0
Я наліў ваду ў шклянку. ;effect;Вада згасіла маю смагу. ;Шклянка напоўнілася. ;1
Чалавек маўчаў, калі яго сябар скончыў гаварыць. ;cause;Ён хацеў прапанаваць падтрымку свайму сябру. ;Ён думаў пра словы свайго сябра. ;1
Гэтая аварыя была маёй віной. ;effect;Я адчуваў сябе вінаватым. ;Я выставіў абвінавачанне. ;0
Ланцуг разарваўся. ;cause;Ланцуг быў абгорнуты вакол гумы. ;Быў зламаны ланцуг у ланцугу. ;1
Пара вырашыла пайсці на кампраміс. ;cause;Яны стаміліся з сварак. ;Яны пазбягалі абмяркоўваць праблему. ;0
