premise;question;choice1;choice2;label
A termék buborékfóliába volt csomagolva. ;cause;Törékeny volt. ;Kicsi volt. ;0
Kiürítettem a zsebemet. ;effect;Megtaláltam egy jegyet. ;Találtam egy fegyvert. ;0
A termeszek megszállták a házat. ;effect;A termeszek eltűntek a házból. ;A termeszek átették a fafajtákat a házban. ;1
Az utazók elérték a határt. ;effect;Az őrjárat ellenőrzi az útleveleket. ;Az őrjárat ügynöke csempészettel vádolta őket. ;0
Az irodát bezárták. ;cause;Az ünnep volt. ;Nyár volt. ;0
A lánynak elfogyott az energiája. ;cause;Damát játszott. ;Húzott a kötélből. ;1
A nő elvesztette a helyét a sorban. ;cause;Több ember lépett a sorba. ;Kiment a sorból. ;1
A lány megcsípte az orrát. ;cause;A baba a szájpadra nyálasodott. ;A baba bepiszkálta a pelenkáját. ;1
A zenekar eljátssza a slágerüket. ;effect;A közönség a zenével együtt tapsolt. ;A közönség udvariasan hallgatott csendben. ;0
A lány meg akarta köszönni a matektanárának. ;effect;A lány az iskolán kívül maradt, hogy elvégezze a büntetését. ;A lány hozott a tanárnak egy almát. ;1
A fiatal tábornokokat megijesztette. ;cause;A táborvezetők egy kísértet-történetet mesélték el nekik. ;Marshmallows-t sütöttek a tűzön. ;0
A férfi beverte a fejét. ;effect;Elveszett a gondolataiba. ;- Megrázkódtatás. ;1
A csekk, amit írtam, visszautasított. ;cause;A bankszámlám üres volt. ;Megérdemeltem a fizetésemelést. ;0
A fickó e-mail üzenete tele volt spammel. ;effect;Törölte a spam-et. ;Egy tömeges e-mailt küldött. ;0
A tengerészt karanténba helyezték. ;cause;A betegségnek volt kitéve. ;Meggyógyult a betegségtől. ;0
A lány megjegyezte a kódot. ;cause;Magának is elmondta. ;Elfelejtette leírni. ;0
Beöntöttem a vizet a pohárba. ;effect;A víz csillapította a szomjúságomat. ;A pohár tele lett. ;1
A férfi csendben maradt, amikor a barátja befejezte a beszédet. ;cause;Támogatni akarta a barátját. ;A barátja szavaira gondolt. ;1
A baleset az én hibám volt. ;effect;Bűntudatom volt. ;- Feljelentést tettem. ;0
