"Response: 
Janet kacsa naponta 16 tojást rak. 
Mindennap három tojást eszi reggelire (3 x 3 = 9 tojás). 
Mindennap négy tojást süt muffinnal a barátainak (4 x 4 = 16 tojás). 
A maradék tojásokból a farmer 2 dollárt kap naponta (2 x 16 = 32 tojás). 
Azaz naponta 32 tojást árul a farmer piacon."
Response:  Az első lépésben az egyik szál kék, a másodikban a másikat kell fehérre cserélni. Ha minden lépésben 2 csavart kell hagyni, akkor a következők szerint lesz a számú csavar: 1-es lépésben 0 csavar, 2-es lépésben 2 csavar, 3-as lépésben 4 csavar stb. A végső számú csavarok száma megegyezik a kérdés adottával!
Response:  Az első lépésben Josh 80 ezer dollárt fizet az összehasonlítható házért. A második lépésben 50 ezer dollárt tartalmaz a javításokra, amelyekkel a ház értékét 150%-kal emelik. Azaz a ház értéke mostanában 120 ezer dollár.  Most Joshnak 60 ezer dollárral kell rendelkeznie, mielőtt eladhatja a házat.  Tehát Josh 40 ezer dollárnyi nyereséggel zárta le a transzaktiót.
Response:  James fut 3 x 60 = 180 méternyi távot egy héten.
"Response: 
Reggel 15 csésze kaját ad a csirkéknek, tehát aznap reggeli étkezésükben összesen 45 csésze kaját kapnak (15 x 3 = 45). 
Déliutt 25 csésze kaját ad a csirkéineknek, tehaz aznap déliétkezésükben összesen 75 csésze kaját kerül a csirkékhez (25 x 3 = 75). 
Az utolsó étkezésnél is meg kell adniuk a csirkéknek egyezmennyit, tehát az összesen 165 csésze kaját adják a csirkéknek a nap végére (45 + 75 + 40 = 165)."
Response:  Az első pohár 5 dollárt kell fizetnie, mert az egyedüli pohár. A második pohár esetén 60%-a = 3 dollár, tehát összesen 8 dolláron kell fizetnie (5 + 3). A harmadik pohár esetén is 60%-a = 3 dollár, stb... Az utolsó pohár esetén 60%-a = 2 dollár, tehettől a teljes összeg = 16 x 2 = 32 dollár.
Response: 1. Toulouse-ban kétszer annyi birka van, mint Charlestonban, tehát Toulouse-nál 2x = 4 birka van. 2. Charlestonban négyszer annyi birka van, mint Seattle-ben, tehát Charleston-nál 4x = 8 birka van. 3. Seattle-ben 20 birka van, tehát összesen Toulouse-nál + Charleston-nál + Seattle-nél = 4 + 8 + 20 = 32 birka van.
Response:  Az első 200 GB / 2 GB = 100 letöltési folyamatban 50 letöltheti a fájlt (mert a Windows újraindítás miatt csak 80%-ot tudta eltolni). Az utolsó 20%-tól kezdve 20% x 200 GB = 40 GB lett volna maradéka, amit Carla letölthet. Tehát összesen 90 GB-t kell letöltenie, mielőtt a Windows újraindul.
Response:  Azaz az összes lehetőség esetén számolva meghatározzuk, milyen távolságot kell, hogy John hazaérjen.
Response:  Az első 40 órában Eliza $ 400-t kaptak (heti 10 dollár x 40 órás munka), tehát a keresete ezen a héten $ 400 volt. A túlórákért fizetett összegből $ 60-at kaptak ($ 1,2 \* 50 = $ 60), így a teljes keresete $ 460 volt.
"Response:  Az egyes hónapok letöltéseinek számát jelölje meg:
1. Az első hónapban 60 ember töltötte le a programot. (60)
2. A második hónapban 180 ember töltötte le a programot (3 x 60 = 180).
3. A harmadik hónapban 45 ember töltötte le a programot (60 - 30%). (45)
Az összesen eltelt idő: 3 hónap.
A teljes letöltések száma: 60 + 180 + 45 = 385."
Response:  First step: Calculate the cost of each type of pastry. Cost of fanak = $68 Cost of mini muffin = $80 Cost of mini sausage roll = $55 Total cost of pastries = $193 Next step: Add the total cost of all types of pastries to find out the total cost. Total cost = $193 + $193 = $386 Therefore, the total cost was $386.
Response:  Az első évben Carlos az összes citromtermést eladja, így az összeg 7 x 1,5 = 10,5 dollár. Azaz Carlos 10,5 dollárt kapott az első évben.  A második évben Carlos ismét minden citromtermést eladja, így az összeg 7 x 1,5 = 10,5 dollár lesz. Azaz Carlos 21 dollárt kapott az első két évben.  Most már számítjuk tovább...
Response:  Az első lépésben Melanie három porszívót adott el (egyharmad). Ebből az összegből a zöld házba került egy porszívó, tehát a zöld házban most egyetlen porszívó van. A második lépésben Melanie kettő porszívót adott el a piros házba, tehát a piros házban most kettő porszívó van. A harmadik lépésben Melanie maradt porszívóit a narancsszínű házba adta, tehát a narancsszínű házban most csak egy porszívó maradt. Most Melanie öt porszívójából háromot adott el, tehát most öt porszívóból négy maradt. Az utolsó lépésben Melanie három porszívót adott el, tehát most három porszívó maradt mellette. Azaz Melanie eredetileg nyolcpontos rakásában hat porszívót használt ki, mert háromat adott el azután.
Response:  A 20 fős táncórában 4 (20% x 2) diák kortárs táncról tart, 10 (25%) diák jazz táncról, és 6 (35%) diák hip-hop táncról van szó. Azaz a teljes népesség 4 + 10 + 6 = 20%-a volt beiratkozzott hip-hop táncra.
Response:  Az első lépésben a kereskedő döntéseit meghatározza, hogy milyen áron ad el az ékszereket és az elektronikus eszközöket.  Ha az ékszerpiac 2,5%-os növekedést mutat, akkor az ékszerek árát 5000 dollárral növelheti a kereskedő. Az elektronikus eszközök piacának 1,2%-os növekedésekor azokat 8000 dollárral adják el.  A második lépésben számítjuk ki, hogy milyen összeget kap a kereskedő a hónap végén. Az összegeket a következőképpen lehet számozni: Ékszerek: 5000 x (1 + 0,025) = 5125 dollár Elektronikus eszközök: 8000 x (1 + 0,012) = 8160 dollár Az harmadik lépésben számítjuk ki, hogy milyen profitot szerez a kereskedő a hónap végén. Az összegeket a következőképpen lehet számozni: Ékszerek: 5125 - 4750 = 375 dollár Elektronikus eszközök: 8160 - 7920 = 240 dollár A negyedik lépésben számítjuk ki, hogy milyen profitot tudna a kereskedő a hónap végén, ha mindkét termékét használná ki. Az összegeket a következőképpen lehet számozni: Ékszerek: 375 x 2 = 750 dollár Elektronikus eszközök: 240 x 2 = 480 dollár Az ötödik lépésben számítjuk ki, hogy milyen profitot tudna a kereskedő a hónap végén, ha egyetlen termékre
Response:  Az első napon: 2 vonat = 160 mérföld (80 x 2) + 150 = 310 mérföld. A második napon: 2 vonat = 310 mérföld (150 x 2) + 150 = 460 mérifold. Total: 770 mérföld.
Response:  Az első évben: 50 hét = 50 x 35 óra = 1750 órás fizetés Jillnek  $20/óra = $1750 x 50% = $875 dollárral az év végéig  Az második évben: 50 hét = 35 x 30 óra = 1050 órás fizetés Jillnek $20/óra = $1050 x 50% = $525 dollárral az év végéig Total: $875 + $525 = $1400 dollárral az év végéig
Response:  Az első héten Claire három tojást használ fel az omelettek készítéséhez, tehát a második héten már csak kilenc tojást marad (3 x 9 = 27). A harmadik héten már csak nyolc tojást használ fel (9 - 3 = 6), és ugyanígy folytatva a negyedik héten is (8 - 3 = 5) és a ötödik héten is (7 - 3 = 4). Azaz a négy hetes időszak alatt összesen 3 x 5 = 15 tojást használtak fel az omelettek készítéséhez.
Response:  Az első 6 km-t 1 óra alatt futották meg, tehát az átlagsebességük ezen távon 4 mérföld/óra volt. A második 2 km-t is 1 órában futották meg, tehát az átlagsebességük ezen távon is 4 mérföld/óra volt. Most remaining distance = total distance - distance covered in first hour = 12 miles - 6 miles = 6 miles. To find the time taken to cover this distance, we can use the formula: Time = Distance / Speed. Substituting the values given in the question, we get: Time = 6 miles / 4 miles/hour = 1.5 hours. Therefore, Marissa took 1.5 hours to cover the remaining distance of 6 miles.
