m_query;response
Julia ha giocato a tag con 18 ragazzi lunedì. Martedì ha giocato a tag con 10 ragazzi. Con quanti altri bambini ha giocato lunedì rispetto a martedì? ;8.0
Julia ha giocato a tag con undici ragazzi lunedì. Martedì ha giocato a tag con 12 ragazzi. Con quanti altri bambini ha giocato martedì rispetto a lunedì? ;1.0
Julia ha giocato a tag con 5 ragazzi lunedì. Martedì ha giocato a tag con altri ragazzi. Se ha giocato con un totale di 15 bambini con quanti bambini ha giocato martedì? ;10.0
Julia ha giocato a tag con dei ragazzi lunedì. Martedì ha giocato a tag con 14 ragazzi. Se ha giocato con un totale di 16 bambini con quanti bambini ha giocato lunedì? ;2.0
Julia ha giocato a tag con 16 ragazzi lunedì. Se ha giocato a tag con 12 bambini in piu'lunedi'rispetto a martedì con quanti bambini ha giocato martedì? ;4.0
Julia ha giocato a tag con 14 ragazzi martedì. Se ha giocato a tag con 8 bambini in piu'lunedi'rispetto a martedì con quanti bambini ha giocato lunedi '? ;22.0
Julia ha giocato a tag con 17 bambini lunedi'15 bambini martedì e 2 bambini mercoledi '. Con quanti bambini ha giocato? ;34.0
Julia ha giocato a tag con 15 bambini lunedi ', 18 martedì e 97 mercoledi '. Con quanti bambini ha giocato lunedì e martedì? ;33.0
Julia ha giocato a tag con 5 bambini lunedi ', 9 martedì e 15 mercoledi '. Con quanti bambini ha giocato lunedì e mercoledì? ;20.0
Julia ha giocato a tag con 2 bambini lunedi ', 14 martedì e 16 mercoledi '. Con quanti bambini ha giocato martedì e mercoledì? ;30.0
Julia ha giocato a tag con 9 bambini lunedi ', 7 martedì e 96 mercoledi '. Con quanti altri bambini ha giocato lunedì rispetto a martedì? ;2.0
Julia ha giocato a tag con 14 bambini lunedì, 2 martedì e 8 mercoledì. Con quanti altri bambini ha giocato lunedì rispetto a mercoledì? ;6.0
Julia ha giocato a tag con 8 bambini lunedi ', 11 martedì e 9 mercoledi '. Con quanti altri bambini ha giocato martedì rispetto a mercoledì? ;2.0
Julia ha giocato a tag con 15 bambini lunedi ', 18 martedì e 7 mercoledi '. Con quanti altri bambini ha giocato lunedì e martedì rispetto a mercoledì? ;26.0
Julia ha giocato a tag con 13 bambini lunedì e 10 martedì. Ha giocato a carte con 15 ragazzi mercoledì. Con quanti bambini ha giocato? ;38.0
Julia ha giocato a tag con 7 bambini lunedì e 13 martedì. Ha giocato a carte con 20 ragazzi mercoledì. Con quanti ragazzi ha giocato a tag? ;20.0
Julia ha giocato a tag con 12 ragazzi lunedì. Martedì ha giocato a tag con 14 ragazzi. Ha passato un totale di 34 ore a giocare a tag in entrambi i giorni. Con quanti bambini ha giocato? ;26.0
Julia ha giocato a tag con 19 ragazzi lunedì. Martedì ha giocato a tag con 18 ragazzi. Ha passato un totale di 38 ore a giocare a tag in entrambi i giorni. Con quanti altri bambini ha giocato lunedì rispetto a martedì? ;1.0
Julia ha giocato a tag con 5 ragazzi martedì. Lunedì aveva giocato a tag con sei ragazzi. Con quanti altri bambini ha giocato lunedì rispetto a martedì? ;1.0
Julia ha giocato a tag con un totale di 18 ragazzi. Ha giocato con 4 bambini lunedì e con altri bambini martedì. Con quanti bambini ha giocato martedì? ;14.0
Julia ha giocato a tag con 4 bambini mercoledì. Lunedì aveva giocato con 6 bambini e martedì con 17. Con quanti altri bambini ha giocato lunedì rispetto a mercoledì? ;2.0
Bobby ha mangiato dei dolci. Poi ne ha mangiati altri 25. Se ha mangiato un totale di 43 caramelle quante caramelle ha mangiato all' inizio? ;18.0
Bobby ha mangiato 28 caramelle. Poi ne ha mangiati altri 42. Ha anche mangiato 63 pezzi di cioccolato. Quanti caramelle ha mangiato Bobby? ;70.0
Bobby ha mangiato 33 caramelle. Poi ne ha mangiati altri quattro. Ha anche mangiato 14 pezzi di cioccolato. Quanti pezzi di caramelle e cioccolato ha mangiato Bobby? ;51.0
Bobby ha mangiato 38 caramelle. Poi ne ha mangiati altri 36. Ha anche mangiato 16 pezzi di cioccolato. Quanti altri dolci ha mangiato Bobby? ;58.0
Bobby ha preso 20 caramelle. Ha mangiato 34 caramelle. Poi ne ha mangiati altri 18. Quanti caramelle ha mangiato Bobby? ;52.0
Bobby ha mangiato 21 caramelle. Ha mangiato 5 caramelle. Poi ne ha mangiati altri 9. Quanti dolci gli sono rimasti? ;7.0
Bobby ha mangiato 22 caramelle. Ha mangiato dei dolci. Poi ne ha mangiati altri cinque. Se gli restano ancora 8 caramelle quante caramelle aveva mangiato all' inizio? ;9.0
Bobby ha mangiato 19 caramelle. Ha mangiato due caramelle. Quanti dolci gli sono rimasti? ;17.0
Bobby aveva 32 caramelle. Ha mangiato dei dolci. Se gli sono rimasti 20 caramelle quante caramelle ha mangiato Bobby? ;12.0
Bobby ha mangiato 17 caramelle. Poi ne ha mangiati altri 15. Se all' inizio aveva 36 caramelle quante caramelle gli sono rimaste? ;4.0
