question;answer_number
Bebek Janet bertelur 16 telur sehari. Dia makan tiga untuk sarapan pagi setiap pagi dan membuat muffin untuk kawan-kawannya setiap hari dengan empat. Dia menjual selebihnya di pasar petani setiap hari untuk $ 2 setiap telur itik segar. Berapa banyak wang yang dia dapat setiap hari di pasar? ;18
Sebuah jubah mengambil 2 bolt serat biru dan separuh serat putih. Berapa banyak bolt dalam jumlah yang diperlukan? ;3
Josh memutuskan untuk cuba membalikkan rumah. Dia membeli rumah dengan harga $80,000 dan kemudian meletakkan $50,000 untuk pembaikan. Ini meningkatkan nilai rumah sebanyak 150%. Berapa banyak keuntungan yang dia buat? ;70000
James memutuskan untuk berlari 3 kali 3 kali seminggu. Dia berlari 60 meter setiap sprint. Berapa banyak meter dia lari seminggu? ;540
Setiap hari, Wendi memberi makan setiap ayamnya tiga cawan makanan ayam campuran, yang mengandungi biji, cacing tepung dan sayur-sayuran untuk membantu menjaga kesihatan mereka. Dia memberi ayam makan mereka dalam tiga hidangan berasingan. Pada waktu pagi, dia memberi 15 cawan makanan kepada kawanan ayamnya. Pada waktu petang, dia memberi ayamnya 25 cawan makanan lagi. Berapa banyak cawan makanan yang dia perlu berikan kepada ayamnya dalam makanan terakhir hari ini jika saiz kawanan Wendi adalah 20 ayam? ;20
Kylar pergi ke kedai untuk membeli cermin mata untuk apartmen barunya. Satu gelas berharga $ 5, tetapi setiap gelas kedua hanya berharga 60% daripada harga. Kylar mahu membeli 16 gelas. Berapa banyak dia perlu bayar untuk mereka? ;64
Toulouse mempunyai dua kali ganda lebih banyak domba daripada Charleston. Charleston mempunyai 4 kali lebih banyak domba daripada Seattle. Berapa banyak domba yang dimiliki Toulouse, Charleston, dan Seattle jika Seattle mempunyai 20 ekor domba? ;260
Carla sedang memuat turun fail 200 GB. Biasanya dia boleh memuat turun 2 GB / minit, tetapi 40% dari jalan melalui muat turun, Windows memaksa permulaan semula untuk memasang kemas kini, yang mengambil masa 20 minit. Kemudian Carla perlu memulakan semula muat turun dari awal. Berapa banyak beban yang diperlukan untuk memuat turun fail? ;160
John memandu selama 3 jam pada kelajuan 60 mph dan kemudian berbalik kerana dia menyedari dia lupa sesuatu yang sangat penting di rumah. Dia cuba pulang dalam 4 jam tetapi menghabiskan 2 jam pertama dalam lalu lintas yang terhenti. Dia menghabiskan setengah jam berikutnya memandu pada kelajuan 30mph, sebelum dapat memandu masa yang tersisa dari 4 jam yang berjalan pada 80 mph. Berapa jauh dia dari rumah pada akhir 4 jam itu? ;45
Kadar per jam Eliza untuk 40 jam pertama dia bekerja setiap minggu adalah $ 10. Dia juga menerima bayaran lembur 1.2 kali ganda daripada kadar sejam biasa. Jika Eliza bekerja selama 45 jam minggu ini, berapa banyak pendapatan beliau untuk minggu ini? ;460
