,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
0,Nilikuwa shabiki wa Law and Order mwaka 2011.,Nilikuwa nikipata nafuu baada ya kupatwa na kiharusi.,Niliporudi nyumbani nilijaribu kutazama kila kipindi.,Ilikuwa vigumu kujaribu binge kuangalia miaka 20 ya show.,Nadhani Sheria na Utaratibu ni moja ya maonyesho mbaya zaidi kuwahi kufanywa.,Hatimaye niliwatazama wote.,2
1,Kila mtu alimpenda Bob kwa sababu alicheza mhusika maarufu katika filamu.,Bob alichukizwa na jambo hilo kwa sababu hakufanana hata kidogo na mtu huyo.,Jim alimwomba Bob aseme maneno ya wimbo wa mhusika wake.,Bob alilemewa na hisia hizo naye akalipuka kwa hasira.,Bob alimwambia yule mtu amwache.,Bob alimwomba mwanamume huyo chai.,1
2,Lita alitaka kutazama kipindi chake cha televisheni anachokipenda zaidi.,Watoto wake walimsihi aongoze mazungumzo hayo.,Lita aliwaambia kwamba alikuwa na kazi za nyumbani za kufanya.,Watoto wake walimvuta kikapu cha nguo za kufulia hadi sebuleni.,Lita aliagiza pizza ya pepperoni kwa chakula cha mchana.,Lita aliweka nguo za kufulia huku akitazama televisheni.,2
3,Aliishi aliruka kama yeye alikuwa startled na pop kubwa.,Alitambua kwamba ilikuwa taa ya jikoni yake iliyokuwa ikiwaka.,Alitoka kwenye kiti cha miguu na kukitembea.,Ilitetemeka chini yake na karibu aanguke.,Liv aliamua kubadili balbu ya taa katika bafu.,Kisha Liv akabadilisha balbu.,2
4,Mama aliwaambia watoto wake kwamba saa ya chakula cha mchana ingefika baada ya dakika kumi na tano.,Lakini alipokea simu yenye ujumbe muhimu.,"Alipokuwa akizungumza, mbwa huyo alitawanya matope jikoni kote.","Watoto hao walianza kumsumbua mama yao, ambaye alikuwa bado kwenye simu.",Mama huyo alifadhaika sana.,Mwenendo wa watoto ulimtuliza mama huyo.,1
5,Hector sikuzote hununua kahawa katika duka la karibu kabla ya kwenda kazini.,Alitambua kwamba zoea lake la kununua kahawa ni ghali sana.,Siku moja Hector aliamua kutayarisha kahawa nyumbani.,Anajivunia kahawa nzuri sana ambayo yeye huandaa nyumbani.,Hector aliendelea kutengeneza kahawa yake mwenyewe na kuokoa pesa.,Hector alianza kununua kahawa zaidi kutoka Starbucks.,1
6,Kelly aligundua kwamba kuna msichana mpya shuleni.,Alipokuwa akiingia shuleni alienda kumtafuta.,"Alipokutana naye, alimwalika aketi pamoja naye wakati wa chakula cha mchana.","Walipola chakula cha mchana, wasichana hao wakawa marafiki.",Kelly hakuzungumza naye tena kamwe.,Kelly alifurahi kupata rafiki mpya.,2
7,Tommy alijifunza kwa bidii kukimbia kwa mara ya kwanza mbio za kilometa tano.,Wakati wa mbio alihisi amefadhaika wakati watu wengi walipompita.,Aliposikia jina lake likiitwa wakati wa tuzo alishtuka.,Hakujua kwamba wangefanya tuzo kwa makundi ya umri.,Aliona aibu kwamba hakutambuliwa.,Alijivunia kumaliza katika nafasi ya kwanza kwa umri lakini katika nafasi ya kumi kwa jumla.,2
8,Laurie anaenda kwenye dansi yake ya kwanza rasmi usiku wa leo.,Rafiki yake alimchukua na kumpa waridi maridadi.,Laurie alivaa mavazi marefu yenye kung'aa.,Walicheza dansi na kufurahia pamoja na marafiki wao wote.,Laurie alienda nyumbani akilia.,Laurie alimalizia usiku huo kwa kumbusu rafiki yake.,2
9,Neil alikuwa akichunguza reli za kihistoria.,"Alipanda farasi na kuingia Scranton, Pennsylvania.",Alitambua kwamba lilikuwa jengo zuri la zamani la gari-moshi.,Alichukua picha nyingi alipokuwa huko.,Neil alifuta picha zake zote.,Neil alihifadhi picha hizo kwenye kompyuta yake.,2
