question;answer;answer_ab
"Монета - это голова вверх. Уитни бросает монету. Эрика не бросает монету. Ти Джей не бросает монету. Бенито бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Да, конечно ;A
"Монета - это голова вверх. Лаки не бросает монету. Мирея бросает монету. Джей Джей бросает монету. КК бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Нет, нет ;B
"Монета - это голова вверх. Калеб бросает монету. Чейз бросает монету. Элеазар бросает монету. Шанель не бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Нет, нет ;B
"Монета - это голова вверх. Сильвия бросает монету. Каролина не бросает монету. Стен бросает монету. Чак бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Нет, нет ;B
"Монета - это голова вверх. Брианна бросает монету. Трей не бросает монету. Омар бросает монету. Патрис не бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Да, конечно ;A
"Монета - это голова вверх. Лилиан бросает монету. Иэн бросает монету. Брайс бросает монету. Арасели не бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Нет, нет ;B
"Монета - это голова вверх. Уолтер не бросает монету. Микаилла не бросает монету. Ларри не бросает монету. Райан не бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Да, конечно ;A
"Монета - это голова вверх. Анджелина бросает монету. Лейла подбрасывает монету. Дженни бросает монету. Зэйн не бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Нет, нет ;B
"Монета - это голова вверх. Лиззи бросает монету. Хуани не бросает монету. Айша бросает монету. Бренда не бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Да, конечно ;A
"Монета - это голова вверх. Элис бросает монету. Лупе бросает монету. Рене не бросает монету. Ноэми не бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Да, конечно ;A
"Монета - это голова вверх. Джесси бросает монету. Родерик бросает монету. Трэвис не бросает монету. Рита не бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Да, конечно ;A
"Монета - это голова вверх. Синтия не бросает монету. Ллойд не бросает монету. Жаклин бросает монету. Джей-Си бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Да, конечно ;A
"Монета - это голова вверх. Стерлинг подбрасывает монету. Дженнифер бросает монету. Пэтси бросает монету. Дениз бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Да, конечно ;A
"Монета - это голова вверх. Беатрис бросает монету. Джиллиан не бросает монету. Коко не бросает монету. Вивиан не бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Нет, нет ;B
"Монета - это голова вверх. Принц бросает монету. Рене бросает монету. Вишал бросает монету. Патрик не бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Нет, нет ;B
"Монета - это голова вверх. Дже не бросает монету. Дэннис не бросает монету. Крис бросает монету. Бернадетта бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Да, конечно ;A
"Монета - это голова вверх. Хэнк не бросает монету. Янин не бросает монету. Фрэнки бросает монету. Иса бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Да, конечно ;A
"Монета - это голова вверх. Макс не бросает монету. Майки не бросает монету. Синтия не бросает монету. Холли бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Нет, нет ;B
"Монета - это голова вверх. Кристи бросает монету. Рей не бросает монету. Мишель бросает монету. Долли не бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Да, конечно ;A
"Монета - это голова вверх. Энни не бросает монету. Тоно бросает монету. Шэрон бросает монету. Делорес бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Нет, нет ;B
"Монета - это голова вверх. Джесси не бросает монету. Либби не бросает монету. Даниэль бросает монету. Красный бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Да, конечно ;A
"Монета - это голова вверх. Хорхе не бросает монету. Наталья не бросает монету. Брайант бросает монету. Киран бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Да, конечно ;A
"Монета - это голова вверх. Ян не бросает монету. Юнис не бросает монету. Джозеф бросает монету. Хью не бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Нет, нет ;B
"Монета - это голова вверх. Мелоди не бросает монету. Рамиро не бросает монету. Умберто не бросает монету. Джейкоб не бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Да, конечно ;A
"Монета - это голова вверх. Доминго не бросает монету. Бриана бросает монету. Майкл бросает монету. Джоан не бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Да, конечно ;A
"Монета - это голова вверх. Кристофер не бросает монету. Деб бросает монету. Джейк бросает монету. Тэмми бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Нет, нет ;B
"Монета - это голова вверх. Морган бросает монету. Перла не бросает монету. Жоао не бросает монету. Марта не бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Нет, нет ;B
"Монета - это голова вверх. Пенни бросает монету. Гарри не бросает монету. Джессика не бросает монету. Горацио бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Да, конечно ;A
"Монета - это голова вверх. Билли не бросает монету. Палома не бросает монету. Таннер не бросает монету. Рауль не бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Да, конечно ;A
"Монета - это голова вверх. Рене не бросать монету. Девон не бросает монету. Розалинда не бросает монету. Паулина не бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Да, конечно ;A
"Монета - это голова вверх. Аксель бросает монету. Освальдо бросает монету. Милдред не бросает монету. Сильвия бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Нет, нет ;B
"Монета - это голова вверх. Эмилиано бросает монету. Жасмин бросает монету. Уэйд бросает монету. Вильма не бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Нет, нет ;B
"Монета - это голова вверх. Лино не бросает монету. Мариэль не бросает монету. Адития не бросает монету. Элизабет бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Нет, нет ;B
"Монета - это голова вверх. Джеки бросает монету. Сокорро бросает монету. Марк бросает монету. Ванда не бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Нет, нет ;B
"Монета - это голова вверх. Маурисио бросает монету. Ли не бросает монету. Мади не бросает монету. Лиззи бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Да, конечно ;A
"Монета - это голова вверх. Рубен бросает монету. Бернардо бросает монету. Ариэль не бросает монету. Шелли бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Нет, нет ;B
"Монета - это голова вверх. Филипп не бросает монету. Аджай бросает монету. Джени бросает монету. Аугусто бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Нет, нет ;B
"Монета - это голова вверх. Ари бросает монету. Жасмин не бросает монету. Эллиот бросает монету. Кендрик бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Нет, нет ;B
"Монета - это голова вверх. Маргарита бросает монету. Анабель бросает монету. Шон бросает монету. Селина бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Да, конечно ;A
"Монета - это голова вверх. Гео не бросает монету. Коди не бросает монету. Исайя подбрасывает монету. Джованни бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Да, конечно ;A
"Монета - это голова вверх. Кеннеди бросает монету. Джинни не бросает монету. Илиана бросает монету. Скай не бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Да, конечно ;A
"Монета - это голова вверх. Билли бросает монету. Кассандра бросает монету. Радость не бросает монету. Эйб бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Нет, нет ;B
"Монета - это голова вверх. Нубия бросает монету. Сара не бросает монету. Ялен не бросает монету. Крис бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Да, конечно ;A
"Монета - это голова вверх. Эль не бросает монету. Гаспар бросает монету. Сонни не бросает монету. Саймон бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Да, конечно ;A
"Монета - это голова вверх. Скайлар бросает монету. Крисси не бросает монету. Мисти бросает монету. Кик подбрасывает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Нет, нет ;B
"Монета - это голова вверх. Гэвин бросает монету. Неха не бросает монету. Аша не бросает монету. Балтазар не бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Нет, нет ;B
"Монета - это голова вверх. Камило бросает монету. Бекки не бросает монету. Элиза не бросает монету. Ребекка не бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Нет, нет ;B
"Монета - это голова вверх. Исела бросает монету. Лесли бросает монету. Стейси бросает монету. Ингрид не бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Нет, нет ;B
"Монета - это голова вверх. Мэг не бросает монету. Андрей не бросает монету. Джерард бросает монету. Лилия бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Да, конечно ;A
"Монета - это голова вверх. Денни бросает монету. Карло бросает монету. Рейналдо бросает монету. Джесси бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Да, конечно ;A
"Монета - это голова вверх. Шери не бросает монету. Рико не бросает монету. Тео бросает монету. Иисус не бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Нет, нет ;B
"Монета - это голова вверх. Александрия не бросает монету. Меган не бросает монету. Осень не подбрасывает монету. Роберт не бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Да, конечно ;A
"Монета - это голова вверх. Младший подбрасывает монету. Мередит бросает монету. Зои не бросает монету. Робби не бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Да, конечно ;A
"Монета - это голова вверх. Красавица бросает монету. Джейд бросает монету. Сарита не бросает монету. Аллен бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Нет, нет ;B
"Монета - это голова вверх. Шари бросает монету. Белла бросает монету. Лиза не бросает монету. Майра не бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Да, конечно ;A
"Монета - это голова вверх. Лазаро не бросает монету. Ана бросает монету. Шарлотта бросает монету. Прешес бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Нет, нет ;B
"Монета - это голова вверх. Имельда бросает монету. Энди бросает монету. Мак не бросает монету. Ригоберто бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Нет, нет ;B
"Монета - это голова вверх. Ашиш бросает монету. Трейси бросает монету. Варун не бросает монету. Эмиль бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Нет, нет ;B
"Монета - это голова вверх. Мариан не бросает монету. Джоанн бросает монету. Даррин не бросает монету. Рохит не бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Нет, нет ;B
"Монета - это голова вверх. Джульетта бросает монету. Закари бросает монету. Джаред бросает монету. Тайсон не бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Нет, нет ;B
"Монета - это голова вверх. Висенте не бросает монету. Даяна не бросает монету. Кейси не бросает монету. Лин не бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Да, конечно ;A
"Монета - это голова вверх. Крейг бросает монету. Диллон не бросает монету. Трой не бросает монету. Гризельда не бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Нет, нет ;B
"Монета - это голова вверх. Руби не бросает монету. Дейзи не бросает монету. Ядира бросает монету. Санта не бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Нет, нет ;B
"Монета - это голова вверх. Дэйв не бросает монету. Эрнесто не бросает монету. Лиам не бросает монету. Марша не бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Да, конечно ;A
"Монета - это голова вверх. Айра бросает монету. Паола бросает монету. Хосе Антонио не бросает монету. Мария не бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Да, конечно ;A
"Монета - это голова вверх. Маниш не бросает монету. Лу бросает монету. Карл не бросает монету. Дон бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Да, конечно ;A
"Монета - это голова вверх. Ирвинг бросает монету. Ханс бросает монету. Моисей не бросает монету. Николь не бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Да, конечно ;A
"Монета - это голова вверх. Микела не бросает монету. Кевин бросает монету. Алмаз не бросает монету. Тай не бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Нет, нет ;B
"Монета - это голова вверх. Маура бросает монету. Селвин не бросает монету. Тэбита бросает монету. Джинно бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Нет, нет ;B
"Монета - это голова вверх. Розендо бросает монету. Шейла не бросает монету. Эрика не бросает монету. Джорджия не бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Нет, нет ;B
"Монета - это голова вверх. Лорен не бросает монету. Шана не бросает монету. Присцилла не бросает монету. Саммер не подбрасывает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Да, конечно ;A
"Монета - это голова вверх. Ноэль не бросает монету. Байрон бросает монету. Джейн не бросает монету. Дарен не бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Нет, нет ;B
"Монета - это голова вверх. Чава бросает монету. Розалия не бросает монету. Курт не бросает монету. Линда бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Да, конечно ;A
"Монета - это голова вверх. Миган не бросает монету. Наоми не бросает монету. Израиль не подбрасывает монету. Мари бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Нет, нет ;B
"Монета - это голова вверх. Микель бросает монету. Каран не бросает монету. Авраам не бросает монету. Эллен бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Да, конечно ;A
"Монета - это голова вверх. Лейла не бросает монету. Одри не бросает монету. Гленн не бросает монету. Ронда не бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Да, конечно ;A
"Монета - это голова вверх. Реджина не бросает монету. Джоэл не бросает монету. Справедливость не подбрасывает монету. Илай не бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Да, конечно ;A
"Монета - это голова вверх. Джанет не бросает монету. Муравьи не бросают монету. Вики бросает монету. Элиас бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Да, конечно ;A
"Монета - это голова вверх. Рас бросает монету. Берта не бросает монету. Мэнди не бросает монету. Лидия бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Да, конечно ;A
"Монета - это голова вверх. Тристан не бросает монету. Марлени бросает монету. Сантьяго бросает монету. Вивиана бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Нет, нет ;B
"Монета - это голова вверх. Кэрол бросает монету. Уильям бросает монету. Тиффани бросает монету. Хилари не бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Нет, нет ;B
"Монета - это голова вверх. Ампаро бросает монету. Джанна не бросает монету. Дион бросает монету. Тесса бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Нет, нет ;B
"Монета - это голова вверх. Льюис не бросает монету. Азусена не бросает монету. Кай не бросает монету. Рави не бросает монету. Монета все еще вверх? Обратите внимание, что ""перевернуть"" здесь означает ""обернуть назад"". ";Да, конечно ;A
