premise;question;choice1;choice2;label
Barang punika kaemas ring bungkus sané madaging gelembung. ;cause;Punika rapuh. ;Punika alit pisan. ;0
Tiang ngusap-usapang saku. ;effect;Tiang ngamolihang selah tiket. ;Tiang manggihin sanjata. ;0
Ulam punika ngrejek umah. ;effect;Ulam punika ical saking umahé. ;Ulam punika ngamah taru ring umahé. ;1
Para tamiu punika raris rauh ring tepi siring kotane. ;effect;Agen patroli sampun nureksain paspor ipuné. ;Agen patroli punika nganikayang ipun ngamencorang. ;0
Kantornyané katutup. ;cause;Rahina punika rahina libur. ;Duk punika masan panes. ;0
Anake luh ento kebus ulihan tusing ngelah daya. ;cause;Dané maplalian dam. ;Ipun melompat saking tali. ;1
Anake istri punika nenten malih maderbe genah. ;cause;Akeh malih anake rauh. ;Ipun medal saking barisané. ;1
Anake luh ento nguntul irungne. ;cause;Anake alit punika raris nglelet ring jubahnyane. ;Anak alit punika ngletehin popokné. ;1
Para band punika raris ngigel gending sané sampun dados hits. ;effect;Para pamiarsa sareng-sareng ngeling. ;Para hadirin sami anteng mirengang. ;0
Anak alit punika ngaturang suksma ring gurunnyané sané malajah matematika. ;effect;Anake luh ento nongos ditu sasubane masekolah ulian ia ngelah tetegenan. ;Anake alit punika maktaang apel ring gurunnyane. ;1
Para pamedek sane kantun alit punika sami pada ajerih. ;cause;Pangabih kampuh ipuné nyritayang indik hantu. ;Ipun ngrayunang marshmallow ring genine. ;0
Anake punika ngempak sirahnyane. ;effect;Ida makeneh-keneh. ;Ia ngelah gegéseran otak. ;1
Cek sane tiang tulis nenten polih. ;cause;Rekening bank tiange kosong. ;Tiang polih kenaikan gaji. ;0
Suratan sané rauh ring kotak suratan dané akéh madaging suratan spam. ;effect;Ida ngusap suratan sané nénten kaaptiang. ;Ida sampun ngirim email massal. ;0
Pelaut punika karantina. ;cause;Dané keni pinungkan punika. ;Dané sampun seger saking sakitnyané. ;0
Anake luh ento malajahin kode ento. ;cause;Dané ngucapang ring manahnyané. ;Ipun lali nyuratang. ;0
Tiang ngisep yeh ka gelas. ;effect;Toyane punika ngawinang titiang marasa bedak. ;Gelas punika raris bek. ;1
Ritatkala timpalnyane puput mabaos, anake punika meneng kewanten. ;cause;Dané makayunan ngicénin timpalnyané dukungan. ;Ida minehin indik baos sawitran idane. ;1
Tuah tiang ané ngranayang kecelakaan ento. ;effect;Titiang rumasa iwang. ;Tiang nalih ipun. ;0
Ranté punika uug. ;cause;Ranté punika kaambil saking ban sané mabungkus. ;Wenten pahan sane rusak ring rantai punika. ;1
Pasangan punika raris mastiang pacang ngamolihang pamargi sané becik. ;cause;Ipun sampun las ring maiegan. ;Ipun nénten maosang pikobet punika. ;0
Anak istri punika raris makayunan dados prajuru. ;effect;Dané nyewa manajer kampanye. ;Dané nyaksiang ring pangadilan. ;0
Anake punika sampun marasa ring pamargin danene punika. ;effect;Dané ngempak baju sané anget ring kopernyané. ;Dané mamargi antuk koper sané ageng. ;0
Sang sisia sampun uning ring pasaur pitakén punika. ;effect;Ida ngungkulang tangan Idane. ;Ida sampun ngapus. ;0
Anake punika raris nangis sigsigan. ;cause;Bungané nyusup ka paningalané. ;Ida ngalingetin paningalannyane antuk kacamata. ;0
Pamain punika ngamolihang lima jayanti. ;effect;Lawannyané nganikayang ipun malsuin. ;Timpalnyane marasa sedih ring ipun. ;0
Sang guru ngusak-asik ujian sisyane. ;cause;Dané ngejuk sisia sané ngapus. ;Pasaut muridé nénten patut. ;0
Tiang makenyem apang suud ngomong. ;cause;Tiang sampun nénten malih mabaos. ;Tiang nénten mrasidayang ngampet. ;1
Ajengan beku punika raris ical. ;cause;Tiang ngenahang ring microwave. ;Tiang nutupin antuk bungkus plastik. ;0
Pegawai punika mapi-mapi sungkan. ;cause;Ia sakit bayu dugas ento. ;Ida mapakayun pacang lunga. ;1
Anake luh punika macebur ka tengah toyan. ;cause;Ipun malaib ring kolam renang. ;Ipun melompat saking papan selancar. ;1
Tikét pilemé sami sampun telas. ;cause;Rahina punika wantah rahina pangawit pilem. ;Pilem punika nénten becik pisan katerima. ;0
Anaké punika nénten malih jangkep. ;effect;Jadmane sami nulak Ida. ;Anake sami muji ida. ;1
Tangan anake alit punika raris pucet. ;cause;Dané nyurat surat. ;Ipun menek ring tali. ;1
Sang sané maplalian ring sirkus punika malali sambilanga numpak montor. ;effect;Para pamiarsa sami ngeling saha masuryak. ;Akrobat punika maguling saking trapéz. ;0
