m_query;response
ຈູລີຢາໄດ້ຫຼິ້ນກັບເດັກນ້ອຍ 18 ຄົນ ໃນວັນຈັນວານນີ້ ນາງໄດ້ຫຼິ້ນ tag ກັບ 10 ເດັກນ້ອຍໃນວັນອັງຄານ. ມີເດັກນ້ອຍຫຼາຍປານໃດທີ່ນາງໄດ້ຫລິ້ນກັບໃນວັນຈັນ ກ່ວາໃນວັນອັງຄານ? ;8.0
ຈູລີຢາໄດ້ຫຼິ້ນກັບເດັກນ້ອຍ 11 ຄົນ ໃນວັນຈັນວານນີ້ ນາງໄດ້ຫຼິ້ນ tag ກັບເດັກນ້ອຍ 12 ຄົນໃນວັນອັງຄານ. ມີເດັກນ້ອຍຫຼາຍປານໃດທີ່ນາງໄດ້ຫຼິ້ນໃນວັນອັງຄານ ກ່ວາໃນວັນຈັນ? ;1.0
Julia ຫຼິ້ນ Tag ກັບ 5 ເດັກນ້ອຍໃນວັນຈັນ. ນາງໄດ້ຫລິ້ນ tag ກັບເດັກນ້ອຍບາງຄົນໃນວັນອັງຄານ. ຖ້າວ່າລາວໄດ້ຫຼິ້ນກັບເດັກນ້ອຍທັງຫມົດ 15 ຄົນ ລາວໄດ້ຫຼິ້ນກັບເດັກນ້ອຍຫຼາຍປານໃດໃນວັນອັງຄານ? ;10.0
Julia ຫຼິ້ນ Tag ກັບເດັກນ້ອຍບາງຄົນໃນວັນຈັນ. ນາງໄດ້ຫຼິ້ນ tag ກັບເດັກນ້ອຍ 14 ຄົນໃນວັນອັງຄານ. ຖ້າວ່າລາວໄດ້ຫຼິ້ນກັບເດັກນ້ອຍທັງຫມົດ 16 ຄົນ ລາວໄດ້ຫຼິ້ນກັບເດັກນ້ອຍຫຼາຍປານໃດໃນວັນຈັນ? ;2.0
ຈູລີຢາໄດ້ຫຼິ້ນກັບເດັກນ້ອຍ 16 ຄົນ ໃນວັນຈັນວານນີ້ ຖ້າວ່າລາວໄດ້ຫຼິ້ນເກມ Tag ກັບເດັກນ້ອຍ 12 ຄົນໃນວັນຈັນຫຼາຍກວ່າໃນວັນອັງຄານ ລາວໄດ້ຫຼິ້ນກັບເດັກນ້ອຍຫຼາຍປານໃດໃນວັນອັງຄານ? ;4.0
Julia ຫຼິ້ນ Tag ກັບ 14 ເດັກນ້ອຍໃນວັນອັງຄານ. ຖ້າວ່າລາວໄດ້ຫຼິ້ນເກມ Tag ກັບເດັກນ້ອຍ 8 ຄົນໃນວັນຈັນຫຼາຍກວ່າໃນວັນອັງຄານ ລາວໄດ້ຫຼິ້ນກັບເດັກນ້ອຍຫຼາຍປານໃດໃນວັນຈັນ? ;22.0
ຈູລີຢາໄດ້ຫຼິ້ນກັບເດັກນ້ອຍ 17 ຄົນ ໃນວັນຈັນ 15 ຄົນ ໃນວັນອັງຄານ ແລະ 2 ຄົນ ໃນວັນພຸດ ລາວໄດ້ຫຼິ້ນກັບເດັກນ້ອຍຫຼາຍຄົນແລ້ວບໍ? ;34.0
ຈູລີຢາໄດ້ຫຼິ້ນກັບເດັກນ້ອຍ 15 ຄົນ ໃນວັນຈັນ 18 ຄົນ ໃນວັນອັງຄານ ແລະ 97 ຄົນ ໃນວັນພຸດ ນາງໄດ້ຫຼິ້ນກັບເດັກນ້ອຍຫຼາຍຄົນໃນວັນຈັນ ແລະ ວັນອັງຄານ? ;33.0
ຈູລີຢາໄດ້ຫຼິ້ນກັບເດັກນ້ອຍ 5 ຄົນໃນວັນຈັນ 9 ຄົນໃນວັນອັງຄານ ແລະ 15 ຄົນໃນວັນພຸດ ນາງໄດ້ຫຼິ້ນກັບເດັກນ້ອຍຫຼາຍຄົນໃນວັນຈັນ ແລະ ວັນພຸດ? ;20.0
ຈູລີຢາໄດ້ຫຼິ້ນກັບເດັກນ້ອຍ 2 ຄົນໃນວັນຈັນ 14 ຄົນໃນວັນອັງຄານ ແລະ 16 ຄົນໃນວັນພຸດ ນາງໄດ້ຫຼິ້ນກັບເດັກນ້ອຍຫຼາຍຄົນໃນວັນອັງຄານ ແລະ ວັນພຸດ? ;30.0
