question;A;B;C;answer;answer_abc
Alice, Bob, ak Claire ap jwe yon jwèt. Nan kòmansman jwèt la, yo chak kenbe yon boul: Alice gen yon boul zoranj, Bob gen yon boul blan, epi Claire gen yon boul ble. Pandan jwèt la ap pwogrese, de jwè yo ap fè echanj boul yo. Premyèman, Alice ak Bob echanj boul. Lè sa a, Bob ak Claire chanje boul. Finalman, Alice ak Bob chanje boul. Nan fen jwèt la, Alice gen ;boul zoranj ;boul blan ;boul ble ;boul ble ;C
Alice, Bob, ak Claire ap jwe yon jwèt. Nan kòmansman jwèt la, yo chak kenbe yon boul: Alice gen yon boul zoranj, Bob gen yon boul blan, epi Claire gen yon boul ble. Pandan jwèt la ap pwogrese, de jwè yo ap fè echanj boul yo. Premyèman, Alice ak Bob echanj boul. Lè sa a, Bob ak Claire chanje boul. Finalman, Alice ak Bob chanje boul. Nan fen jwèt la, Bob gen ;boul zoranj ;boul blan ;boul ble ;boul blan ;B
Alice, Bob, ak Claire ap jwe yon jwèt. Nan kòmansman jwèt la, yo chak kenbe yon boul: Alice gen yon boul zoranj, Bob gen yon boul blan, epi Claire gen yon boul ble. Pandan jwèt la ap pwogrese, de jwè yo ap fè echanj boul yo. Premyèman, Alice ak Bob echanj boul. Lè sa a, Bob ak Claire chanje boul. Finalman, Alice ak Bob chanje boul. Nan fen jwèt la, Claire gen ;boul zoranj ;boul blan ;boul ble ;boul zoranj ;A
Alice, Bob, ak Claire ap jwe yon jwèt. Nan kòmansman jwèt la, yo chak kenbe yon boul: Alice gen yon boul nwa, Bob gen yon boul mawon, ak Claire gen yon boul ble. Pandan jwèt la ap pwogrese, de jwè yo ap fè echanj boul yo. Premyèman, Bob ak Claire chanje boul. Lè sa a, Alice ak Bob echanj boul. Finalman, Claire ak Bob te fè echanj boul. Nan fen jwèt la, Alice gen ;boul ble ;boul nwa ;boul mawon ;boul ble ;A
Alice, Bob, ak Claire ap jwe yon jwèt. Nan kòmansman jwèt la, yo chak kenbe yon boul: Alice gen yon boul nwa, Bob gen yon boul mawon, ak Claire gen yon boul ble. Pandan jwèt la ap pwogrese, de jwè yo ap fè echanj boul yo. Premyèman, Bob ak Claire chanje boul. Lè sa a, Alice ak Bob echanj boul. Finalman, Claire ak Bob te fè echanj boul. Nan fen jwèt la, Bob gen ;boul ble ;boul nwa ;boul mawon ;boul mawon ;C
Alice, Bob, ak Claire ap jwe yon jwèt. Nan kòmansman jwèt la, yo chak kenbe yon boul: Alice gen yon boul nwa, Bob gen yon boul mawon, ak Claire gen yon boul ble. Pandan jwèt la ap pwogrese, de jwè yo ap fè echanj boul yo. Premyèman, Bob ak Claire chanje boul. Lè sa a, Alice ak Bob echanj boul. Finalman, Claire ak Bob te fè echanj boul. Nan fen jwèt la, Claire gen ;boul ble ;boul nwa ;boul mawon ;boul nwa ;B
Alice, Bob, ak Claire ap jwe yon jwèt. Nan kòmansman jwèt la, yo chak kenbe yon boul: Alice gen yon boul zoranj, Bob gen yon boul wouj, ak Claire gen yon boul nwa. Pandan jwèt la ap pwogrese, de jwè yo ap fè echanj boul yo. Premyèman, Alice ak Bob echanj boul. Lè sa a, Claire ak Bob chanje boul. Finalman, Alice ak Claire chanje boul. Nan fen jwèt la, Alice gen ;boul zoranj ;boul nwa ;boul wouj ;boul zoranj ;A
Alice, Bob, ak Claire ap jwe yon jwèt. Nan kòmansman jwèt la, yo chak kenbe yon boul: Alice gen yon boul zoranj, Bob gen yon boul wouj, ak Claire gen yon boul nwa. Pandan jwèt la ap pwogrese, de jwè yo ap fè echanj boul yo. Premyèman, Alice ak Bob echanj boul. Lè sa a, Claire ak Bob chanje boul. Finalman, Alice ak Claire chanje boul. Nan fen jwèt la, Bob gen ;boul zoranj ;boul nwa ;boul wouj ;boul nwa ;B
Alice, Bob, ak Claire ap jwe yon jwèt. Nan kòmansman jwèt la, yo chak kenbe yon boul: Alice gen yon boul zoranj, Bob gen yon boul wouj, ak Claire gen yon boul nwa. Pandan jwèt la ap pwogrese, de jwè yo ap fè echanj boul yo. Premyèman, Alice ak Bob echanj boul. Lè sa a, Claire ak Bob chanje boul. Finalman, Alice ak Claire chanje boul. Nan fen jwèt la, Claire gen ;boul zoranj ;boul nwa ;boul wouj ;boul wouj ;C
Alice, Bob, ak Claire ap jwe yon jwèt. Nan kòmansman jwèt la, yo chak kenbe yon boul: Alice gen yon boul jòn, Bob gen yon boul violèt, epi Claire gen yon boul ble. Pandan jwèt la ap pwogrese, de jwè yo ap fè echanj boul yo. Premyèman, Alice ak Claire chanje boul. Lè sa a, Bob ak Claire chanje boul. Finalman, Alice ak Claire chanje boul. Nan fen jwèt la, Alice gen ;boul ble ;boul jòn ;boul koulè violèt ;boul koulè violèt ;C
Alice, Bob, ak Claire ap jwe yon jwèt. Nan kòmansman jwèt la, yo chak kenbe yon boul: Alice gen yon boul jòn, Bob gen yon boul violèt, epi Claire gen yon boul ble. Pandan jwèt la ap pwogrese, de jwè yo ap fè echanj boul yo. Premyèman, Alice ak Claire chanje boul. Lè sa a, Bob ak Claire chanje boul. Finalman, Alice ak Claire chanje boul. Nan fen jwèt la, Bob gen ;boul ble ;boul jòn ;boul koulè violèt ;boul jòn ;B
Alice, Bob, ak Claire ap jwe yon jwèt. Nan kòmansman jwèt la, yo chak kenbe yon boul: Alice gen yon boul jòn, Bob gen yon boul violèt, epi Claire gen yon boul ble. Pandan jwèt la ap pwogrese, de jwè yo ap fè echanj boul yo. Premyèman, Alice ak Claire chanje boul. Lè sa a, Bob ak Claire chanje boul. Finalman, Alice ak Claire chanje boul. Nan fen jwèt la, Claire gen ;boul ble ;boul jòn ;boul koulè violèt ;boul ble ;A
Alice, Bob, ak Claire ap jwe yon jwèt. Nan kòmansman jwèt la, yo chak kenbe yon boul: Alice gen yon boul mawon, Bob gen yon boul wouj, ak Claire gen yon boul blan. Pandan jwèt la ap pwogrese, de jwè yo ap fè echanj boul yo. Premyèman, Claire ak Bob chanje boul. Lè sa a, Bob ak Alice chanje boul. Finalman, Claire ak Alice chanje boul. Nan fen jwèt la, Alice gen ;boul blan ;boul mawon ;boul wouj ;boul wouj ;C
Alice, Bob, ak Claire ap jwe yon jwèt. Nan kòmansman jwèt la, yo chak kenbe yon boul: Alice gen yon boul mawon, Bob gen yon boul wouj, ak Claire gen yon boul blan. Pandan jwèt la ap pwogrese, de jwè yo ap fè echanj boul yo. Premyèman, Claire ak Bob chanje boul. Lè sa a, Bob ak Alice chanje boul. Finalman, Claire ak Alice chanje boul. Nan fen jwèt la, Bob gen ;boul blan ;boul mawon ;boul wouj ;boul mawon ;B
Alice, Bob, ak Claire ap jwe yon jwèt. Nan kòmansman jwèt la, yo chak kenbe yon boul: Alice gen yon boul mawon, Bob gen yon boul wouj, ak Claire gen yon boul blan. Pandan jwèt la ap pwogrese, de jwè yo ap fè echanj boul yo. Premyèman, Claire ak Bob chanje boul. Lè sa a, Bob ak Alice chanje boul. Finalman, Claire ak Alice chanje boul. Nan fen jwèt la, Claire gen ;boul blan ;boul mawon ;boul wouj ;boul blan ;A
Alice, Bob, ak Claire ap jwe yon jwèt. Nan kòmansman jwèt la, yo chak kenbe yon boul: Alice gen yon boul woz, Bob gen yon boul mawon, ak Claire gen yon boul zoranj. Pandan jwèt la ap pwogrese, de jwè yo ap fè echanj boul yo. Premyèman, Claire ak Alice chanje boul. Lè sa a, Alice ak Bob echanj boul. Finalman, Bob ak Claire chanje boul. Nan fen jwèt la, Alice gen ;boul zoranj ;boul mawon ;boul woz ;boul mawon ;B
Alice, Bob, ak Claire ap jwe yon jwèt. Nan kòmansman jwèt la, yo chak kenbe yon boul: Alice gen yon boul woz, Bob gen yon boul mawon, ak Claire gen yon boul zoranj. Pandan jwèt la ap pwogrese, de jwè yo ap fè echanj boul yo. Premyèman, Claire ak Alice chanje boul. Lè sa a, Alice ak Bob echanj boul. Finalman, Bob ak Claire chanje boul. Nan fen jwèt la, Bob gen ;boul zoranj ;boul mawon ;boul woz ;boul woz ;C
Alice, Bob, ak Claire ap jwe yon jwèt. Nan kòmansman jwèt la, yo chak kenbe yon boul: Alice gen yon boul woz, Bob gen yon boul mawon, ak Claire gen yon boul zoranj. Pandan jwèt la ap pwogrese, de jwè yo ap fè echanj boul yo. Premyèman, Claire ak Alice chanje boul. Lè sa a, Alice ak Bob echanj boul. Finalman, Bob ak Claire chanje boul. Nan fen jwèt la, Claire gen ;boul zoranj ;boul mawon ;boul woz ;boul zoranj ;A
Alice, Bob, ak Claire ap jwe yon jwèt. Nan kòmansman jwèt la, yo chak kenbe yon boul: Alice gen yon boul ble, Bob gen yon boul jòn, epi Claire gen yon boul vèt. Pandan jwèt la ap pwogrese, de jwè yo ap fè echanj boul yo. Premyèman, Bob ak Claire chanje boul. Lè sa a, Bob ak Alice chanje boul. Finalman, Bob ak Claire chanje boul. Nan fen jwèt la, Alice gen ;boul ble ;boul jòn ;boul vèt ;boul vèt ;C
