m_query;response
Julia je v ponedeljek igrala z 18 otroki. V torek je igrala z desetimi otroki. S koliko več otrok se je igrala v ponedeljek kot v torek? ;8.0
Julia je v ponedeljek igrala z 11 otroki. V torek je igrala z 12 otroki. S koliko več otrok se je igrala v torek kot v ponedeljek? ;1.0
Julia je v ponedeljek igrala z petimi otroki. V torek je igrala z drugimi otroki. Če je igrala s 15 otroki, s koliko jih je igrala v torek? ;10.0
Julia je v ponedeljek igrala z otroki. V torek je igrala z 14 otroki. Če je igrala s 16 otroki, s koliko jih je igrala v ponedeljek? ;2.0
Julia je v ponedeljek igrala z 16 otroki. Če je v ponedeljek igrala z 12 otroki več kot v torek, s koliko otrok je igrala v torek? ;4.0
Julia je v torek igrala z 14 otroki. Če je v ponedeljek igrala z 8 otroki več kot v torek, s koliko otrok je igrala v ponedeljek? ;22.0
Julia je v ponedeljek igrala z 17 otroki, v torek 15 otrok in v sredo dva otroka. S koliko otrok se je skupaj igrala? ;34.0
Julia je v ponedeljek igrala z 15 otroki, v torek z 18 in v sredo z 97. S koliko otrok se je igrala v ponedeljek in torek? ;33.0
Julia je v ponedeljek igrala z petimi otroki, v torek z devetimi in v sredo s petnajstimi. S koliko otrok se je igrala v ponedeljek in sredo? ;20.0
Julia je v ponedeljek igrala z dvema otrokoma, v torek s štirinajstimi in v sredo s štirinajstimi. S koliko otrok se je igrala v torek in sredo? ;30.0
Julia je v ponedeljek igrala z devetimi otroki, v torek s sedmimi in v sredo s 96 otroki. S koliko več otrok se je igrala v ponedeljek kot v torek? ;2.0
Julia je v ponedeljek igrala z 14 otroki, v torek z dvema in v sredo z osmimi. S koliko več otrok se je igrala v ponedeljek kot v sredo? ;6.0
Julia je v ponedeljek igrala z osmimi otroki, v torek z enajstimi in v sredo z devetimi. S koliko več otrok se je igrala v torek kot v sredo? ;2.0
Julia je v ponedeljek igrala z 15 otroki, v torek z 18 in v sredo s 7. S koliko več otrok se je igrala v ponedeljek in torek kot v sredo? ;26.0
Julia je v ponedeljek igrala z 13 otroki in v torek z 10 otroki. V sredo je igrala karte s 15 otroki. S koliko otrok se je skupaj igrala? ;38.0
Julia je v ponedeljek igrala z 7 otroki in v torek s 13 otroki. V sredo je igrala karte z 20 otroki. S koliko otrokoma je skupaj igrala tekmo? ;20.0
Julia je v ponedeljek igrala z 12 otroki. V torek je igrala z 14 otroki. Vsa skupaj je 34 ur porabil za igranje tag v obeh dneh. S koliko otrok se je skupaj igrala? ;26.0
Julia je v ponedeljek igrala z 19 otroki. V torek je igrala z 18 otroki. Vsa skupaj je 38 ur porabil za igranje tag v obeh dneh. S koliko več otrok se je igrala v ponedeljek kot v torek? ;1.0
Julia je v torek igrala z petimi otroki. V ponedeljek je igrala z šestimi otroki. S koliko več otrok se je igrala v ponedeljek kot v torek? ;1.0
Julia je igrala z 18 otroki. V ponedeljek je igrala s štirimi otroki in v torek še z nekaj drugimi. S koliko otrok se je igrala v torek? ;14.0
Julia je v sredo igrala z štirimi otroki. V ponedeljek je igrala s šestimi otroki in v torek s sedmnimi. S koliko več otrok se je igrala v ponedeljek kot v sredo? ;2.0
Bobby je pojedel nekaj sladkarij. Nato je pojedel še 25. Če je pojedel 43 bonbonov, koliko jih je pojedel na začetku? ;18.0
Bobby je pojedel 28 koščkov sladkarij. Nato je pojedel še 42. Je tudi pojedel 63 koščkov čokolade. Koliko koščkov bombonov je Bobby pojedel? ;70.0
Bobby je pojedel 33 kosov sladkarij. Nato je pojedel še štiri. Pojedel je tudi 14 koščkov čokolade. Koliko koščkov bombonov in čokolade je Bobby pojedel? ;51.0
Bobby je pojedel 38 kosov sladkarij. Nato je pojedel še 36. Pojedel je tudi 16 koščkov čokolade. Koliko več bombonov je Bobby pojedel kot čokolade? ;58.0
Bobby je imel 20 kosov sladkarij. Pojedel je 34 koščkov bombonov. Nato je pojedel še 18. Koliko koščkov bombonov je Bobby pojedel? ;52.0
Bobby je imel 21 koščkov sladkarij. Pojedel je pet koščkov bombonov. Nato je pojedel še devet. Koliko bombonov ima še? ;7.0
Bobby je imel 22 bonbončkov. Pojedel je nekaj bonbonov. Potem je pojedel še pet. Če ima še osem koščkov bombonov, koliko jih je pojedel na začetku? ;9.0
Bobby je imel 19 bonbončkov. Pojedel je dva koščka sladkarij. Koliko bombonov ima še? ;17.0
Bobby je imel 32 kosov sladkarij. Pojedel je nekaj bonbonov. Če ima še 20 kosov bombonov, koliko jih je Bobby pojedel? ;12.0
Bobby je pojedel 17 koščkov sladkarij. Nato je pojedel še 15. Če je imel 36 bonbonov, koliko jih je še ostalo? ;4.0
Bobby je pojedel 23 kosov sladkarij. Če je imel 30 bonbonov, koliko jih je še ostalo? ;7.0
Alan je prinesel pet balonov in Jake je prinesel tri balonove v park. Koliko balonov je imel Alan več kot Jake v parku? ;2.0
Alan je prinesel dva balona in Jake je prinesel tri balone v park. Koliko balonov je imel Jake v parku več kot Allan? ;1.0
Alan in Jake sta prinesla tri balone v park. Če je Allan prinesel dva balona, koliko jih je Jake prinesel v park? ;1.0
Jake je prinesel 6 balonov v park. Če je Jake prinesel 4 balona več kot je prinesel Allan, koliko je prinesel v park? ;2.0
Allan je prinesel pet balonov v park. Če je Jake prinesel 6 balonov več kot je Allan prinesel koliko balonov je prinesel Jake v park? ;11.0
Alan je prinesel 3 balona in Jake 5 balona v park. Alan je kupil še dva balona v parku. Koliko balonov sta imela Alan in Jake v parku? ;10.0
Alan je prinesel dva balona in Jake štiri balone v park. Alan je kupil še tri balone v parku. Koliko balonov je imel Alan več kot Jake v parku? ;1.0
Alan je prinesel dva balona in Jake šest balonov v park. Alan je kupil še tri balone v parku. Koliko balonov je imel Jake v parku več kot Allan? ;1.0
Alan je prinesel pet balonov in Jake je prinesel štiri balonov v park. Alan je kupil še tri balone v parku. Koliko balonov je Allan prinesel v park? ;8.0
Alan je prinesel 6 balonov in Jake je prinesel 2 balonov v park. Jake je kupil še tri balone v parku. Koliko balonov je imel Alan več kot Jake v parku? ;1.0
Alan je prinesel 6 balonov in Jake je prinesel 3 balonov v park. Jake je kupil še štiri balone v parku. Koliko balonov je imel Jake v parku več kot Allan? ;1.0
Alan je prinesel pet balonov in Jake šest balonov v park. Jake je kupil še tri balone v parku. Koliko balonov je Jake prinesel v park? ;9.0
Alan je prinesel 3 balona in 20 žogic, Jake pa 5 balonov in 59 žogic v park. Koliko balonov sta imela Alan in Jake v parku? ;8.0
Alan je prinesel 7 balonov in 5 žogic, Jake pa 6 balonov in 4 žogic v park. Koliko žog sta imela Alan in Jake v parku? ;9.0
