m_query;response
"Η Τζούλια έπαιξε τζάμπα με 18 παιδιά τη Δευτέρα. Έπαιξε τζάμπα με 10 παιδιά την Τρίτη. Με πόσα παιδιά έπαιξε τη Δευτέρα; ";8.0
"Η Τζούλια έπαιξε τζάμπα με 11 παιδιά τη Δευτέρα. Έπαιξε τζάμπα με 12 παιδιά την Τρίτη. Με πόσα παιδιά έπαιξε την Τρίτη απ'ό, τι τη Δευτέρα; ";1.0
"Η Τζούλια έπαιξε τζάμπα με 5 παιδιά τη Δευτέρα. Έπαιξε τζάμπα με άλλα παιδιά την Τρίτη. Αν έπαιξε με 15 παιδιά συνολικά, με πόσα παιδιά έπαιξε την Τρίτη; ";10.0
"Η Τζούλια έπαιξε τζάμπα με κάποια παιδιά τη Δευτέρα. Έπαιξε τζάμπα με 14 παιδιά την Τρίτη. Αν έπαιξε με 16 παιδιά συνολικά, με πόσα παιδιά έπαιξε τη Δευτέρα; ";2.0
"Η Τζούλια έπαιξε τζάμπα με 16 παιδιά τη Δευτέρα. Αν έπαιξε με 12 παιδιά την Δευτέρα, με πόσα άλλα έπαιξε την Τρίτη; ";4.0
"Η Τζούλια έπαιξε τζάμπα με 14 παιδιά την Τρίτη. Αν έπαιξε τανγκ με 8 παιδιά την Δευτέρα, με πόσα άλλα έπαιξε την Δευτέρα; ";22.0
"Η Τζούλια έπαιξε με 17 παιδιά τη Δευτέρα, 15 την Τρίτη και 2 την Τετάρτη. Με πόσα παιδιά έπαιξε συνολικά; ";34.0
"Η Τζούλια έπαιξε με 15 παιδιά τη Δευτέρα, 18 παιδιά την Τρίτη και 97 παιδιά την Τετάρτη. Με πόσα παιδιά έπαιξε τη Δευτέρα και την Τρίτη; ";33.0
"Η Τζούλια έπαιξε τζάμπα με 5 παιδιά τη Δευτέρα, 9 παιδιά την Τρίτη και 15 παιδιά την Τετάρτη. Με πόσα παιδιά έπαιξε τη Δευτέρα και την Τετάρτη; ";20.0
"Η Τζούλια έπαιξε με 2 παιδιά τη Δευτέρα, 14 παιδιά την Τρίτη και 16 παιδιά την Τετάρτη. Με πόσα παιδιά έπαιξε την Τρίτη και την Τετάρτη; ";30.0
