,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
0,"Stal som sa fanúšikom ""Zákon a poriadok"" v roku 2011.",Zotavoval som sa po mŕtvici.,"Keď som prišiel domov, skúšal som si pozrieť každú epizódu.",Bolo ťažké sa snažiť pozerať 20 rokov seriálu.,"Myslím, že Zákon a poriadok je jedna z najhorších sérií, aké boli kedy vytvorené.",Nakoniec som ich všetky sledoval.,2
1,"Všetci milovali Boba, pretože hral v filme populárnu postavu.","Bob to nenávidel, pretože sa vôbec nepodobal na tú postavu.","Jim požiadal Boba, aby povedal jeho charakterovú frázu.",Bolo to pre Boba priveľa a vybuchol z hnevu.,"Bob mu povedal, aby ho nechal na pokoji.",Bob požiadal muža o čaj.,1
2,Lita sa chcela pozerať na svoj obľúbený seriál v televízii.,"Jej deti trvali na tom, aby si s nimi sadla a pozrela si to.","Lita im povedala, že má prácu.",Jej deti vlekli košík s prádlom do obývačky.,Lita si objednala na obed pizzu s pepperoni.,Lita zložila prádlo a pozerala televíziu.,2
3,"Liv skočila, keď ju vystrašil hlasný výbuch.","Uvedomila si, že to bola žiarovka v kuchyni, ktorá vyhorela.",Vytiahla stoličku a stúpila na ňu.,Zvábal sa pod ňou a skoro spadla.,Liv sa rozhodla vymeniť žiarovku v kúpeľni.,Liv potom vymenila žiarovku.,2
4,"Matka povedala svojim deťom, že o pätnásť minút bude obed.",Ale potom dostala dôležitý telefonát.,"Kým hovorila, pes sa v kuchyni potápaval bahnom.","Deti začali otravovať svoju matku, ktorá bola stále na telefóne.",Matka bola dosť frustrovaná.,Chovanie detí upokojilo matku.,1
5,Hector si vždy pred prácou kúpil kávu v miestnom obchode.,"Uvedomuje si, že jeho zvyk kupovať kávu je veľmi drahý.",Jedného dňa sa Hector rozhodol variť si doma kávu.,"Je hrdý na to, že káva, ktorú doma pripravil, je taká dobrá.",Hector si stále varil vlastnú kávu a šetril peniaze.,Hector začal kupovať viac kávy zo Starbucks.,1
6,"Kelly zistila, že je v škole nové dievča.","Keď vošla do školy, išla ju hľadať.","Keď sa s ňou stretla, pozvala ju, aby si s ňou sadla na obed.","Keď sa dali na obed, dievčatá sa spriatelili.",Kelly s ňou už nikdy nehovorila.,"Kelly bola šťastná, že si našla nového priateľa.",2
7,"Tommy tvrdo trénoval, aby bežal svoje prvé 5 km.","Počas pretekov bol frustrovaný, keď ho predbehlo toľko ľudí.","Keď počul, ako volajú jeho meno počas udeľovania cien, bol šokovaný.","Nevedel, že budú udeľovať ocenenia podľa vekovej skupiny.","Hanbil sa, že nedostal žiadne uznanie.","Bol hrdý, že skončil prvý v skupine vekových kategórií, ale desiaty celkový.",2
8,Laurie ide dnes večer na svoj prvý formálny tanec.,Jej priateľ ju vyzdvihol a dal jej krásnu ružu.,"Laurie mala dlhé, lesklé šaty.",Tancovali a zabávali sa so všetkými svojimi priateľmi.,Laurie odišla domov plakať.,Laurie ukončila večer bozkávaním svojho partnera.,2
9,Neil skúmal historické železnice.,Vošiel do Scrantonu v Pennsylvánii.,"Uvedomil si, že je to krásna stará železničná stanica.","Zobral veľa fotiek, keď tam bol.",Neil vymazal všetky svoje fotky.,Neil si fotky uložil do počítača.,2
10,Bob sa bál svojho prvého dňa v rybačke s rýchlym občerstvením.,"Chcel počkať, kým si oblečie svoju námořnú uniformu.",Bob začal robiť rybie hamburgery po oblečení sa do uniformy.,"Bol tak zaneprázdnený, že zabudol sa prezliecť do svojich pouličných šiat.","Bobovi sa ten oblek tak páčil, že ho ukázal svojim priateľom.",Bob odišiel po práci v morskom obleku.,2
11,Prišiel ma navštíviť priateľ.,"Povedal som jej, že môj pes uhryzne.",Nepočúvala.,Snažila sa ho pohladiť a hrať sa s ním.,Môj pes ju uhryzol.,Môj pes utiekol.,1
12,Lester vždy chcel byť viac umelecký.,Jedného dňa sa rozhodne nakresliť kvet.,Sedí pred krásnu orchideu a začína kresliť.,Lesterova kresba vychádza veľmi dobre.,Ten obrázok visí na stenu v obývačke.,"Rozhodol sa, že už nikdy nič nenakreslí.",1
13,Pablo rád je červy.,"V škole čítal knihu, ako to urobiť.",Prijeme ich v olivovom oleji.,Rád to robí aspoň raz za mesiac.,Pablo má rád červy a považuje ich za delikatesu.,Pablo nemá rád červy.,1
14,Kira vždy miloval japonskú kultúru.,Mnohé z jej obľúbených filmov boli v japončine.,"Rozhodla sa, že tam pôjde.",Roky šetrila peniaze na cestu.,Všetky peniaze minula na topánky.,Bol to najlepší výlet v jej živote.,2
