m_query;response
Јулија је играла са 18 деце у понедељак. Играла је са 10 деце у уторак. Са колико је деце играла више у понедељак него у уторак? ;8.0
Јулија је играла са 11 деце у понедељак. Играла је са 12 деце у уторак. Са колико је деце играла у уторак више него у понедељак? ;1.0
Јулија је играла таг са 5 деце у понедељак. Играла је са још децом у уторак. Ако је играла са 15 деце, са колико је деце играла у уторак? ;10.0
Јулија је играла са децом у понедељак. Играла је са 14 деце у уторак. Ако је играла са 16 деце, са колико је деце играла у понедељак? ;2.0
Јулија је играла са 16 деце у понедељак. Ако је играла са 12 деце у понедељак више него у уторак са колико је деце играла у уторак? ;4.0
Јулија је играла са 14 деце у уторак. Ако је играла са 8 деце више у понедељак него у уторак са колико је деце играла у понедељак? ;22.0
Јулија је играла са 17 деце у понедељак 15 деце у уторак и 2 деце у среду. Са колико је деце играла укупно? ;34.0
Јулија је играла са 15 деце у понедељак, 18 деце у уторак и 97 деце у среду. Са колико је деце играла у понедељак и вторник? ;33.0
Јулија је играла са 5 деце у понедељак, 9 деце у уторак и 15 деце у среду. Са колико је деце играла у понедељак и среду? ;20.0
Јулија је играла са 2 детета у понедељак, 14 деце у уторак и 16 деце у среду. Са колико је деце играла у уторак и среду? ;30.0
Јулија је играла са 9 деце у понедељак, 7 деце у уторак и 96 деце у среду. Са колико је деце играла више у понедељак него у уторак? ;2.0
Јулија је играла са 14 деце у понедељак, 2 деца у уторак и 8 деце у среду. Са колико је деце играла више у понедељак него у среду? ;6.0
Јулија је играла са 8 деце у понедељак, 11 деце у уторак и 9 деце у среду. Са колико је деце играла у уторак више него у среду? ;2.0
Јулија је играла са 15 деце у понедељак, 18 деце у уторак и 7 деце у среду. Са колико је деце играла понедељак и вторник више него среду? ;26.0
Јулија је играла са 13 деце у понедељак и 10 деце у уторак. Играла је картице са 15 деце у среду. Са колико је деце играла укупно? ;38.0
Јулија је играла са 7 деце у понедељак и 13 деце у уторак. Играла је картице са 20 деце у среду. Са колико је деце играла утакмицу? ;20.0
Јулија је играла са 12 деце у понедељак. Играла је са 14 деце у уторак. провела је укупно 34 сата играјући таг оба дана. Са колико је деце играла укупно? ;26.0
Јулија је играла са 19 деце у понедељак. Играла је са 18 деце у уторак. провела је укупно 38 сати играјући таг оба дана. Са колико је деце играла више у понедељак него у уторак? ;1.0
Јулија је играла таг са 5 деце у уторак. Играла је у понедељак са 6 деце. Са колико је деце играла више у понедељак него у уторак? ;1.0
Јулија је играла са 18 деце. Играла је са 4 деце у понедељак и још са неколико деце у уторак. Са колико је деце играла у уторак? ;14.0
Јулија је играла са 4 детета у среду. Играла је са 6 деце у понедељак и 17 деце у уторак. Са колико је деце играла више у понедељак него у среду? ;2.0
Боби је јео парчице слаткиша. Онда је појео још 25. Ако је појео укупно 43 комада слаткиша колико је комада слаткиша појео на почетку? ;18.0
Боби је јео 28 комада слаткиша. Онда је појео још 42. Такође је појео 63 комада чоколаде. Колико је комада слаткиша Боби јео? ;70.0
