premise;question;choice1;choice2;label
הפריט היה ארוז במעטפת בועות. ;cause;זה היה שביר. ;זה היה קטן. ;0
ריקהתי את הכיסים שלי. ;effect;מצאתי את חתיכת הכרטיס. ;מצאתי נשק. ;0
הטרמיטים פלשו לבית. ;effect;הטרמיטים נעלמו מהבית. ;הטרמיטים אכלו את העץ בבית. ;1
הנוסעים הגיעו לגבול. ;effect;הסוכן הסיור בדק את הדרכונים שלהם. ;הסוכן הסיור האשים אותם בהברחת סמים. ;0
המשרד היה סגור. ;cause;זה היה חג. ;היה קיץ. ;0
לבחורה נגמרה האנרגיה. ;cause;היא שיחקה דמה. ;היא קפצה בחבל. ;1
האישה איבדה את מקומה בתור. ;cause;עוד אנשים נכנסו לקו. ;היא יצאה מהקו. ;1
הילדה צמצמה את האף. ;cause;התינוק ריר על הסנדוק שלה. ;התינוק טמא את החיתול שלה. ;1
הלהקה ניגנה את השיר המפורסם שלהם. ;effect;הקהל מוחא כפיים לצליל המוזיקה. ;הקהל הקשיב בנימוס בשתיקה. ;0
הילדה רצתה להודות למורה למתמטיקה שלה. ;effect;הילדה נשארה אחרי בית הספר למשך מעצר. ;הילדה הביאה למורה תפוח. ;1
המחננים הצעירים חשו פחד. ;cause;יועץ המחנה שלהם סיפר להם סיפור רוחות. ;הם צללו מרשמלו על האש. ;0
האיש פגע בראשו. ;effect;הוא הלך לאיבוד במחשבות. ;יש לו זעזוע מוח. ;1
הצ'ק שכתבתי לא התקבל. ;cause;חשבון הבנק שלי היה ריק. ;הרווחתי העלאה בשכר. ;0
תיבת הדואר האלקטרוני של האיש הייתה מלאה בספאם. ;effect;הוא מחק את הפספאם. ;הוא שלח אימייל המוני. ;0
המלחים הושבו בהסגר. ;cause;הוא נחשף למחלה. ;הוא החלים מהמחלה. ;0
הילדה שינתה את הקוד. ;cause;היא חזרה אותו לעצמה. ;היא שכחה לרשום את זה. ;0
שפכתי את המים לתוך הכוס. ;effect;המים הרחיקו את הצמא שלי. ;הכוס התמלאה. ;1
האיש שמר על שתיקה כשחברו סיים לדבר. ;cause;הוא רצה להציע את תמיכתו של חברו. ;הוא חשב על דבריו של חברו. ;1
התאונה הייתה באשמתי. ;effect;הרגשתי אשמה. ;אני הגישתי תלונה. ;0
השרשרת התפרקה. ;cause;השרשרת הייתה עטופה סביב צמיג. ;הייתה חוליה שבורה בשרשרת. ;1
הזוג החליט להתפשר. ;cause;הם נמאס להם להתווכח. ;הם נמנעו מלהתייחס לבעיה. ;0
האישה החליטה לרוץ למשרה ציבורית. ;effect;היא שכרה מנהל קמפיין. ;היא העידה בבית המשפט. ;0
האיש ציפה למזג אוויר קר בנסיעתו. ;effect;הוא ארז בגדים חמים במזוודה שלו. ;הוא נסע עם מזוודה גדולה. ;0
התלמיד ידע את התשובה לשאלה. ;effect;הוא הרים את ידו. ;הוא השתגע. ;0
עיניו של האיש הוצפו. ;cause;אבק נכנס לעיניים שלו. ;הוא שם משקפי הגנה על עיניו. ;0
השחקן ניצח חמישה משחקים ברציפות. ;effect;יריבה האשים אותה בהונאה. ;היריב שלה ריחם עליה. ;0
המורה קרע את הבחינה של התלמיד. ;cause;הוא תפס את התלמיד מרמה. ;התשובות של התלמיד לא היו נכונות. ;0
עצרתי כדי להפסיק לדבר. ;cause;איבדתי את הקול שלי. ;נעלמתי מהנשימה. ;1
המזון הקפוא התפשף. ;cause;שמתי אותו במיקרוגל. ;כיסיתי אותו עם פלסטיק. ;0
העובד העמיד פנים שהוא חולה. ;cause;היו לו התכווצויות בבטן. ;הוא רצה יום חופש. ;1
הילדה נחתה בבריכה. ;cause;היא רצתה על סיפון הבריכה. ;היא קפצה מההפליגה. ;1
כרטיסי הקולנוע נמכרו. ;cause;זה היה יום הפתיחה של הסרט. ;הסרט קיבל ביקורות גרועות. ;0
האיש ירד במשקל. ;effect;אנשים הבידו אותו. ;אנשים מחמיאים לו. ;1
ידיה של הילדה הפכו לפצעים. ;cause;היא הדפסה מכתב. ;היא טיפה על חבל. ;1
שחקן הקרקס התעסק בהטלטלות בזמן רכיבה על אופניים. ;effect;הקהל הריע בהלם. ;האקרובט התנדנד על טרפזה. ;0
איבדתי את הסבלנות שלי. ;cause;חבר שלי גרם לי לחכות. ;חבר שלי הגיע בזמן. ;0
המדינות הלוחמות רצו שלום. ;effect;הם פיתחו נשק גרעיני. ;הם ניהלו משא ומתן על הסכם. ;1
האיש לקח תרופות שינה. ;effect;הוא נעשה עייף. ;היה לו חום. ;0
האישה התנגשה בספה. ;effect;רגל הספה התפרקה. ;היא פגעה בברך. ;1
הילד לחץ את הבלון. ;effect;הבלון התפוצץ. ;הבלון עף. ;0
הם נוסעים שנכנסו לחדר במלון. ;effect;הם פרקו את המזוודות שלהם. ;הם הלכו לשדה התעופה. ;0
נשכתי את האפרסק. ;effect;האפרסק חבול. ;מיץ נשפך. ;1
הידיים שלי נעשו דביקות. ;cause;אכלתי סופגנייה. ;היה לי שיניים מתוקות. ;0
דחפתי את הדלת. ;effect;הדלת נפתחה. ;הדלת נעולה. ;0
פעילים חרמו את המוצרים. ;cause;המוצרים נבדקו לבטחת איכות. ;המוצרים מיוצרים בעזרת עבודת ילדים. ;1
חפרתי חור בקיר. ;effect;עכבר זחל החוצה מהחור. ;אבק נשף החוצה מהחור. ;1
האישה קינאה באחותה. ;cause;אחותה הייתה מאושרת. ;אחותה התגרשה. ;0
שפכתי יין על החולצה שלי. ;effect;אני לובש סינר. ;החלפתי חולצה. ;1
הקופאי פתח את מכונת הקופה. ;cause;הלקוח חיפש בארנק שלו. ;הלקוח נתן לה כסף. ;1
המוזיקאי הרחובי משך קהל. ;effect;אנשים נתנו לו כסף. ;הוא שלח את הקהל. ;0
הילד הקטן בכה אל השמרטפית שלו. ;cause;הוא התגעגע להוריו. ;זה היה זמן חטיף. ;0
הרדאר של הטייס גילה סערה. ;effect;הטייס ניוט הרחק מהסערה. ;הטייס טס דרך הסערה. ;0
העץ מפיל את העלים שלו. ;effect;העלים הפכו לצבעים. ;העלים התאספו על הקרקע. ;1
הילד היה במצב רוח מרושע. ;effect;הוא החליט לשחק משחק קלפים עם אחותו. ;הוא החליט לשחק בדיחה על אחותו. ;1
הילד התלונן שהוא צריך ללכת לשירותים. ;effect;אביו נתן לו משקה קפוא לשתות. ;אביו עצר את המכונית בתחנת דלק. ;1
הילד זרק אוכל לדגים לתוך המיכל. ;effect;הדג קפץ מתוך המיכל. ;הדג שחה לעבר האוכל. ;1
השקפותיה הפוליטיות של האישה השתנו. ;effect;היא החליפה את הקשר המפלגתי שלה. ;היא השתתפה במחאה. ;0
הכיור בשירותים היה סגור. ;effect;פתחתי את הברז. ;שפכתי למים חומר ניקוי. ;1
הנוסעים ירדו מהרכבת. ;cause;הרכבת הגיעה לתחנה. ;הרכבת שריקה את המשרוקית שלה. ;0
האיש לחץ על הצלע הרטובה של המעטפה. ;effect;הוא שם חותם על המעטפה. ;הוא סגר את המעטפה. ;1
החברים איבדו קשר. ;cause;הם נהנו מחברתם. ;הם עברו לערים שונות. ;1
רואה החשבון ניהל לא נכון את כספי החברה. ;effect;היא פוטרה מתפקידה. ;היא יצאה לחופשת לידה. ;0
הסתכלתי על השעון. ;cause;שמעתי את השעון מתקתק. ;רציתי לבדוק את השעה. ;1
היד שלי התכווצה. ;cause;כתבתי את המאמר ביד. ;אשתי ואני החזקנו ידיים. ;0
הבורג מתדק. ;cause;החליפתי את הבורג. ;אני סובבתי את המפתח. ;1
הזוג חתם על חוזה שכירות לדירה. ;effect;הזוג עבר לדירה. ;העירייה דחתה את הדירה. ;0
האישה ישבה בחוץ על המרפסת. ;cause;היא רצתה לראות את השקיעה. ;היא חשבה שהיא ראתה ברק. ;0
האיש לבש מעיל הצלה במים. ;cause;הוא לא ידע לשחות. ;המים היו רדודים. ;0
האישה עשתה טעות בהדפסה במעבד המילים. ;effect;היא מחקה את המסמך. ;היא לחצה על מפתח האפס. ;1
הילדה התפארה בפני חבריה. ;cause;היא קיבלה ציון גרוע. ;היא זכתה בתחרות. ;1
הדשא היה בוץ. ;cause;ירד גשם בלילה. ;זה היה מלא עשבים. ;0
האישה נרדמה. ;cause;היא נשארה בלילה במלון. ;היא שכחה להגדיר את השעון המעורר שלה. ;1
האיש שם קרם הגנה. ;cause;הוא ישב בצל. ;הוא הלך לחוף. ;1
החוקרים הוכיחו את התיאוריה. ;effect;החוקרים ביטלו את התיאוריה. ;אנשים קיבלו את התיאוריה. ;1
האוהדים במשחק ביו. ;cause;המשחק נכנס למשך זמן נוסף. ;השופט עשה החלטה גרועה. ;1
הכנסתי את הצירוף שלי למנעול. ;effect;סגרתי את המנעול. ;המנעול נפתח. ;1
הקהל התגבר. ;effect;האב מסר לבנו קצת כסף. ;האב תפס את ידו של בנו. ;1
השלג חסם את הדרך. ;effect;אספתי את השלג לכדור שלג. ;הסרתי את השלג מהדרך. ;1
