premise;question;choice1;choice2;label
Предмет был упакован в пузырьковую пленку. ;cause;Она была хрупкой. ;Она была маленькой. ;0
Я опустошил свои карманы. ;effect;Я достал билет. ;Я нашла оружие. ;0
Термиты вторглись в дом. ;effect;Термиты исчезли из дома. ;Термиты проглотили дерево в доме. ;1
Путешественники достигли границы. ;effect;Патрульный агент проверил их паспорта. ;Патрульный агент обвинил их в контрабанде. ;0
Офис был закрыт. ;cause;Это был праздник. ;Было лето. ;0
У девочки закончилась энергия. ;cause;Она играла в шашки. ;Она прыгнула с веревки. ;1
Женщина потеряла свое место в очереди. ;cause;В очередь пришли еще люди. ;Она вышла из очереди. ;1
Девочка защитила нос. ;cause;Ребенок сливал на ее бабочку. ;Ребёнок запятнал её подгузник. ;1
Группа сыграла свою хитовую песню. ;effect;Зрители хлопали в ладоши под музыку. ;Зрители вежливо слушали в тишине. ;0
Девочка хотела поблагодарить своего учителя математики. ;effect;Девочка осталась после школы на время. ;Девочка принесла учителю яблоко. ;1
Молодые лагеряне испугались. ;cause;Их лагерный советник рассказал им историю о призраках. ;Они поджарили зефир на костре. ;0
Мужчина ударился головой. ;effect;Он запутался в мыслях. ;У него сотрясение мозга. ;1
Чек, который я написал, не прошел. ;cause;Мой банковский счет был пуст. ;Я заслужил повышение. ;0
Почтовый ящик этого человека был полон спама. ;effect;Он удалил спам. ;Он отправил массовое письмо. ;0
Моряк был под карантином. ;cause;Он подвергся воздействию болезни. ;Он выздоровел от болезни. ;0
Девочка запомнила код. ;cause;Она прорецитировала его самой себе. ;Она забыла записать это. ;0
Я налил воду в стакан. ;effect;Вода утолила мою жажду. ;Стакан стал полным. ;1
Мужчина молчал, когда его друг закончил говорить. ;cause;Он хотел поддержать своего друга. ;Он думал о словах своего друга. ;1
Авария была моей виной. ;effect;Я чувствовал себя виноватым. ;Я предъявил обвинение. ;0
Цепь развалилась. ;cause;Цепь была обернута вокруг шины. ;В цепочке было сломанное звено. ;1
Пара решила пойти на компромисс. ;cause;Они устали спорить. ;Они избегали обсуждения проблемы. ;0
Женщина решила баллотироваться на государственную должность. ;effect;Она наняла менеджера по кампании. ;Она давала показания в суде. ;0
Человек ожидал холодную погоду в своей поездке. ;effect;Он упаковал теплую одежду в чемодан. ;Он путешествовал с большим чемоданом. ;0
Студент знал ответ на вопрос. ;effect;Он поднял руку. ;Он с ума сошел. ;0
У него слезы на глазах. ;cause;У него пыль в глазах. ;Он надел на глаза защитные очки. ;0
Игрок выиграл пять игр подряд. ;effect;Её соперница обвинила её в мошенничестве. ;Ее соперник пожалел ее. ;0
Учитель разорвал экзамен студента. ;cause;Он поймал студента на мошенничестве. ;Ответы студента были неправильными. ;0
Я остановился, чтобы перестать говорить. ;cause;Я потерял голос. ;Я задохнулся. ;1
Замороженная еда оттаилась. ;cause;Я положил его в микроволновку. ;Я прикрыл его пластиковой пленкой. ;0
Сотрудник притворился больным. ;cause;У него были судороги желудка. ;Он хотел выйти на выходные. ;1
Девочка упала в бассейн. ;cause;Она бежала по площадке бассейна. ;Она прыгнула с трамплина. ;1
Билеты на кино распроданы. ;cause;Это был день премьеры фильма. ;Фильм получил плохие отзывы. ;0
Мужчина похудел. ;effect;Люди изолировали его. ;Люди хвалили его. ;1
У девочки появились волдыри на руках. ;cause;Она напечатала письмо. ;Она залезла на веревку. ;1
Цирковый артист жонглировал, ехав на одноколесном велосипеде. ;effect;Зрители восторженно поддержали его. ;Акробат покачивался с трапеции. ;0
Я потерял терпение. ;cause;Мой друг заставил меня ждать. ;Мой друг прибыл вовремя. ;0
Воюющие страны хотели мира. ;effect;Они разработали ядерное оружие. ;Они заключили договор. ;1
Мужчина принял снотворное. ;effect;Он стал сонным. ;У него была лихорадка. ;0
Женщина врезалась в диван. ;effect;Нога дивана отвалилась. ;Она повредила колено. ;1
Мальчик сжал воздушный шар. ;effect;Шарик лопнул. ;Шарик улетел. ;0
Они путешественники, зарегистрировавшиеся в гостиничном номере. ;effect;Они распаковали свои чемоданы. ;Они поехали в аэропорт. ;0
Я укусил персик. ;effect;Персик ушиб. ;Сок вылился. ;1
Мои руки стали липкими. ;cause;Я съел пончик. ;Я любил сладости. ;0
Я вытолкнула дверь. ;effect;Дверь открылась. ;Дверь заперта. ;0
Активисты бойкотировали продукцию. ;cause;Продукты были проверены на предмет обеспечения качества. ;Продукты изготавливались с использованием детского труда. ;1
Я просверлил дыру в стене. ;effect;Из ямы выползла мышь. ;Из дыры вылетел пыль. ;1
Женщина завидовала своей сестре. ;cause;Её сестра была счастлива. ;Её сестра развелась. ;0
Я пролил вино на свою рубашку. ;effect;Я надел фартук. ;Я переоделся. ;1
Кассир открыл кассу. ;cause;Клиент обыскал его кошелек. ;Клиент передал ей деньги. ;1
