m_query;response
Джулія гуляла ў тэгі з 18 дзецьмі ў панядзелак. Яна гуляла ў тэг з 10 дзяцей у аўторак. З колькі больш дзяцей яна гуляла ў панядзелак, чым у аўторак? ;8.0
Джулія гуляла ў тэгі з 11 дзецьмі ў панядзелак. Яна гуляла ў тэг з 12 дзяцей у аўторак. З колькі больш дзяцей яна гуляла ў аўторак, чым у панядзелак? ;1.0
Джулія гуляла ў панядзелак з пяццю дзецьмі ў тэгі. Яна гуляла ў тэг з некаторымі іншымі дзецьмі ў аўторак. Калі ў агульнай складанасці яна гуляла з 15 дзецьмі, з колькімі яна гуляла ў аўторак? ;10.0
Джулія гуляла ў покер з некаторымі дзецьмі ў панядзелак. У аўторак яна гуляла ў тэгі з 14 дзецьмі. Калі ў агульнай складанасці яна гуляла з 16 дзецьмі, з колькімі яна гуляла ў панядзелак? ;2.0
Джулія гуляла ў тэгі з 16 дзецьмі ў панядзелак. Калі ў панядзелак яна гуляла ў тэгі з 12 больш дзецьмі, чым у аўторак, з колькімі яна гуляла ў аўторак? ;4.0
Джулія гуляла ў тэгі з 14 дзецьмі ў аўторак. Калі ў панядзелак яна гуляла ў тэгі з васьмёркай дзяцей больш, чым у аўторак, з колькімі яна гуляла ў панядзелак? ;22.0
Джулія гуляла ў тэгі з 17 дзецьмі ў панядзелак 15 дзяцей у аўторак і 2 дзяцей у сераду. з колькімі дзецьмі яна гуляла разам? ;34.0
Джулія гуляла ў тэгі з 15 дзецьмі ў панядзелак, 18 дзяцей у аўторак і 97 дзяцей у сераду. З колькімі дзецьмі яна гуляла ў панядзелак і аўторак? ;33.0
Джулія гуляла ў тэгі з 5 дзецьмі ў панядзелак 9 дзяцей у аўторак і 15 дзяцей у сераду. З колькімі дзецьмі яна гуляла ў панядзелак і сераду? ;20.0
Джулія гуляла ў тэгі з двума дзецьмі ў панядзелак, 14 дзяцей у аўторак і 16 дзяцей у сераду. З колькімі дзецьмі яна гуляла ў аўторак і сераду? ;30.0
Джулія гуляла ў тэгі з 9 дзецьмі ў панядзелак, 7 дзяцей у аўторак і 96 дзяцей у сераду. З колькі больш дзяцей яна гуляла ў панядзелак, чым у аўторак? ;2.0
Джулія гуляла ў тэгі з 14 дзецьмі ў панядзелак 2 дзеці ў аўторак і 8 дзяцей у сераду. З колькі больш дзяцей яна гуляла ў панядзелак, чым у сераду? ;6.0
Джулія гуляла ў тэгі з 8 дзецьмі ў панядзелак, 11 дзяцей у аўторак і 9 дзяцей у сераду. З колькі больш дзяцей яна гуляла ў аўторак, чым у сераду? ;2.0
Джулія гуляла ў тэгі з 15 дзецьмі ў панядзелак, з 18 у аўторак і з 7 у сераду. З колькі больш дзяцей яна гуляла ў панядзелак і аўторак, чым у сераду? ;26.0
