question;answer_number
ജാനറ്റിന്റെ താറാവുകള് ഒരു ദിവസം 16 മുട്ടകളാണ് ഇടുന്നത്. എല്ലാ ദിവസവും രാവിലെ മൂന്നുപേരെ പ്രഭാതഭക്ഷണത്തിന് കഴിക്കുന്നു. പിന്നെ എല്ലാ ദിവസവും നാലുപേരുമായി കൂട്ടുകാര് ക്ക് മഫിൻ ഉണ്ടാക്കുന്നു. ബാക്കിയുള്ളവയെല്ലാം അവൾ കർഷകരുടെ വിപണിയിൽ ദിവസവും 2 ഡോളറിന് പുതിയ താറാവ് മുട്ടയ്ക്ക് വിൽക്കുന്നു. എത്ര ഡോളര് ആണ് അവൾക്ക് എല്ലാ ദിവസവും കര് ഷകരുടെ മാര് ക്കറ്റില് നിന്ന് കിട്ടുന്നത്? ;18
ഒരു വസ്ത്രത്തിന് 2 ബോൾട്ട് നീല നാരുകളും പകുതി വെളുത്ത നാരുകളും വേണം. ആകെ എത്ര ബോൾട്ടുകൾ വേണം? ;3
ജോഷ് ഒരു വീട് കത്തിക്കാൻ തീരുമാനിച്ചു. 80,000 ഡോളറിന് ഒരു വീട് വാങ്ങി, 50,000 ഡോളർ അറ്റകുറ്റപ്പണികൾക്കായി ചെലവഴിക്കുന്നു. ഇത് വീടിന്റെ മൂല്യം 150% വർദ്ധിപ്പിച്ചു. അവന് എത്ര ലാഭം ഉണ്ടാക്കി? ;70000
ജെയിംസ് ആഴ്ചയിൽ മൂന്നു തവണ മൂന്നു സ്പ്രിന്റ് നടത്താൻ തീരുമാനിക്കുന്നു. ഓരോ സ്പ്രിന്റിലും 60 മീറ്റർ ഓടുന്നു. ഒരാഴ്ചയില് അവന് എത്ര മീറ്റര് ഓടുന്നു? ;540
എല്ലാ ദിവസവും, വെൻഡി അവളുടെ ഓരോ കോഴികളെയും മൂന്നു കപ്പ് മിക്സഡ് കോഴി തീറ്റ കൊടുക്കുന്നു, അതിൽ വിത്തുകളും, മാവ് പുഴുക്കളും, പച്ചക്കറികളും അടങ്ങിയിരിക്കുന്നു, അവ ആരോഗ്യമുള്ളതായി നിലനിർത്താൻ സഹായിക്കുന്നു. അവൾ കോഴികളെ മൂന്നുനേരം ഭക്ഷണം കഴിപ്പിക്കുന്നു. രാവിലെ, അവൾ 15 കപ്പ് ഭക്ഷണം കോഴി കൂട്ടം നൽകുന്നു. വൈകുന്നേരം, അവൾ അവളുടെ കോഴികൾക്ക് 25 കപ്പ് ഭക്ഷണം കൂടി കൊടുക്കുന്നു. വെണ്ടിയുടെ ആട്ടിൻ കൂട്ടത്തിന് 20 കോഴികളുണ്ടെങ്കിൽ, ദിവസത്തിലെ അവസാന ഭക്ഷണം അവൾക്ക് എത്ര കപ്പ് ഭക്ഷണം നൽകണം? ;20
കയ്ലര് പുതിയ അപ്പാര് ട്ട്മെന്റിന് വേണ്ടി കണ്ണട വാങ്ങാന് കടയില് പോയി. ഒരു ഗ്ലാസ് 5 ഡോളർ, പക്ഷേ ഓരോ സെക്കന്റ് ഗ്ലാസും വിലയുടെ 60% മാത്രം. കെയ്ലര് 16 ഗ്ലാസ്സ് വാങ്ങാന് ആഗ്രഹിക്കുന്നു. അവനു എത്ര പണം വേണം? ;64
ചാര് ലസ്റ്റണിലെ ആടുകളുടെ ഇരട്ടി ആടുകളാണ് ടൂളൂസിലുള്ളത്. ചാര് ലെസ്റ്റണ് സിയാട്ലിനെക്കാള് നാലിരട്ടി ആടുകളുണ്ട്. ടൂളൂസ്, ചാര് ല്ടണ്, സിയാള് ട്ട് എന്നിവിടങ്ങളില് എത്ര ആടുകള് ഉണ്ട് സിയാള് ട്ടില് 20 ആടുകള് ഉണ്ടെങ്കിൽ? ;260
കാര്ല 200 ജിബി ഫയൽ ഡൌൺലോഡ് ചെയ്യുന്നു. സാധാരണയായി അവൾക്ക് 2 GB/മിനിറ്റ് ഡൌൺലോഡ് ചെയ്യാൻ കഴിയും, പക്ഷേ ഡൌൺലോഡ് വഴി 40% വഴി, വിൻഡോസ് അപ്ഡേറ്റുകൾ ഇൻസ്റ്റാൾ ചെയ്യാൻ ഒരു പുനരാരംഭം നിർബന്ധിക്കുന്നു, ഇത് 20 മിനിറ്റ് എടുക്കും. അപ്പോൾ കാര്ലയ്ക്ക് ഡൌണ് ലോഡ് വീണ്ടും തുടങ്ങേണ്ടി വരും. ഫയൽ ഡൌൺലോഡ് ചെയ്യാൻ എത്ര ലോഡ് വേണം? ;160
ജോണ് മൂന്നു മണിക്കൂറോളം 100 കിലോമീറ്റര് വേഗതയില് ഓടിച്ചാണ് തിരിച്ചുപോയത്. കാരണം, വളരെ പ്രധാനപ്പെട്ട ഒരു കാര്യം അവന് വീട്ടിൽ മറന്നുപോയിരുന്നു. നാലു മണിക്കൂറിനകം വീട്ടിലെത്താന് ശ്രമിച്ചെങ്കിലും ആദ്യത്തെ രണ്ടു മണിക്കൂര് ഗതാഗതക്കുരുക്കിലായിരുന്നു. അടുത്ത അരമണിക്കൂർ 30 മൈൽ വേഗതയിൽ ഓടിക്കും, ശേഷിക്കുന്ന 4 മണിക്കൂർ 80 മൈൽ വേഗതയിൽ ഓടിക്കാൻ കഴിയുന്നതിന് മുമ്പ്. ആ 4 മണിക്കൂറിന് ശേഷം അവന് വീട്ടില് നിന്ന് എത്ര ദൂരമുണ്ട്? ;45
എലീസയുടെ ആഴ്ചയിലെ ആദ്യത്തെ 40 മണിക്കൂറിന് 10 ഡോളറാണ് മണിക്കൂറിന് കിട്ടുന്നത്. കൂടാതെ, അവളുടെ സാധാരണ മണിക്കൂറിലെ ശമ്പളത്തിന്റെ 1.2 ഇരട്ടി അധിക വേതനം ലഭിക്കുന്നു. എലീസ ഈ ആഴ്ച 45 മണിക്കൂർ ജോലി ചെയ്തിട്ടുണ്ടെങ്കില്, അവളുടെ ഈ ആഴ്ചയിലെ വരുമാനം എത്ര? ;460
