question;answer;answer_ab
"Một đồng xu là đầu lên. Whitney ném đồng xu. Erika không ném đồng xu. Tj không ném đồng xu. Benito ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Ừ ;A
"Một đồng xu là đầu lên. Lucky không ném đồng xu. Mireya ném đồng xu. JJ ném đồng xu. KC ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Không ;B
"Một đồng xu là đầu lên. Caleb ném đồng xu. Chase ném đồng xu. Eleazar ném đồng xu. Chanel không ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Không ;B
"Một đồng xu là đầu lên. Silvia ném đồng xu. Carolina không ném đồng xu. Stan ném đồng xu. Chuck ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Không ;B
"Một đồng xu là đầu lên. Breanna ném đồng xu. Trey không ném đồng xu. Omar ném đồng xu. Patrice không ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Ừ ;A
"Một đồng xu là đầu lên. Lilian ném đồng xu. Ian ném đồng xu. Bryce ném đồng xu. Aracely không ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Không ;B
"Một đồng xu là đầu lên. Walter không ném đồng xu. Mikayla không ném đồng xu. Larry không ném đồng xu. Ryan không ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Ừ ;A
"Một đồng xu là đầu lên. Angelina ném đồng xu. Layla ném đồng xu. Jenny ném đồng xu. Zane không ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Không ;B
"Một đồng xu là đầu lên. Lizzy ném đồng xu. Juany không ném đồng xu. Aisha ném đồng xu. Brenda không ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Ừ ;A
"Một đồng xu là đầu lên. Elise ném đồng xu. Lupe ném đồng xu. Renee không ném đồng xu. Noemi không ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Ừ ;A
"Một đồng xu là đầu lên. Jesse ném đồng xu. Roderick ném đồng xu. Travis không ném đồng xu. Rita không ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Ừ ;A
"Một đồng xu là đầu lên. Cinthia không ném đồng xu. Lloyd không ném đồng xu. Jacqueline ném đồng xu. JC ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Ừ ;A
"Một đồng xu là đầu lên. Sterling ném đồng xu. Jenifer ném đồng xu. Patsy ném đồng xu. Denise ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Ừ ;A
"Một đồng xu là đầu lên. Beatriz ném đồng xu. Gillian không ném đồng xu. Coco không ném đồng xu. Vivian không ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Không ;B
"Một đồng xu là đầu lên. Hoàng tử ném đồng xu. Rene ném đồng xu. Vishal ném đồng xu. Patrick không ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Không ;B
"Một đồng xu là đầu lên. Jae không ném đồng xu. Dennis không ném đồng xu. Cris ném đồng xu. Bernadette ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Ừ ;A
"Một đồng xu là đầu lên. Hank không ném đồng xu. Janine không ném đồng xu. Frankie ném đồng xu. Isa ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Ừ ;A
"Một đồng xu là đầu lên. Max không ném đồng xu. Mikey không ném đồng xu. Cynthia không ném đồng xu. Holly ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Không ;B
"Một đồng xu là đầu lên. Christy ném đồng xu. Rey không ném đồng xu. Michelle ném đồng xu. Dolly không ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Ừ ;A
"Một đồng xu là đầu lên. Annie không ném đồng xu. Toño ném đồng xu. Sharon ném đồng xu. Delores ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Không ;B
"Một đồng xu là đầu lên. Jessy không ném đồng xu. Libby không ném đồng xu. Danielle ném đồng xu. Red ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Ừ ;A
"Một đồng xu là đầu lên. Jorge không ném đồng xu. Natalia không ném đồng xu. Bryant ném đồng xu. Kiran ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Ừ ;A
"Một đồng xu là đầu lên. Yan không ném đồng xu. Eunice không ném đồng xu. Joseph ném đồng xu. Hugh không ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Không ;B
"Một đồng xu là đầu lên. Melody không ném đồng xu. Ramiro không ném đồng xu. Humberto không ném đồng xu. Jacob không ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Ừ ;A
"Một đồng xu là đầu lên. Domingo không ném đồng xu. Briana ném đồng xu. Michael ném đồng xu. Joan không ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Ừ ;A
"Một đồng xu là đầu lên. Kristopher không ném đồng xu. Deb ném đồng xu. Jake ném đồng xu. Tammy ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Không ;B
"Một đồng xu là đầu lên. Morgan ném đồng xu. Perla không ném đồng xu. Joao không ném đồng xu. Marta không ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Không ;B
"Một đồng xu là đầu lên. Penny ném đồng xu. Harry không ném đồng xu. Jessica không ném đồng xu. Horacio ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Ừ ;A
"Một đồng xu là đầu lên. Billie không ném đồng xu. Paloma không ném đồng xu. Tanner không ném đồng xu. Raul không ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Ừ ;A
"Một đồng xu là đầu lên. Rena không ném đồng xu. Devon không ném đồng xu. Rosalinda không ném đồng xu. Paulina không ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Ừ ;A
"Một đồng xu là đầu lên. Axel ném đồng xu. Osvaldo ném đồng xu. Mildred không ném đồng xu. Sylvia ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Không ;B
"Một đồng xu là đầu lên. Emiliano ném đồng xu. Jasmin ném đồng xu. Wade ném đồng xu. Vilma không ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Không ;B
"Một đồng xu là đầu lên. Lino không ném đồng xu. Mariel không ném đồng xu. Aditya không ném đồng xu. Elisabeth ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Không ;B
"Một đồng xu là đầu lên. Jacky ném đồng xu. Socorro ném đồng xu. Mark ném đồng xu. Wanda không ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Không ;B
"Một đồng xu là đầu lên. Mauricio ném đồng xu. Lee không ném đồng xu. Madi không ném đồng xu. Lizzie ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Ừ ;A
"Một đồng xu là đầu lên. Ruben ném đồng xu. Bernardo ném đồng xu. Ariel không ném đồng xu. Shelley ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Không ;B
"Một đồng xu là đầu lên. Phillip không ném đồng xu. Ajay ném đồng xu. Janie ném đồng xu. Augusto ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Không ;B
"Một đồng xu là đầu lên. Ari ném đồng xu. Jasmine không ném đồng xu. Elliot ném đồng xu. Kendrick ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Không ;B
"Một đồng xu là đầu lên. Margarita ném đồng xu. Anabel ném đồng xu. Shaun ném đồng xu. Celina ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Ừ ;A
"Một đồng xu là đầu lên. Geo không ném đồng xu. Kody không ném đồng xu. Isaias ném đồng xu. Giovanni ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Ừ ;A
"Một đồng xu là đầu lên. Kennedy ném đồng xu. Ginny không ném đồng xu. Iliana ném đồng xu. Sky không ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Ừ ;A
"Một đồng xu là đầu lên. Billy ném đồng xu. Kassandra ném đồng xu. Joy không ném đồng xu. Abe ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Không ;B
"Một đồng xu là đầu lên. Nubia ném đồng xu. Sarah không ném đồng xu. Jalen không ném đồng xu. Kris ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Ừ ;A
"Một đồng xu là đầu lên. Ale không ném đồng xu. Gaspar ném đồng xu. Sonny không ném đồng xu. Simon ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Ừ ;A
"Một đồng xu là đầu lên. Skylar ném đồng xu. Chrissy không ném đồng xu. Misty ném đồng xu. Kike ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Không ;B
"Một đồng xu là đầu lên. Gavin ném đồng xu. Neha không ném đồng xu. Asha không ném đồng xu. Baltazar không ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Không ;B
"Một đồng xu là đầu lên. Camilo ném đồng xu. Becky không ném đồng xu. Eliza không ném đồng xu. Rebecca không ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Không ;B
"Một đồng xu là đầu lên. Isela ném đồng xu. Leslie ném đồng xu. Stacy ném đồng xu. Ingrid không ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Không ;B
"Một đồng xu là đầu lên. Meg không ném đồng xu. Andrey không ném đồng xu. Gerard ném đồng xu. Lilia ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Ừ ;A
"Một đồng xu là đầu lên. Denny ném đồng xu. Carlo ném đồng xu. Reinaldo ném đồng xu. Jessi ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Ừ ;A
"Một đồng xu là đầu lên. Cheri không ném đồng xu. Rico không ném đồng xu. Teo ném đồng xu. Chúa Giê-su không ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Không ;B
"Một đồng xu là đầu lên. Alexandria không ném đồng xu. Meghan không ném đồng xu. Mùa thu không phải là một xu. Robert không ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Ừ ;A
"Một đồng xu là đầu lên. Jr. ném đồng xu. Meredith ném đồng xu. Zoe không ném đồng xu. Robby không ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Ừ ;A
"Một đồng xu là đầu lên. Cô gái xinh đẹp ném đồng xu. Jada ném đồng xu. Sarita không ném đồng xu. Allen ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Không ;B
"Một đồng xu là đầu lên. Shari ném đồng xu. Bella ném đồng xu. Liza không ném đồng xu. Maira không ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Ừ ;A
"Một đồng xu là đầu lên. Lazaro không ném đồng xu. Ana ném đồng xu. Charlotte ném đồng xu. Precious ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Không ;B
"Một đồng xu là đầu lên. Imelda ném đồng xu. Andi ném đồng xu. Mack không ném đồng xu. Rigoberto ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Không ;B
"Một đồng xu là đầu lên. Ashish ném đồng xu. Tracey ném đồng xu. Varun không ném đồng xu. Emil ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Không ;B
"Một đồng xu là đầu lên. Marian không ném đồng xu. Joanne ném đồng xu. Darrin không ném đồng xu. Rohit không ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Không ;B
"Một đồng xu là đầu lên. Julieta ném đồng xu. Zachary ném đồng xu. Jared ném đồng xu. Tyson không ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Không ;B
"Một đồng xu là đầu lên. Vicente không ném đồng xu. Dayana không ném đồng xu. Kasey không ném đồng xu. Lin không ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Ừ ;A
"Một đồng xu là đầu lên. Craig ném đồng xu. Dillon không ném đồng xu. Troy không ném đồng xu. Griselda không ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Không ;B
"Một đồng xu là đầu lên. Rubi không ném đồng xu. Daisy không ném đồng xu. Yadira ném đồng xu. Ông già Noel không ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Không ;B
"Một đồng xu là đầu lên. Dave không ném đồng xu. Ernesto không ném đồng xu. Liam không ném đồng xu. Marsha không ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Ừ ;A
"Một đồng xu là đầu lên. Ira ném đồng xu. Paola ném đồng xu. Jose Antonio không ném đồng xu. Maria không ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Ừ ;A
"Một đồng xu là đầu lên. Manish không ném đồng xu. Lu ném đồng xu. Karl không ném đồng xu. Don ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Ừ ;A
"Một đồng xu là đầu lên. Irving ném đồng xu. Hans ném đồng xu. Moses không ném đồng xu. Nicole không ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Ừ ;A
"Một đồng xu là đầu lên. Micaela không ném đồng xu. Kevin ném đồng xu. Kim cương không ném đồng xu. Ty không ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Không ;B
"Một đồng xu là đầu lên. Maura ném đồng xu. Selvin không ném đồng xu. Tabitha ném đồng xu. Gino ném đồng xu. Đồng xu vẫn còn đầu lên không? Hãy lưu ý rằng ""flip"" ở đây có nghĩa là ""reverse"". ";Không ;B
