question;answer;answer_ab
"Eine Münze ist Kopf oben. Whitney wirft die Münze. Erika wirft die Münze nicht. TJ wirft die Münze nicht. Benito wirft die Münze. Ist die Münze noch Kopf? Beachten Sie, daß ""umdrehen"" hier ""umgekehrt"" bedeutet. ";Ja, das stimmt. ;A
"Eine Münze ist Kopf oben. Lucky wirft die Münze nicht. Mireya wirft die Münze. JJ wirft die Münze. KC wirft die Münze. Ist die Münze noch Kopf? Beachten Sie, daß ""umdrehen"" hier ""umgekehrt"" bedeutet. ";Nein, nein. ;B
"Eine Münze ist Kopf oben. Caleb wirft die Münze. Chase wirft die Münze. Eleazar wirft die Münze. Chanel wirft die Münze nicht. Ist die Münze noch Kopf? Beachten Sie, daß ""umdrehen"" hier ""umgekehrt"" bedeutet. ";Nein, nein. ;B
"Eine Münze ist Kopf oben. Silvia wirft die Münze. Carolina wirft die Münze nicht. Stan wirft die Münze. Chuck wirft die Münze. Ist die Münze noch Kopf? Beachten Sie, daß ""umdrehen"" hier ""umgekehrt"" bedeutet. ";Nein, nein. ;B
"Eine Münze ist Kopf oben. Breanna wirft die Münze. Trey wirft die Münze nicht. Omar wirft die Münze. Patrice wirft die Münze nicht. Ist die Münze noch Kopf? Beachten Sie, daß ""umdrehen"" hier ""umgekehrt"" bedeutet. ";Ja, das stimmt. ;A
"Eine Münze ist Kopf oben. Lilian wirft die Münze. Ian wirft die Münze. Bryce wirft die Münze. Aracely wirft die Münze nicht. Ist die Münze noch Kopf? Beachten Sie, daß ""umdrehen"" hier ""umgekehrt"" bedeutet. ";Nein, nein. ;B
"Eine Münze ist Kopf oben. Walter wirft die Münze nicht. Mikayla wirft die Münze nicht. Larry wirft die Münze nicht. Ryan wirft die Münze nicht. Ist die Münze noch Kopf? Beachten Sie, daß ""umdrehen"" hier ""umgekehrt"" bedeutet. ";Ja, das stimmt. ;A
"Eine Münze ist Kopf oben. Angelina wirft die Münze. Layla wirft die Münze. Jenny wirft die Münze. Zane wirft die Münze nicht. Ist die Münze noch Kopf? Beachten Sie, daß ""umdrehen"" hier ""umgekehrt"" bedeutet. ";Nein, nein. ;B
"Eine Münze ist Kopf oben. Lizzy wirft die Münze. Juany wirft die Münze nicht. Aisha wirft die Münze. Brenda wirft die Münze nicht. Ist die Münze noch Kopf? Beachten Sie, daß ""umdrehen"" hier ""umgekehrt"" bedeutet. ";Ja, das stimmt. ;A
"Eine Münze ist Kopf oben. Elise wirft die Münze. Lupe wirft die Münze. Renee wirft die Münze nicht. Noemi wirft die Münze nicht. Ist die Münze noch Kopf? Beachten Sie, daß ""umdrehen"" hier ""umgekehrt"" bedeutet. ";Ja, das stimmt. ;A
"Eine Münze ist Kopf oben. Jesse wirft die Münze. Roderick wirft die Münze. Travis wirft die Münze nicht. Rita wirft die Münze nicht. Ist die Münze noch Kopf? Beachten Sie, daß ""umdrehen"" hier ""umgekehrt"" bedeutet. ";Ja, das stimmt. ;A
