premise;question;choice1;choice2;label
Ang bagay ay nakabalot sa bubble wrap. ;cause;Ito'y mahina. ;Maliit ito. ;0
Binuksan ko ang aking mga bulsa. ;effect;Nakuha ko ang isang tiket na stub. ;Natagpuan ko ang isang baril. ;0
Napasok ang mga termitas sa bahay. ;effect;Nawala ang mga termitas sa bahay. ;Ang mga termitas ay kumakain sa kahoy sa bahay. ;1
Nakarating sa hangganan ang mga manlalakbay. ;effect;Sinuri ng patrol agent ang kanilang mga pasaporte. ;Inakusahan sila ng patrol agent na nag-smuggling. ;0
Sarado na ang opisina. ;cause;Isang bakasyon iyon. ;Tag-init na iyon. ;0
Wala nang lakas ang dalaga. ;cause;Naglaro siya ng dam. ;Tumalon siya sa lubid. ;1
Nawala ang posisyon ng babae sa hanay. ;cause;Marami pang tao ang pumasok sa linya. ;Lumabas siya sa linya. ;1
Pinilit ng dalaga ang kanyang ilong. ;cause;Nag-sweat ang sanggol sa kanyang bib. ;Nakapag-aaksaya ang sanggol sa diaper niya. ;1
Nagpatugtog ang banda ng kanilang hit song. ;effect;Sumaya ang mga tagapakinig sa musika. ;Ang mga tagapakinig ay may kagalang-galang na nakikinig nang tahimik. ;0
Nais ng dalaga na pasalamatan ang kaniyang guro sa matematika. ;effect;Ang batang babae ay nanatili pagkatapos ng paaralan para sa pag-aaresto. ;Nagdala ang dalaga ng mansanas sa guro. ;1
Natakot ang mga kabataang nakakampe. ;cause;Ang kanilang tagapayo sa kampo ay nagkuwento sa kanila ng kuwento ng multo. ;Nag-toast sila ng marshmallows sa apoy ng kampo. ;0
Naigo ang ulo ng lalaki. ;effect;Nawala siya sa pag-iisip. ;Nakuha niya ang isang pag-aaklas sa utak. ;1
Ang tseke na isinulat ko ay hindi na-refund. ;cause;Ang aking bank account ay walang laman. ;Nakatanggap ako ng pagtaas ng suweldo. ;0
Ang inbox ng e-mail ng lalaki ay puno ng spam. ;effect;Ini-delete niya ang spam. ;Nagpadala siya ng isang malaking email. ;0
Ang marinero ay nasa kuwarentena. ;cause;Siya ay nahaharap sa sakit. ;Siya ay gumaling sa sakit. ;0
Naalala ng dalaga ang code. ;cause;Binanggit niya ito sa kaniyang sarili. ;Nakalimutan niyang isulat ito. ;0
Inibuhos ko ang tubig sa baso. ;effect;Ang tubig ay nagpahinga sa aking uhaw. ;Ang baso ay naging puno. ;1
Ang lalaki ay nanatiling tahimik nang matapos na magsalita ang kaniyang kaibigan. ;cause;Nais niyang suportahan ang kaniyang kaibigan. ;Iniisip niya ang mga salita ng kaniyang kaibigan. ;1
Ako ang may kasalanan sa aksidente. ;effect;Nadama kong may kasalanan ako. ;Nag-file ako ng mga paratang. ;0
Nabulag ang kadena. ;cause;Ang kadena ay nakabalot sa isang gulong. ;May isang nasira na link sa kadena. ;1
Nagpasiya ang mag-asawa na kumpromisyo. ;cause;Napagod na sila sa pagtatalo. ;Hindi nila pinag-usapan ang problema. ;0
Nagpasya ang babae na tumakbo para sa pampublikong opisina. ;effect;Nag-upa siya ng isang tagapangasiwa ng kampanya. ;Nagpatotoo siya sa korte. ;0
Inaasahan ng lalaki na malamig ang panahon sa kaniyang paglalakbay. ;effect;Naglagay siya ng mainit na damit sa kaniyang maleta. ;Naglakbay siya na may malaking maleta. ;0
