m_query;response
Juliak 18 umerekin jolasten zuen. Asteartean 10 ikaslerekin jolasten zen. Astelehenean zenbat umeekin jolasten zen asteartean baino? ;8.0
Juliak 11rekin jolasten du astelehenean. Asteartean 12 umeekin jolasten zen. Asteartean zenbat umeekin jolasten zen? ;1.0
Juliak bost mutilekin jolasten zuen. Asteartean kideekin jardun zuen. 15 umerekin jotzen bazuen, zenbat umeekin jolastu zuen? ;10.0
Juliak astelehenean batzuekin jokatzen zuen. Asteartean 14 ikaslerekin jolasten zen. Pertsona normal batek 16rekin jotzen badu zenbatekin jotzen du astelehenean? ;2.0
Juliak 16rekin jolasten du astelehenean. Astelehenean 12 ume gehiagorekin jolasean ari bazen asteartean baino zenbat ume gehiagorekin jolasean? ;4.0
Juliak 14rekin jolasten du asteartean. Astelehenean 8 umerekin gehiago egiten badute, Asteartean 8 umerekin gehiago. Astelehenean zenbat umeekin jolastu zuen? ;22.0
Juliak 17rekin jolasten zuen astelehenean. 15 asteartean eta bi asteazkenean. Zenbat umerekin jolastu zuen? ;34.0
Juliak astelehenean 15 lagunekin jokatzen zuen, asteartean 18rekin eta asteazkenean 97rekin. Astelehenean eta ostegunean zenbat neskarekin jolastu zuen? ;33.0
Juliak bost umeekin jokatzen zuen, ostegunean 9rekin eta asteazkenean 15rekin. Astelehenean eta asteazkenean zenbat neskarekin jolasten zen? ;20.0
Juliak astelehenean 2 umeekin egiten zuen, asteartean 14rekin eta asteazkenean 16rekin. Astearte eta asteazkenetan zenbat umeekin jolasten zen? ;30.0
Juliak bederatzi umeekin jokatzen zuen, astelehenetan zazpi, asteartean zazpi eta asteazkenean, 96. Astelehenean zenbat umeekin jolasten zen asteartean baino? ;2.0
Juliak astelehenean 14rekin jolasten du. Asteartean 2rekin eta asteazkenean 8rekin. Astelehenean zenbat umeekin jolasten zen asteazkenean baino? ;6.0
Juliak 8 umeekin jolasten zuen astelehenean. 11 asteartean eta 9 asteazkenean. Asteartean zenbat umeekin jolasten zen? Asteazkenean baino ez. ;2.0
Juliak astelehenean 15 lagunekin jokatzen zuen, asteartean 18rekin eta asteazkenean 7rekin. Astelehen eta astearteetan zenbat umeekin jolasten zen? ;26.0
Juliak 13rekin jolasten zuen astelehenean eta 10rekin asteartean. Asteazkenean 15 ikaslerekin kartetan jolasten zen. Zenbat umerekin jolastu zuen? ;38.0
Juliak 7 ume eraman zituen astelehenean eta 13 asteartean. Asteazkenean 20 ikaslerekin kartetan ibili zen. Zenbat umek egiten zuten dantza elkarrekin? ;20.0
Juliak 12 umerekin jolasten zuen. Asteartean 14 ikaslerekin jolasten zen. 34 ordu egin zituen bakarrik lehian bi egunetan. Zenbat umerekin jolastu zuen? ;26.0
Juliak 19rekin jolasten du astelehenean. Asteartean 18 umerekin jolasten zen. Bi egunetan 38 orduz jardun du. Astelehenean zenbat umeekin jolasten zen asteartean baino? ;1.0
Juliak bost mutilekin jolasten zuen asteartean. Astelehenean 6 umeekin jolasean ibili zen. Astelehenean zenbat umeekin jolasten zen asteartean baino? ;1.0
Juliak 18 umerekin egiten zuen jolas txoriburu bat. Astelehenean 4 umeekin eta asteartean beste batzuekin jolasten zen. Zenbat umerekin jolastu zuen asteartean? ;14.0
Juliak asteazkenean lau umeekin jolasten zuen. Astelehenean 6 eta asteartean 17 umeekin jolasten zen. Astelehenean zenbat umeekin jolasten zen asteazkenean baino? ;2.0
Bobbyk gozokiak jan zituen. Ondoren 25 gehiago jaten zituen. 43 goxoki jan baditu zenbat goxoki jan ditu hasieran? ;18.0
Bobbyk 28 goxoki jan zituen. Gero beste 42 jan zituen. 63 txokolate-barra jan zituen. Zenbat gozoki jan zituen Bobbyk? ;70.0
Bobbyk 33 goxoki jan zituen. Gero beste lau jan zituen. Eta hamalau bat txokolate-barra. Zenbat gozoki eta txokolate jan ditu Bobbyk? ;51.0
Bobbyk 38 gozoki jan zituen. Beste 36 hartu zituen. 16 txokolate-barra ere jan zituen. Zenbat gozoki jan zituen Bobbyk txokolateaz gain? ;58.0
Bobbyk 20 gozoki jan zituen, gozokiak eta guzti. 34 goxoki jan zituen. Beste 18 egin zituen martxan. Zenbat gozoki jan zituen Bobbyk? ;52.0
Bobbyk 21 gozoki zituen. 5 goxoki jan zituen. Gero beste 9 jan zituen. Zenbat azukre geratzen da? ;7.0
Bobbyk 22 goxoki zituen. Gozokiak jan zituen. Eta beste bost gehitu zituen. Oraindik 8 txokolate geratzen bazaizkizu, zenbat jan zenituen? ;9.0
Bobbyk 19 goxoki zituen, goxokiak erortzen zitzaizkionetik. Gozokiak jan zituen. Zenbat azukre geratzen da? ;17.0
Bobbyk 32 goxoki zituen. Gozokiak jan zituen. 20 goxoki geratzen bazaizkizu zenbat goxoki jaten dituzu? ;12.0
Bobbyk 17 goxoki jan zituen. Beste 15 hartu zituen. Hasieran 36 goxoki zeuzkan, zenbat gehiago geratzen zitzaizkion? ;4.0
Bobbyk 23 goxoki jan zituen. Hasieran 30 goxoki zeuzkan, zenbat geratzen zitzaizkion? ;7.0
Alanek 5 pilota ekarri ditu, eta Jakek 3 pilota. Zenbateko apustua egin du Allanek Jake-k parkeko erlojuan? ;2.0
Alanek bi pilota ekarri ditu, eta Jakek hiru. Zenbateko apustua egin du Jake-k Allanek baino? ;1.0
Alanek eta Jakek hiru globo ekarri dituzte. Alanek bi pilota ekarri baditu... Zenbat pilota ekarri zituen Jackiek? ;1.0
Jakek sei pilota ekarri zituen. Jake-k Allanek baino 4 aldiz gehiago ekarri baditu... Zenbat ekarri zituen Allanek? ;2.0
Alanek bost pilota ekarri ditu. Jakek sei pilota gehiago baditu, Allanek baino zenbat gehiago? Zenbat pilota ditu parkean? ;11.0
Alanek hiru pilota ekarri ditu, eta Jakek bost. Alanek bi pilota gehiago erosi ditu. Zenbat bala zeuzkaten Alanek eta Jakek? ;10.0
Alanek bi pilota ekarri ditu, eta Jakek lau. Alanek hiru pilota gehiago erosi ditu. Zenbateko apustua egin du Allanek Jake-k parkeko erlojuan? ;1.0
Alanek bi pilota ekarri ditu, eta Jakek sei. Alanek hiru pilota gehiago erosi ditu. Zenbateko apustua egin du Jake-k Allanek baino? ;1.0
Alanek 5 pilota ekarri ditu, eta Jakek 4 pilota. Alanek hiru pilota gehiago erosi ditu. Allanek zenbat pilota ekarri zituen? ;8.0
Alanek sei pilota ekarri zituen eta Jakek bi. Jakek hiru pilota gehiago erosi zituen. Zenbateko apustua egin du Allanek Jake-k parkeko erlojuan? ;1.0
Alanek sei pilota ekarri ditu, eta Jakek hiru. Jakek lau pilota gehiago erosi zituen. Zenbateko apustua egin du Jake-k Allanek baino? ;1.0
Alanek 5 pilota ekarri ditu, eta Jakek 6koa. Jakek hiru pilota gehiago erosi zituen. Zenbat bala zeuzkan Jakek parkean? ;9.0
Alanek 3 pilota eta 20 pilota ekarri zituen. Jake-k 5 pilota eta 59 pilota ekarri zituen. Zenbat bala zeuzkaten Alanek eta Jakek? ;8.0
Alanek 7 pilota eta 5 pilota ekarri zituen eta Jake-k 6 pilota eta 4 pilota. Zenbat pilota zituen Alanek eta Jakek parkean? ;9.0
Alanek bost pilota ekarri ditu. Alanek eta Jakek 6 pilota besterik ez badute ekarri parkean... zenbat pilota ditu Jake-k? ;1.0
Alanek bi pilota ekarri zituen, eta hiru han erosi zituen. Jakek sei pilota ditu, eta zenbat pilota ditu Allanek baino gehiago? ;1.0
Egunero, Ryanek sei ordu ematen ditu ingelesa ikasten eta bi txinera ikasten. Zenbat ordu ingelesez ikasten pasatzen ditu ordubete txinera ikasten duen baino? ;4.0
Egunero, Ryanek sei ordu ematen ditu ingelesa ikasten eta zazpi beste, txinera ikasten. Zenbat ordu pasatzen ditu txinera ikasten ingelesa ikasteko baino? ;1.0
Egunero hiru ordu pasatzen ditu ingelesa ikasten eta beste ordu batzuk txinera ikasten. Egunean 4 ordu ematen baditu ingelesa eta txinera ikasten zenbat ordu ematen ditu txinera ikasten? ;1.0
Egunero, Ryanek 7 ordu ematen ditu ingelesa ikasten eta beste ordu batzuk txinera ikasten. Bi ordu ingelesez ikasten emanez gero, zenbat txinera ikasiko du? ;5.0
Egunero, Ryanek 5 ordu ematen ditu txinera ikasten eta beste ordu gehiago ingelesa ikasten. Bi ordu ingelesez ikasten emanez gero, txinera baino gehiago, zenbat ordu ingelesez? ;7.0
Egunero, Ryanek sei ordu ematen ditu ingelesa ikasten eta zazpi beste, txinera ikasten. Bost eguneko erronka egiten badiezu zenbat ordu ematen dituzu ingelesa eta txinera ikasten? ;65.0
Egunero, Ryanek 6 ordu ematen ditu ingelesa ikasten eta 5 ordu txinera ikasten. Bi egunetan zehar ingelesez ikasten jarriko balu, zenbat ordu beharko lituzke? ;12.0
Egunero, Ryanek 5 ordu ematen ditu ingelesa ikasten eta 4 txinera ikasten. Sei egunetan, guztira, zenbat ordu ematen ditu txinera ikasten? ;24.0
