premise;question;choice1;choice2;label
Položka bola zabalená v bublinkovej fólii. ;cause;Bolo to krehké. ;Bolo to malé. ;0
Vyprázdnil som si vrecká. ;effect;Získala som lístok. ;Našiel som zbraň. ;0
Termity napadli dom. ;effect;Termity zmizli z domu. ;Termity sa prežrali drevom v dome. ;1
Cestujúci dosiahli hranicu. ;effect;Strážnik im skontroloval pasy. ;Hliadková agentka ich obvinila z pašovania. ;0
Kancelária bola zatvorená. ;cause;Bolo to sviatky. ;Bolo leto. ;0
Dievčaťu došla energia. ;cause;Hrála šachy. ;Preskočila na lano. ;1
Žena stratila svoje miesto v rade. ;cause;Do fronty vstúpilo viac ľudí. ;Vystúpila z radu. ;1
Dievča si uštiplo nos. ;cause;Dieťa sa mu slintalo na chlopník. ;Dieťa jej zašpinilo plienku. ;1
Kapela hrála ich hitovú pieseň. ;effect;Diváci tlieskali spolu s hudbou. ;Diváci slušne počúvali v tichu. ;0
Dievča sa chcela poďakovať učiteľke matematiky. ;effect;Dievča zostalo po škole kvôli zadržaniu. ;Dievča prinieslo učiteľke jablko. ;1
Mladí táborníci sa báli. ;cause;Ich táborový poradca im povedal príbeh o duchovi. ;Pri táborovom ohni si pražili marshmallows. ;0
Ten muž sa udrel do hlavy. ;effect;Zabudol sa v myšlienkach. ;Má otras mozgu. ;1
Šek, ktorý som napísal, sa nezaplatil. ;cause;Môj bankový účet bol prázdny. ;Zaslúžil som si zvýšenie platu. ;0
Jeho e-mailová schránka bola plná spamu. ;effect;Vymazal spam. ;Poslal masový e-mail. ;0
Ten námorník bol v karanténe. ;cause;Bol vystavený chorobe. ;Zotavil sa z choroby. ;0
Dievča si zapamätalo kód. ;cause;Recitovala si ju sama. ;Zabudla si to zapísať. ;0
Nalila som vodu do pohára. ;effect;Voda mi uhasila smäd. ;Pohár sa naplnil. ;1
Keď jeho priateľ skončil, muž mlčal. ;cause;Chcel ponúknuť priateľovi podporu. ;Rozmýšľal nad slovami svojho priateľa. ;1
Nehoda bola moja vina. ;effect;Cítil som sa vinný. ;Vydala som žalobu. ;0
Reťaz sa rozpadla. ;cause;Ten reťazec bol omotaný okolo pneumatiky. ;V reťazci bolo zlomené spojenie. ;1
Manželia sa rozhodli urobiť kompromis. ;cause;Už ich nebaví hádať sa. ;Vyhýbajú sa diskusii o probléme. ;0
Žena sa rozhodla kandidovať na verejnú funkciu. ;effect;Najala manažéra kampane. ;Svedčila na súde. ;0
Muž očakával na svojej ceste chladné počasie. ;effect;Do kufra si dal teplé oblečenie. ;Cestoval s veľkým kufrom. ;0
Študent poznal odpoveď na otázku. ;effect;Zdvihol ruku. ;Zbláznil sa. ;0
Mužovi sa z očí vypĺňali slzy. ;cause;Vstúpil mu prach do očí. ;Dal si na oči ochranné okuliare. ;0
Hráč vyhral päť zápasov za sebou. ;effect;Jej súper ju obvinil z podvodu. ;Jej protivník ju ľutoval. ;0
Učiteľ roztrhal študentovu skúšku. ;cause;Chytil študenta, ako podvádza. ;Odpovede študenta boli nesprávne. ;0
Zastavil som sa, aby som prestal hovoriť. ;cause;Stratil som hlas. ;Zostalo mi dych. ;1
Mrazené jedlo sa roztopil. ;cause;Dal som ho do mikrovlnnej rúry. ;Zakryla som ju plastovou fóliou. ;0
Zamestnanec predstieral, že je chorý. ;cause;Mal kŕče žalúdka. ;Chcel deň voľna. ;1
Dievča spadlo do bazéna. ;cause;Bežala po bazénovej ploche. ;Skočila z odrazovej dosky. ;1
V kinách sa vypredali všetky lístky. ;cause;Bol to deň premiéry filmu. ;Film dostal zlé recenzie. ;0
