premise;question;choice1;choice2;label
Produsul era ambalat în folie cu bule. ;cause;Era fragilă. ;Era mică. ;0
Mi-am golit buzunarele. ;effect;Am recuperat un bilet de călătorie. ;Am găsit o armă. ;0
Termitele au invadat casa. ;effect;Termitele au dispărut din casă. ;Termitele au mâncat lemnul din casă. ;1
Călătorii au ajuns la graniţă. ;effect;Agentul de patrulare le-a verificat paşapoartele. ;Agentul de patrulare i-a acuzat de contrabandă. ;0
Biroul era închis. ;cause;Era o sărbătoare. ;Era vara. ;0
Fata a rămas fără energie. ;cause;A jucat dame. ;A sărit de sfoară. ;1
Femeia şi-a pierdut locul în rând. ;cause;Mai mulţi oameni au intrat în rând. ;A ieşit din rând. ;1
Fata şi-a ciupit nasul. ;cause;Copilul a salivat pe bibă. ;Copilul i-a murdărit scutecul. ;1
Trupa a cântat hitul lor. ;effect;Publicul a aplaudat pe muzică. ;Audienţa a ascultat cu politeţe în tăcere. ;0
Fata a vrut să-i mulţumească profesorului de matematică. ;effect;Fata a rămas după ore pentru detenţie. ;Fata i-a adus profesorului un măr. ;1
Tinerii de la tabără s-au speriat. ;cause;Consilierul lor de tabără le-a spus o poveste cu fantome. ;Au prăjit bomboane pe focul de tabără. ;0
Omul s-a lovit la cap. ;effect;S-a pierdut în gânduri. ;A avut o contuzie. ;1
Cecul pe care l-am scris a fost refuzat. ;cause;Contul meu bancar era gol. ;Am câştigat o mărire de salariu. ;0
Cutia de e-mail a omului era plină de spam. ;effect;A şters mesajele spam. ;A trimis un e-mail în masă. ;0
Marinarul a fost pus în carantină. ;cause;A fost expus la boală. ;S-a vindecat de boală. ;0
Fata a memorat codul. ;cause;Ea a recitat-o pentru ea. ;A uitat să-l scrie. ;0
Am turnat apa în pahar. ;effect;Apa mi-a potolit setea. ;Sticla s-a umplut. ;1
Bărbatul a rămas tăcut când prietenul său a terminat de vorbit. ;cause;A vrut să-şi ofere sprijin prietenului său. ;Se gândea la cuvintele prietenului său. ;1
Accidentul a fost vina mea. ;effect;M-am simţit vinovat. ;Am depus plângere. ;0
Lanţul s-a destrămat. ;cause;Lanţul era înfăşurat în jurul unei anvelope. ;A fost o verigă ruptă în lanţ. ;1
Cuplul a decis să facă un compromis. ;cause;S-au săturat să se certe. ;Ei au evitat să discute problema. ;0
Femeia a decis să candideze pentru funcţii publice. ;effect;A angajat un manager de campanie. ;A depus mărturie în instanţă. ;0
Omul a anticipat că va fi frig în călătoria sa. ;effect;A împachetat haine calde în valiză. ;A călătorit cu o valiză mare. ;0
Studentul știa răspunsul la întrebare. ;effect;El a ridicat mâna. ;A făcut o prostie. ;0
Ochii omului au început să plângă. ;cause;A intrat praf în ochi. ;Şi-a pus ochelari de protecţie pe ochi. ;0
Jucătorul a câştigat cinci jocuri la rând. ;effect;Adversarul ei a acuzat-o de înșelătorie. ;Adversarul ei a simţit milă de ea. ;0
Profesorul a rupt examenul elevului. ;cause;L-a prins pe elev înşelând. ;Răspunsurile elevului erau incorecte. ;0
Am făcut o pauză ca să nu mai vorbesc. ;cause;Mi-am pierdut vocea. ;Mi-a rămas respiraţia. ;1
Mâncarea îngheţată s-a dezgheţat. ;cause;Am pus-o în cuptorul cu microunde. ;Am acoperit-o cu folie de plastic. ;0
Angajatul s-a prefăcut că e bolnav. ;cause;Avea crampe la stomac. ;A vrut o zi liberă. ;1
Fata a aterizat în piscină. ;cause;A alergat pe puntea piscinei. ;A sărit de pe trambulină. ;1
Biletele de film s-au vândut. ;cause;Era ziua de deschidere a filmului. ;Filmul a primit critici slabe. ;0
Omul a slăbit. ;effect;Oamenii l-au izolat. ;Oamenii îl lăudau. ;1
Mâinile fetei au devenit cu bule. ;cause;A scris o scrisoare. ;A urcat pe o frânghie. ;1
Artistul de circ jonglează în timp ce conduce o monocicletă. ;effect;Publicul a aplaudat cu uimire. ;Acrobatul s-a aruncat de pe un trapez. ;0
Mi-am pierdut răbdarea. ;cause;Prietenul meu m-a făcut să aştept. ;Prietenul meu a ajuns la timp. ;0
Ţările în conflict doreau pacea. ;effect;Au dezvoltat arme nucleare. ;Au negociat un tratat. ;1
Omul a luat somnifere. ;effect;A devenit somnoros. ;Avea febră. ;0
Femeia s-a lovit de canapea. ;effect;Piciorul canapelei s-a dezlegat. ;Şi-a lovit genunchiul. ;1
Băiatul a strâns balonul. ;effect;Balonul a explodat. ;Balonul a zburat departe. ;0
Călătorii s-au cazat în camera lor de hotel. ;effect;Au despachetat valizele. ;Au plecat la aeroport. ;0
Am muşcat în piersică. ;effect;Piersicul e înţepenit. ;A vărsat suc. ;1
Mi s-au lipicit mâinile. ;cause;Am mâncat o gogoaşă. ;Am avut un dinte dulce. ;0
Am împins uşa. ;effect;Uşa s-a deschis. ;Uşa e încuiată. ;0
Activistii au boicotat produsele. ;cause;Produsele au fost testate pentru asigurarea calității. ;Produsele au fost fabricate prin munca copiilor. ;1
Am făcut o gaură în perete. ;effect;Un şoarece a ieşit din gaură. ;Praful a fost aruncat din gaură. ;1
Femeia era invidioasă pe sora ei. ;cause;Sora ei era fericită. ;Sora ei a divorţat. ;0
Mi-am vărsat vin pe cămaşă. ;effect;Am pus un şorţ. ;Mi-am schimbat cămaşa. ;1
Casierul a deschis casa de marcat. ;cause;Clientul şi-a căutat în portofel. ;Clientul i-a dat banii. ;1
Muzicianul de stradă a atras o mulţime. ;effect;Oamenii i-au dat schimbare. ;El a trimis mulţimea departe. ;0
Băiatul a plâns la dădaca lui. ;cause;I-a fost dor de părinţii lui. ;Era ora gustărilor. ;0
Radarul pilotului a detectat o furtună. ;effect;Pilotul a navigat departe de furtună. ;Pilotul a zburat prin furtună. ;0
