question;answer_number
Os patos da Janet põem 16 ovos por dia. Ela come três para o pequeno-almoço todas as manhãs e faz muffins para os amigos todos os dias com quatro. Ela vende o restante no mercado de fazendeiros diariamente por US$ 2 por ovo de pato fresco. Quanto dinheiro ela ganha todos os dias no mercado de agricultores? ;18
Um manto precisa de 2 parafusos de fibra azul e metade da fibra branca. Quantos parafusos é que são necessários? ;3
O Josh decide tentar virar uma casa. Ele compra uma casa por 80.000 dólares e depois põe 50.000 dólares em reparos. Isso aumentou o valor da casa em 150%. Quanto lucro ele fez? ;70000
James decide correr 3 sprints 3 vezes por semana. Ele corre 60 metros em cada corrida. Quantos metros ele corre por semana? ;540
Todos os dias, Wendi alimenta cada uma das suas galinhas com três xícaras de alimento para galinhas misturado, contendo sementes, minhocas e vegetais para ajudar a mantê-las saudáveis. Ela dá às galinhas a comida em três refeições separadas. De manhã, ela dá ao rebanho de galinhas 15 xícaras de alimento. À tarde, ela dá aos frangos mais 25 xícaras de alimento. Quantas xícaras de alimento ela precisa dar às galinhas na última refeição do dia se o rebanho de Wendi tem 20 galinhas? ;20
O Kylar foi à loja comprar óculos para o seu novo apartamento. Um copo custa 5 dólares, mas cada segundo copo custa apenas 60% do preço. O Kylar quer comprar 16 copos. Quanto é que ele precisa de pagar por eles? ;64
Toulouse tem o dobro de ovelhas que Charleston. Charleston tem 4 vezes mais ovelhas do que Seattle. Quantas ovelhas Toulouse, Charleston e Seattle têm juntas se Seattle tem 20 ovelhas? ;260
A Carla está a descarregar um ficheiro de 200 GB. Normalmente ela pode baixar 2 GB/minuto, mas 40% do caminho através do download, o Windows força uma reinicialização para instalar atualizações, o que leva 20 minutos. Então a Carla tem de reiniciar o download desde o início. Quanto tempo é necessário para baixar o arquivo? ;160
John dirige por 3 horas a uma velocidade de 100 km/h e depois vira porque percebe que esqueceu algo muito importante em casa. Ele tenta chegar em casa em 4 horas, mas passa as primeiras 2 horas no trânsito paralisado. Ele passa a próxima meia hora dirigindo a uma velocidade de 30 mph, antes de ser capaz de dirigir o tempo restante das 4 horas indo a 80 mph. A que distância está ele de casa no final dessas 4 horas? ;45
A taxa de Eliza por hora, nas primeiras 40 horas de trabalho, é de 10 dólares por semana. Ela também recebe um salário de horas extras de 1,2 vezes a sua taxa horária regular. Se a Eliza trabalhou 45 horas esta semana, quanto é que ela ganhou esta semana? ;460
Um novo programa teve 60 downloads no primeiro mês. O número de downloads no segundo mês foi três vezes maior do que o número de downloads no primeiro mês, mas depois diminuiu 30% no terceiro mês. Quantos downloads o programa teve no total nos três meses? ;366
