m_query;response
জুলিয়া সোমবার ১৮ জন বাচ্চার সাথে টেগ খেলেছে । সে মঙ্গলবার ১০ জন বাচ্চার সাথে টেগ খেলত । সে মঙ্গলবারের চেয়ে সোমবার কত বেশি বাচ্চাদের সাথে খেলেছে? ;8.0
জুলিয়া সোমবার ১১ জন বাচ্চার সাথে টেগ খেলেছে । সে মঙ্গলবার ১২ জন বাচ্চার সাথে টেগ খেলত । সে মঙ্গলবার কতগুলো বাচ্চাদের সাথে খেলেছে সোমবারের চেয়ে? ;1.0
জুলিয়া সোমবার পাঁচটা বাচ্চাদের সাথে টেগ খেলেছে । সে মঙ্গলবার আরও কিছু বাচ্চাদের সাথে টেগ খেলেছে । যদি সে মোট ১৫ জনের সাথে খেলে তাহলে সে মঙ্গলবার কতজন বাচ্চাদের সাথে খেলেছে? ;10.0
জুলিয়া সোমবার বাচ্চাদের সাথে টেগ খেলেছে । সে মঙ্গলবার ১৪ জন বাচ্চাদের সাথে টেগ খেলেছে । যদি সে মোট ১৬ জনের সাথে খেলে তাহলে সে সোমবার কতজন বাচ্চাদের সাথে খেলে? ;2.0
জুলিয়া সোমবার ১৬ জন বাচ্চার সাথে টেগ খেলেছে । যদি সে মঙ্গলবারের চেয়ে সোমবার ১২ জন বাচ্চাদের সাথে টেগ খেলে তাহলে মঙ্গলবার সে কতজন বাচ্চাদের সাথে খেলে? ;4.0
জুলিয়া মঙ্গলবার ১৪ জন বাচ্চাদের সাথে টেগ খেলেছে । সে যদি সোমবার ৮ জনের বেশি বাচ্চাদের সাথে টেগ খেলে তাহলে সে সোমবার কতজন বাচ্চাদের সাথে খেলে? ;22.0
জুলিয়া ১৭ জনের সাথে সোমবার খেলা করেছে ১৫ জন মঙ্গলবার আর ২ জন বুধবার সে মোট কত জনের সাথে খেলেছে? ;34.0
জুলিয়া সোমবার ১৫ জনের সাথে খেলত, মঙ্গলবার ১৮ জন এবং বুধবার ৯৭ জনের সাথে খেলত । সে কতগুলো বাচ্চাদের সাথে খেলছে সোমবার এবং মঙ্গলবার? ;33.0
জুলিয়া সোমবার ৫ জনের সাথে খেলা করেছে, মঙ্গলবার ৯ জন, আর বুধবার ১৫ জনের সাথে খেলা করেছে । সে সোমবার আর বুধবার কতগুলো বাচ্চাদের সাথে খেলেছে? ;20.0
জুলিয়া সোমবার ২ জনের সাথে খেলা করতো, মঙ্গলবার ১৪ জন আর বুধবার ১৬ জনের সাথে খেলতো । সে মঙ্গলবার এবং বুধবার কতগুলো বাচ্চাদের সাথে খেলেছে? ;30.0
জুলিয়া সোমবার ৯ জনের সাথে টেগ খেলেছে, মঙ্গলবার ৭ জন, আর বুধবার ৯৬ জন । সে মঙ্গলবারের চেয়ে সোমবার কত বেশি বাচ্চাদের সাথে খেলেছে? ;2.0
জুলিয়া সোমবার ১৪ জনের সাথে টেগ খেলেছে, মঙ্গলবার ২ জন, আর বুধবার ৮ জন । সে বুধবারের চেয়ে সোমবার কত বেশি বাচ্চাদের সাথে খেলেছে? ;6.0
জুলিয়া সোমবার ৮ জনের সাথে খেলা করে, মঙ্গলবার ১১ জন, আর বুধবার ৯ জন । সে মঙ্গলবার বুধবারের চেয়ে কত বেশি বাচ্চাদের সাথে খেলেছে? ;2.0
জুলিয়া সোমবার ১৫ জনের সাথে টেগ খেলেছে, মঙ্গলবার ১৮ জন এবং বুধবার ৭ জনের সাথে । সে সোমবার এবং মঙ্গলবার বুধবারের চেয়ে কত বেশি বাচ্চাদের সাথে খেলেছে? ;26.0
জুলিয়া সোমবার ১৩ জন এবং মঙ্গলবার ১০ জন বাচ্চাদের সাথে টেগ খেলেছে । সে বুধবার ১৫ জন বাচ্চাদের সাথে কার্ড খেলেছে । সে মোট কত জনের সাথে খেলেছে? ;38.0
জুলিয়া সোমবার ৭ জন এবং মঙ্গলবার ১৩ জন বাচ্চাদের সাথে টেগ খেলেছে । সে বুধবার ২০ জন বাচ্চাদের সাথে কার্ড খেলেছে । সে কতগুলো বাচ্চাদের সাথে ট্যাগ খেলেছিল? ;20.0
জুলিয়া সোমবার ১২ জন বাচ্চাদের সাথে টেগ খেলেছে । সে মঙ্গলবার ১৪ জন বাচ্চাদের সাথে টেগ খেলেছে । সে দুই দিনেই মোট ৩৪ ঘণ্টা টেগ খেলতে ব্যয় করেছে । সে মোট কত জনের সাথে খেলেছে? ;26.0
