question;answer_number
Els ànecs de Janet posen 16 ous al dia. Cada matí menja tres per esmorzar i cuina muffins per als seus amics cada dia amb quatre. Ella ven el que queda al mercat de grangers diàriament per 2 dòlars per ous de pato frescos. Quant guanya en dòlars cada dia al mercat de grangers? ;18
Una túnica requereix 2 bolts de fibra blava i la meitat de fibra blanca. Quants perns en total fa falta? ;3
Josh decideix intentar tornar una casa. Compra una casa per 80.000 dòlars i després hi posa 50.000 per a reparacions. Això va augmentar el valor de la casa en un 150%. Quant de beneficis va fer? ;70000
James decideix córrer 3 sprints 3 vegades a la setmana. Corre 60 metres cada sprint. Quants metres corre per setmana? ;540
Cada dia, Wendi alimenta cada un dels seus pollastres amb tres tasses de menjar mixt, que conté llavors, cucs de farina i verdures per ajudar a mantenir-los sans. Ella dóna als pollastres el seu aliment en tres àpats separats. Al matí, dóna al seu ramat de pollastres 15 tasses de menjar. A la tarda, dóna als pollastres 25 tasses més de menjar. Quantes tasses d'aliment necessita per donar als seus pollastres en l'últim menjar del dia si la mida del ramat de Wendi és de 20 pollastres? ;20
Kylar va anar a la botiga a comprar ulleres per al seu nou apartament. Un got costa 5 dòlars, però cada segon got costa només el 60% del preu. Kylar vol comprar 16 gots. Quant ha de pagar per ells? ;64
Toulouse té el doble de ovelles que Charleston. Charleston té 4 vegades més ovelles que Seattle. Quantes ovelles tenen Toulouse, Charleston i Seattle juntes si Seattle té 20 ovelles? ;260
La Carla està descarregant un fitxer de 200 GB. Normalment pot descarregar 2 GB/minut, però el 40% del camí a través de la descàrrega, Windows obliga a un reinici per instal·lar actualitzacions, que triga 20 minuts. Llavors la Carla ha de reiniciar la descàrrega des del principi. Quant de càrrega es necessita per descarregar el fitxer? ;160
John condueix durant 3 hores a una velocitat de 100 km/h i després es torna perquè s'adona que ha oblidat una cosa molt important a casa. Intenta arribar a casa en 4 hores però passa les primeres 2 hores en el trànsit. Passa la següent mitja hora conduint a una velocitat de 30 mph, abans de ser capaç de conduir el temps restant de les 4 hores a 80 mph. A quina distància està de casa al final d'aquestes 4 hores? ;45
La tarifa per hora d'Eliza per les primeres 40 hores que treballa cada setmana és de 10 dòlars. També rep un pagament per hores extras de 1,2 vegades la seva tarifa horària habitual. Si Eliza va treballar 45 hores aquesta setmana, quants diners guanya? ;460
Un nou programa va tenir 60 descàrregues en el primer mes. El nombre de descàrregues al segon mes va ser tres vegades més que el del primer mes, però després va disminuir un 30% al tercer mes. Quantes descàrregues va tenir el programa en total durant els tres mesos? ;366
Toula va anar a la pastisseria i va comprar diversos tipus de pastissos. Va comprar 3 dotzenes de rosquets que van costar 68 $ per dotzena, 2 dotzenes de mini cupcakes que van costar 80 $ per dotzena, i 6 dotzenes de mini cheesecakes per 55 $ per dotzena. Quant va costar tot plegat? ;694
Carlos està plantant un arbre de llimona. El cost de plantar l'arbre serà de 90 dòlars. Cada any hi creixen 7 llimons, que pot vendre per $1,5 cada un. Costarà 3 dòlars l'any per regar i alimentar l'arbre. Quants anys passaran abans que comenci a guanyar diners amb el llimoner? ;13
Melanie és una venedora de porta a porta. Va vendre un terç de les seves aspiradores a la casa verda, dues més a la casa vermella, i la meitat del que quedava a la casa taronja. Si a la Melanie li queden 5 aspiradores, amb quantes va començar? ;18
En una classe de ball de 20 estudiants, el 20% s'inscriuen en dansa contemporània, el 25% de la resta s'inscriuen en dansa de jazz, i la resta s'inscriuen en dansa de hip-hop. Quin percentatge de tots els estudiants s'havien matriculat en el ball hip-hop? ;60
Un comerciant vol fer una elecció de compra entre 2 plans de compra: joies per 5.000 dòlars o aparells electrònics per 8.000 dòlars. El seu assessor financer especula que el mercat de joies augmentarà un 2,5% mentre que el mercat de gadgets electrònics augmentarà un 1,2% en el mateix mes. Si el comerciant està buscant maximitzar el benefici a la fi d'aquest mes fent una elecció, quant de benefici seria? ;125
Dos trens surten de San Rafael al mateix temps. Comencen a viatjar cap a l'oest, tots dos viatjant per 130 quilòmetres. L'endemà, viatgen cap al nord, cobrint 240 quilòmetres. Quina és la distància coberta per cada tren en els dos dies? ;230
A Jill se li paga 20 $ per hora per ensenyar i 30 $ per ser entrenadora de porristes. Si treballa 50 setmanes a l'any, 35 hores a la setmana com a professora i 15 hores a la setmana com a entrenadora, quin és el seu salari anual? ;57500
La Claire fa una omeleta de tres ous cada matí per esmorzar. Quantes dotzenes d'ous menjarà en 4 setmanes? ;7
Marissa està fent una caminada de 12 milles. Va trigar una hora a caminar les primeres 4 milles, i després una altra hora per caminar les següents dues milles. Si vol que la seva velocitat mitjana sigui de 4 milles per hora, quina velocitat (en milles per hora) necessita per caminar la distància restant? ;6
Tinc 10 litres de beguda de taronja que són dues terceres parts d'aigua i vull afegir-ho a 15 litres de beguda d'ananàs que són tres quintes parts d'aigua. Però mentre el verto, desemboco un litre de la beguda de la taronja. Quanta aigua hi ha en els 24 litres restants? ;15
Raymond i Samantha són cosins. Raymond va néixer sis anys abans que Samantha. Raymond va tenir un fill als 23 anys. Si Samantha té ara 31 anys, fa quants anys va néixer el fill de Raymond? ;14
Billy ven DVDs. Té 8 clients el dimarts. Els seus primers 3 clients compren un DVD cada un. Els seus dos clients següents compren dos DVD cadascun. Els seus últims 3 clients no compren DVD. Quants DVD va vendre Billy el dimarts? ;7
Una vela es fon 2 centímetres cada hora que crema. Quants centímetres més curt serà un candela després de cremar de la 1:00 a les 5:00 PM? ;8
Kyle va comprar el llibre més venut de l'any passat per 19,50 dòlars. Amb un descompte del 25% sobre el preu original. Quin era el preu original del llibre? ;26
La Marie va demanar un menjar de pollastre que costava 12 dòlars, 5 paquets de llet que costaven 3 dòlars cada un, 4 pomes que costaven 1,50 dòlars cada una, i algunes caixes de pizza. Marie va pagar un total de 50 dòlars. Quantes caixes de pizza va demanar la Marie si cada caixa costa 8,50 dòlars? ;2
Mishka va comprar 3 parells de pantalons curts, 3 parells de pantalons i 3 parells de sabates. Un parell de pantalons curtos costa 16.50 dòlars. Un parell de pantalons costa 22,50 dòlars i un parell de sabates costa 42 dòlars. Quants dòlars va gastar Mishka en totes les peces de roba? ;243
Cynthia menja una porció de gelat cada nit. Compra cartons de gelats amb 15 porcions de gelat per cartó a un cost de $4.00 per cartó. Després de 60 dies, quant gastarà en gelats? ;16
Henry va fer dues parades durant el seu viatge de 60 milles amb bicicleta. El primer que va fer va ser parar després de 20 milles. La seva segona parada va ser a 15 milles abans del final del viatge. Quants quilòmetres va recórrer entre la primera i la segona parada? ;25
Gloria està comprant sabates quan es troba amb un parell de botes que encaixen amb el seu pressupost de sabates. No obstant això, ha de triar entre les botes i dos parells de tacos alts que junts costen cinc dòlars menys que les botes. Si un parell de tacos costa 33 dòlars i l'altre costa el doble, quants dòlars són les botes? ;104
