m_query;response
Juliaqa lunes punchawkuna 18 wawakunawan pukllaykurqan. Martes punllaca 10 huahuagunahuanmi tandanajuicunata rurarca. ¿ Maykʼajtaj paywan khuska pukllaykorqa? ;8.0
Julioqa 11 wawakunawan khuska tʼaqa pukllaykorqa. Martes pʼunchaypi 12 wawakunawan tʼaqa pukllaq kasharqa. ¿ Mayqentaq astawan juñurqan martes pʼunchaypi lunes pʼunchaymantaqa? ;1.0
Juliaqa 5 wawakunawan khuska pukllaykorqa. Martes pʼunchayqa waj wawastawan tʼaqasqa. 15 wawakunawan pukllachkaptinqa, ¿ qanchis wawakunawanchu pukllachkaptin martespi? ;10.0
Juliaqa lunes pʼunchay wakin wawqewan tʼaqasqa. Martes punllaca 14 huahuagunahuanmi tandanajuicunata rurarca. 16 wawakunawan pukllachkaptinqa, ¿ qanchis wawakunawanchu pukllachkaptin lunes p'unchaypi? ;2.0
Juliaqa 16 wawakunawan khuska tʼaqa pukllaykorqa. Sichus lunes pʼunchaypi 12 wawakunawan qʼepichakusqa karqa, ¿ qanchis wawakunawantaq juñukusqa karqa martes pʼunchaypi? ;4.0
Julioqa 14 wawakunawan tʼaqanakurqan. Sichus pay 8 wawakunawan juñukuyta pukllachkarqa, ¿ mayqentaq juñukurqa? ;22.0
Juliaqa 17 wawakunawan lunes punchawkuna pukllaykurqan, 15 wawakunawan martes punchawkuna, 2 wawakunawan miércoles punchawkuna. ¿ Mayqentaq paywan pukllaq kanku? ;34.0
Juliaqa 15 wawakunawan lunes punchawkuna 18 wawakunawan martes punchawkunawan 97 wawakunawan miércoles punchawkunawan pukllarqanku. ¿ Qanchis wawakunawanchu pukllaykurqa lunes, martes ima? ;33.0
Juliaqa 5 wawakunawan lunes punchawkuna 9 wawakunawan martes punchawkunawan 15 wawakunawan miércoles punchawkunawan pukllarqanku. ¿ Qanchis wawakunawanchu pukllaykurqa? ;20.0
Juliaqa, lunes pʼunchaypi iskay wawakunawan tʼaqa pukllaq karqa, martes pʼunchaypi 14 wawakunawan, miércoles pʼunchaypi 16 wawakunawan ima. ¿ Qanchis wawakunawanchu pukllaykurqa martes, miércoles punchawkuna? ;30.0
Juliaqa 9 wawakunawan lunes punchawkuna pukllaykurqan, 7 wawawan martes punchawkuna, 96 wawawantaq miércoles punchawkuna. ¿ Maykʼajtaj paywan khuska pukllaykorqa? ;2.0
Juliaqa 14 wawakunawan lunes punchawkuna pukllaykurqan, iskay wawawan martes punchawkuna, pusaq wawawantaq miércoles punchawkuna. ¿ Mayqentaq astawan juñurqan lunes pʼunchaypi juñurqan miércoles pʼunchaypiwan? ;6.0
Juliaqa 8 wawakunawan lunes punchawkuna pukllaykurqan, 11 wawakunawan martes punchawkuna, 9 wawakunawan miércoles punchawkuna. ¿ Mayqentaq astawan juñurqan martespi juñurqan miércolespiwan? ;2.0
Juliaqa 15 wawakunawan lunes punchawkuna pukllaykurqan, 18 wawakunawan martes punchawkuna, 7 wawakunawantaq miércoles punchawkuna. ¿ Mayqentaq astawan juñurqan lunes, martes, miércoles ima? ;26.0
Juliaqa 13 wawakunawan lunes punchawkuna pukllaykurqan, martes punchawkunañataq 10 wawakunawan. Chʼaska pʼunchaypi 15 wawakunawan kartapuni pukllarqa. ¿ Mayqentaq paywan pukllaq kanku? ;38.0
Juliaqa 7 wawakunawan lunes punchawkuna pukllaykurqan, 13 wawakunawantaq martes punchawkuna pukllaykurqan. Chʼaska pʼunchaypi 20 wawakunawan kartapuni pukllarqa. ¿ Mayqentaq paywan pukllaykurqan? ;20.0
Juliaqa 12 wawakunawan khuska tʼaqa pukllaykorqa. Martes punllaca 14 huahuagunahuanmi tandanajuicunata rurarca. Chay iskay pʼunchaykunapin 34 horasta pukllaykurqa. ¿ Mayqentaq paywan pukllaq kanku? ;26.0
Julioqa 19 wawakunawan khuska tʼaqa pukllaykorqa. Martes punllaca 18 huahuagunahuanmi tandanajuicunata rurarca. Chay iskay pʼunchaykunapin 38 horasta pukllaykurqa. ¿ Maykʼajtaj paywan khuska pukllaykorqa? ;1.0
Julioqa 5 wawakunawan khuska tʼaqa pukllaykorqa. Lunes pʼunchaypi 6 wawakunawan tʼaqa pukllaykusharqanku. ¿ Maykʼajtaj paywan khuska pukllaykorqa? ;1.0
Juliaqa 18 wawakunawan tʼaqanakurqan. Llunaypi tawa wawakunawan pukllaykurqan, martespiñataqmi wak wawakunawan pukllaykurqan. ¿ Mayqentaq martespi pukllaq karqa? ;14.0
Juliaqa, 4 wawakunawan khuska, chʼisipi pukllaykorqa. Llamkayta 6 wawakunawan, martesta 17 wawakunawan ima pukllarqa. ¿ Mayqentaq astawan juñurqan lunes pʼunchaypi juñurqan miércoles pʼunchaypiwan? ;2.0
Bobbyqa chʼaskas mikhuran. Chaymantataj 25 másta mikhuykorqa. 43 k'ita k'ita mikhusqa kaptinqa, ¿ qanchis k'ita k'ita mikhusqa karqan? ;18.0
Bobbyqa 28 kʼaspi mikhuykorqa. 42 masta mikhuykorqa. Chaymantataq 63 chʼulla chʼulla mikhuyta mikhurqa. ¿ Qanchantachu Bobby mikhuykorqa? ;70.0
Bobbyqa 33 kʼaspi kʼaspi mikhurqa. Chaymantataj 4 tʼantasta mikhuykorqa. Chaymantataq 14 chʼulla chʼulla mikhuyta mikhurqa. ¿ Imaynatataq Bobbyqa mikhunqa? ;51.0
Bobbyqa 38 kʼaspi kʼaspi mikhurqa. 36 masta mikhuykorqa. Chaywanpas 16 chʼulla chocolateta mikhurqa. ¿ Imaynatataq Bobbyqa mikuchkarqa? ;58.0
Bobbyqa 20 kʼaspi mikhuran. 34 kʼaspi kʼaspi mikhuytawan. Chaymantataj 18 másta mikhuykorqa. ¿ Qanchantachu Bobby mikhuykorqa? ;52.0
Bobbyqa 21 kʼaspi mikhuran. 5 kʼaspi kʼaspi mikhuytawan. Chaymantataj 9 másta mikhuykorqa. ¿ Qanchataj chʼaskasqa kashanku? ;7.0
Bobbyqa 22 kʼaspi mikhuran. chaymi chay ch'aki mikhuyta mikhuq. chaymantataq 5 masta mikhurqan. 8 k'ita k'ita mikhuykuna kaptinqa, ¿ qanchis k'ita mikhuykunatachu mikhurqan? ;9.0
Bobbyqa 19 kʼaspi mikhuran. Payqa iskay kʼaspi kʼaspi mikhuq. ¿ Qanchataj chʼaskasqa kashanku? ;17.0
Bobbyqa 32 kʼaspi mikhuran. chaymi chay ch'aki mikhuyta mikhuq. 20 kʼaspi kʼaspis kapusqantaq, ¿ qanchis kʼaspi kʼaspi kʼaspiwanchu mikhurqan? ;12.0
Bobbyqa 17 kʼaspi kʼaspi mikhurqa. 15 kutitaña mikhuykorqa. 36 k'ita k'ita mikhusqa kasqa chhikaqa, ¿ qanchis k'ita k'ita mikhusqa kanraqchu? ;4.0
Bobbyqa 23 kʼaspi kʼaspi mikhurqa. 30 kʼaspi kʼaspiña kashaspa, ¿ qanchis kʼaspiña qhepakun? ;7.0
