m_query;response
Julia bermain dengan 18 orang anak pada hari Isnin. Dia bermain dengan 10 orang anak pada hari Selasa. Berapa ramai anak yang dia main dengan pada hari Isnin berbanding hari Selasa? ;8.0
Julia bermain dengan 11 orang anak pada hari Isnin. Dia bermain dengan 12 orang anak pada hari Selasa. Berapa ramai anak yang dia main dengan pada hari Selasa berbanding pada hari Isnin? ;1.0
Julia bermain dengan 5 orang anak pada hari Isnin. Dia bermain dengan beberapa kanak-kanak pada hari Selasa. Jika dia bermain dengan 15 orang anak, berapa ramai anak yang dia main dengan pada hari Selasa? ;10.0
Julia bermain dengan beberapa kanak-kanak pada hari Isnin. Dia bermain dengan 14 orang anak pada hari Selasa. Jika dia bermain dengan 16 orang anak, berapa ramai anak yang dia main pada hari Isnin? ;2.0
Julia bermain dengan 16 orang anak pada hari Isnin. Jika dia bermain dengan 12 orang lagi pada hari Isnin berbanding pada hari Selasa berapa ramai anak yang dia main dengan pada hari Selasa? ;4.0
Julia bermain dengan 14 orang anak pada hari Selasa. Jika dia bermain dengan 8 orang lagi pada hari Isnin berbanding pada hari Selasa berapa ramai anak yang dia main dengan pada hari Isnin? ;22.0
Julia bermain dengan 17 orang anak pada hari Isnin, 15 anak pada hari Selasa dan 2 anak pada hari Rabu. Berapa ramai anak yang dia mainkan? ;34.0
Julia bermain dengan 15 kanak-kanak pada hari Isnin 18 kanak-kanak pada hari Selasa dan 97 kanak-kanak pada hari Rabu. Berapa ramai anak yang dia main dengan pada hari Isnin dan Selasa? ;33.0
Julia bermain dengan 5 kanak-kanak pada hari Isnin 9 kanak-kanak pada hari Selasa dan 15 kanak-kanak pada hari Rabu. Berapa ramai anak yang dia main dengan pada hari Isnin dan Rabu? ;20.0
Julia bermain dengan 2 kanak-kanak pada hari Isnin 14 kanak-kanak pada hari Selasa dan 16 kanak-kanak pada hari Rabu. Berapa ramai anak yang dia main dengan pada hari Selasa dan Rabu? ;30.0
Julia bermain dengan 9 orang anak pada hari Isnin, 7 orang anak pada hari Selasa dan 96 anak pada hari Rabu. Berapa ramai anak yang dia main dengan pada hari Isnin berbanding hari Selasa? ;2.0
Julia bermain dengan 14 kanak-kanak pada hari Isnin 2 kanak-kanak pada hari Selasa dan 8 kanak-kanak pada hari Rabu. Berapa ramai anak yang dia main dengan pada hari Isnin berbanding pada hari Rabu? ;6.0
Julia bermain dengan 8 kanak-kanak pada hari Isnin, 11 kanak-kanak pada hari Selasa dan 9 kanak-kanak pada hari Rabu. Berapa ramai anak yang dia main dengan pada hari Selasa berbanding Rabu? ;2.0
Julia bermain dengan 15 kanak-kanak pada hari Isnin 18 kanak-kanak pada hari Selasa dan 7 kanak-kanak pada hari Rabu. Berapa ramai anak yang dia main dengan pada hari Isnin dan Selasa berbanding Rabu? ;26.0
Julia bermain dengan 13 orang anak pada hari Isnin dan 10 orang pada hari Selasa. Dia bermain kad dengan 15 kanak-kanak pada hari Rabu. Berapa ramai anak yang dia mainkan? ;38.0
Julia bermain dengan 7 orang anak pada hari Isnin dan 13 orang anak pada hari Selasa. Dia bermain kad dengan 20 kanak-kanak pada hari Rabu. Berapa ramai anak yang dia mainkan dengan mereka? ;20.0
Julia bermain dengan 12 orang anak pada hari Isnin. Dia bermain dengan 14 orang anak pada hari Selasa. Dia menghabiskan 34 jam untuk bermain tag pada kedua-dua hari. Berapa ramai anak yang dia mainkan? ;26.0
Julia bermain dengan 19 orang anak pada hari Isnin. Dia bermain dengan 18 orang anak pada hari Selasa. Dia menghabiskan 38 jam untuk bermain tag pada kedua-dua hari. Berapa ramai anak yang dia main dengan pada hari Isnin berbanding hari Selasa? ;1.0
Julia bermain dengan 5 orang anak pada hari Selasa. Dia bermain dengan 6 orang anak pada hari Isnin. Berapa ramai anak yang dia main dengan pada hari Isnin berbanding hari Selasa? ;1.0
Julia bermain dengan 18 orang kanak-kanak. Dia bermain dengan 4 kanak-kanak pada hari Isnin dan masih dengan beberapa kanak-kanak pada hari Selasa. Berapa ramai anak yang dia main dengan pada hari Selasa? ;14.0
Julia bermain dengan 4 kanak-kanak pada hari Rabu. Dia bermain dengan 6 kanak-kanak pada hari Isnin dan 17 kanak-kanak pada hari Selasa. Berapa ramai anak yang dia main dengan pada hari Isnin berbanding pada hari Rabu? ;2.0
Bobby makan beberapa keping gula-gula. Kemudian dia makan 25 lagi. Jika dia makan 43 keping gula-gula berapa banyak keping gula-gula yang dia makan pada permulaan? ;18.0
Bobby makan 28 keping gula-gula. Kemudian dia makan 42 lagi. Dia juga makan 63 keping coklat. Berapa banyak keping gula-gula yang Bobby makan? ;70.0
Bobby makan 33 keping gula-gula. Kemudian dia makan 4 lagi. Dia juga makan 14 keping coklat. Berapa banyak keping gula-gula dan coklat Bobby makan? ;51.0
Bobby makan 38 keping gula-gula. Kemudian dia makan 36 lagi. Dia juga makan 16 keping coklat. Berapa banyak lagi keping gula-gula daripada coklat yang Bobby makan? ;58.0
Bobby makan 20 keping gula-gula. Dia makan 34 keping gula-gula. Kemudian dia makan 18 lagi. Berapa banyak keping gula-gula yang Bobby makan? ;52.0
Bobby makan 21 keping gula-gula. Dia makan 5 keping gula-gula. Kemudian dia makan 9 lagi. Berapa banyak keping gula-gula yang dia masih ada? ;7.0
Bobby makan 22 keping gula-gula. Dia makan beberapa keping gula-gula. Kemudian dia makan 5 lagi. Jika dia masih mempunyai 8 keping gula-gula yang tersisa berapa keping gula-gula yang dia makan pada permulaan? ;9.0
Bobby makan 19 keping gula-gula. Dia makan 2 keping gula-gula. Berapa banyak keping gula-gula yang dia masih ada? ;17.0
Bobby makan 32 keping gula-gula. Dia makan beberapa keping gula-gula. Jika dia ada 20 keping gula-gula yang tinggal berapa keping gula-gula yang Bobby makan? ;12.0
Bobby makan 17 keping gula-gula. Kemudian dia makan 15 lagi. Jika dia mula-mula mempunyai 36 keping gula-gula berapa keping gula-gula yang masih ada? ;4.0
Bobby makan 23 keping gula-gula. Jika dia mula-mula mempunyai 30 keping gula-gula berapa keping gula-gula yang masih ada? ;7.0
Allan membawa 5 belon dan Jake membawa 3 belon ke taman. Berapa banyak balon yang Allan ada berbanding Jake di taman? ;2.0
Allan membawa 2 belon dan Jake membawa 3 belon ke taman. Berapa banyak balon yang Jake ada berbanding Allan di taman? ;1.0
Allan dan Jake membawa 3 belon ke taman. Jika Allan membawa 2 belon berapa banyak belon Jake membawa ke taman? ;1.0
Jake membawa 6 belon ke taman. Jika Jake membawa 4 lebih banyak belon daripada jumlah belon yang dibawa Allan berapa banyak belon yang dibawa Allan ke taman? ;2.0
Allan membawa 5 belon ke taman. Jika Jake membawa 6 lebih banyak belon daripada jumlah belon yang dibawa Allan berapa banyak belon yang Jake bawa ke taman? ;11.0
Allan membawa 3 belon dan Jake membawa 5 belon ke taman. Allan kemudian membeli 2 lagi belon di taman. Berapa banyak belon yang Allan dan Jake ada di taman? ;10.0
Allan membawa 2 belon dan Jake membawa 4 belon ke taman. Allan kemudian membeli 3 lagi belon di taman. Berapa banyak balon yang Allan ada berbanding Jake di taman? ;1.0
Allan membawa 2 belon dan Jake membawa 6 belon ke taman. Allan kemudian membeli 3 lagi belon di taman. Berapa banyak balon yang Jake ada berbanding Allan di taman? ;1.0
Allan membawa 5 belon dan Jake membawa 4 belon ke taman. Allan kemudian membeli 3 lagi belon di taman. Berapa banyak belon yang Allan bawa ke taman? ;8.0
Allan membawa 6 belon dan Jake membawa 2 belon ke taman. Jake kemudian membeli 3 lagi belon di taman. Berapa banyak balon yang Allan ada berbanding Jake di taman? ;1.0
