question;answer_number
Џанетне пате донесу 16 јаја дневно. Свако јутро једе три за доручак и пече маффин за своје пријатеље сваки дан са четири. Она продаје остатак на фармерском тржишту дневно за 2 долара по свежем пачићем јајету. Колико зарађује на тржишту сваког дана? ;18
За хаљину је потребно 2 буца плавог влакана и пола тога белог влакана. Колико је укупно вијака потребно? ;3
Џош одлучује да покуша да преврати кућу. Купује кућу за 80.000 долара, а затим уложи 50.000 долара у поправке. То је повећало вредност куће за 150%. Колико је он профитирао? ;70000
Џејмс одлучује да трчи 3 трке 3 пута недељно. Он трчи 60 метара у сваком спринту. Колико метара укупно он трчи недељно? ;540
Сваког дана, Венди храни сваку од својих пилића три шоље мешане кокошке хране, која садржи семе, брашно црве и поврће како би им помогла да остану здрави. Пилићима даје храну у три одвојене оброка. Ујутру, она даје свом стаду пилића 15 шоља хране. Поподне, она даје својим пилићима још 25 чаша хране. Колико чаша хране треба да да својим пилићима у последњем оброку дана ако је величина Вендиног стада 20 пилића? ;20
Килар је отишао у продавницу да купи наочаре за свој нови стан. Једна чаша кошта 5 долара, али свака друга чаша кошта само 60% цене. Килар жели да купи 16 чаша. Колико му треба да плати за њих? ;64
Тулуза има двоструко више оваца него Чарлстон. Чарлстон има 4 пута више оваца него Сијетл. Колико оваца имају Тулуза, Чарлстон и Сијетл заједно ако Сијетл има 20 оваца? ;260
Карла преузима датотеку од 200 ГБ. Обично може да преузме 2 ГБ/минуту, али 40% пута кроз преузме, Виндовс приморава рестарт да инсталира ажурирања, што траје 20 минута. Онда ће Карла морати да покрене преузимање од почетка. Колико је потребно да се преузме датотека? ;160
Џон вози 3 сата брзином од 100 км/ч, а онда се окрене јер схвати да је заборавио нешто веома важно код куће. Покушава да се врати кући за 4 сата, али првих 2 сата проводи у саобраћајном застоју. Следеће пола сата вози брзином од 30 миља на сат, пре него што буде могао да вози преостало време од 4 сата ићи 80 миља на сат. Колико је далеко од куће на крају тих 4 сата? ;45
Елиза плаћа по 10 долара на сат за првих 40 сати рада сваке недеље. Такође добија плату за прекорачно радно време која је 1,2 пута већа од уобичајене сатне плате. Ако је Елиза радила 45 сати ове недеље, колико је њена зарада за ову недељу? ;460
Један нови програм је у првом месецу имао 60 преузимања. Број преузимања у другом месецу био је три пута већи од преузимања у првом месецу, али се затим смањио за 30% у трећем месецу. Колико је програма било преузето укупно током три месеца? ;366
Тула је отишла у пекарњу и купила разне врсте пецива. Купила је 3 дузини крофница које су коштале 68 долара по дузини, 2 дузини мини кекса који су коштали 80 долара по дузини, и 6 дузини мини сирева за 55 долара по дузини. Колико је укупна цена била? ;694
Карлос сади лимуново дрво. Посада дрвета коштаће 90 долара. Сваке године ће у њему расти 7 лимона, које може продати по 1,5 долара по лимуну. Заливање и хранење дрвета кошта три долара годишње. Колико ће година проћи пре него што почне да зарађује на лимуну? ;13
Мелани је продавачица од врата до врата. Продала је трећину својих прахоспирача у зеленој кући, још два у црвеној кући, и половину онога што је остало у портокаловој кући. Ако је Мелани остало 5 прасососоваца, колико је почела са њима? ;18
У класи плеса од 20 ученика, 20% је уписано у савремени плес, 25% уписано у џез плес, а остатак уписано у хип-хоп плес. Колико процената свих ученика је било уписано у хип-хоп плесе? ;60
Трговац жели да направи избор између два плана куповине: накита вредна 5.000 долара или електронских уређаја вредних 8.000 долара. Његов финансијски саветник шпекулише да ће тржиште накита порасти за 2,5%, док ће тржиште електронских гаџета порасти за 1,2% у истом месецу. Ако трговац жели да максимизује профит на крају овог месеца тако што ће направити избор, колико би то профита било? ;125
Два возова одлазе из Сан Рафаела у исто време. Почињу да путују ка западу, и обоје путују 80 миља. Следећег дана, они путују на север, прелазећи 240 километара. Коју је дужину прешао сваки воз за два дана? ;230
Џил добија 20 долара на сат за предавање и 30 долара за тренере навијача. Ако ради 50 недеља годишње, 35 сати недељно као учитељ и 15 сати недељно као тренер, колико је њена годишња плата? ;57500
Клер свако јутро ради омлет од три јаја за доручак. Колико ће десетина јаја појести за 4 недеље? ;7
Мариса иде пешачким стазом од 12 миља. Првих 4 миље је прошла за један сат, а затим још један сат за следећа два. Ако жели да јој је просечна брзина 4 миље на сат, која је брзина (у миљама на сат) потребна да прође преосталу удаљеност? ;6
Имам 10 литара пића од портокале у којем је две трећине воде и желим да га додам 15 литара пића од ананаса у којем је три петине воде. Али док је наливам, проливам један литар пића. Колико је воде у преосталих 24 литра? ;15
Рејмонд и Саманта су братучеди. Рејмонд је рођен 6 година пре Саманте. Рајмонд је имао сина када је имао 23 године. Ако је Саманта сада 31, пре колико година је рођен Рејмоновов син? ;14
Били продаје ДВД-је. У уторак има 8 купаца. Његови први 3 клијента купе по један ДВД. Његови следећи купци купе по два ДВД-а. Његови последња три купаца не купују никакве ДВД-е. Колико је ДиВД-а Били продао у уторак? ;7
Свећа се топи за 2 центиметра сваки сат док гори. Колико ће центиметара свећа бити краћа након што гори од 13:00 до 17:00? ;8
Кајл је купио прошле године најпродаванију књигу за 19,50 долара. То је са 25% попустом од првобитне цене. Која је била првобитна цена књиге? ;26
Мари је наручила једну пилећу храну која кошта 12,5 долара, 5 пакова млека по 3 долара, 4 јабуке по 1,50 долара и неколико кутија пице. Мари је укупно платила 50 долара. Колико је кутија пице Мари наручила ако свака кутија кошта 8,50 долара? ;2
Мишка је купио три пара шорца, три пара панталона и три пара ципела. Један пар шорца кошта 16,50 долара. Један пар панталона кошта 22,50 долара, а један пар ципела 42 долара. Колико је Мишка потрошио долара на одећу? ;243
