m_query;response
ജൂലിയ തിങ്കളാഴ്ച 18 കുട്ടികളുമായി കളിച്ചു. ചൊവ്വാഴ്ച 10 കുട്ടികളുമായി അവൾ തഗ് കളിച്ചു. ചൊവ്വാഴ്ച കളിച്ചതിലും എത്ര കുട്ടികളോടാണ് തിങ്കളാഴ്ച കളിച്ചത്? ;8.0
ജൂലിയ തിങ്കളാഴ്ച 11 കുട്ടികളുമായി കളിച്ചു. ചൊവ്വാഴ്ച 12 കുട്ടികളുമായി അവൾ തഗ് കളിച്ചു. തിങ്കളാഴ്ച കളിച്ചതിലും എത്ര കുട്ടികളോടാണ് അവൾ കളിച്ചത്? ;1.0
ജൂലിയ തിങ്കളാഴ്ച അഞ്ചു കുട്ടികളുമായി കളിച്ചു. ചൊവ്വാഴ്ച അവൾ മറ്റു കുട്ടികളുമായി കളിച്ചു. 15 കുട്ടികളുമായി കളിച്ചാല് ചൊവ്വാഴ്ച എത്ര കുട്ടികളുമായി കളിച്ചു? ;10.0
ജൂലിയ തിങ്കളാഴ്ച കുട്ടികളുമായി കളിച്ചു. ചൊവ്വാഴ്ച 14 കുട്ടികളുമായി അവൾ തഗ് കളിച്ചു. 16 കുട്ടികളുമായി കളിച്ചാല്, തിങ്കളാഴ്ച എത്ര കുട്ടികളുമായി കളിച്ചു? ;2.0
ജൂലിയ തിങ്കളാഴ്ച 16 കുട്ടികളുമായി കളിച്ചു. തിങ്കളാഴ്ച 12 കുട്ടികളുമായി അവൾ തഗ് കളിച്ചു എങ്കിൽ ചൊവ്വാഴ്ച എത്ര കുട്ടികളുമായി അവൾ കളിച്ചു? ;4.0
ജൂലിയ ചൊവ്വാഴ്ച 14 കുട്ടികളുമായി കളിച്ചു. തിങ്കളാഴ്ച ചൊവ്വാഴ്ചയേക്കാൾ 8 കുട്ടികളുമായി അവൾ തഗ് കളിച്ചു തിങ്കളാഴ്ച എത്ര കുട്ടികളുമായി അവൾ കളിച്ചു? ;22.0
ജൂലിയ തിങ്കളാഴ്ച 17 കുട്ടികളുമായി കളിച്ചു 15 കുട്ടികളുമായി ചൊവ്വാഴ്ചയും 2 കുട്ടികളുമായി ബുധനാഴ്ചയും കളിച്ചു. എത്ര കുട്ടികളോടാണ് അവൾ കളിച്ചത്? ;34.0
ജൂലിയ തിങ്കളാഴ്ച 15 കുട്ടികളുമായി കളിച്ചു. ചൊവ്വാഴ്ച 18 കുട്ടികളുമായി കളിച്ചു. ബുധനാഴ്ച 97 കുട്ടികളുമായി കളിച്ചു. തിങ്കളാഴ്ചയും ചൊവ്വാഴ്ചയും എത്ര കുട്ടികളോടാണ് അവൾ കളിച്ചത്? ;33.0
ജൂലിയ തിങ്കളാഴ്ച അഞ്ചു കുട്ടികളുമായി കളിച്ചു. ചൊവ്വാഴ്ച ഒമ്പതു കുട്ടികളുമായി, ബുധനാഴ്ച 15 കുട്ടികളുമായി. തിങ്കളാഴ്ചയും ബുധനാഴ്ചയും എത്ര കുട്ടികളോടാണ് അവൾ കളിച്ചത്? ;20.0
ജൂലിയ തിങ്കളാഴ്ച 2 കുട്ടികളുമായി കളിച്ചു ചൊവ്വാഴ്ച 14 കുട്ടികളുമായി കളിച്ചു ബുധനാഴ്ച 16 കുട്ടികളുമായി കളിച്ചു. ചൊവ്വാഴ്ചയും ബുധനാഴ്ചയും എത്ര കുട്ടികളോടാണ് അവൾ കളിച്ചത്? ;30.0
