premise;question;choice1;choice2;label
ഈ സാധനം ബബിൾ റാപ് ആയിട്ടാണ് പൊതിഞ്ഞത്. ;cause;അത് ദുർബലമായിരുന്നു. ;അത് ചെറുതായിരുന്നു. ;0
ഞാന് പോക്കറ്റ് മുഴുവന് ഒഴിച്ചു. ;effect;ഒരു ടിക്കറ്റ് സ്റ്റോപ്പ് കിട്ടി. ;ഒരു ആയുധം കണ്ടെത്തി. ;0
ആ വീട്ടിൽ ആലിപ്പഴം കയറി. ;effect;ആ വീട്ടിൽ നിന്ന് ആ ഉരഗങ്ങൾ അപ്രത്യക്ഷമായി. ;ആ വീട്ടിലെ മരങ്ങൾ ആമകൾ തിന്നു. ;1
യാത്രക്കാർ അതിർത്തിയിലെത്തി. ;effect;ആ പട്രോളിംഗ് ഏജന്റ് അവരുടെ പാസ്പോർട്ടുകൾ പരിശോധിച്ചു. ;പാത്രല് ഏജന് റ് അവരെ കുറ്റപ്പെടുത്തി. ;0
ഓഫീസ് അടച്ചിരുന്നു. ;cause;അവധി ദിവസമായിരുന്നു. ;വേനൽക്കാലമായിരുന്നു. ;0
ആ പെൺകുട്ടിയുടെ ഊര് ജം തീർന്നു. ;cause;അവൾ ഡാമിൽ കളിച്ചു. ;അവൾ കയറിൽ ചാടി. ;1
ആ സ്ത്രീക്ക് വരിയില് സ്ഥാനം നഷ്ടപ്പെട്ടു. ;cause;കൂടുതൽ ആളുകള് വരിയില് കയറി. ;അവൾ ലൈനില് നിന്ന് പുറത്തേക്ക് പോയി. ;1
ആ പെണ്ണ് അവളുടെ മൂക്ക് കുത്തി. ;cause;കുഞ്ഞിന് അവളുടെ കുപ്പായത്തില് ചീറ്റിയിരുന്നു. ;കുഞ്ഞിന് അവളുടെ ഡയപ്പര് കളങ്കം വരുത്തി. ;1
ബാന്റ് അവരുടെ ഹിറ്റ് പാട്ട് പാടി. ;effect;സംഗീതത്തിനു ചേര് ന്ന് പ്രേക്ഷകരും കൈകാട്ടി. ;പ്രേക്ഷകർ മൌനമായി ശ്രദ്ധിച്ചു. ;0
ആ പെൺകുട്ടിക്ക് അവളുടെ മാത്തമാറ്റിക്സ് ടീച്ചറിന് നന്ദി പറയണം. ;effect;ആ പെൺകുട്ടി സ്കൂളിനു ശേഷം തടവിന് ഇരിക്കുകയായിരുന്നു. ;ആ പെൺകുട്ടി ടീച്ചറിന് ഒരു ആപ്പിൾ കൊണ്ടുവന്നു. ;1
ക്യാമ്പ് ചെയ്യുന്ന ചെറുപ്പക്കാര് പേടിച്ചു പോയി. ;cause;അവരുടെ ക്യാമ്പ് കൌൺസലർ ഒരു പ്രേത കഥ പറഞ്ഞു. ;അവര് തീയിലിരുന്ന് മര് ഷ്മല്ലോസ് ചുട്ടുപഴുപ്പിച്ചു. ;0
ആ മനുഷ്യൻ തല തട്ടി. ;effect;അവന് ചിന്തയില് മുഴുകി. ;അവന് ഒരു തലച്ചോറ് തകരാറുണ്ട്. ;1
ഞാന് എഴുതിയ ചെക്ക് തിരിച്ചടച്ചില്ല. ;cause;എന്റെ ബാങ്ക് അക്കൌണ്ട് ശൂന്യമായിരുന്നു. ;എനിക്ക് ശമ്പള വർധന കിട്ടി. ;0
ആ മനുഷ്യന്റെ ഇമെയിൽ ഇൻബോക്സ് സ്പാം നിറഞ്ഞിരുന്നു. ;effect;അദ്ദേഹം സ്പാം മായ്ച്ചു. ;അദ്ദേഹം ഒരു കൂട്ടം മെയിലുകള് അയച്ചു. ;0
നാവികന് ക്വാറന്റൈനിൽ ആയിരുന്നു. ;cause;അവന് രോഗം ബാധിച്ചിരിക്കാം. ;അവന് രോഗം ഭേദമായി. ;0
ആ പെൺകുട്ടി കോഡ് മനഃപാഠമാക്കി. ;cause;അവൾ അത് സ്വയം പറഞ്ഞു. ;അത് എഴുതാന് മറന്നു. ;0
ഞാന് വെള്ളം ഗ്ലാസില് ഒഴിച്ചു. ;effect;വെള്ളം എന്റെ ദാഹം ശമിപ്പിച്ചു. ;ഗ്ലാസ് നിറഞ്ഞു. ;1
സുഹൃത്ത് സംസാരം അവസാനിപ്പിച്ചപ്പോള് ആ മനുഷ്യൻ മിണ്ടിയില്ല. ;cause;അവന് അവന് റെ സുഹൃത്തിന് പിന്തുണ നല് കാന് ആഗ്രഹിച്ചിരുന്നു. ;അവന് അവന് റെ സുഹൃത്തിന്റെ വാക്കുകളെക്കുറിച്ച് ചിന്തിക്കുകയായിരുന്നു. ;1
