,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
0,"Postao sam fan ""Pravnog reda"" 2011.",Oporavljao sam se od moždanog udara.,"Kada sam se vratio kući, pokušao sam da gledam svaku epizodu.",Bilo je teško pokušati da se napiješ gledajući 20 godina emisije.,Mislim da je Zakon i red jedna od najgorih serija ikada napravljenih.,Na kraju sam ih sve pogledao.,2
1,Svi su voljeli Boba jer je igrao popularnog lika u filmu.,Bob je mrzio to jer on nije bio ništa kao taj lik.,Jim je tražio od Boba da izgovori frazu njegovog lika.,To je bilo previše za Boba i eksplodirao je od bijesa.,Bob je rekao čovjeku da ga ostavi na miru.,Bob je pitao coveka za čaj.,1
2,Lita je htela da gleda svoju omiljenu emisiju na televiziji.,Njena deca su insistirala da sjedne i gleda sa njima.,Lita im je rekla da ima posla.,Deca su odvukla košaru za veš u dnevnu sobu.,Lita je naručila pizzu sa pepperonijem za ručak.,Lita je sklopila veš dok je gledala televiziju.,2
3,Liv je skočila kad ju je iznenadio glasni prasak.,Shvatila je da je to bila žarulja u kuhinji koja je izgorela.,Izvukala je stolicu i stala na nju.,Pod njom se tresao i skoro je pala.,Liv je odlučila da menja žarulju u kupatilu.,Liv je onda promenila žarulju.,2
4,Majka je rekla svojoj deci da će za petnaest minuta biti vreme za ručak.,Ali onda je dobila važan poziv.,"Dok je ona pričala, pas je vučeo blato po cijeloj kuhinji.","Deca su počela da muče majku, koja je još uvek bila na telefonu.",Majka je bila veoma frustrirana.,Dečije ponašanje je smirilo majku.,1
5,Hector je uvek kupio kafu u lokalnoj radnji pre posla.,Shvata da je njegova navika kupovine kafe veoma skupa.,Jednog dana Hektor odluči da priprema kafu kod kuće.,Ponosan je što je kafa koju je doma napravio tako dobra.,Hector je nastavio da pravi svoju kafu i štedi novac.,Hector je počeo da kupuje više kafe iz Starbucksa.,1
6,Kelly je saznala da je nova devojka u školi.,"Kada je ušla u školu, krenula je da je traži.","Kada ju je upoznala, pozvala ju je da sedne sa njom na ručak.","Kada su ručali, devojke su postale prijateljice.",Kelly nikada nije razgovarao sa njom opet.,Kelly je bila srećna što je dobila novog prijatelja.,2
7,Tommy je naporno trenirao da bi trčao prvi 5K.,Tokom trke je bio frustriran kada je toliko ljudi prošlo pored njega.,Kada je čuo da se njegovo ime zove na dodjeli nagrada bio je šokiran.,Nije znao da će biti nagrada po starosnoj grupi.,Stidilo ga je što nije dobio priznanje.,"Bio je ponosan što je završio prvi po godinama, ali deseti ukupno.",2
8,Laurie ide na svoj prvi formalni ples večeras.,Njen dečko je pokupio i dao joj prelijepu ružu.,Lori je nosila dugačku sjajnu haljinu.,Plesali su i zabavljali se sa svim svojim prijateljima.,Lori je otišla kući plačući.,Lori je završio večer ljubljenjem svog dečka.,2
9,Neil je istraživao istorijske željeznice.,"Ušao je u Scranton, Pennsylvania.",Shvatio je da je to lijepa stara željeznička stanica.,Uzeo je mnogo slika dok je bio tamo.,Neil je izbrisan sve njegove slike.,Neil je sačuvao fotografije na svom računaru.,2
