m_query;response
Julia ဟာ တနင်္လာနေ့မှာ ကလေး ၁၈ ယောက်နဲ့ ဖက်ကွင်း ကစားခဲ့တယ်။ အင်္ဂါနေ့မှာ ကလေး ၁၀ ယောက်နဲ့ ဖက်ကဖီး ကစားတယ်။ သူ အင်္ဂါနေ့မှာ ကစားခဲ့တဲ့ ကလေးတွေထက် တနင်္လာနေ့မှာ ဘယ်နှစ်ယောက်လောက် ပိုကစားခဲ့လဲ။ ;8.0
တနင်္လာနေ့မှာ Julia ဟာ ကလေး ၁၁ ယောက်နဲ့ ဖက်ကွင်း ကစားခဲ့တယ်။ အင်္ဂါနေ့မှာ ကလေး ၁၂ ယောက်နဲ့ ဖက်ကဖီး ကစားခဲ့တယ်။ အင်္ဂါနေ့မှာ သူကစားခဲ့တာက တနင်္လာနေ့ထက် ကလေး ဘယ်နှစ်ယောက်များ ပိုများခဲ့လဲ။ ;1.0
တနင်္လာနေ့မှာ Julia ဟာ ကလေး ငါးယောက်နဲ့ ဖဲထိုးခဲ့တယ်။ အင်္ဂါနေ့မှာ အခြားကလေးတွေနဲ့ ဖဲထိုးနေခဲ့တယ်။ စုစုပေါင်း ၁၅ ယောက်နဲ့ ကစားခဲ့ရင် အင်္ဂါနေ့မှာ ကလေး ဘယ်နှစ်ယောက်နဲ့ ကစားခဲ့လဲ။ ;10.0
တနင်္လာနေ့မှာ Julia ဟာ ကလေးတွေနဲ့ ဖဲထိုးကစားခဲ့တယ်။ အင်္ဂါနေ့မှာ ကလေး ၁၄ ယောက်နဲ့ ဖက်ကဖီး ကစားခဲ့တယ်။ စုစုပေါင်း ၁၆ ယောက်နဲ့ ကစားခဲ့ရင် တနင်္လာနေ့မှာ ကလေး ဘယ်နှစ်ယောက်နဲ့ ကစားခဲ့လဲ။ ;2.0
တနင်္လာနေ့မှာ Julia ဟာ ကလေး ၁၆ ယောက်နဲ့ ဖက်ကွင်း ကစားခဲ့တယ်။ သူသာ တနင်္လာနေ့မှာ အင်္ဂါနေ့ထက် ကလေး ၁၂ ယောက်လောက်နဲ့ ပိုကစားရင် အင်္ဂါနေ့မှာ ကလေး ဘယ်နှစ်ယောက်နဲ့ ကစားခဲ့လဲ။ ;4.0
Julia က အင်္ဂါနေ့မှာ ကလေး ၁၄ ယောက်နဲ့ ဖက်ကွင်း ကစားခဲ့တယ်။ သူသာ တနင်္လာနေ့မှာ အင်္ဂါနေ့ထက် ကလေး ၈ ယောက်လောက်နဲ့ ပိုကစားရင် တနင်္လာနေ့မှာ ကလေး ဘယ်နှစ်ယောက်နဲ့ ကစားခဲ့လဲ။ ;22.0
Julia က တနင်္လာနေ့က ကလေး ၁၇ ယောက်နဲ့ ဖက်ဖက် ကစားတယ်။ အင်္ဂါနေ့က ၁၅ ယောက် ဗုဒ္ဓဟူးနေ့က ၂ ယောက်ပေါ့။ စုစုပေါင်း ဘယ်နှစ်ယောက်နဲ့ ကစားခဲ့လဲ။ ;34.0
Julia က တနင်္လာနေ့က ကလေး ၁၅ ယောက်နဲ့ တွဲဖက်ကစားတယ်။ အင်္ဂါနေ့က ၁၈ ယောက်။ ဗုဒ္ဓဟူးနေ့က ၉၇ ယောက်ပေါ့။ သူ တနင်္လာနေ့နဲ့ အင်္ဂါနေ့မှာ ကလေး ဘယ်နှစ်ယောက်နဲ့ ကစားခဲ့လဲ။ ;33.0
Julia က တနင်္လာနေ့က ကလေး ၅ ယောက်နဲ့ တွဲကစားတယ်။ အင်္ဂါနေ့က ကလေး ၉ ယောက် ဗုဒ္ဓဟူးနေ့က ကလေး ၁၅ ယောက်ပေါ့။ သူ တနင်္လာနေ့နဲ့ ဗုဒ္ဓဟူးနေ့မှာ ကလေး ဘယ်နှစ်ယောက်နဲ့ ကစားခဲ့လဲ။ ;20.0
Julia က တနင်္လာနေ့က ကလေး ၂ ယောက်နဲ့ တွဲကစားတယ်။ အင်္ဂါနေ့က ၁၄ ယောက်။ ဗုဒ္ဓဟူးနေ့က ၁၆ ယောက်ပေါ့။ အင်္ဂါနဲ့ ဗုဒ္ဓဟူးနေ့တွေမှာ ကလေး ဘယ်နှစ်ယောက်နဲ့ ကစားခဲ့လဲ။ ;30.0
Julia က တနင်္လာနေ့က ကလေး ၉ ယောက်နဲ့ တွဲဖက်ကစားတယ်။ အင်္ဂါနေ့က ၇ ယောက် ဗုဒ္ဓဟူးနေ့က ၉၆ ယောက်ပေါ့။ သူ အင်္ဂါနေ့မှာ ကစားခဲ့တဲ့ ကလေးတွေထက် တနင်္လာနေ့မှာ ဘယ်နှစ်ယောက်လောက် ပိုကစားခဲ့လဲ။ ;2.0
Julia က တနင်္လာနေ့က ကလေး ၁၄ ယောက်နဲ့ တွဲဖက်ကစားတယ်။ အင်္ဂါနေ့က ကလေး ၂ ယောက် ဗုဒ္ဓဟူးနေ့က ကလေး ၈ ယောက်ပေါ့။ သူ တနင်္လာနေ့မှာ ဗုဒ္ဓဟူးနေ့ထက် ကလေး ဘယ်နှစ်ယောက်နဲ့ ပိုကစားခဲ့လဲ။ ;6.0
Julia က တနင်္လာနေ့က ကလေး ၈ ယောက်နဲ့ တွဲကစားတယ်။ အင်္ဂါနေ့က ၁၁ ယောက် ဗုဒ္ဓဟူးနေ့က ၉ ယောက်ပေါ့။ အင်္ဂါနေ့မှာ သူနဲ့ကစားခဲ့တဲ့ ကလေးတွေ အရေအတွက်က ဗုဒ္ဓဟူးနေ့မှာထက် ဘယ်လောက်များများများများများများလဲ။ ;2.0
Julia က တနင်္လာနေ့က ကလေး ၁၅ ယောက်နဲ့ တွဲကစားတယ်။ အင်္ဂါနေ့က ၁၈ ယောက်။ ဗုဒ္ဓဟူးနေ့က ၇ ယောက်ပေါ့။ သူ တနင်္လာနေ့နဲ့ အင်္ဂါနေ့မှာ ဗုဒ္ဓဟူးနေ့ထက် ကလေး ဘယ်နှစ်ယောက်နဲ့ ပိုကစားခဲ့လဲ။ ;26.0
