question;answer_number
Con vịt của Janet đẻ 16 quả trứng mỗi ngày. Bà ấy ăn 3 cái cho bữa sáng mỗi sáng và nướng bánh muffin cho bạn bè mỗi ngày với 4 cái. Cô bán phần còn lại tại chợ nông dân hàng ngày với giá 2 đô la cho mỗi quả trứng vịt tươi. Cô ấy kiếm được bao nhiêu đô la mỗi ngày tại chợ nông dân? ;18
Một chiếc áo choàng cần 2 cuộn sợi xanh và một nửa số sợi trắng. Tổng cộng cần bao nhiêu vít? ;3
Josh quyết định thử lật một ngôi nhà. Anh ta mua một ngôi nhà với giá 80.000 đô la và sau đó bỏ vào 50.000 đô la để sửa chữa. Điều này làm tăng giá trị của ngôi nhà lên 150%. Ông ấy kiếm được bao nhiêu tiền? ;70000
James quyết định chạy 3 vòng sprint 3 lần một tuần. Anh ấy chạy 60 mét mỗi lần chạy. Anh ta chạy bao nhiêu mét một tuần? ;540
Mỗi ngày, Wendi cho mỗi con gà của mình ăn ba chén thức ăn gà hỗn hợp, chứa hạt, sâu bột và rau để giúp giữ cho chúng khỏe mạnh. Bà cho gà ăn ba bữa riêng biệt. Vào buổi sáng, bà cho đàn gà của mình 15 cốc thức ăn. Vào buổi chiều, bà cho gà thêm 25 cốc thức ăn. Cô ấy cần bao nhiêu ly thức ăn cho gà trong bữa ăn cuối cùng của ngày nếu đàn gà của Wendi có kích thước 20 con gà? ;20
Kylar đi mua kính cho căn hộ mới của anh ta. Một ly có giá 5 đô la, nhưng mỗi ly thứ hai chỉ có giá 60% giá. Kylar muốn mua 16 ly. Anh ta cần phải trả bao nhiêu cho chúng? ;64
Toulouse có cừu gấp đôi Charleston. Charleston có cừu nhiều gấp 4 lần Seattle. Toulouse, Charleston và Seattle có bao nhiêu con cừu nếu Seattle có 20 con cừu? ;260
Carla đang tải xuống một tập tin 200 GB. Thông thường cô ấy có thể tải xuống 2 GB / phút, nhưng 40% trong quá trình tải xuống, Windows buộc phải khởi động lại để cài đặt các bản cập nhật, mất 20 phút. Vậy Carla phải bắt đầu lại từ đầu. Mất bao nhiêu thời gian để tải xuống tập tin? ;160
John lái xe trong 3 giờ với tốc độ 60 dặm/giờ và sau đó quay lại vì anh ấy nhận ra anh ấy đã quên một cái gì đó rất quan trọng ở nhà. Anh ta cố gắng về nhà trong 4 giờ nhưng dành 2 giờ đầu tiên trong giao thông bị đình trệ. Anh ta dành nửa giờ lái xe tiếp theo với tốc độ 30 dặm một giờ, trước khi có thể lái xe trong thời gian còn lại của 4 giờ đi ở tốc độ 80 dặm một giờ. Anh ta đã ở xa nhà đến đâu sau 4 tiếng đó? ;45
Giá lương mỗi giờ của Eliza trong 40 giờ đầu tiên mỗi tuần là 10 đô la. Cô cũng nhận được tiền làm thêm giờ gấp 1,2 lần mức lương hàng giờ thông thường. Nếu Eliza làm việc 45 tiếng trong tuần này, cô ấy kiếm được bao nhiêu trong tuần này? ;460
Một chương trình mới có 60 lượt tải xuống trong tháng đầu tiên. Số lượng tải xuống trong tháng thứ hai gấp ba lần so với số tải xuống trong tháng đầu tiên, nhưng sau đó giảm 30% trong tháng thứ ba. Tổng số lượt tải về của chương trình trong 3 tháng là bao nhiêu? ;366
Toula đi đến tiệm bánh và mua nhiều loại bánh ngọt. Cô mua 3 chục bánh donut có giá 68 đô la mỗi chục, 2 chục bánh cupcake nhỏ có giá 80 đô la mỗi chục và 6 chục bánh cheesecake nhỏ với giá 55 đô la mỗi chục. Tổng chi phí là bao nhiêu? ;694
Carlos đang trồng cây chanh. Cây sẽ tốn 90 đô la để trồng. Mỗi năm cây sẽ mọc lên 7 quả chanh, mỗi quả có thể bán được 1,5 đô la. Cứ tốn 3 đô la một năm để tưới nước và nuôi cây. Sẽ mất bao nhiêu năm trước khi anh ta bắt đầu kiếm tiền từ cây chanh? ;13
Melanie là một người bán hàng nhà cửa. Cô ấy bán một phần ba máy hút bụi của mình ở nhà xanh, 2 cái nữa cho nhà đỏ, và một nửa số còn lại ở nhà màu cam. Nếu Melanie còn lại 5 máy hút bụi, cô ấy bắt đầu với bao nhiêu? ;18
Trong một lớp nhảy gồm 20 học sinh, 20% học nhảy đương đại, 25% học nhảy jazz, và phần còn lại học nhảy hip-hop. Bao nhiêu phần trăm của toàn bộ học sinh ghi danh trong khiêu vũ hip-hop? ;60
Một thương gia muốn lựa chọn mua giữa 2 kế hoạch mua hàng: đồ trang sức trị giá 5.000 đô la hoặc các thiết bị điện tử trị giá 8.000 đô la. Cố vấn tài chính của ông suy đoán rằng thị trường trang sức sẽ tăng 2,5% trong khi thị trường thiết bị điện tử sẽ tăng 1,2% trong cùng một tháng. Nếu thương gia đang tìm kiếm để tối đa hóa lợi nhuận vào cuối tháng này bằng cách đưa ra một lựa chọn, bao nhiêu lợi nhuận này sẽ là? ;125
Hai chuyến tàu rời San Rafael cùng một lúc. Họ bắt đầu đi về phía tây, cả hai đi 80 dặm. Ngày hôm sau, họ đi về phía bắc, bao phủ 150 dặm. Mỗi chuyến tàu đã đi được bao nhiêu dặm trong hai ngày? ;230
Jill được trả 20 đô la một giờ để dạy và 30 đô la để trở thành huấn luyện viên cổ vũ. Nếu cô ấy làm việc 50 tuần một năm, 35 giờ một tuần làm giáo viên và 15 giờ một tuần làm huấn luyện viên, thì lương hàng năm của cô ấy là bao nhiêu? ;57500
Claire làm trứng ốm 3 quả mỗi sáng cho bữa sáng. Cô ấy sẽ ăn bao nhiêu tá trứng trong 4 tuần? ;7
Marissa đang đi bộ đường dài 12 dặm. Cô ấy mất 1 giờ để đi bộ 4 dặm đầu tiên, sau đó một giờ để đi bộ hai dặm tiếp theo. Nếu cô ấy muốn tốc độ trung bình của mình là 4 dặm một giờ, tốc độ (trong dặm một giờ) cô ấy cần đi bộ khoảng cách còn lại? ;6
Tôi có 10 lít nước uống cam có 2/3 là nước và tôi muốn thêm nó vào 15 lít nước uống dứa có 3/5 là nước. Nhưng khi tôi đổ nó, tôi đổ một lít nước cam. Còn bao nhiêu nước trong 24 lít còn lại? ;15
Raymond và Samantha là anh em họ. Raymond sinh ra 6 năm trước Samantha. Raymond có một đứa con trai ở tuổi 23. Nếu Samantha giờ 31 tuổi, con trai của Raymond được sinh ra bao nhiêu năm trước? ;14
