question;answer_number
Janetinke race dajejo 16 jajc na dan. Vsako jutro je tri za zajtrk in vsak dan s štirimi za prijatelje peče muffine. Preostanek vsak dan prodaja na kmetijskem trgu za dva dolarja za sveže račno jajce. Koliko dolarjev zasluži na trgu? ;18
Za obleko sta potrebna dva škrta modrih vlaken in polovica belovih vlaken. Koliko vijakov je potrebnih? ;3
Josh se odloči, da bo poskusil prevrniti hišo. Kupil je hišo za 80.000 dolarjev in potem vložil 50.000 dolarjev v popravila. To je povečalo vrednost hiše za 150%. Koliko je zaslužil? ;70000
James se je odločil, da bo tekel tri sprinte trikrat na teden. Vsako sprint teče 60 metrov. Koliko metrov na teden teče? ;540
Vsak dan Wendi vsakemu piščancu da tri skodelice mešane piščančje krme, ki vsebuje semena, gliste in zelenjavo, da bi bili zdravi. Piščanci dobijo hrano v treh obrokih. Zjutraj daje svoji čredi piščancev 15 skodelic hrane. Popoldne da piščancem še 25 skodelic hrane. Koliko skodelic hrane mora dati piščancih v zadnji obrok dneva, če je Wendina čredo 20 piščancev? ;20
Kylar je šel v trgovino kupiti očala za svoje novo stanovanje. En kozarec stane 5 dolarjev, vsak drugi pa samo 60% cene. Kylar hoče kupiti 16 kozarcev. Koliko jih mora plačati? ;64
Toulouse ima dvakrat več ovc kot Charleston. Charleston ima štirikrat več ovc kot Seattle. Koliko ovc imajo Toulouse, Charleston in Seattle skupaj, če ima Seattle 20 ovc? ;260
Carla prenaša 200 GB datoteke. Običajno lahko prenese 2 GB/minuto, vendar 40% poti skozi prenos, Windows prisili ponastavitev za namestitev posodobitev, kar traja 20 minut. Potem mora Carla znova začeti prenos od začetka. Koliko časa traja, da prenesem datoteko? ;160
John vozi tri ure s hitrostjo 100 km/h in se nato obrne, ker je spoznal, da je doma pozabil nekaj zelo pomembnega. Poskuša priti domov v štirih urah, a prve dve preživi v zastojnih prometu. Naslednjo pol ure vozi s hitrostjo 30 mph, preden lahko preostali čas od 4 ur vozi s hitrostjo 80 mph. Kako daleč je od doma po teh štirih urah? ;45
Eliza ima za prvih 40 ur, ki jih dela vsak teden, plačilo 10 dolarjev na uro. Poleg tega prejme plačilo za nadurno delo, ki je 1,2 krat več od urne plače. Če je Eliza delala 45 ur ta teden, koliko je zaslužila ta teden? ;460
Novi program je imel 60 prenosov v prvem mesecu. Število prenosov v drugem mesecu je bilo trikrat večje od prenosov v prvem mesecu, potem pa se je v tretjem mesecu zmanjšalo za 30%. Koliko je bilo prenesenih v treh mesecih? ;366
Toula je šla v pekarno in kupila različne vrste peciva. Kupila je 3 ducate krofov, ki so stali 68 dolarjev za ducat, 2 ducati mini kolači, ki so stali 80 dolarjev za ducat, in 6 ducat mini sirnih kolači za 55 dolarjev za ducat. Koliko je bilo celotno? ;694
Carlos posadi drevo limone. Za saditev drevesa bo stalo 90 dolarjev. Vsako leto bo zraslo 7 limonov, ki jih bo lahko prodal za 1,5 dolarja za eno. Za zalivanje in hranjenje drevesa stane 3 $ na leto. Koliko let bo trajalo, preden bo začel zaslužiti na limonarju? ;13
Melanie je prodajalka od vrat do vrat. Tretjino sesalnikov je prodala v zeleno hišo, še dva v rdečo hišo in polovico tistega, kar je ostalo v oranžni hiši. Če ima Melanie še pet sesalnikov, koliko jih je imela na začetku? ;18
V plesnem razredu 20 študentov, 20% vpisanih v sodobni ples, 25% preostalih vpisanih v jazz ples, in preostanek vpisanih v hip-hop ples. Koliko odstotkov vseh študentov je vpisanih v hip-hop ples? ;60
Trgovik želi izbrati med dvema nakupoma: nakit v vrednosti 5.000 dolarjev ali elektronske naprave v vrednosti 8.000 dolarjev. Njegov finančni svetovalec trdi, da bo trg nakita porastel za 2,5%, medtem ko bo trg elektronskih naprav porastel za 1,2% v istem mesecu. Če trgovec želi na koncu tega meseca z izbiro povečati dobiček, koliko dobička bi to bilo? ;125
Dva vlaka odpeljata San Rafael istočasno. Začeli so potovati proti zahodu, oba sta potovala 80 milj. Naslednji dan potujejo proti severu, ki pokriva 240 km. Koliko je prepotoval vsak vlak v dveh dneh? ;230
Jill dobi 20 $ na uro za poučevanje in 30 $ za trenerko navijačic. Če dela 50 tednov na leto, 35 ur na teden kot učiteljica in 15 ur na teden kot trenerka, koliko je njena letna plača? ;57500
Claire vsak dan za zajtrk naredi omleto s tremi jajci. Koliko ducatov jajc bo pojedla v štirih tednih? ;7
Marissa se sprehaja po 12 milj dolgi poti. Za prvih štiri milje je hodila eno uro, za naslednje dve pa še eno uro. Če želi, da bi bila njena povprečna hitrost 6 milj na uro, kako hitro (v kilometrih na uro) mora prehoditi preostalo razdaljo? ;6
Imam 10 litrov pomarančne pijače, ki je dve tretjini vode in jo želim dodati 15 litrom ananasne pijače, ki je tri petine vode. Ko ga natočim, prelijem liter pomarančne pijače. Koliko vode je v preostalih 24 litrih? ;15
Raymond in Samantha sta sestrična. Raymond se je rodil šest let pred Samantho. Raymond je imel sina pri 23 letih. Če je Samantha zdaj stara 31 let, koliko let nazaj se je rodil Raymondov sin? ;14
Billy prodaja DVD-je. V torek ima osem strank. Njegovi prvi 3 kupci kupijo po en DVD. Njegovi naslednji dve stranki kupujeta po dva DVD-ja. Njegovi zadnji 3 kupci ne kupujejo DVD-jev. Koliko DVD-jev je Billy prodal v torek? ;7
Sveča se topi za 2 centimetra na uro, ko gori. Koliko centimetrov bo sveča krajša, ko bo gorela od 13:00 do 17:00? ;8
Kyle je kupil lansko leto najbolj prodajano knjigo za 19,50 $. To je s 25% popustom od prvotne cene. Koliko je bila prvotna cena knjige? ;26
Marie je naročila eno piščančjo hrano, ki stane 12 dolarjev, 5 paketov mleka, ki stane 3 dolarjev, 4 jabolka, ki stanejo 1,50 dolarjev, in nekaj škatel pice. Marie je plačala skupaj 50 dolarjev. Koliko škatel pice je Marie naročila, če stane 8.50 $? ;2
Miška je kupila tri hlače, tri hlače in tri čevlje. Ena hlača stane 16,50 $. Ena hlača stane 22,50 dolarjev, par čevljev pa 42 dolarjev. Koliko dolarjev je Mishka porabil za oblačila? ;243
Cynthia vsak večer poje eno porcijo sladoleda. Kupuje škatle sladoleda s 15 porcijami sladoleda na škatlo po ceni 4 dolare na škatlo. Po 60 dneh, koliko bo porabila za sladoled? ;16
Henry se je dvakrat ustavil na svoji 60 milj dolgi vožnji s kolesom. Prva se je ustavil po 20 milj. Druga postaja je bila 15 milj pred koncem potovanja. Koliko kilometrov je prepotoval med prvo in drugo postajo? ;25
Gloria je na nakupih in naleti na čevlje, ki ustrezajo njenemu proračunu. Vendar mora izbrati med škornji in dvema paroma visokih petev, ki skupaj stanejo pet dolarjev manj kot škornji. Če ena para petk stane 33 dolarjev, druga pa dvakrat toliko, koliko dolarjev stanejo škornji? ;104
Darrell in Allen sta starostna v razmerju 7:11. Če je njihova skupna starost zdaj 162 let, izračunaj, koliko bo Allen star čez 10 let. ;109
Gunter skuša prešteti žele v kozarcu. Vpraša prijatelje, koliko jih je v kozarcu. Ena pravi 80. Drugi pravi, da je 20 več kot polovica prvega. Tretjina pravi, da je 25% več kot prva. Kakšna je njihova povprečna ocena? ;80
John skrbi za 10 psov. Vsak pes potrebuje 0,5 ure na dan, da se sprehodi in skrbi za svoje zadeve. Koliko ur na teden preživi z psi? ;35
Gretchen ima 110 kovancev. 30 zlatih kovancev je več kot srebrnih. Koliko zlatnikov ima Gretchen? ;70
Siobhan ima dva dragulja manj kot Aaron. Aaron ima pet draguljev več kot pol Raymondovih. Če ima Raymond 40 draguljev, koliko jih ima Siobhan? ;23
Mike igra ping pong 40 minut. V prvih 20 minutah je zadel 4 točke. V naslednjih 20 minutah je dosegel 25% več točk. Koliko točk je dobil? ;9
Terry je dva jogurta na dan. Trenutno so na prodaji po 4 jogurtih za 5 dolarjev. Koliko porabi za jogurt v 30 dneh? ;75
John namerava prodati vse svoje igrače in denar porabiti za nakup video iger. Ima 13 lego kompletov in jih prodaja za 15 dolarjev. Konča s tem, da kupi osem video iger za 20 dolarjev za vsako in ostane mu še 5 dolarjev. Koliko lego kompletov še ima? ;2
John teče 100 km na teden. Trikrat na teden teče. Prvi dan teče tri ure, drugi dva dni pa pol toliko. Kako hitro teče? ;10
Dana lahko teče štirikrat hitreje kot lahko hodi, lahko pa preskoči na pol manjši hitrosti. Če lahko preskoči s hitrostjo 5 km/h, koliko kilometrov lahko prečka v šestih urah, če tretjino časa preživi na tekih in dve tretjini na sprehodi? ;18
Brandonov iPhone je štirikrat starejši od Bena. Benov iPhone je dvakrat starejši od Suzyjinega. Če je Suzyjin iPhone star leto, koliko je star Brandonov iPhone? ;8
Veliki zmaj Perg je sedel visoko na vrhu gore Farbo, in vdihnil ogenj na vse v razdalji 300 metrov. Polly je lahko vrgla zlato kopje, edino znano orožje, ki je lahko zmaja pregnalo, na razdaljo 400 metrov, kar je bilo v dosegu zmajevih plamenov. Toda ko je Polly držala safir, je lahko vrgla kopje trikrat dlje kot, ko ni držala kamna. Če je Polly držala dragulj, kako daleč od dosega zmajevih plamenov je lahko stala in še vedno udarila zmaja z zlatim kopjem? ;200
Babica Jones je za gasilčevo kosilo pekla pet jabolčnih pite. Vsako pito je razrezala na osem kosov in jih pet postavila na mizi, da so si jih gostje lahko sami postregli. Ob koncu večera, ko so gostje pojedli svoje koščke pite, je ostalo 14 kosov pite. Koliko kosov so gostje vzeli? ;26
Po podatkih o hranilnih vrednostih ima vrečka čipsa 250 kalorij na porcijo. Če ima vreča 300 g 5 obrokov, koliko gramov lahko pojeste, če je vaš dnevni cilj kalorij 2000 in ste že zaužili 1800 kalorij? ;48
Charlie hoče prodati sveče iz čebeljega voska. Za vsak kilogram čebeljega voska lahko naredi 10 sveč. Kilogram čebeljega voska in kljuki stanejo 10 dolarjev. Če proda vsako svečo za dva dolarja, koliko dobička bo imel, če bo naredil in prodal 20 sveč? ;20
Meredith je samostojna blogerka, ki piše o zdravstvenih temah in jih vsak dan kot stalno delo posreduje strankam. Za članek na blogu je potrebno v povprečju 4 ure za raziskovanje in pisanje. Prejšnji teden je v ponedeljek napisala pet člankov in v torek dva petina več člankov kot v ponedeljek. V sredo je napisala dvakrat več člankov, kot jih je napisala v torek. Izračunaj, koliko ur je v treh dneh skupaj zapisala članke. ;104
"Candice je dala 80 post-it v torbico, preden je odšla v kavarno. Na poti se je ustavila v trgovini in kupila paket post-it zapiskov; v službi je na vsako od 220 različnih skodelic kave postavila en sam post-it zapisk. Če je imela 23 zapiskov, koliko jih je bilo v paketu, ki ga je kupila? ";163
John kupuje dvakrat več rdečih kravat kot modrih. Rdeče kravate so za 50% dražje od modrih. 200 dolarjev je porabil za modre kravate, ki so stanele po 40 dolarjev. Koliko je porabil za kravate? ;800
Tracy je uporabil kos žice, dolge 1,40 metra, da je podpiral paradižnikove rastline v vrtu. Žico so razrezali na 15 cm dolge kose. Koliko kosov je dobila? ;8
Richard živi v 15-nadstropni stavbi. Vsako nadstropje ima 8 enot, 3/4 stavbe pa je zasedenih. Koliko je prostih stanovanj v stavbi? ;30
Lloyd ima jajčno farmo. Njegove kokoši proizvedejo 252 jajc na dan in jih prodaja za 2 $ na ducat. Koliko zasluži Lloyd na jajcih na teden? ;294
Tomova ladja lahko potuje s hitrostjo 10 milj na uro. Odplul bo od 13h do 16h. Potem se vrne s hitrostjo 6 mph. Koliko časa bo potreboval, da se vrne? ;5
Urija je že preobremenjen. Odstraniti mora 15 kilogramov. Njegovi stripi tehtajo po 1 kg, igrače pa po 1 kg. Če odstrani 30 stripov, koliko igrač mora odstraniti? ;15
Mehanik za popravilo pnevmatik tovornjakov in avtomobilov zaračunava različne cene. Za vsako popravljeno pnevmatiko tovornjaka bo mehanik zaračunal 60 dolarjev, za vsako popravljeno pnevmatiko avtomobila pa 40 dolarjev. V četrtek mehanik popravi šest pnevmatik za tovornjak in štiri za avto. V petek mehanik popravi 12 avtomobilov, ne popravi pa niti ene pnevmatike. Koliko več prihodkov je mehaničar zaslužil na dan z višjim prihodkom? ;40
Sestre Doubtfire se vračajo domov s sedmimi mladiči, ki so jih posvojili iz lokalnega zavetišča za živali, ko jih mama pokliče, da ju obvesti, da sta njuni dve domači mački pravkar rodili mladiče. Pravi, da je Patchy, prva mačka, imela trikrat več posvojenih mačičkov, Trixie pa jih je imela 12. Koliko mačičkov ima zdaj družina Doubtfire? ;40
Jean ima 30 lizirk. Jean je pojedla dva lizirca. Jean želi z ostalimi lizirji zapakirati dva v eno vrečo. Koliko vrečk lahko Jean napolni? ;14
Peter načrtuje, da gre ta teden v kino. Vedno dobi vstopnico za 7 dolarjev in kokice za 7 dolarjev. Če ima 42 dolarjev na teden, kolikokrat lahko gre v kino? ;3
