premise;question;choice1;choice2;label
L'article était emballé dans du papier bulle. ;cause;Elle était fragile. ;C'était petit. ;0
J'ai vidé mes poches. ;effect;J'ai récupéré un ticket. ;J'ai trouvé une arme. ;0
Les termites ont envahi la maison. ;effect;Les termites ont disparu de la maison. ;Les termites ont dévoré le bois de la maison. ;1
Les voyageurs atteignirent la frontière. ;effect;L'agent de patrouille a vérifié leurs passeports. ;L'agent de patrouille les a accusés de contrebande. ;0
Le bureau était fermé. ;cause;C'était un jour férié. ;C'était l'été. ;0
La fille est à court d'énergie. ;cause;Elle jouait aux dames. ;Elle a sauté la corde. ;1
La femme a perdu sa place dans la file. ;cause;Plus de gens sont entrés dans la file. ;Elle a franchi la ligne. ;1
La fille s'est pincée le nez. ;cause;Le bébé a bavé sur son babillard. ;Le bébé a sali sa couche. ;1
Le groupe a joué leur chanson à succès. ;effect;Le public applaudit au rythme de la musique. ;Le public écoutait poliment en silence. ;0
La fille voulait remercier son professeur de maths. ;effect;La fille est restée après l'école pour la rétention. ;La fille a apporté une pomme au professeur. ;1
Les jeunes campers étaient effrayés. ;cause;Leur conseiller de camp leur a raconté une histoire de fantômes. ;Ils ont grillé des guimauves sur le feu de camp. ;0
L'homme s'est cogné la tête. ;effect;Il s'est perdu dans ses pensées. ;Il a eu une commotion cérébrale. ;1
Le chèque que j'ai écrit a été refusé. ;cause;Mon compte était vide. ;J'ai mérité une augmentation. ;0
La boîte de réception de cet homme était pleine de spam. ;effect;Il a effacé le spam. ;Il a envoyé un e-mail en masse. ;0
Le marin était en quarantaine. ;cause;Il a été exposé à la maladie. ;Il s'est remis de la maladie. ;0
La fille a mémorisé le code. ;cause;Elle le récitait à elle-même. ;Elle a oublié de l'écrire. ;0
J'ai versé de l'eau dans le verre. ;effect;L'eau a étanché ma soif. ;Le verre est devenu plein. ;1
L'homme resta silencieux quand son ami eut fini de parler. ;cause;Il voulait soutenir son ami. ;Il réfléchissait aux paroles de son ami. ;1
L'accident était de ma faute. ;effect;Je me sentais coupable. ;J'ai porté plainte. ;0
La chaîne s'est déchirée. ;cause;La chaîne était enroulée autour d'un pneu. ;Il y avait un maillon cassé dans la chaîne. ;1
Le couple décida de faire des compromis. ;cause;Ils en avaient assez de se disputer. ;Ils évitèrent de discuter du problème. ;0
La femme a décidé de se présenter à une fonction publique. ;effect;Elle a engagé un directeur de campagne. ;Elle a témoigné au tribunal. ;0
L'homme s'attendait à un temps froid pour son voyage. ;effect;Il a emballé des vêtements chauds dans sa valise. ;Il voyageait avec une grosse valise. ;0
L'étudiant connaissait la réponse à la question. ;effect;Il a levé la main. ;Il a fait une connerie. ;0
Les yeux de l'homme ont été trempés. ;cause;Il a de la poussière dans les yeux. ;Il a mis des lunettes sur ses yeux. ;0
Le joueur a gagné cinq matchs d'affilée. ;effect;Son adversaire l'a accusée de tricherie. ;Son adversaire a eu pitié d'elle. ;0
Le professeur déchira l'examen de l'élève. ;cause;Il a surpris l'étudiant en train de tricher. ;Les réponses de l'étudiant étaient incorrectes. ;0
Je me suis arrêté pour arrêter de parler. ;cause;J'ai perdu la voix. ;Je suis resté sans souffle. ;1
La nourriture congelée a décongelé. ;cause;Je l'ai mis au micro-ondes. ;Je l'ai recouvert d'un film plastique. ;0
L'employé a fait semblant d'être malade. ;cause;Il avait des crampes d'estomac. ;Il voulait un jour de congé. ;1
La fille est tombée dans la piscine. ;cause;Elle a couru sur la terrasse de la piscine. ;Elle a sauté du tremplin. ;1
Les billets de cinéma sont vendus. ;cause;C'était le jour de la première du film. ;Le film a reçu de mauvaises critiques. ;0
L'homme a perdu du poids. ;effect;Les gens l'ont isolé. ;Les gens lui faisaient des compliments. ;1
Les mains de la fille se sont gonflées. ;cause;Elle a tapé une lettre. ;Elle a grimpé sur une corde. ;1
L'artiste de cirque jonglait en faisant du monocycle. ;effect;Le public a applaudi avec étonnement. ;L'acrobate a fait un saut sur un trapèze. ;0
Je n'ai plus de patience. ;cause;Mon ami m'a fait attendre. ;Mon ami est arrivé à l'heure. ;0
Les pays en guerre voulaient la paix. ;effect;Ils ont développé des armes nucléaires. ;Ils ont négocié un traité. ;1
L'homme a pris des somnifères. ;effect;Il est devenu somnolent. ;Il avait de la fièvre. ;0
La femme est tombée sur le canapé. ;effect;La jambe du canapé s'est détachée. ;Elle s'est blessée au genou. ;1
Le garçon a serré le ballon. ;effect;Le ballon est éclaté. ;Le ballon s'est envolé. ;0
Ils sont des voyageurs qui se sont enregistrés dans leur chambre d'hôtel. ;effect;Ils ont déballé leurs valises. ;Ils sont allés à l'aéroport. ;0
J'ai mordu dans la pêche. ;effect;La pêche est meurtrie. ;Le jus est renversé. ;1
Mes mains sont devenues collantes. ;cause;J'ai mangé un donut. ;J'avais une dent sucrée. ;0
J'ai poussé la porte. ;effect;La porte s'est ouverte. ;La porte est fermée. ;0
Les militants ont boycotté les produits. ;cause;Les produits ont été soumis à des essais d'assurance qualité. ;Les produits ont été fabriqués par le travail des enfants. ;1
J'ai percé un trou dans le mur. ;effect;Une souris est sortie du trou. ;La poussière a soufflé hors du trou. ;1
La femme était jalouse de sa sœur. ;cause;Sa sœur était heureuse. ;Sa sœur a divorcé. ;0
J'ai renversé du vin sur ma chemise. ;effect;Je me suis mis un tablier. ;J'ai changé de chemise. ;1
La caissière ouvrit la caisse enregistreuse. ;cause;Le client a fouillé son portefeuille. ;Le client lui a donné de l'argent. ;1
Le musicien de rue attira une foule. ;effect;On lui a donné de l'argent. ;Il a renvoyé la foule. ;0
Le petit garçon a pleuré à sa baby-sitter. ;cause;Ses parents lui manquaient. ;C'était l'heure du goûter. ;0
Le radar du pilote a détecté une tempête. ;effect;Le pilote s'est éloigné de la tempête. ;Le pilote a survolé la tempête. ;0
L'arbre a perdu ses feuilles. ;effect;Les feuilles ont changé de couleur. ;Les feuilles s'accumulent sur le sol. ;1
Le garçon était de mauvaise humeur. ;effect;Il a décidé de jouer aux cartes avec sa sœur. ;Il a décidé de faire une blague avec sa sœur. ;1
L'enfant se plaignit d'avoir à aller aux toilettes. ;effect;Son père lui a donné un soda à boire. ;Son père a arrêté la voiture à une station-service. ;1
L'enfant a versé de la nourriture pour poissons dans l'aquarium. ;effect;Le poisson a sauté hors de l'aquarium. ;Le poisson a nagé vers la nourriture. ;1
Les opinions politiques de la femme ont changé. ;effect;Elle a changé d'affiliation. ;Elle s'est engagée dans une manifestation. ;0
L'évier de la salle de bain était bouché. ;effect;J'ai ouvert le robinet. ;J'ai versé du nettoyant de drainage dedans. ;1
Les passagers sont descendus du train. ;cause;Le train est arrivé à la gare. ;Le train siffla. ;0
L'homme a appuyé sur le coude humide de l'enveloppe. ;effect;Il a mis un timbre sur l'enveloppe. ;Il a scellé l'enveloppe. ;1
Les amis ont perdu le contact. ;cause;Ils aimaient être ensemble. ;Ils ont déménagé dans différentes villes. ;1
Le comptable a mal géré les fonds de l'entreprise. ;effect;Elle a été renvoyée de son poste. ;Elle est partie en congé de maternité. ;0
J'ai regardé l'horloge. ;cause;J'ai entendu le tick de l'horloge. ;Je voulais voir l'heure. ;1
Ma main est devenue cramponnée. ;cause;J'ai écrit l'essai à la main. ;Ma femme et moi nous sommes tenus par la main. ;0
Le boulon est serré. ;cause;J'ai remplacé le boulon. ;J'ai tourné la clé. ;1
Le couple a signé un bail pour un appartement. ;effect;Le couple a emménagé dans l'appartement. ;La ville a condamné l'appartement. ;0
La femme était assise dehors sur le porche. ;cause;Elle voulait regarder le coucher de soleil. ;Elle pensait avoir vu un éclair. ;0
L'homme portait un gilet de sauvetage dans l'eau. ;cause;Il ne savait pas nager. ;L'eau était peu profonde. ;0
La femme a fait une faute de frappe dans le traitement de texte. ;effect;Elle a effacé le document. ;Elle a appuyé sur la touche de rétro-espace. ;1
La fille se vantait auprès de ses amies. ;cause;Elle a eu une mauvaise note. ;Elle a gagné un concours. ;1
La pelouse était boueuse. ;cause;Il a plu à verse pendant la nuit. ;Il était plein de mauvaises herbes. ;0
La femme s'est endormie. ;cause;Elle a passé la nuit dans un hôtel. ;Elle a oublié de régler son réveil. ;1
L'homme s'est mis de la crème solaire. ;cause;Il s'est assis à l'ombre. ;Il est allé à la plage. ;1
Les chercheurs ont prouvé la théorie. ;effect;Les chercheurs ont rétracté la théorie. ;Les individus ont accepté la théorie. ;1
Les fans du match ont hué. ;cause;Le match est passé en prolongation. ;L'arbitre a fait un mauvais choix. ;1
J'ai entré ma combinaison sur la serrure. ;effect;Je ferme la serrure. ;La serrure est ouverte. ;1
La foule s'est intensifiée. ;effect;Le père donna de l'argent à son fils. ;Le père saisit la main de son fils. ;1
La neige bloquait l'allée. ;effect;J'ai rassemblé la neige en une boule de neige. ;J'ai débarrassé la neige de la route. ;1
Les kayakistes ont ramé leurs rames. ;effect;Le kayak atteignit la rive. ;Le kayak a heurté une vague. ;0
La fille a perdu le contrôle de sa moto. ;effect;Elle a lâché le guidon. ;Elle s'est écrasée contre une clôture. ;1
J'ai allumé le ventilateur. ;effect;L'eau a saupoudré ma peau. ;Je sentais l'air frais passer sur moi. ;1
Les surfeurs sont retournés à la plage. ;cause;Ils étaient trempés. ;Ils ont vu un requin. ;1
J'ai coupé le robinet de la baignoire. ;effect;L'eau a été évacuée de la baignoire. ;L'eau a éclaboussé le sol. ;0
Le mari se sentait coupable d'avoir trompé sa femme. ;effect;Il l'a accusée d'infidélité. ;Il lui a avoué son infidélité. ;1
L'encre sur l'affiche était éclaboussée. ;cause;J'ai attendu que l'encre sèche. ;J'ai renversé de l'eau sur l'affiche. ;1
L'enfant s'est réveillé en hurlant. ;cause;Il a fait un cauchemar. ;Il a mouillé le lit. ;0
Le garçon posa ses pieds sur la table. ;effect;Son père s'assit à la table. ;Son père lui a fait la morale. ;1
Mon ami a tourné la tête en ma direction. ;cause;J'ai crié son nom. ;Je lui ai fait signe. ;0
Le gouvernement opprimait ses citoyens. ;effect;Les citoyens se sont révoltés. ;Les citoyens se sont inscrits pour voter. ;0
Le garçon était perdu dans les bois. ;effect;Il a dressé une tente. ;Il a crié au secours. ;1
La femme a voyagé à l'étranger. ;cause;Elle voulait apprendre à dessiner. ;Elle voulait connaître d'autres cultures. ;1
L'homme était jaloux de son collègue. ;cause;Son collègue a été promu. ;Son collègue travaillait tard. ;0
Il a vu des extraterrestres. ;cause;Il avait des hallucinations. ;Il méditait. ;0
Les cheveux de l'homme sont devenus blonds. ;cause;Il y a mis de l'eau de Javel. ;Il a mis du shampoing dedans. ;0
L'artiste a créé de nouvelles œuvres. ;cause;Elle a critiqué son travail précédent. ;Elle a ressenti un coup d'inspiration. ;1
Le fils a quitté la maison. ;cause;Il a été libéré de l'armée. ;Il allait à l'université. ;1
Des livres sont tombés de l'étagère. ;cause;Les étagères étaient couvertes de poussière. ;Un tremblement de terre a secoué la bibliothèque. ;1
L'électricité de ma maison s'est éteinte. ;effect;J'ai allumé une lumière. ;J'ai réinitialisé le disjoncteur. ;1
On a fait la montagne russe. ;cause;Ça faisait peur. ;Ça avait l'air sympa. ;1
Le sac de pop-corn a commencé à éclater. ;cause;J'ai versé du beurre dans le sac. ;Je l'ai chauffé au micro-ondes. ;1
Un arbre est tombé sur le fil électrique. ;effect;L'électricité du quartier est tombée. ;Les prévisions de météo annonçaient des vents violents. ;0
L'orateur a fait des commentaires politiquement incorrects. ;effect;Il ennuyait le public. ;Il a offensé le public. ;1
Je me suis piquée avec l'épingle. ;effect;Une goutte de sueur a coulé de mon visage. ;Une goutte de sang s'est formée sur mon doigt. ;1
Le poisson flottait à la surface de l'aquarium. ;cause;Il avait faim. ;Il était mort. ;1
La voix de l'homme était rauque. ;cause;Il avait un rhume. ;Il a arrêté de fumer. ;0
Les portes de l'ascenseur se sont ouvertes. ;cause;L'ascenseur est arrivé à l'étage désigné. ;L'ascenseur s'est coincé entre deux étages. ;0
L'adolescente s'est enfuie de la maison. ;cause;Il a menti à ses parents. ;Ses parents l'ont mis à la maison. ;1
La salle de bain est inondée. ;cause;La toilette était débordée. ;Le chauffe-eau est cassé. ;0
Le chiot est resté près de son propriétaire. ;cause;Le propriétaire a mis un collier sur le chiot. ;Le propriétaire gardait le chiot en laisse. ;1
L'homme a attrapé son reflet. ;cause;Il se tenait sous l'arbre tentaculaire. ;Il se tenait au-dessus du lac calme. ;1
J'ai raté l'appel de ma copine. ;effect;Je l'ai rappelée. ;Je l'ai rencontrée pour dîner. ;0
La famille a fouillé le quartier. ;cause;Leur chien s'est enfui de chez lui. ;Des bijoux coûteux avaient disparu de leur maison. ;0
Je voyais mon souffle quand j'exhalais. ;cause;Le temps était froid. ;Je me sentais serré au sein. ;0
Les employés ont formé un syndicat. ;cause;Ils voulaient de meilleures conditions de travail. ;Leur employeur leur a augmenté le salaire. ;0
J'ai fait une tarte aux pommes. ;effect;Une odeur de pourriture remplissait la cuisine. ;Un parfum chaud remplissait la cuisine. ;1
La femme avait du mal à marcher. ;cause;Elle portait des talons hauts. ;Elle a enlevé ses chaussures. ;0
La vapeur s'est élevée du pot d'eau. ;cause;L'eau a bouilli. ;J'ai couvert le pot. ;0
Toutes mes chaussettes étaient à la blanchisserie. ;effect;Je portais des sandales. ;Je portais des bottes. ;0
L'argument du politicien a été considéré comme absurde. ;effect;Il a perdu le soutien des électeurs. ;Il a été accusé de corruption. ;0
Tout le monde désapprouvait les fiançailles du couple. ;effect;Le couple est tombé enceinte. ;Le couple s'est enfui. ;1
Le bâtiment était dédié au millionnaire. ;cause;Le millionnaire voulait que le bâtiment soit démoli. ;Le millionnaire a contribué aux fonds nécessaires à sa construction. ;1
Le vendeur a accusé la fille de vol. ;cause;Le vendeur a vu la fille mettre des marchandises dans son sac. ;Le vendeur a aidé la fille à trouver le sac qu'elle aimait. ;0
Le pays a déclaré la guerre au territoire voisin. ;effect;Des soldats ont été envoyés au combat. ;Les soldats ont été réunis avec leurs familles. ;0
La cour a confirmé la décision controversée. ;effect;Une émeute a éclaté devant le palais de justice. ;Un couple a échangé des vœux devant le tribunal. ;0
La fille a senti quelque chose qui brûlait. ;cause;Elle a sorti les biscuits du pot. ;Elle a laissé les biscuits au four. ;1
Il pleuvait à verse. ;effect;La tempête s'est aggravée. ;Je me suis précipité à l'intérieur. ;1
Le bâtiment a été évacué. ;cause;L'ascenseur a cessé de fonctionner. ;L'alarme d'incendie est déclenchée. ;1
Le père était contrarié par l'alcoolisme de son fils. ;effect;Le père offrit une bière à son fils. ;Le père a jeté son fils hors de la maison. ;1
L'avocate montait les escaliers pour se rendre à son bureau. ;cause;La secrétaire est rentrée chez elle. ;L'ascenseur était en panne. ;1
L'homme s'est énervé contre son ami. ;cause;Son ami l'a interrompu. ;Son ami lui a offert un déjeuner. ;0
La fille a donné son argent à la caisse. ;effect;La caissière a donné à la fille son change. ;Le caissier a oublié de donner un reçu à la fille. ;0
La femme a été mise dans un fauteuil roulant. ;cause;Elle a été paralysée dans un accident. ;Elle est entrée à l'hôpital sur une civière. ;0
Les citoyens ont accroché le drapeau national devant leurs maisons. ;cause;Le pays commémorait son indépendance. ;Le pays était confronté à des difficultés économiques. ;0
L'équipe a perdu le tournoi. ;effect;Ils ont déçu leurs fans. ;Ils ont inspiré leurs fans. ;0
Mon ami m'a dit que j'avais de la nourriture coincée dans les dents. ;effect;Je me suis sentie gênée. ;Je me sentais fier. ;0
Le garçon a échoué à son examen d'histoire. ;cause;Il était attentif en classe. ;Il a oublié d'étudier. ;1
Le bâtiment du centre-ville s'est effondré. ;cause;Un tremblement de terre a frappé la ville. ;Le taux de criminalité dans la ville a augmenté. ;0
