m_query;response
جولیا نے پیر کو 18 بچوں کے ساتھ ٹیگ کھیلا. وہ منگل کو 10 بچوں کے ساتھ ٹیگ کھیلا. وہ منگل کے مقابلے میں پیر کو کتنے زیادہ بچوں کے ساتھ کھیلی تھی ؟ ;8.0
جولیا نے پیر کو 11 بچوں کے ساتھ ٹیگ کھیلا. وہ منگل کو 12 بچوں کے ساتھ ٹیگ کھیلا. وہ منگل کو پیر کے مقابلے میں کتنے زیادہ بچوں کے ساتھ کھیلا تھا ؟ ;1.0
جولیا نے پیر کو پانچ بچوں کے ساتھ ٹیگ کھیلا تھا وہ منگل کو کچھ اور بچوں کے ساتھ ٹیگ کھیل رہی تھی۔ اگر وہ کل 15 بچوں کے ساتھ کھیلی تو وہ منگل کو کتنے بچوں کے ساتھ کھیلی ؟ ;10.0
جولیا نے پیر کو کچھ بچوں کے ساتھ ٹیگ کھیلا تھا. وہ منگل کو 14 بچوں کے ساتھ ٹیگ کھیلا. اگر وہ کل 16 بچوں کے ساتھ کھیلی تو اس نے پیر کو کتنے بچوں کے ساتھ کھیلا ؟ ;2.0
جولیا نے پیر کو 16 بچوں کے ساتھ ٹیگ کھیلا. اگر وہ منگل کے مقابلے میں پیر کو 12 بچوں کے ساتھ ٹیگ کھیلتی تھی تو وہ منگل کو کتنے بچوں کے ساتھ کھیلی تھی ؟ ;4.0
جولیا نے منگل کو 14 بچوں کے ساتھ ٹیگ کھیلا تھا. اگر وہ منگل کے مقابلے میں پیر کو 8 بچوں کے ساتھ ٹیگ کھیلتی تھی تو وہ پیر کو کتنے بچوں کے ساتھ کھیلی تھی؟ ;22.0
جولیا نے پیر کو 17 بچوں کے ساتھ ٹیگ کھیلا تھا منگل کو 15 بچے اور بدھ کو 2 بچے وہ کتنے بچوں کے ساتھ کھیلی تھی ؟ ;34.0
جولیا نے پیر کو 15 بچوں کے ساتھ ٹیگ کھیلا تھا منگل کو 18 بچوں اور بدھ کو 97 بچوں کے ساتھ. وہ پیر اور منگل کو کتنے بچوں کے ساتھ کھیلی تھی ؟ ;33.0
جولیا نے پیر کو 5 بچوں کے ساتھ ٹیگ کھیلا تھا ۔ 9 بچے منگل کو اور 15 بچے بدھ کو ۔ وہ پیر اور بدھ کو کتنے بچوں کے ساتھ کھیلی تھی ؟ ;20.0
جولیا نے پیر کو 2 بچوں کے ساتھ ٹیگ کھیلا تھا 14 بچے منگل کو اور 16 بچے بدھ کو وہ منگل اور بدھ کو کتنے بچوں کے ساتھ کھیلی تھی ؟ ;30.0
جولیا نے پیر کو 9 بچوں کے ساتھ ٹیگ کھیلا تھا ۔ 7 بچے منگل کو اور 96 بچے بدھ کو ۔ وہ منگل کے مقابلے میں پیر کو کتنے زیادہ بچوں کے ساتھ کھیلی تھی ؟ ;2.0
جولیا نے پیر کو 14 بچوں کے ساتھ ٹیگ کھیلا تھا ۔ دو بچے منگل کو اور 8 بچے بدھ کو ۔ وہ بدھ کے مقابلے میں پیر کو کتنے زیادہ بچوں کے ساتھ کھیلی تھی ؟ ;6.0
جولیا نے پیر کو 8 بچوں کے ساتھ ٹیگ کھیلا تھا ۔ 11 بچے منگل کو اور 9 بچے بدھ کو ۔ وہ منگل کو بدھ کے مقابلے میں کتنے زیادہ بچوں کے ساتھ کھیلی تھی ؟ ;2.0
جولیا نے پیر کو 15 بچوں کے ساتھ ٹیگ کھیلا تھا منگل کو 18 بچوں اور بدھ کو 7 بچوں کے ساتھ. وہ بدھ کے مقابلے میں پیر اور منگل کو کتنے بچوں کے ساتھ کھیلتی تھی ؟ ;26.0
جولیا نے پیر کو 13 بچوں کے ساتھ اور منگل کو 10 بچوں کے ساتھ ٹیگ کھیلا۔ وہ بدھ کو 15 بچوں کے ساتھ کارڈ کھیلتی تھی وہ کتنے بچوں کے ساتھ کھیلی تھی ؟ ;38.0
جولیا نے پیر کو 7 بچوں کے ساتھ ٹیگ کھیلا اور منگل کو 13 بچوں کے ساتھ. وہ 20 بچوں کے ساتھ چارشنبہ کو کھیلتی تھی وہ کتنے بچوں کے ساتھ ٹیگ کھیلا تھا ؟ ;20.0
جولیا نے پیر کو 12 بچوں کے ساتھ ٹیگ کھیلا. وہ منگل کو 14 بچوں کے ساتھ ٹیگ کھیلا. اس نے دونوں دنوں میں کل 34 گھنٹے ٹیگ کھیلنے میں گزارے. وہ کتنے بچوں کے ساتھ کھیلی تھی ؟ ;26.0
