question;answer_number
Ути Джанет відкладають 16 яєць на день. Вона їсть три на сніданок щоранку і пече кексі для своїх друзів щодня з чотирма. Вона продає залишок на фермерському ринку щодня за 2 долари за свіжі качкові яйця. Скільки вона заробляє в доларах щодня на фермерському ринку? ;18
Для одягу потрібно 2 шнури синього волокна і половину того ж білого волокна. Скільки в цілому було потрібно болтів? ;3
Джош вирішує спробувати перевернути будинок. Він купує будинок за $80,000, а потім витрачає $50,000 на ремонт. Це збільшило вартість будинку на 150%. Скільки він заробив? ;70000
Джеймс вирішує тричі на тиждень пробігати три спринти. Він пробігає 60 метрів у кожний спринт. Скільки всього метрів він пробігає на тиждень? ;540
Кожен день Венді годує кожну з своїх курчат трьома чашками змішаного корму для кур, що містить насіння, зернових черв'яків і овочі, щоб допомогти зберегти їх здорові. Вона дає курам їжу в три окремі порції. Вранці вона дає 15 чашок корму для свого стада кур. Вдень вона дає своїм куркам ще 25 чашок їжі. Скільки чашок корму їй потрібно давати куркам у останній прийом їжі на день, якщо кількість курків у стаді Венді становить 20? ;20
Кайлар пішов у магазин, щоб купити окуляри для своєї нової квартири. Одна чаша коштує 5 доларів, але кожна друга чаша коштує лише 60% ціни. Кайлар хоче купити 16 келихів. Скільки йому потрібно за них заплатити? ;64
У Тулузі вдвічі більше овець, ніж у Чарльстоні. У Чарльстоні в 4 рази більше овець, ніж у Сіетлі. Скільки овець мають Тулуза, Чарльстон і Сіетл разом, якщо у Сіетла 20 овець? ;260
Карла завантажує файл на 200 Гб. Зазвичай вона може завантажувати 2 ГБ/хвилину, але на 40% від завантаження Windows змушує перезавантажити, щоб встановити оновлення, що займає 20 хвилин. Тоді Карла повинна перезапустити завантаження з початку. Скільки потрібно завантажити файл? ;160
Джон їздить 3 години зі швидкістю 60 миль на годину, а потім повертається, бо розуміє, що забуває щось дуже важливе вдома. Він намагається дістатися додому за 4 години, але перші 2 години проводить у затишній рух. Наступні півгодини він їздить зі швидкістю 30 миль на годину, а потім протягом 4 годин їздить зі швидкістю 80 миль на годину. Як далеко він від дому після цих 4 годин? ;45
За перші 40 годин роботи Еліза платить по 10 доларів на годину. Вона також отримує надчасну оплату в 1,2 рази більше, ніж її нормальна годинна плата. Якщо Еліза працювала 45 годин цього тижня, скільки вона заробила за цей тиждень? ;460
Нову програму за перший місяць скачали 60 разів. Кількість завантажень у другій місяць була втричі більшою, ніж завантажень у перший місяць, але потім зменшилася на 30% у третій місяць. Скільки завантажень ця програма мала за ці три місяці? ;366
Тула пішла до пекарні і купила різні видове печиво. Вона купила 3 десятки пончиків, які коштували 68 доларів за десяток, 2 десятки міні-кексів, які коштували 80 доларів за десяток, і 6 десятків міні-кіксів з сиром за 55 доларів за десяток. Скільки це коштувало? ;694
Карлос садить лимонник. Висадка дерева коштуватиме 90 доларів. Щороку на ньому виросте 7 лимонів, які він може продати за 1,5 долара за штуку. Заливання і годування дерева коштує 3 долари на рік. Скільки років йому знадобиться, щоб заробити на лимонному дереві? ;13
Мелані - продавщиця від дверей до дверей. Вона продала третину своїх пилососів у зеленому будинку, ще 2 - у червоному будинку, а половину того, що залишилося в помаранчевому будинку. Якщо у Мелані залишилося 5 пилососів, то з яких вона почала? ;18
У танцювальному класі з 20 студентів 20% навчалися сучасним танцями, 25% решти - джазовим танцями, а решта - хіп-хопом. Який відсоток всіх студентів навчався хип-хопу? ;60
Торговець хоче зробити вибір між двома планами покупки: прикрасами вартістю $5000 або електронними пристроями вартістю $8000. Його фінансовий радник припускає, що ринок ювелірних виробів зросте на 2,5%, а ринок електронних гаджетів зросте на 1,2% протягом того ж місяця. Якщо продавець прагне максимізувати прибуток наприкінці місяця, зробивши вибір, скільки це буде? ;125
Два потяги виїжджають з Сан-Рафаеля одночасно. Вони починають подорож на захід, обидва проходять 80 миль. Наступного дня вони їдуть на північ, пройшовши 240 кілометрів. Яку відстань пройшов кожен поїзд за ці два дні? ;230
Джилл отримує 20 доларів на годину за викладання і 30 доларів за те, що вона тренерка черлідерів. Якщо вона працює 50 тижнів на рік, 35 годин на тиждень в якості вчителя і 15 годин на тиждень в якості тренера, яка її річна зарплата? ;57500
Клер щоранку на сніданок готує омлет з трьома яйцями. Скільки десятків яєць вона з'їсть за 4 тижні? ;7
Марісса ходить пішки на 12-мільній тропі. Перші 4 милі пройшла за годину, а наступні 2 - за годину. Якщо вона хоче, щоб її середня швидкість була 4 миль на годину, яка швидкість (в милях на годину) їй потрібна, щоб пройти решту відстані? ;6
У мене є 10 літрів апельсинового напою, що складається на дві третини з води, і я хочу додати його до 15 літрів ананасового напою, що складається на три п'ятини з води. Але коли я наливаю, я розливаю один літр апельсинового напою. Скільки води в інших 24 літрах? ;15
Реймонд і Саманта - двоюрідні браті. Реймонд народився на 6 років раніше Саманти. Реймонд мав сина у віці 23 років. Якщо Саманті зараз 31, то скільки років тому народився син Реймонда? ;14
Біллі продає DVD. У вівторок у нього 8 клієнтів. Перші три його клієнти купують по одному DVD. Його наступні два клієнти купують по два DVD. Його останні 3 клієнти не купують DVD. Скільки DVD Біллі продав у вівторок? ;7
Свічка тане на 2 сантиметра за кожну годину, що вона горить. Скільки сантиметрів буде коротше свічка після спалювання з 13:00 до 17:00? ;8
Кайл купив минулорічну бестселер за 19,50 доларів. Це з знижкою 25% від початкової ціни. Яка була оригінальна ціна книги? ;26
Марі замовила одну курячу порцію, яка коштувала 12 доларів, 5 пачок молока, що коштували по 3 долари, 4 яблука, що коштували по 1,50 долара, і кілька коробк піци. Марі заплатила в цілому 50 доларів. Скільки коробк піци замовила Марі, якщо кожна коробка коштує 8,50 доларів? ;2
Мішка купив 3 пари шортів, 3 пари штанів і 3 пари взуття. Одна пара шорт коштує $16.50. Одна пара штанів коштує 22,50 доларів, а одна пара взуття - 42 долари. Скільки доларів Мишка витратила на всі ці речі? ;243
Синтія їсть одну порцію морозива щовечора. Вона купує коробки морозива з 15 порціями морозива на коробку за ціною $4.00 за коробку. Через 60 днів, скільки вона витратить на морозиво? ;16
Генрі двічі зупинився під час своєї 60-мільної подорожі на велосипеді. Він зупинився після 20 миль. Друга зупинка була за 15 миль до кінця подорожі. Скільки миль він пройшов між першою і другою зупинками? ;25
Глорія ходила по магазинах за взуттям, коли натрапила на пару ботів, які відповідали її бюджету. Однак, їй доводиться вибирати між чоботи і двома парами високих каблуків, які разом коштують на п'ять доларів менше, ніж чоботи. Якщо одна пара каблуків коштує 33 долари, а інша - вдвічі більше, то скільки доларів коштують чоботи? ;104
У Даррела і Аллена співвідношення років 7:11. Якщо їхній загальний вік зараз становить 162 роки, то вирахувайте вік Аллена через 10 років. ;109
Гюнтер намагається підрахувати батончики в банці. Він питає своїх друзів, скільки, на їхню думку, є в банці. Один каже 80. Інший каже, що 20 більше, ніж половина першого. Третя - на 25% більше, ніж перша. Яка їхня середня оцінка? ;80
Джон доглядає за 10 собаками. Кожна собака витрачає по півгодини на прогулянку і догляд за своїм бізнесом. Скільки годин на тиждень він проводить, доглядаючи за собаками? ;35
Гретхен має 110 монет. Золотих монет на 30 більше, ніж срібних. Скільки золотих монет у Гретхен? ;70
У Шивон на 2 коштовності менше, ніж в Аарона. У Аарона на 5 коштовностей більше, ніж у Реймонда. Якщо у Реймонда 40 коштовностей, скільки коштовностей має Сіобан? ;23
Майк грає в пінг-понг 40 хвилин. У перші 20 хвилин він набирає 4 очки. У другій 20 хвилині він набирає на 25% більше очок. Скільки він набрав загального очков? ;9
Террі їсть два йогурти на день. В даний час вони продаються за 4 йогурти за $5.00. Скільки він витрачає на йогурт за 30 днів? ;75
Джон планує продати всі свої іграшки і використати гроші, щоб купити відеоігри. У нього є 13 комплектів Lego і він продає їх по 15 доларів за штуку. Він купує вісім відеоігор за 20 доларів за штуку і залишається 5 доларів. Скільки у нього ще лего-комплектів? ;2
Джон пробігає 100 кілометрів на тиждень. Він бігає 3 дні на тиждень. Він пробігає 3 години в перший день і вдвічі менше в інші два дні. Як швидко він бігає? ;10
Данія може бігати в чотири рази швидше, ніж ходить, але вона може стрибати вдвічі швидше, ніж може бігати. Якщо вона може стрибати з швидкістю 3 милі на годину, скільки миль вона може проїхати за шість годин, якщо вона витрачає одну третину часу на біг і дві третини часу на ходьбу? ;18
Іфон Брендона в чотири рази старший за Іфон Бена. Іфон Бена вдвічі старший за Іфон Сюзі. Якщо iPhone Сузі 1 рік, то скільки років iPhone Брендона? ;8
