m_query;response
Julia Pazartesi günü 18 çocukla takılı takılı oynadı. Salı günü 10 çocukla takılı takılı oynadı. Pazartesi günü salı gününe göre kaç çocukla daha fazla oynadı? ;8.0
Julia Pazartesi günü 11 çocukla takılı takılı oynadı. Salı günü 12 çocukla beraber takılıyordu. Salı günü pazartesi gününe göre kaç çocukla daha fazla oynadı? ;1.0
Julia Pazartesi günü beş çocukla takılı takılı oynadı. Salı günü başka çocuklarla takılı takılı oynadı. Eğer 15 çocukla oynadıysa, salı günü kaç çocukla oynadı? ;10.0
Julia Pazartesi günü çocuklarla takılıyordu. Salı günü 14 çocukla takılı takılı oynadı. Eğer 16 çocukla oynadıysa Pazartesi günü kaç çocukla oynadı? ;2.0
Julia pazartesi günü 16 çocukla takılı oynadı. Eğer pazartesi günü salı gününe göre 12 çocukla daha fazla takılsa salı günü kaç çocukla oynadı? ;4.0
Julia salı günü 14 çocukla takılı oynadı. Eğer pazartesi günü salı gününe göre sekiz çocukla daha fazla takılsa pazartesi günü kaç çocukla oynadı? ;22.0
Julia Pazartesi 17 çocukla, Salı 15 çocukla ve Çarşamba 2 çocukla takılı oynadı. Kaç çocukla birlikte oynadı? ;34.0
Julia Pazartesi 15 çocukla, Salı 18 çocukla ve Çarşamba 97 çocukla takılı oynadı. Pazartesi ve Salı günleri kaç çocukla oynadı? ;33.0
Julia Pazartesi günü 5 çocukla, Salı günü 9 çocukla ve Çarşamba günü 15 çocukla takılı oynadı. Pazartesi ve Çarşamba günleri kaç çocukla oynadı? ;20.0
Julia Pazartesi günü 2 çocukla, Salı günü 14 çocukla ve Çarşamba günü 16 çocukla takılı oynadı. Salı ve Çarşamba günleri kaç çocukla oynadı? ;30.0
Julia Pazartesi günü 9 çocukla, Salı günü 7 çocukla ve Çarşamba günü 96 çocukla takılı oynadı. Pazartesi günü salı gününe göre kaç çocukla daha fazla oynadı? ;2.0
Julia Pazartesi 14 çocukla, Salı 2 çocukla ve Çarşamba 8 çocukla takılı oynadı. Pazartesi günü Çarşamba günü oynadığı çocuklardan kaç tane daha fazlaydı? ;6.0
Julia Pazartesi 8 çocukla, Salı 11 çocukla ve Çarşamba 9 çocukla takılı oynadı. Salı günü Çarşamba günü oynadığı çocuklardan kaç tane daha var? ;2.0
Julia Pazartesi 15 çocukla, Salı 18 çocukla ve Çarşamba 7 çocukla takılı oynadı. Pazartesi ve Salı günleri Çarşamba günlerine göre kaç çocukla daha fazla oynadı? ;26.0
Julia Pazartesi 13 çocukla, Salı 10 çocukla takılı oynadı. Çarşamba günü 15 çocukla kart oynadı. Kaç çocukla birlikte oynadı? ;38.0
Julia pazartesi 7 çocukla, salı 13 çocukla takılıyordu. Çarşamba günü 20 çocukla kart oynadı. Kaç çocukla birlikte takılı oynadı? ;20.0
Julia Pazartesi günü 12 çocukla beraber oynadı. Salı günü 14 çocukla takılı takılı oynadı. İki günde de 34 saatini oyun oynamak için harcadı. Kaç çocukla birlikte oynadı? ;26.0
Julia Pazartesi günü 19 çocukla takılı takılı oynadı. Salı günü 18 çocukla takılı takılı oynadı. İki günde de toplam 38 saatini oyun oynamak için harcadı. Pazartesi günü salı gününe göre kaç çocukla daha fazla oynadı? ;1.0
Julia salı günü beş çocukla takılı oynadı. Pazartesi günü 6 çocukla birlikte takılı takılı oynamıştı. Pazartesi günü salı gününe göre kaç çocukla daha fazla oynadı? ;1.0
Julia toplam 18 çocukla birlikte dövüştü. Pazartesi günü 4 çocukla oynadı ve Salı günü de birkaç çocukla. Salı günü kaç çocukla oynadı? ;14.0
Julia çarşamba günü dört çocukla takılı takılı oynadı. Pazartesi 6 çocukla oynamıştı Salı günü de 17 çocukla. Pazartesi günü Çarşamba günü oynadığı çocuklardan kaç tane daha fazlaydı? ;2.0
Bobby biraz şeker yedi. Sonra 25 tane daha yedi. Eğer toplamda 43 tane şeker yemişse başlangıçta kaç tane şeker yemiş? ;18.0
Bobby 28 tane şeker yedi. Sonra 42 tane daha yedi. Ayrıca 63 adet çikolata da yedi. Bobby kaç tane şeker yedi? ;70.0
Bobby 33 tane şeker yedi. Sonra 4 tane daha yedi. Ayrıca 14 tane çikolata da yedi. Bobby toplamda kaç tane şeker ve çikolata yedi? ;51.0
Bobby 38 tane şeker yedi. Sonra 36 tane daha yedi. Ayrıca 16 tane çikolata da yedi. Bobby çikolataya göre kaç tane daha şeker yedi? ;58.0
Bobby 20 tane şeker almış. 34 tane şeker yemiş. Sonra 18 tane daha yedi. Bobby kaç tane şeker yedi? ;52.0
Bobby 21 tane şeker almış. 5 tane şeker yedi. Sonra 9 tane daha yedi. Kaç tane şekerleme kaldı? ;7.0
Bobby 22 tane şeker almış. Şekerler yedi. Sonra beş tane daha yedi. Eğer hala 8 tane şekerleme kalmışsa başlangıçta kaç tane şekerleme yemiş? ;9.0
Bobby 19 tane şeker almış. İki tane şeker yedi. Kaç tane şekerleme kaldı? ;17.0
Bobby 32 tane şeker almış. Şekerler yedi. Eğer 20 tane şeker kalmışsa Bobby kaç tane şeker yedi? ;12.0
Bobby 17 tane şeker yedi. Sonra 15 tane daha yedi. Başlangıçta 36 tane şeker parçası varsa, kaç tane şeker parçası kaldı? ;4.0
Bobby 23 tane şeker yedi. Eğer başlangıçta 30 tane şeker parçası varsa, kaç tane şeker parçası kaldı? ;7.0
Alan 5 balon getirdi Jake de 3 balon getirdi. Alan'ın parkta Jake'den kaç tane daha balon vardı? ;2.0
Alan 2 balon getirdi Jake de 3 balon getirdi. Jake'in parkta Allan'dan kaç tane balon daha vardı? ;1.0
Alan ve Jake parka 3 balon getirdi. Eğer Allan 2 balon getirmişse Jake parkta kaç balon getirmiş? ;1.0
Jake parka 6 balon getirdi. Eğer Jake, Allan'ın getirdiğinden 4 balon daha fazla getirmişse, Allan parkta kaç balon getirdi? ;2.0
Alan parka 5 balon getirdi. Eğer Jake, Allan'ın getirdiğinden 6 balon daha fazla getirmişse Jake parkta kaç balon getirdi? ;11.0
Alan 3 balon getirdi Jake de 5 balon getirdi. Allan, parkta iki balon daha aldı. Alan ve Jake'in parkta kaç tane balonu var? ;10.0
Alan 2 balon getirdi, Jake de 4 balon getirdi. Allan daha sonra parkta 3 balon daha aldı. Alan'ın parkta Jake'den kaç tane daha balon vardı? ;1.0
Alan 2 balon getirdi Jake de 6 balon getirdi. Allan daha sonra parkta 3 balon daha aldı. Jake'in parkta Allan'dan kaç tane balon daha vardı? ;1.0
Alan 5 balon getirdi, Jake de 4 balon getirdi. Allan daha sonra parkta 3 balon daha aldı. Allan parkta kaç balon getirdi? ;8.0
