premise;question;choice1;choice2;label
वस्तु बबल रैपमे पैक कएल गेल छल। ;cause;ओ कमजोर छल। ;ओ छोट छल। ;0
हम अपन जेबी खाली कऽ लेलहुँ। ;effect;हम टिकटक स्टब निकालि लेलहुँ। ;हमरा एकटा हथियार भेटल। ;0
घरमे अमितक आक्रमण भऽ गेल। ;effect;घरसँ अमित गायब भऽ गेल। ;घरक लकड़ीकेँ चीर-फाड़ कऽ खा गेल। ;1
यात्री सभ सीमा पर पहुँचल। ;effect;गश्ती एजेंट हिनकर पासपोर्टक जाँच केलक। ;गश्ती एजेंट हुनका सभ पर तस्करीक आरोप लगौलनि। ;0
कार्यालय बन्द छल। ;cause;ई छुट्टी छल। ;ओ समय ग्रीष्म छल। ;0
लड़कीक ऊर्जा समाप्त भऽ गेलैक। ;cause;ओ डाक खेलैत छल। ;ओ रस्सीसँ कूदि गेल। ;1
महिला अपन स्थान कतारमे खो देलक। ;cause;आरो लोक सभ लाइन मे आबि गेल। ;ओ लाइन सँ बाहर निकलल। ;1
लड़की अपन नाकक चुटकी लेलक। ;cause;बच्चा अपन पैंट पर लार पसारि देलक। ;बच्चा ओकर डायपर गन्दा कऽ देलक। ;1
बैंड अपन हिट गीत बजा रहल छल। ;effect;दर्शक सभ संगीतक संग ताली बजा रहल छल। ;सभ लोक सभ सभटा बातक ध्यान राखि चुपचाप सुनैत रहल। ;0
ओ लड़की अपन गणित शिक्षक केँ धन्यवाद देबय चाहैत छलीह। ;effect;लड़की स्कूलक बादो कनिष्ठ कक्षमे रहए। ;लड़की शिक्षक के एकटा सेब देलकै। ;1
युवा कैंपर सभ डेरा गेल छल। ;cause;हुनका सभक शिविरक परामर्शदाता हुनका सभकेँ भूतक कथा सुना देलनि। ;ओ सभ आगि पर मार्शमलोक भुज्जी खयलनि। ;0
ओ आदमी अपन माथपर प्रहार केलक। ;effect;ओ अपन विचारमे डुबि गेल। ;हुनका मस्तिष्कमे चोट लागल छलनि। ;1
हम जे चेक लिखलहुँ से नहि भेटल। ;cause;हमर बैंक खाता खाली छल। ;हम वेतन वृद्धि क' लेल गेल छी। ;0
ओ आदमीक इनबॉक्स स्पैम सँ भरल छल। ;effect;ओ स्पैम मेटा देलनि। ;ओ एकटा सामूहिक इमेल पठौलनि। ;0
नाविक केँ क्वारेंटाइन मे राखल गेल छल। ;cause;ओ रोग सँ ग्रसित छल। ;ओ रोगसँ ठीक भेल। ;0
लड़की कोड केँ मोन रखि गेल छल। ;cause;ओ अपनहि लेल ई गीत गबैत छलीह। ;ओ लिखब बिसरि गेल छल। ;0
हम गिलासमे पानि ढारलहुँ। ;effect;ई पानि हमर प्यास बुझा देलक। ;गिलास भरि गेल। ;1
जखन ओकर मित्र अपन बात समाप्त केलक त' ओ आदमी चुप रहल। ;cause;ओ अपन मित्रक समर्थन करए चाहैत छल। ;ओ अपन मित्रक बात पर सोचि रहल छल। ;1
दुर्घटना हमर गलती छल। ;effect;हमरा दोषी बुझल जाइत छल। ;हम ओकरा पर आरोप लगौलहुँ। ;0
चेन टूटि गेल। ;cause;चेन एकटा टायरक चारू कात लपेटल छल। ;श्रृंखला मे एकटा टूटल कड़ी छल। ;1
ई दम्पत्ति समझौता करबाक निर्णय केलक। ;cause;ओ सभ झगड़ासँ थकैत छल। ;ओ सभ समस्या पर चर्चा करबा सँ बचेलाह। ;0
ओ महिला सार्वजनिक कार्यालयक लेल दौड़बाक निर्णय केलक। ;effect;ओ एकटा अभियान प्रबंधक नियुक्त केलक। ;ओ अदालतमे गवाही देलक। ;0
ओ आदमी अपन यात्रामे ठण्डा मौसमक अनुमान केने छल। ;effect;ओ अपन सूटकेस मे गरम वस्त्रक पैक केलक। ;ओ एकटा पैघ सूटकेस लऽ कऽ यात्रा केलक। ;0
छात्र प्रश्नक उत्तर जनैत छल। ;effect;ओ अपन हाथ उठौलनि। ;ओ गप-सप्प कऽ गेल। ;0
ओकर आँखिमे नोर आबि गेलैक। ;cause;ओकर आँखि मे धूलि आबि गेलैक। ;ओ अपन आँखि पर चश्मा लगौलनि। ;0
ओ खेलाड़ी लगातार पाँच खेल जीतलनि। ;effect;ओकर प्रतिद्वंद्वी ओकरा धोखा देबऽ मे दोषी ठहरौलक। ;हुनकर प्रतिद्वन्दिता हुनका लेल दुखी छलाह। ;0
शिक्षक छात्रक परीक्षा फाड़ि देलक। ;cause;ओ छात्र केँ छल करैत पकड़ि लेलक। ;छात्रक उत्तर गलत छल। ;0
हम चुप भऽ गेलहुँ। ;cause;हमर आवाज गुम भऽ गेल। ;हमरा साँस नहि रहल। ;1
ठंढा भोजन पिघलि गेल। ;cause;हम एकरा माइक्रोवेवमे रखलहुँ। ;हम ओकरा प्लास्टिकक पट्टी सँ ढक देलहुँ। ;0
कर्मचारी बीमारक नाटक केलक। ;cause;हुनका पेटमे ऐंठन छलनि। ;ओ एक दिनक छुट्टी चाहैत छल। ;1
लड़की पोखरि मे गिरि गेल। ;cause;ओ पूल डेक पर दौड़ल। ;ओ डाइभिंग बोर्ड सँ कूदि गेल। ;1
सिनेमाक टिकट बिक गेल छल। ;cause;ओ दिन सिनेमाक उद्घाटनक दिन छल। ;फिल्म खराब समीक्षा प्राप्त केलक। ;0
ओ आदमी वजन कम केलक। ;effect;लोक हुनका अलग-थलग कऽ देलकनि। ;लोक हुनका प्रशंसा करैत छलनि। ;1
लड़कीक हाथमे फोड़ा-फोड़ी भऽ गेलैक। ;cause;ओ एकटा पत्र टाइप केलक। ;ओ एकटा रस्सी पर चढ़ि गेल। ;1
सर्कस कलाकार एकपहिया साइकिल चलाकय जोगलग करैत छल। ;effect;दर्शक सभ आश्चर्य सँ जयजयकार कयलनि। ;एक्रोबेट एक ट्रिपेज सँ झूलल। ;0
हमर धैर्य समाप्त भऽ गेल। ;cause;हमर मित्र हमरा प्रतीक्षा करबा देलनि। ;हमर मित्र समय पर पहुँचलाह। ;0
युद्धरत देशसभ शान्ति चाहैत छल । ;effect;ओ सभ परमाणु हथियारक विकास केलक। ;ओ सभ एक समझौताक लेल बातचीत केलक। ;1
ओ आदमी सोझाँमे दवाइ लेलक। ;effect;ओ सुतल भऽ गेल। ;हुनका बुखार छलनि। ;0
महिला सोफामे टकरा गेल। ;effect;सोफाक टाँग ढीला भऽ गेल। ;ओ अपन घुँइठाक चोट केलक। ;1
लड़का गुब्बारा दबा देलकै। ;effect;गुब्बारा फट गेल। ;गुब्बारा उड़ि गेल। ;0
ओ यात्री सभ अपन होटलक कमरा मे चेक-इन केलक। ;effect;ओ सभ अपन बैग खोलि लेलक। ;ओ सभ हवाई अड्डा गेल छल। ;0
हम आड़ूमे चुटकी लेलक। ;effect;आड़ू घाव भेल। ;रस बाहर खसल। ;1
