question;answer;answer_ab
"Novčić je glava gore. Whitney baca novčić. Erika ne baca novčić. Tj ne baca novčić. Benito baca novčić. Je li novčić još uvijek glava gore? Zapazi da ""prevrnuti"" ovdje znači ""okrenuti"". ";Da, da, da ;A
"Novčić je glava gore. Lucky ne baca novčić. Mireya baca novčić. JJ baca novčić. KC baca novčić. Je li novčić još uvijek glava gore? Zapazi da ""prevrnuti"" ovdje znači ""okrenuti"". ";Ne, ne, ne ;B
"Novčić je glava gore. Caleb baca novčić. Chase baca novčić. Eleazar baca novčić. Chanel ne baca novčić. Je li novčić još uvijek glava gore? Zapazi da ""prevrnuti"" ovdje znači ""okrenuti"". ";Ne, ne, ne ;B
"Novčić je glava gore. Silvia baca novčić. Carolina ne baca novčić. Stan baca novčić. Chuck baca novčić. Je li novčić još uvijek glava gore? Zapazi da ""prevrnuti"" ovdje znači ""okrenuti"". ";Ne, ne, ne ;B
"Novčić je glava gore. Breanna baca novčić. Trey ne baca novčić. Omar baca novčić. Patrice ne baca novčić. Je li novčić još uvijek glava gore? Zapazi da ""prevrnuti"" ovdje znači ""okrenuti"". ";Da, da, da ;A
"Novčić je glava gore. Lilian baca novčić. Ian baca novčić. Bryce baca novčić. Aracely ne baca novčić. Je li novčić još uvijek glava gore? Zapazi da ""prevrnuti"" ovdje znači ""okrenuti"". ";Ne, ne, ne ;B
"Novčić je glava gore. Walter ne baca novčić. Mikayla ne baca novčić. Larry ne baca novčić. Ryan ne baca novčić. Je li novčić još uvijek glava gore? Zapazi da ""prevrnuti"" ovdje znači ""okrenuti"". ";Da, da, da ;A
"Novčić je glava gore. Angelina baca novčić. Lejla baca novčić. Jenny baca novčić. Zane ne baca novčić. Je li novčić još uvijek glava gore? Zapazi da ""prevrnuti"" ovdje znači ""okrenuti"". ";Ne, ne, ne ;B
"Novčić je glava gore. Lizzy baca novčić. Juany ne baca novčić. Aisha baca novčić. Brenda ne baca novčić. Je li novčić još uvijek glava gore? Zapazi da ""prevrnuti"" ovdje znači ""okrenuti"". ";Da, da, da ;A
"Novčić je glava gore. Elise baca novčić. Lupe baca novčić. Renee ne baca novčić. Noemi ne baca novčić. Je li novčić još uvijek glava gore? Zapazi da ""prevrnuti"" ovdje znači ""okrenuti"". ";Da, da, da ;A
"Novčić je glava gore. Jesse baca novčić. Roderick baca novčić. Travis ne baca novčić. Rita ne baca novčić. Je li novčić još uvijek glava gore? Zapazi da ""prevrnuti"" ovdje znači ""okrenuti"". ";Da, da, da ;A
"Novčić je glava gore. Cinthia ne baca novčić. Lloyd ne baca novčić. Jacqueline baca novčić. JC baca novčić. Je li novčić još uvijek glava gore? Zapazi da ""prevrnuti"" ovdje znači ""okrenuti"". ";Da, da, da ;A
"Novčić je glava gore. Sterling baca novčić. Jenifer baca novčić. Patsy baca novčić. Denise baca novčić. Je li novčić još uvijek glava gore? Zapazi da ""prevrnuti"" ovdje znači ""okrenuti"". ";Da, da, da ;A
"Novčić je glava gore. Beatriz baca novčić. Gillian ne baca novčić. Coco ne baca novčić. Vivian ne baca novčić. Je li novčić još uvijek glava gore? Zapazi da ""prevrnuti"" ovdje znači ""okrenuti"". ";Ne, ne, ne ;B
"Novčić je glava gore. Prince baca novčić. Rene baca novčić. Vishal baca novčić. Patrick ne baca novčić. Je li novčić još uvijek glava gore? Zapazi da ""prevrnuti"" ovdje znači ""okrenuti"". ";Ne, ne, ne ;B
"Novčić je glava gore. Jae ne baca novčić. Dennis ne baca novčić. Cris baca novčić. Bernadette baca novčić. Je li novčić još uvijek glava gore? Zapazi da ""prevrnuti"" ovdje znači ""okrenuti"". ";Da, da, da ;A
"Novčić je glava gore. Hank ne baca novčić. Janine ne baca novčić. Frankie baca novčić. Isa baca novčić. Je li novčić još uvijek glava gore? Zapazi da ""prevrnuti"" ovdje znači ""okrenuti"". ";Da, da, da ;A
"Novčić je glava gore. Max ne baca novčić. Mikey ne baca novčić. Cynthia ne baca novčić. Holly baca novčić. Je li novčić još uvijek glava gore? Zapazi da ""prevrnuti"" ovdje znači ""okrenuti"". ";Ne, ne, ne ;B
"Novčić je glava gore. Christy baca novčić. Rey ne baca novčić. Michelle baca novčić. Dolly ne baca novčić. Je li novčić još uvijek glava gore? Zapazi da ""prevrnuti"" ovdje znači ""okrenuti"". ";Da, da, da ;A
"Novčić je glava gore. Annie ne baca novčić. Toño baca novčić. Sharon baca novčić. Delores baca novčić. Je li novčić još uvijek glava gore? Zapazi da ""prevrnuti"" ovdje znači ""okrenuti"". ";Ne, ne, ne ;B
"Novčić je glava gore. Jessy ne baca novčić. Libby ne baca novčić. Danielle baca novčić. Crvena baca novčić. Je li novčić još uvijek glava gore? Zapazi da ""prevrnuti"" ovdje znači ""okrenuti"". ";Da, da, da ;A
