question;answer_number
بطات (جانيت) تضع 16 بيضة في اليوم تأكل ثلاثة من الفطور كل صباح وتخبز الكعك لأصدقائها كل يوم مع أربعة تبيع البقية في سوق المزارعين يومياً مقابل 2 دولار لكل بيضة بط طازجة. كم من الدولارات تجنيها كل يوم في سوق المزارعين؟ ;18
الرداء يستغرق 2 مِنْ الألياف الزرقاءِ ونصف ذلك الكثيرِ الألياف البيضاءِ. كم عدد المسامير التي تحتاجها؟ ;3
(جوش) قرر أن يحاول أن يقلب منزلًا يشتري منزلاً بـ 80 ألف دولار ثم يضع 50 ألف دولار في الإصلاحات هذا زاد من قيمة المنزل بنسبة 150% كم من الربح حقق؟ ;70000
قرر (جيمس) أن يُجري ثلاث سباقات ثلاث مرات في الأسبوع إنه يركض 60 متراً في كل سباق كم يبلغ إجمالي المترات التي يركضها في الأسبوع؟ ;540
كل يوم، وندي تطعم كل من دجاجها ثلاثة أكواب من غذاء الدجاج المختلط، الذي يحتوي على البذور، ديدان الطحين والخضروات للمساعدة في الحفاظ على صحتهم. إنها تعطي الدجاجات طعامها في ثلاث وجبات منفصلة. في الصباح، تعطي قطيع الدجاج 15 كوب من الطعام. في فترة ما بعد الظهر، تعطى دجاجها 25 كوب آخر من الطعام. كم عدد أكواب الطعام التي تحتاجها لتعطيها لدجاجها في الوجبة الأخيرة من اليوم إذا كان حجم قطيع وندي 20 دجاجة؟ ;20
(كايلر) ذهب إلى المتجر لشراء نظارات لشقته الجديدة كوب واحد يكلف 5 دولارات لكن كل كوب ثانيك يكلف 60 بالمئة فقط من السعر (كيلر) يريد شراء 16 كوب كم يحتاج أن يدفع لهم؟ ;64
تولوز لديها ضعف عدد الأغنام من تشارلستون. تشارلستون لديها 4 أضعاف عدد الأغنام من سياتل. كم عدد الأغنام التي تملكها تولوز و تشارلستون و سياتل معاً إذا كان لدى سياتل 20 أغنام؟ ;260
كارلا تقوم بتحميل ملف بـ200 جيجابايت عادةً ما يمكنها تنزيل 2 جيجابايت في الدقيقة، ولكن في 40٪ من طريق التنزيل، يفرض ويندوز إعادة التشغيل لتثبيت التحديثات، والتي تستغرق 20 دقيقة. ثمّ كارلا يَجِبُ أَنْ يَبْدأَ التحميل مِنْ البدايةِ. كم من الحمولة يستغرق تحميل الملف؟ ;160
يقود جون لمدة 3 ساعات بسرعة 60 ميلاً في الساعة ثم يستدير لأنه يدرك أنه نسي شيئاً مهماً جداً في المنزل يحاول العودة إلى المنزل خلال 4 ساعات لكنه يقضي الساعتين الأولىين في زحمة المرور يقضي النصف ساعة التالية في القيادة بسرعة 30 ميل في الساعة، قبل أن يكون قادراً على القيادة في الوقت المتبقي من 4 ساعات في 80 ميل في الساعة. كم يبعد عن منزله في نهاية تلك الساعات الأربع؟ ;45
سعر إيلايزا للساعة لأول 40 ساعة من عملها كل أسبوع هو 10 دولارات كما أنها تحصل على راتب العمل الإضافي بمقدار 1.2 ضعف راتبها الساعي المعتاد. إذا عملت (إليز) 45 ساعة هذا الأسبوع، كم هي أرباحها لهذا الأسبوع؟ ;460
برنامج جديد كان 60 تحميل في الشهر الأول. عدد التنزيلات في الشهر الثاني كان ثلاثة أضعاف عدد التنزيلات في الشهر الأول، ولكن بعد ذلك انخفض بنسبة 30٪ في الشهر الثالث. كم عدد التنزيلات التي حصل عليها البرنامج خلال الأشهر الثلاثة؟ ;366
ذهبت تولا إلى المخبز وشراء أنواع مختلفة من المعجنات. اشترت 3 دزينة من الدونات والتي كلفت 68 دولار للدزن الواحد، و 2 دزينة من الكعك الصغير والتي كلفت 80 دولار للدزن الواحد، و 6 دزينة من كعك الجبن الصغير مقابل 55 دولار للدزن الواحد. كم كانت التكلفة الإجمالية؟ ;694
كارلوس) يزرع شجرة ليمون) الشجرة ستكلف 90 دولار لزرعها كل عام سوف ينمو 7 ليمونات، والتي يمكن أن يبيعها ب 1.5 دولار لكل منها. يكلف 3 دولارات في السنة لتسقية وتغذية الشجرة كم من السنوات ستمر قبل أن يبدأ في كسب المال من شجرة الليمون؟ ;13
ميلاني) بائعة من باب إلى باب) باعت ثلث مكنساتها الكهربائية في البيت الأخضر، واثنان آخرين في البيت الأحمر، ونصف ما تبقى في البيت البرتقالي. إذا بقي لـ (ميلاني) 5 مكنسات كهربائية كم عدد المكنسات التي كانت بها في البداية؟ ;18
في صف رقص من 20 طالب، 20% منهم التحقوا بالرقص المعاصر، 25% من الباقي التحقوا بالرقص الجاز، والباقي التحقوا بالرقص الهيب هوب. ما هي نسبة الطلاب الذين سجلوا في رقص الهيب هوب؟ ;60
تاجر يريد أن يختار بين خطتين لشراء: مجوهرات بقيمة 5000 دولار أو أجهزة إلكترونية بقيمة 8000 دولار. مستشارة مالية يعتقد أن سوق المجوهرات سوف ترتفع بنسبة 2.5% بينما سوق الأدوات الإلكترونية سوف ترتفع بنسبة 1.2% خلال الشهر نفسه. إذا كان التاجر يتطلع إلى تحقيق أقصى قدر من الربح في نهاية هذا الشهر عن طريق اتخاذ خيار، كم من الربح سيكون هذا؟ ;125
قطارين يغادران سان رافائيل في نفس الوقت بدأوا بالسفر غرباً، كل منهما سافر لمسافة 80 ميلاً. في اليوم التالي، سافروا شمالاً، وقطعوا مسافة 240 ميلاً. ما المسافة التي غطاها كل قطار في اليومين؟ ;230
جيل) تُدفع 20 دولارًا في الساعة لتدريس) و 30 دولارًا لتكون مدربة المشجعات إذا كانت تعمل 50 أسبوعاً في السنة 35 ساعة أسبوعياً كمعلمة و 15 ساعة أسبوعياً كمدربة كم هو راتبها السنوي؟ ;57500
كلير تصنع 3 بيضات كل صباح على الفطور كم عدد العشرات من البيض ستأكلها في 4 أسابيع؟ ;7
ماريسا) تسير على طريق مسافة 12 ميلاً) لقد استغرقت ساعة واحدة لتجاوز أول 4 أميال ثم ساعة أخرى لتجاوز الميلين التاليين إذا أرادت أن تكون سرعتها المتوسطة 4 أميال في الساعة، ما هي السرعة (بالميال في الساعة) التي تحتاجها للمشي على المسافة المتبقية؟ ;6
لدي 10 لترات من مشروب البرتقال الذي يحتوي على ثلثي الماء وأريد أن أضيفه إلى 15 لتر من مشروب الأناناس الذي يحتوي على ثلاثة أخماس الماء. لكن بينما أسكبها، أسكب لترًا واحدًا من شراب البرتقال. كم من الماء في الـ 24 لتر المتبقية؟ ;15
ريموند وسامانثا أبناء عم. (رايموند) ولد قبل (سامانثا) بست سنوات ريموند) كان لديه ابن في سن الـ23). إذا كان عمر (سامانثا) الآن 31 سنة، كم من السنوات مضت ولد ابن (رايموند) ؟ ;14
بيلي يبيع أقراص دي في دي لديه 8 زبائن يوم الثلاثاء أول 3 زبائن يشترون قرصاً واحداً لكل منهم زبائنه التاليين يشترون قرصين من الـ (دي في دي) لكل منهما آخر 3 زبائن له لا يشترون أي أقراص دي في دي كم من أقراص دي في دي باعتها بيلي يوم الثلاثاء؟ ;7
الشمعة تذوب بمقدار سنتيمترين كل ساعة تحترق فيها كم سنتيمترًا ستصبح الشمعة أقصر بعد أن تحترق من الساعة الواحدة مساءً إلى الساعة الخامسة مساءً؟ ;8
كايل اشترى أفضل كتاب مبيع في العام الماضي بـ 19.50 دولار هذا مع خصم 25% من السعر الأصلي ما كان السعر الأصلي للكتاب؟ ;26
