premise;question;choice1;choice2;label
啲嘢被包裹喺泡泡膠入面. ;cause;哩個係一個脆弱嘅器官 ;佢好細. ;0
我晒我嘅錢袋. ;effect;我攞咗張飛機票. ;我搵到一把武器. ;0
蜘蛛入侵咗屋入面. ;effect;蟲喺屋入面消失咗. ;蟲吞咗屋入面嘅木頭. ;1
旅行者到咗邊境. ;effect;個巡探查咗佢哋嘅護照. ;個巡員指控佢哋偷. ;0
辦公室關咗. ;cause;嗰日係假期 ;嗰時係夏天 ;0
呢個女仔嘅能量用咗. ;cause;佢玩牌. ;佢跳咗一條. ;1
呢個女人唔再喺排隊度. ;cause;更多人加入了這個行列. ;佢走出咗排隊 ;1
個女仔住佢個鼻子. ;cause;個細路喺佢嘅奶嘴上滴. ;個細路咗佢尿布. ;1
個樂隊演奏咗佢哋最出名嘅歌. ;effect;觀眾都同音樂一齊鼓掌. ;觀眾都好禮咁靜靜咁聽. ;0
呢個女仔想多謝佢數學老師. ;effect;因為佢喺學校留返嚟好耐 ;個女仔帶咗個果俾老師. ;1
嗰啲細路真係好驚 ;cause;佢哋嘅營隊長同佢哋講咗一個鬼故事 ;佢哋喺營火上面燒糖果. ;0
個男人撞到佢個頭. ;effect;佢迷失咗喺思考之中. ;佢腦震,同埋佢仲要好好咁做 ;1
我寫咗張支票,但係個支票還沒俾我. ;cause;我銀行嘅帳戶都空咗. ;我應該得到加薪. ;0
嗰個人郵箱滿滿垃圾郵件. ;effect;佢除咗垃圾郵件. ;佢發送咗一封封咁多嘅電郵 ;0
個船員被隔離. ;cause;佢受到呢個病嘅影響. ;佢好咗. ;0
個女仔已經記住密碼. ;cause;佢自己都咁唱 ;佢唔記得寫低. ;0
我倒咗水入杯裡. ;effect;嗰啲水都咗我口渴. ;杯子開始充滿. ;1
當佢朋友講完之後,嗰個人無講嘢. ;cause;佢想支持佢朋友. ;佢諗住佢朋友講嘅嘢 ;1
事故係我個錯. ;effect;我覺得好唔好 ;我起诉咗佢. ;0
鎖匙破咗 ;cause;個鎖圍住一塊輪胎. ;鎖裡邊嘅一個環節斷咗. ;1
呢對夫婦決定妥協 ;cause;佢哋都好厭煩爭執. ;佢哋避免討論問題. ;0
呢個女人決定要參加公眾選舉. ;effect;佢請咗一個競選經理 ;佢喺法庭作證. ;0
呢個男人預料到佢旅行會嚟嘅天氣會冷. ;effect;佢將暖嘅衫放入行李箱. ;佢帶住個大行李箱去旅行. ;0
個學生知道問題嘅答案. ;effect;佢舉咗隻手. ;佢係個蠢人. ;0
個男人眼中流咗水. ;cause;佢隻眼睛有塵埃. ;佢戴咗眼鏡. ;0
嗰個玩家連續贏咗五場比賽. ;effect;佢嘅對手話佢係作弊嘅. ;佢嘅對手對佢好抱歉 ;0
老師撕碎咗學生嘅考試. ;cause;佢捉到個學生作弊. ;學生答案係錯嘅. ;0
我停低,唔好講嘢. ;cause;我失去了我把聲. ;我呼吸都咗. ;1
凍結嘅食物解凍咗. ;cause;我將佢放入微波裡. ;我用膠紙包住佢. ;0
個員工扮病咗. ;cause;佢嘅胃有. ;佢想一日假. ;1
個女仔落入水池. ;cause;佢喺泳池甲板上跑. ;佢跳咗下個跳板. ;1
