m_query;response
Julia mängis esmaspäeval 18 lapsega. Ta mängis teisipäeval 10 lapsega. Kui palju rohkem lastega ta esmaspäeval mängis kui teisipäeval? ;8.0
Julia mängis esmaspäeval 11 lapsega. Ta mängis 12 lapsega teisipäeval. Mitu last ta teisipäeval rohkem mängis kui esmaspäeval? ;1.0
Julia mängis esmaspäeval viiel lapsega. Ta mängis teisipäeval teiste lastega. Kui ta mängis 15 lapsega, siis kui palju lastega ta teisipäeval mängis? ;10.0
Julia mängis esmaspäeval koos lastega. Ta mängis teisipäeval 14 lapsega. Kui ta mängis 16 lapsega, siis mitu last ta esmaspäeval mängis? ;2.0
Julia mängis esmaspäeval 16 lapsega. Kui ta mängis esmaspäeval 12 lapsega rohkem kui teisipäeval, siis kui palju lastega ta teisipäeval mängis? ;4.0
Julia mängis teisipäeval 14 lapsega. Kui ta mängis esmaspäeval kaheksa last rohkem kui teisipäeval, siis kui palju lastega ta esmaspäeval mängis? ;22.0
Julia mängis 17 lapsega esmaspäeval, 15 lapsel teisipäeval ja 2 lapsel kolmapäeval. Mitu last ta kokku mängis? ;34.0
Julia mängis esmaspäeval 15 lapsega, teisipäeval 18 ja kolmapäeval 97 lapsega. Mitu last ta esmaspäeval ja teisipäeval mängis? ;33.0
Julia mängis esmaspäeval 5 lapsega, teisipäeval 9 ja kolmapäeval 15 lapsega. Mitu last ta esmaspäeval ja kolmapäeval mängis? ;20.0
Julia mängis esmaspäeval kahe lapsega, teisipäeval 14 ja kolmapäeval 16 lapsega. Mitu last ta teisipäeval ja kolmapäeval mängis? ;30.0
Julia mängis esmaspäeval 9 lapsega, teisipäeval 7 ja kolmapäeval 96 last. Kui palju rohkem lastega ta esmaspäeval mängis kui teisipäeval? ;2.0
Julia mängis esmaspäeval 14 lapsega, teisipäeval 2 ja kolmapäeval 8 last. Kui palju rohkem lastega ta esmaspäeval mängis kui kolmapäeval? ;6.0
Julia mängis esmaspäeval kaheksa lapsega, teisipäeval 11 ja kolmapäeval 9 last. Mitu last ta teisipäeval mängis rohkem kui kolmapäeval? ;2.0
Julia mängis esmaspäeval 15 lapsega, teisipäeval 18 ja kolmapäeval 7 last. Mitu last ta esmaspäeval ja teisipäeval mängis? ;26.0
Julia mängis esmaspäeval 13 lapsega ja teisipäeval 10 lapsega. Ta mängis kolmapäeval 15 lapsega kaarte. Mitu last ta kokku mängis? ;38.0
Julia mängis esmaspäeval 7 lapsega ja teisipäeval 13 lapsega. Ta mängis kolmapäeval 20 lapsega kaarte. Mitu last ta kokku mängis? ;20.0
Julia mängis esmaspäeval 12 lapsega. Ta mängis teisipäeval 14 lapsega. Ta veetis mõlemal päeval 34 tundi mängides tagit. Mitu last ta kokku mängis? ;26.0
Julia mängis esmaspäeval 19 lapsega. Ta mängis teisipäeval 18 lapsega. Ta veetis mõlemal päeval 38 tundi mängides tagit. Kui palju rohkem lastega ta esmaspäeval mängis kui teisipäeval? ;1.0
Julia mängis teisipäeval viiel lapsega. Ta mängis esmaspäeval kuue lapsega. Kui palju rohkem lastega ta esmaspäeval mängis kui teisipäeval? ;1.0
Julia mängis 18 lapsega. Ta mängis esmaspäeval nelja lapsega ja teisipäeval veel mõne lapsega. Mitu last ta teisipäeval mängis? ;14.0
Julia mängis kolmapäeval nelja lapsega. Ta mängis esmaspäeval 6 lapsega ja teisipäeval 17 lapsega. Kui palju rohkem lastega ta esmaspäeval mängis kui kolmapäeval? ;2.0
Bobby sõi mõned kommid. Siis sõi ta veel 25 tükki. Kui ta sõi kokku 43 kommi, siis mitu kommi ta alguses sõi? ;18.0
Bobby sõi 28 kommi. Siis sõi ta veel 42 tükki. Ta sõi ka 63 šokolaadi tükki. Mitu kommi Bobby sõi? ;70.0
Bobby sõi 33 kommi. Siis sõi ta veel neli. Ta sõi ka 14 tükki šokolaadi. Mitu kommi ja šokolaadi tükki Bobby kokku sõi? ;51.0
Bobby sõi 38 kommi. Siis sõi ta veel 36 tükki. Ta sõi ka 16 tükki šokolaadi. Mitu kommi rohkem kui šokolaadi Bobby sõi? ;58.0
Bobby võttis 20 kommi. Ta sõi 34 kommi. Siis sõi ta veel 18 tükki. Mitu kommi Bobby sõi? ;52.0
Bobby oli 21 kommi. Ta sõi viis kommi. Siis sõi ta veel üheksa. Mitu kommi tal veel alles on? ;7.0
Bobby oli 22 kommi. Ta sõi mõned kommid. Siis sõi ta veel 5 tükki. Kui tal on veel 8 kommi, siis mitu kommi ta alguses sõi? ;9.0
Bobby oli 19 kommi. Ta sõi kaks kommi. Mitu kommi tal veel alles on? ;17.0
Bobby oli võtnud 32 kommi. Ta sõi mõned kommid. Kui tal on 20 kommi jäänud, siis mitu kommi Bobby sõi? ;12.0
Bobby sõi 17 kommi. Siis sõi ta veel 15 tükki. Kui tal oli alguses 36 kommi, siis mitu kommi tal veel on? ;4.0
Bobby sõi 23 kommi. Kui tal oli alguses 30 kommi, siis mitu kommi tal veel on? ;7.0
Alan tõi 5 õhupalli ja Jake tõi 3 õhupalli parki. Mitu õhupalli Allanil oli rohkem kui Jake'il pargis? ;2.0
Allan tõi 2 õhupalli ja Jake tõi 3 õhupalli parki. Kui palju rohkem õhupalle Jake'il oli kui Allanil pargis? ;1.0
Allan ja Jake tõid parki kolm õhupalli. Kui Allan tõi 2 õhupalli, siis mitu õhupalli Jake parki tõi? ;1.0
Jake tõi 6 õhupalli parki. Kui Jake tõi 4 palli rohkem kui Allan tõi, siis mitu palli Allan parki tõi? ;2.0
Allan tõi 5 õhupalli parki. Kui Jake tõi 6 õhupalli rohkem kui Allan tõi, siis mitu õhupalli Jake parki tõi? ;11.0
Alan tõi 3 õhupalli ja Jake viis õhupalli parki. Allan ostis siis veel kaks õhupalli pargist. Mitu õhupalli Allanil ja Jakel pargis oli? ;10.0
Allan tõi 2 õhupalli ja Jake tõi 4 õhupalli parki. Allan ostis siis veel kolm õhupalli pargist. Mitu õhupalli Allanil oli rohkem kui Jake'il pargis? ;1.0
Allan tõi 2 õhupalli ja Jake tõi 6 õhupalli parki. Allan ostis siis veel kolm õhupalli pargist. Kui palju rohkem õhupalle Jake'il oli kui Allanil pargis? ;1.0
Allan tõi 5 õhupalli ja Jake tõi 4 õhupalli parki. Allan ostis siis veel kolm õhupalli pargist. Mitu õhupalli Allan parki tõi? ;8.0
Allan tõi 6 õhupalli ja Jake tõi 2 õhupalli parki. Jake ostis siis veel kolm õhupalli pargist. Mitu õhupalli Allanil oli rohkem kui Jake'il pargis? ;1.0
Allan tõi 6 õhupalli ja Jake tõi 3 õhupalli parki. Jake ostis siis veel neli õhupalli pargist. Kui palju rohkem õhupalle Jake'il oli kui Allanil pargis? ;1.0
Alan tõi 5 õhupalli ja Jake tõi 6 õhupalli parki. Jake ostis siis veel kolm õhupalli pargist. Mitu õhupalli Jake parki tõi? ;9.0
Allan tõi 3 õhupalli ja 20 palli, Jake tõi 5 õhupalli ja 59 palli parki. Mitu õhupalli Allanil ja Jakel pargis oli? ;8.0
Allan tõi 7 õhupalli ja 5 palli, Jake tõi 6 õhupalli ja 4 palli parki. Mitu palli Allanil ja Jakel pargis oli? ;9.0
Allan tõi 5 õhupalli. Kui Alan ja Jake tõid parki kokku 6 õhupalli, siis mitu õhupalli Jake kaasa tõi? ;1.0
Allan tõi 2 õhupalli parki ja ostis seal veel 3 õhupalli. Kui Jake tõi 6 õhupalli parki, siis kui palju rohkem õhupalle Jake'il oli kui Allanil pargis? ;1.0
Iga päev veedab Ryan 6 tundi inglise keele õppimisega ja 2 tundi hiina keele õppimisega. Mitu tundi rohkem ta inglise keelt õpib kui hiina keelt? ;4.0
Iga päev veedab Ryan 6 tundi inglise keele õppimisega ja 7 tundi hiina keele õppimisega. Mitu tundi rohkem ta veedab hiina keele õppimisega kui inglise keele õppimisega? ;1.0
Iga päev veedab Ryan 3 tundi inglise keele õppimisega ja veel mõned tundid hiina keele õppimisega. Kui ta veedab 4 tundi inglise ja hiina keele õppimiseks iga päev, siis mitu tundi veedab ta hiina keele õppimiseks? ;1.0
Iga päev veedab Ryan 7 tundi inglise keele õppimisega ja veel mõned tundid hiina keele õppimisega. Kui ta veedab 2 tundi rohkem inglise keele õppimisele kui hiina keele õppimisele, siis mitu tundi ta veedab hiina keele õppimisele? ;5.0
Iga päev veedab Ryan 5 tundi hiina keele õppimisega ja veel mõned tunnid inglise keele õppimisega. Kui ta veedab 2 tundi rohkem inglise keele õppimisele kui hiina keele õppimisele, siis kui palju tunde ta veedab inglise keele õppimisele? ;7.0
Iga päev veedab Ryan 6 tundi inglise keele õppimisega ja 7 tundi hiina keele õppimisega. Kui ta õpib 5 päeva, siis kui palju tunde ta veedab inglise ja hiina keele õppimisele? ;65.0
Iga päev veedab Ryan 6 tundi inglise keele õppimisega ja 5 tundi hiina keele õppimisega. Kui ta õpib kaks päeva, siis kui palju tunde ta inglise keele õppimisele kulutab? ;12.0
Iga päev veedab Ryan 5 tundi inglise keele õppimisega ja 4 tundi hiina keele õppimisega. Kui ta õpib 6 päeva, siis kui palju tunde ta siis kokku hiina keelt õpib? ;24.0
Iga päev veedab Ryan 4 tundi inglise keele õppimisega ja 6 tundi hiina keele õppimisega. Kui ta õpib 86 päeva, siis mitu tundi veedab ta inglise ja hiina keele õppimisele iga päev? ;10.0
Iga päev veedab Ryan 6 tundi inglise keele õppimisega 7 tundi hiina keele õppimisega ja 3 tundi hispaania keele õppimisega. Kui palju tunde ta veedab inglise keele, hiina ja hispaania õppimisega? ;16.0
Iga päev veedab Ryan 6 tundi inglise keele õppimisega 3 tundi hiina keele õppimisega ja 58 tundi hispaania keele õppimisega. Mitu tundi rohkem ta inglise keelt õpib kui hiina keelt? ;3.0
Iga päev veedab Ryan 7 tundi inglise keele õppimisega 2 tundi hiina keele õppimisega ja 4 tundi hispaania keele õppimisega. Mitu tundi rohkem ta inglise keelt õpib kui hispaania keelt? ;3.0
Iga päev veedab Ryan 2 tundi inglise keele õppimisega 5 tundi hiina keele õppimisega ja 4 tundi hispaania keele õppimisega. Mitu tundi rohkem ta veedab hiina keele õppimisega kui hispaania keele õppimisega? ;1.0
Iga päev veedab Ryan kokku 3 tundi inglise ja hiina keele õppimisele. Kui ta veedab 2 tundi inglise keele õppimisele iga päev, kui palju ta siis veedab hiina keele õppimisele? ;1.0
Ryan õpib 7 päeva inglise ja hiina keelt. Iga päev veedab ta 4 tundi inglise keele õppimisele ja 5 tundi hiina keele õppimisele. Kui palju tunde ta veedab inglise ja hiina keele õppimisega? ;63.0
Tiffany kogus purke ringlussevõtuks. Esmaspäeval oli tal 8 kotti purke. Järgmisel päeval leidis ta veel 7 kotti väärtusega purke. Kui palju rohkem kotte tal esmaspäeval oli kui järgmisel päeval? ;1.0
Tiffany kogus purke ringlussevõtuks. Esmaspäeval oli tal 7 kotti purke. Järgmisel päeval leidis ta veel 12 kotti pakitud purke. Kui palju rohkem kotte ta järgmisel päeval leidis kui esmaspäeval? ;5.0
