m_query;response
Julia bermain tag dengan 18 anak-anak pada hari Senin. Dia bermain tag dengan 10 anak-anak pada hari Selasa. Berapa banyak anak yang dia mainkan pada hari Senin dibanding hari Selasa? ;8.0
Julia bermain tag dengan 11 anak-anak pada hari Senin. Dia bermain tag dengan 12 anak-anak pada hari Selasa. Berapa banyak anak yang dia mainkan pada hari Selasa dibanding hari Senin? ;1.0
Julia bermain tag dengan 5 anak-anak pada hari Senin. Dia bermain tag dengan beberapa anak-anak pada hari Selasa. Jika dia bermain dengan total 15 anak berapa banyak anak yang dia mainkan pada hari Selasa? ;10.0
Julia bermain tag dengan beberapa anak-anak pada hari Senin. Dia bermain tag dengan 14 anak-anak pada hari Selasa. Jika dia bermain dengan total 16 anak berapa banyak anak yang dia mainkan pada hari Senin? ;2.0
Julia bermain tag dengan 16 anak-anak pada hari Senin. Jika dia bermain tag dengan 12 anak-anak pada hari Senin daripada pada hari Selasa berapa banyak anak-anak yang dia mainkan pada hari Selasa? ;4.0
Julia bermain tag dengan 14 anak-anak pada hari Selasa. Jika dia bermain tag dengan 8 anak-anak pada hari Senin daripada pada hari Selasa berapa banyak anak-anak yang dia mainkan pada hari Senin? ;22.0
Julia bermain tag dengan 17 anak-anak pada hari Senin 15 anak-anak pada hari Selasa dan 2 anak-anak pada hari Rabu. Berapa banyak anak yang dia mainkan bersama? ;34.0
Julia bermain tag dengan 15 anak pada hari Senin 18 anak pada hari Selasa dan 97 anak pada hari Rabu. Berapa banyak anak yang dia mainkan pada hari Senin dan Selasa? ;33.0
Julia bermain tag dengan 5 anak pada hari Senin 9 anak pada hari Selasa dan 15 anak pada hari Rabu. Berapa banyak anak yang dia mainkan pada hari Senin dan Rabu? ;20.0
Julia bermain tag dengan 2 anak pada hari Senin 14 anak pada hari Selasa dan 16 anak pada hari Rabu. Berapa banyak anak yang dia mainkan pada hari Selasa dan Rabu? ;30.0
Julia bermain tag dengan 9 anak pada hari Senin 7 anak pada hari Selasa dan 96 anak pada hari Rabu. Berapa banyak anak yang dia mainkan pada hari Senin dibanding hari Selasa? ;2.0
Julia bermain tag dengan 14 anak pada hari Senin 2 anak pada hari Selasa dan 8 anak pada hari Rabu. Berapa banyak anak yang dia mainkan pada hari Senin dibanding pada hari Rabu? ;6.0
Julia bermain tag dengan 8 anak pada hari Senin 11 anak pada hari Selasa dan 9 anak pada hari Rabu. Berapa banyak anak yang dia mainkan pada hari Selasa dibanding Rabu? ;2.0
Julia bermain tag dengan 15 anak pada hari Senin 18 anak pada hari Selasa dan 7 anak pada hari Rabu. Berapa banyak anak yang dia mainkan pada hari Senin dan Selasa dibanding pada hari Rabu? ;26.0
Julia bermain tag dengan 13 anak pada hari Senin dan 10 anak pada hari Selasa. Dia bermain kartu dengan 15 anak pada hari Rabu. Berapa banyak anak yang dia mainkan bersama? ;38.0
Julia bermain tag dengan 7 anak-anak pada hari Senin dan 13 anak-anak pada hari Selasa. Dia bermain kartu dengan 20 anak-anak pada hari Rabu. Berapa banyak anak yang dia mainkan dengan total? ;20.0
Julia bermain tag dengan 12 anak-anak pada hari Senin. Dia bermain tag dengan 14 anak-anak pada hari Selasa. Dia menghabiskan total 34 jam untuk bermain tag pada kedua hari. Berapa banyak anak yang dia mainkan bersama? ;26.0
Julia bermain tag dengan 19 anak-anak pada hari Senin. Dia bermain tag dengan 18 anak-anak pada hari Selasa. Dia menghabiskan total 38 jam untuk bermain tag pada kedua hari. Berapa banyak anak yang dia mainkan pada hari Senin dibanding hari Selasa? ;1.0
Julia bermain tag dengan 5 anak-anak pada hari Selasa. Dia bermain tag dengan 6 anak-anak pada hari Senin. Berapa banyak anak yang dia mainkan pada hari Senin dibanding hari Selasa? ;1.0
Julia bermain tag dengan total 18 anak-anak. Dia bermain dengan 4 anak pada hari Senin dan masih dengan beberapa anak lagi pada hari Selasa. Berapa banyak anak yang dia mainkan pada hari Selasa? ;14.0
Julia bermain tag dengan 4 anak pada hari Rabu. Dia bermain dengan 6 anak pada hari Senin dan 17 anak pada hari Selasa. Berapa banyak anak yang dia mainkan pada hari Senin dibanding pada hari Rabu? ;2.0
Bobby makan beberapa permen. Lalu dia makan 25 lagi. Jika dia makan total 43 keping permen berapa banyak permen yang dia makan di awal? ;18.0
Bobby makan 28 keping permen. Lalu dia makan 42 lagi. Dia juga makan 63 keping cokelat. Berapa banyak permen yang dimakan Bobby? ;70.0
Bobby makan 33 keping permen. Lalu dia makan 4 lagi. Dia juga makan 14 keping cokelat. Berapa banyak permen dan cokelat yang Bobby makan? ;51.0
Bobby makan 38 keping permen. Lalu dia makan 36 lagi. Dia juga makan 16 keping cokelat. Berapa banyak permen yang dimakan Bobby selain cokelat? ;58.0
Bobby makan 20 keping permen. Dia makan 34 keping permen. Lalu dia makan 18 lagi. Berapa banyak permen yang dimakan Bobby? ;52.0
Bobby punya 21 permen. Dia makan 5 keping permen. Lalu dia makan 9 lagi. Berapa banyak permen yang masih tersisa? ;7.0
