question;answer;answer_ab
"O monedă e capul sus. Whitney aruncă moneda. Erika nu aruncă moneda. TJ nu aruncă moneda. Benito aruncă moneda. Moneda e încă în sus? Observaţi că ""turn"" înseamnă ""întoarce"". ";Da, domnule. ;A
"O monedă e capul sus. Lucky nu aruncă moneda. Mireya aruncă moneda. JJ aruncă moneda. KC aruncă moneda. Moneda e încă în sus? Observaţi că ""turn"" înseamnă ""întoarce"". ";Nu, nu. ;B
"O monedă e capul sus. Caleb aruncă moneda. Chase aruncă moneda. Eleazar aruncă moneda. Chanel nu aruncă moneda. Moneda e încă în sus? Observaţi că ""turn"" înseamnă ""întoarce"". ";Nu, nu. ;B
"O monedă e capul sus. Silvia aruncă moneda. Carolina nu aruncă moneda. Stan aruncă moneda. Chuck aruncă moneda. Moneda e încă în sus? Observaţi că ""turn"" înseamnă ""întoarce"". ";Nu, nu. ;B
"O monedă e capul sus. Breanna aruncă moneda. Trey nu aruncă moneda. Omar aruncă moneda. Patrice nu aruncă moneda. Moneda e încă în sus? Observaţi că ""turn"" înseamnă ""întoarce"". ";Da, domnule. ;A
"O monedă e capul sus. Lilian aruncă moneda. Ian aruncă moneda. Bryce aruncă moneda. Aracely nu aruncă moneda. Moneda e încă în sus? Observaţi că ""turn"" înseamnă ""întoarce"". ";Nu, nu. ;B
"O monedă e capul sus. Walter nu aruncă moneda. Mikayla nu aruncă moneda. Larry nu aruncă moneda. Ryan nu aruncă moneda. Moneda e încă în sus? Observaţi că ""turn"" înseamnă ""întoarce"". ";Da, domnule. ;A
"O monedă e capul sus. Angelina aruncă moneda. Layla aruncă moneda. Jenny aruncă moneda. Zane nu aruncă moneda. Moneda e încă în sus? Observaţi că ""turn"" înseamnă ""întoarce"". ";Nu, nu. ;B
"O monedă e capul sus. Lizzy aruncă moneda. Juany nu aruncă moneda. Aisha aruncă moneda. Brenda nu aruncă moneda. Moneda e încă în sus? Observaţi că ""turn"" înseamnă ""întoarce"". ";Da, domnule. ;A
"O monedă e capul sus. Elise aruncă moneda. Lupe aruncă moneda. Renee nu aruncă moneda. Noemi nu aruncă moneda. Moneda e încă în sus? Observaţi că ""turn"" înseamnă ""întoarce"". ";Da, domnule. ;A
"O monedă e capul sus. Jesse aruncă moneda. Roderick aruncă moneda. Travis nu aruncă moneda. Rita nu aruncă moneda. Moneda e încă în sus? Observaţi că ""turn"" înseamnă ""întoarce"". ";Da, domnule. ;A
