,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
0,저는 2011년에 '법과 질서' 팬이 되었습니다.,뇌졸중에서 회복 중이었죠.,집에 돌아왔을 때 모든 에피소드를 보려고 노력했어요.,20년 동안의 쇼를 보고 취하는 건 힘들었어요,'법과 질서'는 최악의 쇼 중 하나라고 생각해요,결국 저는 모든 것을 지켜보았습니다.,2
1,모두가 밥을 좋아했거든요. 그가 영화에서 인기 있는 캐릭터를 연기했기 때문이죠.,밥은 그 캐릭터가 전혀 다르기 때문에 싫어했어요.,짐은 밥에게 캐릭터의 캐치 프레이즈를 말하도록 부탁했습니다.,밥은 너무 힘들어서 분노로 폭발했습니다.,밥은 그 사람에게 그를 혼자 두라고 말했다.,밥은 그 사람에게 차를 달라고 했다.,1
2,리타는 그녀가 좋아하는 TV 프로그램을 보고 싶어했어요.,그 애들은 그녀가 앉아서 같이 볼 것을 요구했습니다.,리타는 할 일이 있다고 말했지,애들이 세탁기를 거실에 끌고 갔어요,리타는 점심에 페퍼니 피자를 주문했어요,리타는 텔레비전을 보면서 빨래를 접었다.,2
3,그녀는 큰 팝에 의해 놀라게 되면서 살았다.,그녀는 부엌의 전구가 불타고 있다는 걸 깨달았습니다.,그녀는 발자국을 꺼내서 발로 밟았습니다.,그녀의 밑에서 흔들렸어요 그리고 그녀는 거의 넘어졌습니다.,리브는 화장실 전구를 교체하기로 결정했습니다.,리브는 전구를 교체했습니다.,2
4,어머니는 자녀들에게 15분 후에 점심시간이 될 것이라고 말했다.,하지만 그 때 그녀는 중요한 전화를 받았습니다.,"그녀가 말하고 있는 동안, 개는 부엌을 모두 진흙으로 어갔다.",아이들은 여전히 전화로 통화하고 있던 어머니를 괴롭히기 시작했습니다.,어머니 는 매우 좌절 을 느꼈다.,아이들의 행동은 어머니를 진정시켰습니다.,1
5,헥터는 일하기 전에 항상 지역 가게에서 커피를 사요.,그는 커피를 사는 습관이 매우 비싸다는 것을 깨닫습니다.,"어느 날, 헥터는 집에서 커피를 만들기로 결심합니다.",그는 집에서 만든 커피가 너무 좋다는 것을 자랑스럽게 생각합니다.,헥터는 커피를 직접 끓여서 돈을 절약했습니다.,헥터는 스타벅스에서 커피를 더 사기 시작했어요.,1
6,켈리는 학교에서 새로운 여자애가 있다는 걸 알아냈어,그녀가 학교에 들어갔을 때 그녀는 그녀를 찾아 갔습니다.,"그녀를 만났을 때, 그녀는 그녀를 점심에 함께 앉으라고 초대했습니다.","점심 먹었을 때, 소녀들은 친구가 되었다.",켈리는 다시는 그녀와 이야기하지 않았어.,켈리는 새로운 친구를 사귀는 것에 행복했습니다.,2
7,토미는 첫 5K를 달리기 위해 열심히 훈련했습니다.,경주 도중 에 많은 사람 들 이 그 를 지나갔을 때 그 는 좌절 을 느꼈다.,그는 시상식에서 자신의 이름을 부르게 되었을 때 충격을 받았습니다.,그는 연령별로 상을 주는 걸 몰랐어요.,그는 자신이 어떤 인정을 받지 못해서 부끄러웠어요.,그는 나이로 1위를 차지했지만 전체 10위에 올랐다는 것에 자랑스러워했습니다.,2
8,로리는 오늘 밤 첫 번째 공식 댄스 파티에 갈거야,데이트하는 사람이 그녀를 데려와서 아름다운 장미를 줬어요.,로리는 긴 반짝이는 드레스를 입었어요.,그들은 친구들과 함께 춤을 추고 즐거웠어요.,로리는 울며 집으로 돌아갔다.,로리는 데이트에게 키스해서 밤을 마쳤습니다.,2
9,닐은 역사적인 철도를 탐험하고 있었습니다.,펜실베이니아 스크라턴으로 들어갔어요,그는 그곳이 아름다운 오래된 기차역이라는 것을 깨달았습니다.,그는 그곳에 있을 때 많은 사진을 찍었습니다.,닐은 자신의 모든 사진을 지워버렸어요.,닐이 컴퓨터에 사진을 저장했지,2
