premise;question;choice1;choice2;label
वस्तुलाई बुलबुलाको पन्नीमा प्याक गरिएको थियो। ;cause;यो नाजुक थियो। ;यो सानो थियो। ;0
मैले आफ्नो जेब खाली गरेँ। ;effect;मैले एउटा टिकटको स्टप निकालेँ। ;मैले एउटा हतियार भेट्टाएँ। ;0
घरमा किराहरू आए। ;effect;घरबाट तीर्मिटहरू गायब भए। ;तीर्मिटहरूले घरको काठमा खाए। ;1
ती यात्रीहरू सीमामा पुगे। ;effect;गस्ती एजेन्टले उनीहरूको पासपोर्ट जाँच गरे। ;गस्ती एजेन्टले उनीहरूलाई तस्करीको आरोप लगायो। ;0
कार्यालय बन्द थियो। ;cause;त्यो छुट्टीको दिन थियो। ;यो गर्मी थियो। ;0
ती केटीको शक्ति सकियो। ;cause;उनले चेस खेल्थिन्। ;उनले डोरी उफ्रिन थाले। ;1
महिलाले आफ्नो स्थान गुमाइन्। ;cause;थप मानिसहरूले लाइनमा प्रवेश गरे। ;उनी लाइनबाट बाहिर निस्किन्। ;1
केटीले आफ्नो नाक चिम्लेकी थिई। ;cause;बच्चाको मुखबाट पानी बग्यो। ;बच्चाले उसको डायपरमा फोहोर हालेको थियो। ;1
ब्यान्डले आफ्नो हिट गीत बजायो। ;effect;[पृष्ठ २३-मा भएको चित्र] ;[पृष्ठ २३-मा भएको चित्र] ;0
छोरीले गणितकी शिक्षिकालाई धन्यवाद दिन चाहन्थिन्। ;effect;छोरी स्कुलको पछि सजायको लागि बसेकी थिई। ;केटीले शिक्षकलाई एउटा स्याउ ल्याई। ;1
युवा क्याम्परहरू डराए। ;cause;उनीहरूको शिविरका सल्लाहकारले उनीहरूलाई भूतको कथा सुनाए। ;उनीहरूले शिविरको आगोमा मार्शमलोहरू पकाएका थिए। ;0
त्यो मानिसले आफ्नो टाउकोमा प्रहार गर्यो। ;effect;उनी विचारमा हराए। ;उनको मस्तिष्कमा चोट लागेको छ। ;1
मैले लेखेको चेक बेवास्ता गरियो। ;cause;मेरो बैंक खाता खाली थियो। ;मैले तलब वृद्धि पाउनुपर्ने थियो। ;0
त्यस मानिसको इमेल इनबक्स स्प्यामले भरिएको थियो। ;effect;उनले स्पाम मेटाए। ;उनले एउटा सामूहिक इमेल पठाए। ;0
त्यो नाविकलाई क्वारेन्टाइनमा राखिएको थियो। ;cause;उनी रोगको चपेटामा परेका थिए। ;उनी रोगबाट निको भए। ;0
छोरीले कोड याद गरी। ;cause;उनले आफैँलाई सुनाइन्। ;उनले यसलाई लेख्न बिर्सिएकी थिइन्। ;0
मैले गिलासमा पानी खन्याएँ। ;effect;पानीले मेरो तिर्खा मेट्यो। ;गिलास भरिएको थियो। ;1
साथीले कुराकानी सकिसकेपछि त्यो मानिस चुप लाग्यो। ;cause;उनी आफ्नो साथीलाई सहयोग गर्न चाहन्थे। ;उनी आफ्नो साथीको कुराको बारेमा सोच्दै थिए। ;1
दुर्घटना मेरो गल्ती थियो। ;effect;मलाई दोषी लाग्यो। ;मैले उजुरी दर्ता गरेँ। ;0
चेन फुटेको थियो। ;cause;चेन एउटा टायरमा लपेटिएको थियो। ;त्यहाँ श्रृंखलामा एक टुटेको लिंक थियो। ;1
[पृष्ठ २३-मा भएको चित्र] ;cause;उनीहरू झगडा गर्नबाट थकित भए। ;उनीहरूले समस्याबारे छलफल गर्न छाडे। ;0
[पृष्ठ २३-मा भएको चित्र] ;effect;उनले एउटा अभियान प्रबन्धक नियुक्त गरिन्। ;उनले अदालतमा गवाही दिइन्। ;0
यात्रामा चिसो मौसम आउने कुरा ;effect;उनले आफ्नो झोलामा न्यानो कपडाहरू राखे। ;उनी एउटा ठूलो झोला लिएर यात्रा गरिरहेका थिए। ;0
