premise;question;choice1;choice2;label
العنصر كان معبأ في غلاف فقاعة ;cause;كان هشّاً ;لقد كانت صغيرة ;0
لقد أفرغت جيوبي ;effect;لقد استرجعت بطاقة التذاكر ;لقد وجدت سلاحاً ;0
غزت النمل الأبيض المنزل. ;effect;لقد اختفت النمل الأبيض من المنزل ;النمل الأبيض أكل من خلال الخشب في المنزل. ;1
وصل المسافرون إلى الحدود. ;effect;عميل الدورية فحص جوازات سفرهم ;عميل الدورية اتهمهم بالتهريب ;0
المكتب كان مغلقاً ;cause;لقد كانت عطلة ;كان الصيف. ;0
لقد نفذت الطاقة من الفتاة ;cause;لعبت الداما ;لقد قفزت من الحبل ;1
فقدت المرأة مكانها في الصف ;cause;المزيد من الناس دخلوا الصف ;لقد خرجت من الصف ;1
لقد قامت الفتاة بضغط أنفها ;cause;لقد ألقيت لعابها على طفلها ;لقد تلطخ الطفل حفاضتها ;1
عزفت الفرقة أغنيتها الناجحة. ;effect;تصفيق الجمهور مع الموسيقى ;الجمهور استمعوا بأدب في صمت. ;0
الفتاة أرادت أن تشكر مدرسة الرياضيات ;effect;البنت بقي بعد المدرسة للاحتجاز. ;أحضرت الفتاة التفاحة للمعلم. ;1
الشباب المخيم شعروا بالخوف ;cause;مستشار المخيم أخبرهم قصة الأشباح ;لقد قاموا بتحميص الحلوى على نار المخيم ;0
الرجل ضرب رأسه. ;effect;لقد ضاع في أفكاره ;لقد أصيب بصدمة دماغية ;1
الشيك الذي كتبته لم يُسدد ;cause;حسابي المصرفي كان فارغ ;لقد استحققت زيادة في الراتب ;0
صندوق البريد الإلكتروني للرجل كان مليئاً بالرسائل غير المرغوب فيها ;effect;لقد قام بحذف البريد المزعج ;لقد أرسل رسالة إلكترونية جماعية ;0
البحار كان في الحجر الصحي ;cause;لقد تعرض للمرض ;لقد تعافى من المرض. ;0
الفتاة حفظت الشفرة ;cause;لقد قامت بتلاوة ذلك لنفسها ;لقد نسيت أن تكتبها ;0
سكبت الماء في الكأس. ;effect;الماء أرضى عطشي ;أصبح الكأس ممتلئًا. ;1
الرجل بقي صامتاً عندما أنهى صديقه الكلام ;cause;أراد أن يقدم دعم صديقه ;كان يفكر بكلمات صديقه ;1
الحادث كان خطأي ;effect;شعرت بالذنب ;لقد رفعت تهم ;0
السلسلة انفصلت ;cause;كانت السلسلة ملفوفة حول الإطار ;كان هناك حلقة مكسورة في السلسلة ;1
قرر الزوجان التنازل عن الاعتقاد. ;cause;لقد تعبوا من الجدال ;لقد تجنبوا مناقشة المشكلة. ;0
قررت المرأة الترشح لمنصب عام ;effect;لقد وظفت مدير حملة ;لقد شهدت في المحكمة ;0
الرجل توقع الطقس البارد في رحلته. ;effect;لقد حزم ملابس دافئة في حقيبته ;لقد سافر بحقيبه الكبيرة ;0
الطالب كان يعرف الجواب على السؤال. ;effect;لقد رفع يده ;لقد غفل ;0
عين الرجل تبللت ;cause;لقد دخل الغبار في عينيه ;لقد وضع نظارات واقية على عينيه ;0
الفائز في خمس مباريات متتالية ;effect;اتهمها خصمها بالخيانة ;خصمها شعر بالأسف لها ;0
مزق المعلم امتحان الطالب. ;cause;لقد أمسك الطالب وهو يغش. ;إجابات الطالب كانت خاطئة. ;0
توقفت لأتوقف عن الكلام ;cause;لقد فقدت صوتي ;لقد نفذ مني التنفس ;1
الأطعمة المجمدة تذوبت ;cause;وضعته في الميكروويف ;لقد غطيته ببلاستيك ;0
الموظف تظاهر بالمرض ;cause;كان يعاني من تشنجات في المعدة ;أراد يوم عطلة ;1
سقطت الفتاة في المسبح ;cause;لقد ركضت على سطح المسبح ;لقد قفزت من على المنصة ;1
بيعت تذاكر السينما ;cause;كان يوم افتتاح الفيلم ;تلقى الفيلم مراجعات سيئة. ;0
الرجل فقد وزنه ;effect;الناس عزلته ;الناس أمدحوه ;1
أصيبت أيدي الفتاة بالثقوب ;cause;لقد كتبت رسالة ;لقد تسلقت حبل ;1
قام ممثل السيرك بالتهامشة بينما كان يركب دراجة أحادية الدراجة. ;effect;أصاب الجمهور بالدهشة ;الاكروباتة كانت تتأرجح من على الرقص ;0
فقدت صبري ;cause;صديقي جعلني أنتظر. ;وصلت صديقتي في الوقت المناسب. ;0
الدول المتحاربة أرادت السلام ;effect;لقد طوروا أسلحة نووية ;لقد تفاوضوا على معاهدة ;1
الرجل أخذ دواء للنوم ;effect;أصبح نائماً ;كان مصابًا بالحمى ;0
المرأة صدمت الأريكة ;effect;ساق الأريكة انطلق ;لقد جرحت ركبتها ;1
لقد ضغط الصبي على البالون ;effect;لقد انفجرت البالونة ;لقد طارت البالونة بعيداً ;0
المسافرين الذين سجلوا في غرف الفنادق ;effect;لقد فكّروا حقائبهم. ;ذهبوا إلى المطار. ;0
لقد عضست في الخوخ ;effect;الخوخ مُكَدّر. ;لقد سكبت العصير ;1
أصبحت يداي لزجة ;cause;لقد أكلت كعكة ;كان لدي أسنان حلوة ;0
لقد دفعت الباب ;effect;الباب فتح. ;الباب مغلق ;0
قاطع النشطاء المنتجات ;cause;تم اختبار المنتجات لضمان الجودة. ;تم تصنيع المنتجات من خلال عمل الأطفال. ;1
لقد حفرت ثقبًا في الحائط ;effect;جرذ زحف من الحفرة. ;لقد خرج الغبار من الحفرة ;1
شعرت المرأة بالغيرة من أختها. ;cause;كانت أختها سعيدة ;أختها تطلق ;0
سكبت النبيذ على قميصي ;effect;لقد ارتديت المئزر ;لقد غيرت قميصي ;1
فتح الصراف صندوق النقد. ;cause;لقد فتش الزبون محفظته ;الزبون سلم لها المال ;1
جذب موسيقي الشارع حشدًا. ;effect;الناس أعطوه التغيير. ;لقد أبعد الحشد ;0
فصرخ الصبي الصغير إلى جليسة أطفاله. ;cause;لقد افتقد والديه ;لقد كان وقت الوجبات الخفيفة ;0
رادار الطيار رصد عاصفة ;effect;الطيار أبحر بعيداً عن العاصفة ;الطيار طار خلال العاصفة ;0
الشجرة تسقط أوراقها. ;effect;الأوراق تحولت إلى ألوان ;الأوراق تتراكم على الأرض ;1
كان الفتى في مزاج شرير ;effect;قرر أن يلعب لعبة الورق مع شقيقته. ;قرر أن يلعب نكتة عملية على شقيقته. ;1
