question;answer_number
Janet 嘅仔一日可以放 16 個蛋. 每朝早,佢會食三份雞排 跟住佢每日同四個朋友一齊煮蛋糕 每日要賣剩餘嘅雞蛋, 價格為每個新鮮雞蛋 2 美金. 喺農民市場,佢每日賺幾多美元? ;18
一件大袍需要兩條藍色纖維 同埋另一半需要白色纖維 整個需要多少螺栓? ;3
Josh 決定要試下翻一個房子. 佢以八萬美金買咗間屋 然後再用五萬美金嚟維修 房屋嘅價值亦因此上升咗 150% 佢賺幾多錢? ;70000
James決定每週跑三步 每次佢跑步 佢跑到 60 米 佢每個星期跑幾多公尺呢? ;540
每日,溫迪會畀啲雞三杯雞肉, 雞肉裏面有種子,蟲同蔬菜 令佢哋健康 佢將啲雞分三餐食. 清晨,佢會給啲雞十五杯嘢食. 下晝,佢會給啲雞二五杯雞肉. 如果 Wendy 嘅雞群有 20 個雞 咁佢最後嗰餐需要幾多個? ;20
凱拉去咗商場買眼鏡,買咗嚟嚟新屋. 一杯要五蚊美金,而每杯酒只需要六成美金. 凱拉想買16個玻璃杯. 佢需要幾多錢買呢啲? ;64
圖魯茲嘅羊數量係查爾斯頓嘅兩倍 查爾斯頓嘅羊數量 係西雅圖嘅四倍 如果西雅圖有20隻羊,圖魯茲,查爾斯頓,西雅圖呢三個城市 共有幾多隻羊? ;260
Carla 左一個 200 GB 檔案. 佢通常可以喺每分鐘下載 2 千兆字節嘅資料 但係當佢下載完之後,Windows 會強制重新啟動以安裝更新,而呢個過程需要 20 分鐘 之後卡拉需要從頭開始重新啟動下載 要下載檔案需要幾長時間? ;160
約翰以每小時 60 英里嘅速度行咗三個鐘,然後轉咗身 因為佢意識到自己係屋企忘咗一啲好重要嘅嘢 佢想喺四個鐘頭返屋企 但係頭兩個鐘頭都喺車流停 之後佢又以每小時 30 英里嘅速度行駛 又再用剩餘嘅 4 個鐘 嚟駕駛 130 英里 喺呢四個鐘頭嘅時間入面 佢離家有幾遠? ;45
Eliza每個禮拜工作 40 個鐘嘅每小時收費 $10 另外,加班嘅工資係每小時 1.2 倍 如果Eliza本週工作45個鐘,佢本週嘅收入係幾多? ;460
第一個月,一個新程式有 60 次下載 下載次數係第一個月嘅三倍 但喺第三個月下載量就下降咗 30% 哩個項目喺過去三個月 總共下載咗幾多次? ;366
Toula去麵包店買咗各種糕點. 佢買咗三打甜甜圈,每一打係68美金, 兩打細蛋糕,每一打係80美金, 仲買咗六打細奶酪,每一打係55美金. 總共要花幾多錢? ;694
Carlos 栽咗一棵樹. 種植一棵樹要花90美元. 每年佢哋都種出七個 佢哋每個嘅價格係 1 美金 5 美金 灌同養樹一年需要三蚊美金. 樹可以賺錢嘅年份係幾多? ;13
梅拉妮係一個門口販賣員 綠色屋出售三分一嘅吸塵器 紅色屋出售另外兩台 色屋出售剩餘嘅吸塵器一半 如果梅拉尼剩下五台吸塵器,佢係用幾多台開始? ;18
一班20個學生一共有20%喺現代舞蹈 25%喺爵士舞蹈,其餘嘅 Hip-Hop 舞蹈. 學院畢業生中幾百人會跳舞? ;60
一位商人要做兩個選擇 買一塊價值五千美元嘅珠寶 又買一塊價值八千美元嘅電子產品 佢嘅財務顧問估計 珠寶市場會升 2.5% 同月份電子產品嘅市場會升 1.2% 如果一個商人想喺月底最大限度地賺錢 點先可以揀呢? ;125
有兩班火車同時從聖拉斐爾出發 佢哋向西行咗 130 英里 第二日,佢哋喺北邊行咗 240 英里 呢兩日呢兩列車嘅行程有幾多? ;230
Jill每個鐘學費系20美金, 仲有30美金可以做啦啦隊教練. 如果佢一年做 50 星期,每個禮拜做 35 個鐘做老師,每個禮拜做 15 個鐘做教練,年薪係幾多? ;57500
每朝早,Claire 會做三隻蛋蛋蛋餅. 佢喺四個星期內會食幾多個雞蛋? ;7
Marissa 喺一條 12 英里長嘅步道上徒步旅行. 佢用咗一個鐘去行第一個四英里,然後用咗另一個鐘去行接住嘅兩英里 如果佢想平均每小時行駛 4 英里,佢需要以幾英里/小時嘅速度行駛 來完成剩餘嘅距離? ;6
我有 10 升汁,三分之二係水 我想將佢加到 15 升汁,三分之五係水 但當我倒嘅時候,我倒咗一升紅酒 剩低24升嘅水份有幾多? ;15
雷蒙德同薩曼莎係堂兄弟姊妹. 雷蒙喺薩曼莎出世前六年出世 雷蒙德喺23歲生咗個仔 如果三曼莎依家31歲,雷蒙德嘅仔係幾年前出世嘅? ;14
比利賣 DVD. 星期二有八個客人 佢前三個客人都買咗一張DVD 佢接落嚟嘅兩個客人都買咗兩張DVD 佢最後三個客人都唔買 DVD 星期二,比利賣咗幾多張 DVD? ;7
每一燃燒嘅時間 會融化兩公分 喺下午一點到五點燒起嚟 短咗幾多厘米? ;8
凱爾用 $19.50 買咗去年最暢銷嘅書 同原價比起25%嘅折扣. 黎本書最初嘅價格係幾多? ;26
瑪麗點咗一隻雞肉,價錢係12美金, 五包牛奶,每包3美金,四個果,每包1.5美金,同埋幾盒披薩. Marie 總共畀咗50蚊美金. 如果每盒係 8.50 美金,瑪麗訂咗幾多盒披薩? ;2
