question;answer_number
Janetin ankka munii 16 munaa päivässä. Hän syö kolme aamiaiseksi joka aamu ja leipää muffineja ystävilleen joka päivä neljän kanssa. Hän myy loput päivittäin maanviljelijöiden markkinoilla tuoreesta ankkanmunasta kaksi dollaria. Paljonko hän tienaa päivittäin? ;18
Pukuun tarvitaan kaksi sinistä kuitua ja puolet valkoisesta kuidesta. Montako pulttia se ottaa? ;3
Josh päättää yrittää kääntää talon. Hän ostaa talon 80 000 dollarilla ja maksaa 50 000 korjauksiin. Tämä nosti talon arvoa 150%. Paljonko hän tienasi? ;70000
James päättää juosta kolme sprinttiä kolme kertaa viikossa. Hän juoksee 60 metriä sprintissä. Kuinka monta metriä hän juoksee viikossa? ;540
Wendi syöttää jokaiselle kanalleen joka päivä kolme kupillista sekoitettuna kananruokaa, joka sisältää siemenet, jauhojen matoja ja vihanneksia, jotta ne pysyvät terveinä. Hän antaa kanille ruokaa kolmena erillisenä ateriana. Aamulla hän antaa kanalleen 15 kupillista ruokaa. Iltapäivällä hän antaa kanilleen vielä 25 kupillista ruokaa. Kuinka monta ruokakupillista hänen täytyy antaa kanilleen päivän viimeisessä ateriassa, jos Wendin lauman koko on 20 kanaa? ;20
Kylar meni ostamaan lasit uudelle asunnolleen. Yksi lasillinen maksaa 5 dollaria, mutta joka toinen lasillinen maksaa vain 60 prosenttia hinnasta. Kylar haluaa ostaa 16 lasia. Paljonko hänen pitää maksaa niistä? ;64
Toulousessa on kaksi kertaa enemmän lampaita kuin Charlestonissa. Charlestonissa on neljä kertaa enemmän lampaita kuin Seattlessa. Kuinka monta lammasta Toulousella, Charlestonilla ja Seattlella on yhteensä, jos Seattlella on 20 lammasta? ;260
Carla lataa 200 Gt:n tiedoston. Normaalisti hän voi ladata 2 GB/minuutti, mutta 40%:n ladattaessa Windows pakottaa uudelleenkäynnistyksen asentaa päivitykset, mikä kestää 20 minuuttia. Sitten Carlan on aloitettava lataus alusta. Kuinka paljon latausta tiedoston lataamiseen tarvitaan? ;160
John ajaa 3 tuntia nopeudella 100 km/h ja kääntyy sitten takaisin, koska tajuaa unohtaneensa jotain tärkeää kotiin. Hän yrittää päästä kotiin 4 tunnissa, mutta menee kaksi ensimmäistä tuntia liikenteessä. Seuraavan puolen tunnin ajan hän ajaa 30 mailia tunnissa, ennen kuin pystyy ajamaan loput 4 tunnin ajon 80 mailia tunnissa. Kuinka kaukana hän on kotoaan noiden neljän tunnin jälkeen? ;45
Elisan tuntipalkka ensimmäisten 40 tunnin työviikossa on 10 dollaria. Hän saa myös ylityötunnilta 1,2 kertaa tavallisen tuntipalkansa verran palkkaa. Jos Eliza työskenteli 45 tuntia tällä viikolla, - kuinka paljon hän on saanut tällä viikolla? ;460
Uusi ohjelma oli ladattu 60 kertaa ensimmäisen kuukauden aikana. Toisen kuukauden latausten määrä oli kolme kertaa niin suuri kuin ensimmäisen kuukauden lataukset, mutta se väheni kolmannella kuukaudella 30 prosenttia. Kuinka monta ladattua ohjelmaa oli kolmen kuukauden aikana? ;366
Toula meni leipomoon ja osti erilaisia leivonnaisia. Hän osti 3 tusinaa donitseja, jotka maksoivat 68 dollaria tusinaa kohden, 2 tusinaa mini cupcakesia, jotka maksoivat 80 dollaria tusinaa kohden, ja 6 tusinaa mini juustokakkua 55 dollaria tusinaa kohden. Paljonko se maksoi? ;694
Carlos istuttaa sitruunapuun. Puun istuttaminen maksaa 90 dollaria. Joka vuosi se kasvattaa 7 sitruunaa, jotka hän voi myydä 1,5 dollarilla kappaleelta. Puun kastelu ja ruokinta maksaa kolme dollaria vuodessa. Kuinka monta vuotta kestää, ennen kuin hän alkaa ansaita rahaa sitruunapuun avulla? ;13
Melanie on ovelta ovelle myyjä. Hän myi kolmanneksen imurista vihreään taloon, kaksi punaiseen taloon ja puolet siitä, mitä oli jäljellä oranssiseen taloon. Jos Melaniella on viisi pölynimuria jäljellä, kuinka monella hän aloitti? ;18
20 opiskelijan tanssi-tunnilla 20% opiskeli nykyaikaista tanssia, 25% jazz-tanssia ja loput hip-hop-tanssia. Kuinka moni opiskelija osallistui hip-hop-tanssiin? ;60
Kauppias haluaa tehdä ostopäätöksen kahden ostossuunnitelman välillä: 5000 dollarin arvoiset korut tai 8000 dollarin arvoiset elektroniikkalaitteet. Hänen talousneuvonantajansa arvioi, että korumarkkinoiden hinta nousee 2,5 prosenttia, - kun taas elektroniikkalaitteiden markkina nousee 1,2 prosenttia samana kuussa. Jos kauppias haluaa maksimoida voiton tämän kuukauden lopussa tekemällä valinnan, kuinka paljon voittoa tämä olisi? ;125
Kaksi junaa lähtee San Rafaelista samaan aikaan. He lähtevät länteen, molemmat 80 mailia. Seuraavana päivänä he matkustavat pohjoiseen, - ja matkaavat yli 240 kilometriä. Mikä on kuluneen junan pituus kahdessa päivässä? ;230
Jillille maksetaan 20 dollaria tunnissa opettajana ja 30 cheerleading-valmentajana. Jos hän työskentelee 50 viikkoa vuodessa, 35 tuntia viikossa opettajana ja 15 tuntia viikossa valmentajana, - mikä on hänen vuosipalkkansa? ;57500
Claire tekee kolme munaa joka aamu aamiaiseksi. Montako tuhatta munaa hän syö neljässä viikossa? ;7
Marissa kävelee 12 mailia pitkin polkua. Hän käytti tunnin ensimmäisten neljän mailin kävelyyn, ja sitten toisen tunnin seuraavien kahden mailin kävelyyn. Jos hän haluaa keskimääräisen nopeutensa olevan 6 kilometriä tunnissa, niin minkä nopeuden (miljoina tunnissa) hän tarvitsee kävelläksensä jäljellä olevan matkan? ;6
Minulla on 10 litraa appelsiinijuomaa, joka on kaksi kolmasosaa vettä, ja haluan lisätä sen 15 litraan ananasjuomaa, joka on kolme viidesosaa vettä. Mutta kun kaadan sen, kaadan yhden litran appelsiinijuomaa. Kuinka paljon vettä on jäljellä olevissa 24 litraa? ;15
Raymond ja Samantha ovat serkkuja. Raymond syntyi kuusi vuotta ennen Samanthaa. Raymond sai pojan 23-vuotiaana. Jos Samantha on nyt 31, - montako vuotta sitten Raymondin poika syntyi? ;14
Billy myy DVD-levyjä. Hänellä on kahdeksan asiakasta tiistaina. Kolme ensimmäistä asiakasta ostaa DVD:n. Kaksi seuraavaa asiakasta ostaa kaksi DVD:tä. Hänen viimeiset asiakkaansa eivät osta DVD:tä. Montako DVD:tä Billy myi tiistaina? ;7
Kynttilä sulaa 2 senttimetriä joka tunti, kun se palaa. Kuinka monta senttimetriä lyhyempi kynttilä on, kun se palaa kello 13.00 - 17.00? ;8
Kyle osti viime vuoden bestsellerin 19,50 dollarilla. Tämä on 25% alennuksella alkuperäisestä hinnasta. Mikä oli kirjan alkuperäinen hinta? ;26
Marie tilasi yhden kananruoan, joka maksoi 12 dollaria, 5 maitoa, joka maksoi 3 dollaria, 4 omenaa, jotka maksoivat 1,50 dollaria, ja muutaman laatikon pizzaa. Marie maksoi yhteensä 50 dollaria. Montako laatikkoa pizzaa Marie tilasi, jos jokainen laatikko maksaa 8,50 dollaria? ;2
Mishka osti kolme paria shortsseja, kolmea housuja ja kolmea paria kenkiä. Yksi shortsi maksaa 16,50 dollaria. Yksi housu maksaa 22,50 dollaria ja yksi kenkäparin 42 dollaria. Montako dollaria Mishka käytti vaatteisiin? ;243
Cynthia syö yhden annos jäätelöä joka ilta. Hän ostaa jäätelöpakkauksia, joissa on 15 annosta jäätelöä pakassa, ja hinta on 4 dollaria pakassa. Kuinka paljon hän käyttää jäätelöön 60 päivän jälkeen? ;16
Henry pysähtyi kahdesti 60 mailin pyöräilylle. Hän pysähtyi ensin 20 mailia jälkeen. Toinen pysähdyspaikka oli 15 mailia ennen matkan loppua. Kuinka monta kilometriä hän matkasi ensimmäisen ja toisen pysähdyspaikkansa välillä? ;25
Gloria on ostoksilla, kun hän löytää parin kenkiä, jotka sopivat hänen kenkäbudjettiinsa. Hänen on kuitenkin valittava saappaiden ja kahden korkokengän parin välillä, jotka maksavat yhdessä viisi dollaria vähemmän kuin saappaat. Jos yksi korkokengä maksaa 33 dollaria ja toinen kaksi kertaa niin paljon, niin kuinka monta dollaria kengät ovat? ;104
Darrellin ja Allenin ikä on 7:11. Jos heidän ikänsä on nyt yhteensä 162, lasketaan Allenin ikä 10 vuoden kuluttua. ;109
Gunter yrittää laskea hyytelöpapuja purkissa. Hän kysyy ystäviltään, kuinka monta pulloa pulloissa on. Yksi sanoo 80. Toinen sanoo 20 enemmän kuin puolet ensimmäisestä. Kolmannes sanoo 25% enemmän kuin ensimmäinen. Mikä on heidän keskimääräinen arvionsa? ;80
John huolehtii kymmenestä koirasta. Jokainen koira käyttää puoli tuntia päivässä kävelyyn ja asioiden hoitamiseen. Montako tuntia viikossa hän huolehtii koirista? ;35
Gretchenillä on 110 kolikkoa. Kulta kolikoita on 30 enemmän kuin hopeakolikoita. Montako kultarahaa Gretchenillä on? ;70
Siobhanilla on kaksi jalokivää vähemmän kuin Aaronilla. Aaronilla on viisi jalokiveä enemmän kuin puolet Raymondin jalokiveistä. Jos Raymondilla on 40 jalokivää, kuinka monta Siobhanilla on? ;23
Mike pelaa pingistä 40 minuuttia. Ensimmäisten 20 minuutin aikana hän sai 4 pistettä. Seuraavassa 20 minuutissa hän saa 25 prosenttia enemmän pisteitä. Kuinka monta pistettä hän sai? ;9
Terry syö kaksi jogurttia päivässä. Ne ovat tällä hetkellä myynnissä 4 jogurttia 5 dollarilla. Paljonko hän käyttää jogurttiin 30 päivässä? ;75
John aikoo myydä kaikki lelunsa ja käyttää rahat videopeleihin. Hänellä on 13 lego-sarjaa, jotka hän myy 15 dollarilla kappaleelta. Hän ostaa kahdeksan videopelejä 20 dollarilla ja hänellä on vielä 5 dollaria jäljellä. Montako legoa hänellä on vielä? ;2
John juoksee 100 kilometriä viikossa. Hän juoksee kolme päivää viikossa. Hän juoksee kolme tuntia ensimmäisenä päivänä ja puolet niin paljon kahdessa toisessa. Kuinka nopeasti hän juoksee? ;10
Dana voi juosta neljä kertaa nopeammin kuin hän voi kävellä, mutta hän voi hypätä puolet nopeammin kuin hän voi juosta. Jos hän voi hypätä 3 mailia tunnissa, kuinka monta mailia hän voi matkustaa kuudessa tunnissa, jos hän käyttää kolmanneksen ajasta juoksemalla ja kaksi kolmasosaa kävelyllä? ;18
Brandonin iPhone on neljä kertaa vanhempi kuin Benin. Benin iPhone on kaksi kertaa vanhempi kuin Suzyn. Jos Suzyn iPhone on vuoden vanha, kuinka vanha on Brandonin iPhone? ;8
Suuri lohikäärme, Perg, istui korkealla Farbon vuoren huipulla, - puhaltamassa tulta kaiken yli 300 metrin päähän. Polly pystyi heittämään kultaisen keihään, ainoan tunnetun aseen, joka pystyi liukumalla lohikäärme, - 400 jalan etäisyydelle, lohikäärmeen liekkien ulottuvilla. Mutta kun Polly piti safiiriä kädessään, hän pystyi heittämään keihään kolme kertaa kauemmas kuin kun hän ei pitänyt kiveä kädessään. Jos hän pitelee jalokiveä, kuinka kaukana lohikäärmeen liekkien ulottuvuudesta - voi Polly seistä ja silti lyödä lohikäärmettä kultaisella keihällä? ;200
Isoäiti Jones leipoi viisi omenapiirakkaa palomiehen lounaalle. Hän leikkasi jokaisen piirakan kahdeksaan kappaleeseen ja asetti ne viiteen buffet-pöytään, jotta vieraat voisivat tarjoilla itse. Illan lopussa, kun vieraat olivat ottaneet ja syöneet piirakanpalasiaan, jäljellä oli 14 piirakanpalaa. Montako palan vietiin vieraiden mukaan? ;26
Ravitsemustietojen mukaan pussissa on 250 kaloria. Jos 300 g:n säkissä on 5 annosta, kuinka monta grammaa voit syödä, jos päivittäinen kalorimääräsi on 2000 ja olet jo syönyt 1800 kaloria? ;48
Charlie haluaa myydä mehiläisvahan kynttilöitä. Jokaista puntaa mehiläisvahaa varten hän voi tehdä 10 kaarevaa kynttilää. Kilon mehiläisvaha ja viitit maksavat 10 dollaria. Jos hän myy jokaisen kynttilän 2 dollarilla, mikä on hänen nettovoittonsa, jos hän tekee ja myy 20 kynttilää? ;20
Meredith on freelance-bloggaaja, joka kirjoittaa terveysasioista ja lähettää asiakkaittensa päivittäisiä artikkeleita. Blogiartikkelin tutkiminen ja kirjoittaminen vie keskimäärin neljä tuntia. Viime viikolla hän kirjoitti 5 artikkelia maanantaina ja 2/5 kertaa enemmän artikkeleita tiistaina kuin maanantaina. Keskiviikkona hän kirjoitti kaksi kertaa enemmän kirjoituksia kuin tiistaina. Laskekaa hänen kirjoittamiseen kuluvien kolmen päivän aikana kuluneet yhteensä tunnit. ;104
"Candice laittoi 80 postit-kirjaa käsilaukkuun ennen kuin lähti töihin kahvilaan. Matkalla hän pysähtyi kauppaan ja osti paketin Post-it-muistiinpanoja; töissä hän asetti yhden Post-it-muistiinpanoja jokaiseen 220 eri kahvikuppiin. Jos hänellä oli 23 post-it-kirjaa jäljellä, kuinka monta post-it-kirjaa oli pakassa, jonka hän osti? ";163
