question;answer_number
Los patos de Janet ponen 16 huevos al día. Ella come tres para el desayuno cada mañana y hornea magdalenas para sus amigos todos los días con cuatro. Ella vende el resto en el mercado de los granjeros diariamente por $2 por huevo de pato fresco. ¿Cuánto gana en dólares todos los días en el mercado de agricultores? ;18
Una bata toma 2 tornillos de fibra azul y la mitad de la fibra blanca. ¿Cuántos pernos en total hace falta? ;3
Josh decide intentar voltear una casa. Él compra una casa por $80,000 y luego pone $50,000 en reparaciones. Esto aumentó el valor de la casa en un 150%. ¿Cuánto beneficio hizo? ;70000
James decide correr 3 carreras 3 veces a la semana. Él corre 60 metros cada sprint. ¿Cuántos metros corre por semana? ;540
Todos los días, Wendi alimenta a cada una de sus gallinas con tres tazas de alimento mixto para pollos, que contiene semillas, gusanos de la harina y verduras para ayudar a mantenerlas sanas. Ella da a los pollos su alimento en tres comidas separadas. Por la mañana, da a su manada de pollos 15 tazas de alimento. Por la tarde, da a sus pollos otras 25 tazas de alimento. ¿Cuántas tazas de alimento necesita darle a sus pollos en la última comida del día si el tamaño del rebaño de Wendi es de 20 pollos? ;20
Kylar fue a la tienda a comprar gafas para su nuevo apartamento. Un vaso cuesta $5, pero cada segundo vaso cuesta sólo el 60% del precio. Kylar quiere comprar 16 vasos. ¿Cuánto necesita pagar por ellos? ;64
Toulouse tiene el doble de ovejas que Charleston. Charleston tiene 4 veces más ovejas que Seattle. ¿Cuántas ovejas tienen Toulouse, Charleston y Seattle juntas si Seattle tiene 20 ovejas? ;260
Carla está descargando un archivo de 200 GB. Normalmente puede descargar 2 GB/minuto, pero el 40% del camino a través de la descarga, Windows obliga a un reinicio para instalar actualizaciones, lo que lleva 20 minutos. Entonces Carla tiene que reiniciar la descarga desde el principio. ¿Cuánto carga se necesita para descargar el archivo? ;160
John conduce durante 3 horas a una velocidad de 100 km/h y luego da la vuelta porque se da cuenta de que se olvidó algo muy importante en casa. Intenta llegar a casa en 4 horas pero pasa las primeras 2 en el tráfico. Pasó la siguiente media hora conduciendo a una velocidad de 30 mph, antes de poder conducir el tiempo restante de las 4 horas a 80 mph. ¿A qué distancia está de su casa al final de esas 4 horas? ;45
La tarifa por hora de Eliza para las primeras 40 horas que trabaja cada semana es de $10. También recibe un pago por horas extras de 1,2 veces su tarifa horaria regular. Si Eliza trabajó 45 horas esta semana, ¿cuánto es su salario esta semana? ;460
Un nuevo programa tuvo 60 descargas en el primer mes. El número de descargas en el segundo mes fue tres veces mayor que el número de descargas en el primer mes, pero luego se redujo en un 30% en el tercer mes. ¿Cuántas descargas tuvo el programa en total durante los tres meses? ;366
Toula fue a la panadería y compró varios tipos de pasteles. Compró 3 docenas de rosquillas que cuestan $68 por docenas, 2 docenas de mini cupcakes que cuestan $80 por docenas, y 6 docenas de mini cheesecakes por $55 por docenas. ¿Cuánto fue el costo total? ;694
Carlos está plantando un árbol de limón. El árbol costará 90 dólares para plantarlo. Cada año crecerán 7 limones, que él podrá vender por $1,50 cada uno. Cuesta $3 al año regar y alimentar el árbol. ¿Cuántos años pasarán antes de que empiece a ganar dinero con el limón? ;13
Melanie es una vendedora de puerta en puerta. Ella vendió un tercio de sus aspiradoras en la casa verde, 2 más a la casa roja, y la mitad de lo que quedaba en la casa naranja. Si Melanie tiene 5 aspiradoras, ¿con cuántas empezó? ;18
En una clase de baile de 20 estudiantes, el 20% se inscribió en danza contemporánea, el 25% del resto se inscribió en danza de jazz y el resto en danza de hip-hop. ¿Qué porcentaje de todos los estudiantes se inscribieron en el baile hip-hop? ;60
Un comerciante quiere hacer una elección de compra entre 2 planes de compra: joyas por valor de $5,000 o aparatos electrónicos por valor de $8,000. Su asesor financiero especula que el mercado de joyas subirá un 2,5% mientras que el mercado de aparatos electrónicos subirá un 1,2% en el mismo mes. Si el comerciante está buscando para maximizar las ganancias al final de este mes haciendo una elección, ¿cuánto beneficio sería esto? ;125
Dos trenes salen de San Rafael al mismo tiempo. Comienzan a viajar hacia el oeste, ambos viajan por 80 millas. Al día siguiente, viajan hacia el norte, cubriendo 150 millas. ¿Cuál es la distancia cubierta por cada tren en los dos días? ;230
