language;cot
afr_Latn;Kom ons dink stap vir stap. 
arb_Arab;دعونا نفكر خطوة بخطوة 
ban_Latn;Ngiring iraga mapineh ring pahan-pahan. 
bel_Cyrl;Давайце падумаем крок за крокам. 
ben_Beng;ধাপে ধাপে চিন্তা করা যাক। 
bod_Tibt;རིམ་བཞིན་བསམ་བློ་གཏོང་དགོས། 
bos_Latn;Hajde da razmislimo korak po korak. 
bul_Cyrl;Нека да мислим стъпка по стъпка. 
ces_Latn;Pojďme to udělat krok za krokem. 
cat_Latn;Pensem pas a pas. 
dan_Latn;Lad os tænke trin for trin. 
deu_Latn;Denken wir Schritt für Schritt. 
eng_Latn;Let's think step by step. 
ell_Grek;Ας σκεφτούμε βήμα-βήμα. 
est_Latn;Mõtleme samm-sammult. 
fin_Latn;Ajatellaan askel askeleelta. 
fra_Latn;Réfléchissons pas à pas. 
hat_Latn;Ann panse etap pa etap. 
heb_Hebr;בואו נחשוב צעד אחר צעד. 
hin_Deva;चलो कदम से कदम सोचो. 
hun_Latn;Gondolkozzunk lépésről lépésre. 
hrv_Latn;Razmislimo korak po korak. 
hye_Armn;Եկեք քայլ առ քայլ մտածենք: 
ind_Latn;Mari kita berpikir langkah demi langkah. 
ita_Latn;Pensiamo passo dopo passo. 
jav_Latn;Ayo dipikir langkah demi langkah. 
jpn_Jpan;段階的に考えましょう 
khm_Khmr;យើងគិតមួយជំហានៗៗ 
kor_Hang;한 단계씩 생각해 봅시다. 
lao_Laoo;ໃຫ້ຄິດເທື່ອລະກ້າວ. 
mai_Deva;चलू, एक-एक कऽ सोचैत छी। 
mal_Mlym;നമുക്ക് പടിപടിയായി ചിന്തിക്കാം. 
mar_Deva;चला एक एक पाऊल विचार करूया. 
mya_Mymr;တစ်ဆင့်ပြီး တစ်ဆင့် တွေးကြည့်ရအောင်။ 
nno_Latn;Lat oss tenkja skritt for skritt. 
nld_Latn;Laten we stap voor stap denken. 
npi_Deva;अब एक-एक गरेर सोचौं। 
pol_Latn;Pomyślmy krok po kroku. 
por_Latn;Vamos pensar passo a passo. 
slk_Latn;Poďme sa zamyslieť krok za krokom. 
quy_Latn;Imatachus ruwasun chayta tʼukurisun. 
ron_Latn;Să ne gândim pas cu pas. 
rus_Cyrl;Давайте подумаем шаг за шагом. 
slv_Latn;Razmislimo korak za korakom. 
spa_Latn;Pensemos paso a paso. 
srp_Cyrl;Размислимо корак по корак. 
swe_Latn;Vi tänker steg för steg. 
swh_Latn;Hebu tufikirie hatua kwa hatua. 
tam_Taml;படிப்படியாக சிந்திப்போம். 
tel_Telu;యొక్క అడుగు ద్వారా అడుగు ఆలోచించండి లెట్. 
tgl_Latn;Mag-isip tayo nang dahan-dahan. 
tha_Thai;ลองคิดดูทีละขั้นตอน 
tur_Latn;Adım adım düşünelim. 
ukr_Cyrl;Давайте подумаємо крок за кроком. 
urd_Arab;چلو قدم بہ قدم سوچتے ہیں. 
vie_Latn;Hãy suy nghĩ từng bước một. 
yue_Hant;我哋一步一步諗下 
zho_Hant;我們先來一步一步思考. 
zsm_Latn;Mari kita fikirkan langkah demi langkah. 
zul_Latn;Ake sicabange ngesinyathelo ngesinyathelo. 
