question;answer_number
У качкі Джанет выкладваюць 16 яек у дзень. Яна есць тры на сняданак кожную раніцу і пячэ кексы для сваіх сяброў кожны дзень з чатырма. Яна прадае астатнія на рынку фермераў штодня за 2 даляры за свежае качка яйка. Колькі ў далярах яна зарабляе штодня на фермерскім рынку? ;18
Для адзення спатрэбіцца 2 шпулькі блакітнага валакна і палова белага. Колькі шпулькі ў агульнай складанасці гэта займае? ;3
Джош вырашае паспрабаваць перавярнуць дом. Ён купляе дом за $80 000 і ўкладвае ў яго $50 000 у рамонт. Гэта павялічыла вартасць дома на 150%. Колькі ён зарабіў? ;70000
Джэймс вырашае бегаць 3 спрынты 3 разы на тыдзень. Ён бегае па 60 метраў за спрынт. Колькі метраў ён бегае ў тыдзень? ;540
Кожны дзень Вендзі карміць кожнага з курэй трыма кубкамі змешанага курынага корму, які змяшчае насенне, ялавічыну і гародніна, каб дапамагчы захаваць іх здароўе. Яна дае курам ежу ў тры асобныя прыёмы ежы. Раніцай яна корміць статак кураў 15 кубкамі ежы. У другой палове дня яна дае сваім курам яшчэ 25 кубкаў ежы. Колькі кубкаў ежы ёй трэба даць курам на апошнюю ежу за дзень, калі статак Вендзі складае 20 курэй? ;20
Кайлар пайшоў у краму, каб купіць акуляры для сваёй новай кватэры. Адзін шклянка каштуе 5 даляраў, але кожны другі шклянка каштуе толькі 60% ад цаны. Кайлар хоча купіць 16 шклянак. Колькі яму трэба заплаціць за іх? ;64
У Тулузе авечак удвая больш, чым у Чарльстоне. У Чарльстоне авечак у 4 разы больш, чым у Сіэтле. Колькі авечак у Тулузы, Чарльстоне і Сіэтле, калі ў Сіэтле 20 авечак? ;260
Карла спампавае файл аб'ёмам 200 Гб. Звычайна яна можа загружаць 2 ГБ/хвіліну, але на 40% шляху праз загрузку, Windows вымушае перазагрузіць, каб усталяваць абнаўленні, што займае 20 хвілін. Тады Карла павінна перазагрузіць файл з пачатку. Колькі часу патрабуецца, каб загрузіць файл? ;160
Джон ехаў на працягу трох гадзін з хуткасцю 100 км/г, а потым павярнуў назад, бо зразумеў, што забыў нешта вельмі важнае дома. Ён спрабуе дабрацца дадому праз 4 гадзіны, але першыя 2 гадзіны праводзіць у застойным руху. Наступныя паўгадзіны ён ехаў з хуткасцю 30 міляў у гадзіну, перш чым змог праехаць астатнія чатыры гадзіны з хуткасцю 80 міляў у гадзіну. Наколькі далёка ён ад дому пасля гэтых чатырох гадзін? ;45
Кошт працы Элізы за першыя 40 гадзін у тыдзень складае 10 даляраў у гадзіну. Яна таксама атрымлівае аплату за працоўны дзень у 1,2 разы больш, чым яе звычайная гадзінная плата. Калі Эліза працавала 45 гадзін на гэтым тыдні, колькі яе заробак за гэты тыдзень? ;460
Новая праграма была спампавана 60 раз у першы месяц. Колькасць загрузак у другі месяц была ў тры разы большай за загрузак у першы месяц, але затым знізілася на 30% у трэці месяц. Колькі загрузак праграмы было за гэтыя тры месяцы? ;366
Тула пайшла ў пякарню і купіла розныя віды выпечкаў. Яна купіла 3 дзясяткі пончыкаў, якія каштавалі 68 даляраў за дзясятак, 2 дзясяткі міні-кексы, якія каштавалі 80 даляраў за дзясятак, і 6 дзясяткаў міні-чырванавых кексаў за 55 даляраў за дзясятак. Колькі было агульнай кошту? ;694
Карлас садзіць цытрынавае дрэва. Пасадка дрэва будзе каштаваць 90 даляраў. Кожны год на ёй растуць 7 цытрынаў, якія ён можа прадаць за 1,5 даляра за капейку. Аднак, каб паліць і карміць дрэва, трэба 3 даляры ў год. Колькі гадоў яму спатрэбіцца, каб пачаць зарабляць грошы на цытрынавым дрэве? ;13
Мелані - гандлярка ад дзвярэй да дзвярэй. Яна прадала траціну пыласосаў у зялёным доме, яшчэ дзве ў чырвоным, і палову таго, што засталося ў аранжавым доме. Калі ў Мелані засталося 5 пыласосаў, з колькіх яна пачала? ;18
У класе танцаў з 20 студэнтаў, 20% былі запісаныя на сучасны танец, 25% з астатніх былі запісаныя на джазавы танец, а астатнія - на хіп-хоп танец. Колькі працэнтаў усіх студэнтаў навучаюцца на танцах з хіп-хопу? ;60
Гандляр хоча зрабіць выбар паміж 2 планамі пакупкі: ювелірныя вырабы коштам $ 5000 або электронныя гаджэты коштам $ 8000. Яго фінансавы дарадца мяркуе, што рынак ювелірных вырабаў павялічыцца на 2,5%, у той час як рынак электронных гаджэтаў павялічыцца на 1,2% у тым жа месяцы. Калі гандляр хоча максімальна павялічыць прыбытак у канцы гэтага месяца, зрабіўшы выбар, колькі будзе прыбытак? ;125
Два цягнікі адпраўляюцца ад Сан-Рафаэль адначасова. Яны пачынаюць падарожнічаць на захад, абодва падарожнічаюць на 80 міль. На наступны дзень яны падарожнічаюць на поўнач, праехаўшы 240 кіламетраў. Якую адлегласць пераадолеў кожны цягнік за два дні? ;230
Джыл атрымлівае 20 даляраў за гадзіну за выкладанне і 30 даляраў за трэніроўку маладых лідэраў. Калі яна працуе 50 тыдняў у год, 35 гадзін у тыдзень у якасці настаўніцы і 15 гадзін у тыдзень у якасці трэнера, што яе штогадовая зарплата? ;57500
Клэр робіць 3 яйкі амлет кожную раніцу на сняданак. Колькі дзесяткаў яек яна з'есць за чатыры тыдні? ;7
Марыса ідзе па 12-мільнай сцежцы. Ёй спатрэбілася гадзіна, каб прайсці першыя 4 мілі, а затым яшчэ гадзіна, каб прайсці наступныя дзве мілі. Калі яна хоча, каб яе сярэдняя хуткасць была 4 мілі ў гадзіну, якой хуткасцю (у мілях у гадзіну) яна павінна прайсці астатнія адлегласці? ;6
У мяне ёсць 10 літраў апельсінавага напою, у якіх дзве траціны - гэта вада, і я хачу дадаць яго да 15 літраў піва з ананаса, у якіх тры пяціны - гэта вада. Але калі я яго наліваю, то праліваю 1 літр апельсінавага напою. Колькі вады ў астатніх 24 літрах? ;15
