,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
0,Je suis devenu fan de Law and Order en 2011.,Je me remettais d'une attaque.,"Quand je suis rentré à la maison, j'ai essayé de regarder chaque épisode.",C'était dur d'essayer de regarder 20 ans de spectacle.,Je pense que Law and Order est l'une des pires séries jamais faites.,Je les ai toutes regardées.,2
1,Tout le monde aimait Bob parce qu'il jouait un personnage populaire dans un film.,Bob détestait ça parce qu'il n'avait rien à voir avec ce personnage.,Jim a demandé à Bob de dire la phrase emblématique de son personnage.,C'était trop pour Bob et il a explosé de rage.,Bob a dit à l'homme de le laisser tranquille.,Bob a demandé à l'homme du thé.,1
2,Lita voulait regarder sa série préférée à la télévision.,Ses enfants ont insisté pour qu'elle s'assoie avec eux.,Lita leur a dit qu'elle avait des corvées à faire.,Ses enfants ont traîné son panier à linge dans le salon.,Lita a commandé une pizza au piment pour le déjeuner.,Lita a plié la lessive en regardant la télévision.,2
3,Liv a sauté quand elle a été surpris par un grand bruit.,Elle s'est rendu compte que c'était l'ampoule de sa cuisine qui s'était éteinte.,Elle a pris un tabouret et s'est mise dessus.,Elle a failli tomber.,Liv a décidé de changer une ampoule dans la salle de bain.,Liv a ensuite changé l'ampoule.,2
4,La mère a dit à ses enfants que l'heure du déjeuner arriverait dans quinze minutes.,Mais elle a reçu un appel important.,"Pendant qu'elle parlait, le chien traînait de la boue dans toute la cuisine.","Les enfants ont commencé à harceler leur mère, qui était toujours au téléphone.",La mère était très frustrée.,Le comportement des enfants a calmé la mère.,1
5,Hector a toujours acheté du café dans un magasin local avant de travailler.,Il se rend compte que son habitude d'acheter du café coûte très cher.,"Un jour, Hector décide de préparer du café chez lui.",Il est fier que le café qu'il a fait à la maison soit si bon.,Hector a continué à faire son propre café et à économiser de l'argent.,Hector a commencé à acheter plus de café chez Starbucks.,1
6,Kelly a découvert qu'il y avait une nouvelle fille à l'école.,"Quand elle est entrée dans l'école, elle est allée la chercher.","Quand elle l'a rencontrée, elle l'a invitée à déjeuner avec elle.","Quand elles ont déjeuné, les filles sont devenues amies.",Kelly ne lui a plus jamais parlé.,Kelly était heureuse d'avoir fait un nouvel ami.,2
7,Tommy s'est entraîné dur pour courir son premier 5K.,"Pendant la course, il était frustré de voir tant de gens le dépasser.","Quand il a entendu son nom lors des récompenses, il a été choqué.",Il ne savait pas qu'ils donnaient des prix par groupe d'âge.,Il avait honte de ne pas avoir été reconnu.,Il était fier d'avoir terminé premier par âge mais dixième au classement général.,2
8,Laurie va à sa première danse officielle ce soir.,Son compagnon est venu la chercher et lui a offert une rose magnifique.,Laurie portait une longue robe étincelante.,Ils ont dansé et s'est bien amusé avec tous leurs amis.,Laurie est rentrée à la maison en pleurant.,Laurie a terminé la soirée en embrassant son compagnon.,2
9,Neil explorait les chemins de fer historiques.,"Il est entré à Scranton, en Pennsylvanie.",Il a réalisé que c'était un vieux dépôt de train magnifique.,Il a pris beaucoup de photos pendant qu'il était là.,Neil a effacé toutes ses photos.,Neil a sauvegardé les photos sur son ordinateur.,2
10,Bob redoutait son premier jour de travail dans un restaurant de poisson.,Il prévoyait d'attendre pour mettre son uniforme nautique.,Bob a commencé à faire des hamburgers de poisson après avoir mis l'uniforme.,"Il était tellement occupé, il a oublié de se changer en vêtements de rue.",Bob aimait tellement cette tenue qu'il la montrait à ses amis.,Bob est sorti après le travail en tenue de marin.,2
11,Une amie est venue me voir.,Je lui ai dit que mon chien mord.,Elle n'a pas écouté.,Elle a essayé de le caresser et de jouer avec lui.,Mon chien l'a mordue.,Mon chien s'est enfui.,1
12,Lester a toujours voulu être plus artistique.,Il décide un jour d'essayer de dessiner une fleur.,Il s'assoit devant une belle orchidée et commence à dessiner.,Les dessins de Lester sont très bien.,Il accroche le tableau au mur de son salon.,Il décide de ne plus jamais dessiner.,1
13,Pablo aime manger des vers.,Il a lu un livre à l'école sur la façon de faire ça.,Il les fait frire dans de l'huile d'olive.,Il aime faire ça au moins une fois par mois.,Pablo aime les vers et les considère comme un mets délicat.,Pablo n'aime pas manger des vers.,1
